1167225416085594112 2019-08-29 19:59:59 -0400 <zekeiddon> @THETXEMBASSY @realDonaldTrump  https://t.co/NbvTuTDcsj
1167225415938838528 2019-08-29 19:59:59 -0400 <Keviny4Saving> @realDonaldTrump You made me laugh.
1167225413401231363 2019-08-29 19:59:59 -0400 <KTD1972> @realDonaldTrump Concern seems to be a lot more focused now that this storm will likely wallop Palm Beach. Wonder how big the request for aid for Mar-a-Lago will be this time.
1167225413199966208 2019-08-29 19:59:59 -0400 <texaschicsrock> @thecoleyco @realDonaldTrump Bot
1167225411765506054 2019-08-29 19:59:58 -0400 <dialogician> @mike_pence @realDonaldTrump @AmericanLegion What  about the Torah and the Qur”an? Do those stay too?  Disgusting #hypocrite.
1167225411086032898 2019-08-29 19:59:58 -0400 <WKnabe> @GOPChairwoman @realDonaldTrump CNN may be biased, but don’t forget they are also incompetent.
1167225410742116359 2019-08-29 19:59:58 -0400 <JoeOm4> @TPilled @NadineDorries @UKfollowgain What did @realDonaldTrump say at the recent G7 meeting-  'what's happening with England🏴󠁧󠁢󠁥󠁮󠁧󠁿?' - I know exactly what he meant. People have no idea of our true origin. Trump talks in parables, he is a 'messenger' sent for #TheGreatAwakeningWorldwide. Take your choice? It's in the DNA
1167225410016485377 2019-08-29 19:59:58 -0400 <MecciaNick> @JeffreyGuterman @realDonaldTrump Bro that's not even relevant to this video wtf?
1167225408833482752 2019-08-29 19:59:58 -0400 <MommyDearestUS> @realDonaldTrump Release your college transcripts.
1167225407961096192 2019-08-29 19:59:57 -0400 <Juni21966543> @realDonaldTrump No, that it will happen after your 4 years.
1167225407319552000 2019-08-29 19:59:57 -0400 <Dandelion320> @trumper_tantrum @myizonorion @Tabitha1817 @beachkatie @DineshDSouza @seanhannity @POTUS @realDonaldTrump He was there. Clinton passed on the opportunity to be in the middle of the action. Are you the pilot?
1167225405247348736 2019-08-29 19:59:57 -0400 <Deepthinker2020> @realDonaldTrump love you
