1075903674277216257 2018-12-20 18:59:59 -0400 <angelkay808> @realDonaldTrump  https://t.co/TCKyxLPUhp
1075903673333661696 2018-12-20 18:59:59 -0400 <Susie_Q_926> @realDonaldTrump But he resigned!
1075903672821919745 2018-12-20 18:59:59 -0400 <moving315> @realDonaldTrump The baby sitter is leaving the daycare center
1075903670313570305 2018-12-20 18:59:58 -0400 <susnelling> @ChristopherHahn @realDonaldTrump @JJohnsonLaw @linewsradio The intent for them to pay for it was by money made from trades not by pallets of cash.  We want the borders secure. You have zero solutions. @dbongino proves that every time you debate!
1075903669843963904 2018-12-20 18:59:58 -0400 <dawn_dknapp2> @realDonaldTrump Idiot, we fight over there so that the war doesn't come over here.
1075903669831294977 2018-12-20 18:59:58 -0400 <fullerray> @realDonaldTrump #LiarInChief WTF
1075903668690382848 2018-12-20 18:59:58 -0400 <lea_archie> @realDonaldTrump YEA AND AMEN;pray
1075903667818192896 2018-12-20 18:59:58 -0400 <songman1953> @charliekirk11 @realDonaldTrump Because lib media sucks !
1075903666601820161 2018-12-20 18:59:58 -0400 <catskillcaz> @realDonaldTrump Did you READ his resignation letter? Well, you don't read, so, did someone read it to you? He quit! He couldn't take it any longer working for someone who doesn't take sound counsel from anyone other than his "own gut." Your narcissism and arrogance make it impossible.
1075903666475991040 2018-12-20 18:59:58 -0400 <Old_Man_Seven> People are starving, people are w/o clean water &amp; people are w/o a home but morons have donated over 8 million to build a wall that is not needed and will never be build. If you’ve donated money for @realDonaldTrump wall you are one of the dumbest most gullible beings alive.
1075903666262040577 2018-12-20 18:59:58 -0400 <BaloneTone> @HeyTammyBruce @realDonaldTrump 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻
1075903664873721857 2018-12-20 18:59:57 -0400 <Eunice2Roubal> @realDonaldTrump We, the people, are FOR your efforts to Make America Great Again ! ! We are praying for your success and ready to welcome home the support of our troops to fight for this nation, from within this nation ! !   God Bless and Keep you!
1075903664655646722 2018-12-20 18:59:57 -0400 <_cynthiaauthor> @GOPChairwoman @realDonaldTrump we need GOP to vote for border security not lay down like rugs for DEMS to walk over=otherwise GOP is toast!!!
1075903664001290240 2018-12-20 18:59:57 -0400 <debraggery> @realdonaldtrump  the chyron on my TV right now reads "Defense Sec. quits in protest over trump middle east policy as govt shutdown looms and financial markets tank"    #winning #Moron #25thAmendmentNow
1075903663510614016 2018-12-20 18:59:57 -0400 <SnickersMom2020> @realDonaldTrump How about all the Dems with walls or security gates take them down!! If we’re supposedly ok without a border wall then they should be fine!! #BuildThatWall #StickTheDemsAtTheBorder
1075903663380385792 2018-12-20 18:59:57 -0400 <ItsaLearning> @DionNissenbaum Maybe the Kurds will release them and buy them one-way tickets to Washington or West Palm. Then what @realDonaldTrump?
1075903663099514880 2018-12-20 18:59:57 -0400 <TJM2016> @old_osc @realDonaldTrump BTW: you sent thousands of military personnel to the southern border.  Isn’t that security?
1075903662701076481 2018-12-20 18:59:57 -0400 <rbllstrs> @realDonaldTrump @bcolbert68 Don’t sign the bill. Shut it (govt) down...no one’s going to die.
1075903662147293185 2018-12-20 18:59:57 -0400 <rf121rf> @EmmaS_writes @LindseyGrahamSC @realDonaldTrump Civics lesson. We are not a democracy. We are a Republic.
1075903659932823552 2018-12-20 18:59:56 -0400 <jackhalpin_art> @realDonaldTrump Your wall obsession is a huge mistake. A border wall will be a monument to government  overspending, fear, and short sidedness; and will tarnish your name for generations. You really want your name on something huge? Put the $$$ into fixing all the bridges and roads in America!
1075903659832004608 2018-12-20 18:59:56 -0400 <creativegreeniu> @tedlieu @realDonaldTrump You should be more afraid about what this means and less sad.
1075903659307921408 2018-12-20 18:59:56 -0400 <southtampa_dude> @realDonaldTrump He’s saying he’s leaving because of you. He doesn’t agree with your recent actions. ISIS gone? Are you kidding? You are doing the bidding of #Russia #TrumpCollusion #TrumpTreason #TrumpRussiaMatrix
1075903659290943489 2018-12-20 18:59:56 -0400 <WilseyCadence> @girl4_trump @realDonaldTrump @ArizonaKayte @ROHLL5 @lilbulli1031 @TheTestyTarheel @RuthieRedSox @wvufanagent99a @mitchellvii @PatriotJenn @1Romans58 Amen!
1075903659140100096 2018-12-20 18:59:56 -0400 <TapestryofPeace> @randallpink17 @Mookyluv2 @D_Plorable_Unum @suzystays @misscalliecat @42Gnome @TeaSippingBarb @Black_is_back5 @AngryandAsian @h8Wankmaggot45 @DisabledResist @restaurant_mom @ResistBaby @GOVTWINE @bjcreigh @ShelbyKStewart @bubbagump324 @Jen_C_ @MrsRabbitResist @LA_Karma1 @TheUSASingers @Photographister @BKapcoe Well that money will go into the @realDonaldTrump legal defense fund. Or his own pocket. Suckers.  Trump Give me more money 👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻  https://t.co/m10wLoXWJj
1075903657160380416 2018-12-20 18:59:55 -0400 <GerryChartier1> @PressSec @realDonaldTrump One great thing placed on a huge pile of mistakes!
1075903657021911040 2018-12-20 18:59:55 -0400 <wink_nod> @KatTimpf @realDonaldTrump In know, right!  If was President Obama it would be called a brilliant move who’s time has come!    #TDS
1075903655583322113 2018-12-20 18:59:55 -0400 <SovereignLiber1> @RobForPotus @realDonaldTrump I think we ought to stay in Korea for the time being. My grandpa was a tank commander in Korea.The Chinese will have to be dealt with soon. Thats why weve got to build up in Afghanistan. So that we have a serious foothold in the region to threaten communist China.
