1196578831395622912 2019-11-18 18:59:59 -0400 <PurpleHeartMac> @MarshaBlackburn @realDonaldTrump Here, meet this 🖕, you 🤡
1196578830338658304 2019-11-18 18:59:59 -0400 <CharlieCunnin20> @realDonaldTrump Please do
1196578830204489730 2019-11-18 18:59:59 -0400 <catintx17> @RepMattGaetz @realDonaldTrump #MattGaetzIsATool
1196578830040715265 2019-11-18 18:59:59 -0400 <the_lao_shi> @w_terrence @realDonaldTrump My homie, for me, I will pray for her that she will find the light and not pursue the dark side.  California is in bad shape right now... Gas prices went to 4$ while the rest of the country is barely at 3$.  Petrol company here renovating thier refinery to add price/gal. Bad.
1196578829403328513 2019-11-18 18:59:58 -0400 <Gh1Nyamekye> @realDonaldTrump  https://t.co/jUdmv9Mj0x🇩🇪🇬🇭
1196578829365579779 2019-11-18 18:59:58 -0400 <BillCarl305> @MerrillLynched @realDonaldTrump It’s that obvious and nothing less expected from the corrupt looser dem party. Open eyes and mind and you will see what most of Americans see
1196578829348814848 2019-11-18 18:59:58 -0400 <30andAlone> @realDonaldTrump Why won’t he admit to being Master Shake? Why not come clean?
1196578828992335873 2019-11-18 18:59:58 -0400 <rkauf88302> @realDonaldTrump Doesn’t the GOP have control of the Senate?
1196578828786765824 2019-11-18 18:59:58 -0400 <Icelandicpanda_> @realDonaldTrump Suck mz duck
1196578828157702146 2019-11-18 18:59:58 -0400 <JCW05887206> @PoliticalLinz @MILTONESPINOZAF @realDonaldTrump @Nick_Shredder Joe Biden couldn’t beat Donald Trump at anything. Joe is the epitome of weakness and cowardice, having achieved nothing aside from criminality. Mr Trump is a rare person, who has not one thing to gain being President, other than a deep love for our country.
1196578827570470912 2019-11-18 18:59:58 -0400 <mcford77> @cadMack1 @maziehirono @realDonaldTrump Do you have a point you are trying to make ?  Maybe you think being a Jew inoculates someone from being a White Supremacist ?
