947618369766920193 2017-12-31 18:59:59 -0400 <lindamarc47> @JacobAWohl @realDonaldTrump OMG...I
947618369674629121 2017-12-31 18:59:59 -0400 <corninmypoopies> @realDonaldTrump How ya doin......☺️
947618368915431425 2017-12-31 18:59:59 -0400 <Brewster1620> @realDonaldTrump @POTUS I guess this is what you hear in your head. Tell the doctor when you get your physical. Maybe take @MelaniaTrump .
947618367917174785 2017-12-31 18:59:59 -0400 <nathanplatt> @JacobAWohl @realDonaldTrump   https://t.co/6qPGm0OhsH
947618367015407616 2017-12-31 18:59:59 -0400 <PHF_23> @realDonaldTrump Senpai notice meeeeee
947618366453354496 2017-12-31 18:59:59 -0400 <StudgePhilboyd> @realDonaldTrump It will if you get impeached.  You are the worst President since sliced bread was invented
947618364326862848 2017-12-31 18:59:58 -0400 <GinaRankin6> @lsmith4680 @realDonaldTrump so what ditto! He puts in 16 hr days...takes no salary, WTH do you hv to complain about?
947618364125413376 2017-12-31 18:59:58 -0400 <nepeddlar> @realDonaldTrump And those family times too,@POTUS  https://t.co/E9u71SuXwC
947618363664097282 2017-12-31 18:59:58 -0400 <miremoody> @realDonaldTrump You need to read a book and call your good oil homies in Saudi Arabia if you actually want to do something about terrorism.
947618361780957185 2017-12-31 18:59:58 -0400 <BodieMason> @realDonaldTrump   https://t.co/eNRTjNmYfv
947618361759825922 2017-12-31 18:59:57 -0400 <okagentbrian> @realDonaldTrump Resign &amp; job will be complete!
947618361671897088 2017-12-31 18:59:57 -0400 <kshea825611> @Glenn_A_Johnson @realDonaldTrump Honestly what will they come up with next.
947618360740732930 2017-12-31 18:59:57 -0400 <ftleeace> @realDonaldTrump Your arrest and prosecution will make America great again. #MuellerTime
947618360673624064 2017-12-31 18:59:57 -0400 <dcromp84> @Avbuys @Bobcat64 @FingersUpforDT @Alyssa_Milano @realDonaldTrump Nope.. I’m a business owner, my tax person said it’s going to be a bad deal for middle America and a billion dollar haul for the top. Not me or media a tax professional.
947618360472231936 2017-12-31 18:59:57 -0400 <shepersists5280> @realDonaldTrump Donald, you are disgusting!  https://t.co/dYvDeVgcq2
947618359914373120 2017-12-31 18:59:57 -0400 <idlingme> @realDonaldTrump The only way to make America great is to get an actual legitimately-elected leader who actually works.
947618358450704384 2017-12-31 18:59:57 -0400 <DbleDutchRudder> @realDonaldTrump   https://t.co/IFTUHVGEbO
947618357678870528 2017-12-31 18:59:57 -0400 <ColeenC123> @MightBeReign @realDonaldTrump   https://t.co/mTBbDu3y1Y
947618356714266624 2017-12-31 18:59:56 -0400 <FLsunshineshop> @mrstwfountain @realDonaldTrump @IvankaTrump @EricTrump Bummed we missed this, we were just a few hours 2 late, showing friends from Homestead Air Force One but I’m SO happy 4 all who went. A dream come true, history in the making. Congrats all- We have the BEST @POTUS ever!!!! President Trump, grateful 4 your ❤️ #MAGA 🇺🇸🙏🏼🙌🏼
947618354910629889 2017-12-31 18:59:56 -0400 <rosario_sweany> @realDonaldTrump Happy New years Donald j Trump.  You and your family's and be friends. God bless you and two 20018 the coming peace and love and healthy life.   God bless you my precident Trump
947618354830995457 2017-12-31 18:59:56 -0400 <nassaulady> @realDonaldTrump What we are you talking about.  We the people"do not" support you.
947618354516320256 2017-12-31 18:59:56 -0400 <2017_itstime> @TheOfficialPORP @KevinLevin @realDonaldTrump Please do not insult 12 year old girls.
947618354378035201 2017-12-31 18:59:56 -0400 <cacabey_45> @danpfeiffer @realDonaldTrump 😂😂 U got jokes  https://t.co/KWDCRJsA62
947618354264723456 2017-12-31 18:59:56 -0400 <JohnRob81406399> @lucy_w997 @Gnomosapien @BelindaBee13 @Davecarr86 @realDonaldTrump @dcsheriff Statistically, the overwhelming majority of mass shootings (4+ people shot in one event) are committed by gangs. Your stereotypical loner with mental problems shooting up the school/workplace is actually quite rare comparatively.
947618353044221952 2017-12-31 18:59:55 -0400 <CarrStump1> @realDonaldTrump  https://t.co/WrvBSpNdj6
947618352729612289 2017-12-31 18:59:55 -0400 <Billwamm> @sethmanning @realDonaldTrump You should have one that's attainable.
947618352712830976 2017-12-31 18:59:55 -0400 <sbex530> @realDonaldTrump @POTUS This can't be 2017.. I must be looking at time hop from 2012 or something 🙄
947618350762483712 2017-12-31 18:59:55 -0400 <june0798_scott> @realDonaldTrump Senile old man
947618348673662976 2017-12-31 18:59:54 -0400 <D0ntpray4me> @ScarBugMusic @realDonaldTrump Ich bin dagegen!
947618348518592512 2017-12-31 18:59:54 -0400 <edchamness> @realDonaldTrump @foxandfriends #FauxNews...what do you expect...
947618348082147329 2017-12-31 18:59:54 -0400 <ZarathustrasDad> @realDonaldTrump Fight me you coward!
947618348078190592 2017-12-31 18:59:54 -0400 <Prince3eb> @DevinCates @WalkofShameBand @realDonaldTrump   https://t.co/Vynf5vL8ck
947618347738390528 2017-12-31 18:59:54 -0400 <bellasungoddess> @realDonaldTrump We love you  https://t.co/WbpkeKqUBj
947618347255939072 2017-12-31 18:59:54 -0400 <galysal> @realDonaldTrump Uhhhh...just spit ballin' here, but because they are smart. That's why. #nincompoop
947618347247644674 2017-12-31 18:59:54 -0400 <corgimom67> @realDonaldTrump Happy New Year, sir!
947618346853380097 2017-12-31 18:59:54 -0400 <JacquelineNY69> @realDonaldTrump   https://t.co/wGHnelUW0k
947618341937668096 2017-12-31 18:59:53 -0400 <tim_username> @realDonaldTrump You said you didn’t drink. Is that another lie?
947618341354704896 2017-12-31 18:59:53 -0400 <pjeansr> @realDonaldTrump Not all of us are stupid~
947618340888965120 2017-12-31 18:59:53 -0400 <BakerHoldmann> @realDonaldTrump Delusional. Or deliberate lie? I don’t know which is worse.  Either makes you unfit for office.
947618340792684544 2017-12-31 18:59:52 -0400 <alltherightmath> @SenSasse @Bencjacobs How many times does @realDonaldTrump have to say things like before you realize you and your Congressional colleagues are the exact people the founders envisioned to stop such dangerous undermining of our democracy?
947618340171685888 2017-12-31 18:59:52 -0400 <budanyone> @realDonaldTrump Adding fortune teller to your resume?
947618339777638400 2017-12-31 18:59:52 -0400 <JimSoxx> @realDonaldTrump   https://t.co/rusjAA06ot
947618338167017474 2017-12-31 18:59:52 -0400 <manoa7722> @realDonaldTrump U blow
947618337831505920 2017-12-31 18:59:52 -0400 <Sbeard741> @Travon @realDonaldTrump Hands up dont shoot. Lol
947618336518688769 2017-12-31 18:59:51 -0400 <rebelwitacauz> @TomWellborn @realDonaldTrump One look at your picture and I presume you are talking about yourself...just saying 😂#maga
947618336388665344 2017-12-31 18:59:51 -0400 <WilsonCmwilson> @realDonaldTrump Someone said it better.   https://t.co/s3MnI2R1mF
947618335692410881 2017-12-31 18:59:51 -0400 <SandraKirchner4> @realDonaldTrump #eldorme  https://t.co/ooOWCB2LPs
947618334748573697 2017-12-31 18:59:51 -0400 <AnitaBalaski> @ChicoryLouis @IRdotnet @realDonaldTrump Manafort &amp; Gates involved with Ukraine (Not Russia) well before the campaign. Papadopoulos &amp; Flynn lying to FBI agent. No connection to Russia or Trump. Actions of FBI proving to be illegal. I'm not a brother. Have no beef with Obama the man just simply he was a bad president.
947618334362697729 2017-12-31 18:59:51 -0400 <Dialecticalphil> @realDonaldTrump The sun rose this morning. Take credit for that too?
