881663778152222720 2017-07-02 19:59:59 -0400 <SvenGerrets> @realDonaldTrump All your base are belong to us!
881663777938087936 2017-07-02 19:59:59 -0400 <darrellpechtl> @CNNPR @realDonaldTrump @SHSanders45 When your soul is only worth $165K... 🤥😰
881663777913155585 2017-07-02 19:59:59 -0400 <Dushan28> @realDonaldTrump Are you taking mouth wash with u when u go to visit Putin.
881663777200099329 2017-07-02 19:59:59 -0400 <5_rockie> @kim @realDonaldTrump I hate autocorrect
881663776449277954 2017-07-02 19:59:59 -0400 <reginammp62> @AustinOnSocial @realDonaldTrump Fake news Austin. That's a joke.
881663776214441985 2017-07-02 19:59:59 -0400 <zipbeep> @realDonaldTrump Unemployment hasn't changed. What happened to your 45% unemployed? #crybabytrump
881663776029913089 2017-07-02 19:59:59 -0400 <CMilrs> @realDonaldTrump Tell 'em @POTUS Trump  #GiveEmHell  Love My President Trump  #Trump2020
881663775740448768 2017-07-02 19:59:59 -0400 <DrDiaMD> @NikLentz @realDonaldTrump She's NOT the president, he is. False equivalence
881663774465437698 2017-07-02 19:59:59 -0400 <Beemer518> @realDonaldTrump Thank you for fighting for us, EVERY SINGLE DAY!! With love and gratitude, one of the Deplorables!!!
881663774456913920 2017-07-02 19:59:59 -0400 <SHurst90063383> @realDonaldTrump You are doing a great job, keep getting rid of the 1 world order crap that obama admin put in place against our country.
881663773399891968 2017-07-02 19:59:58 -0400 <willwitwonttwit> @realDonaldTrump At it again...😒
881663773215399936 2017-07-02 19:59:58 -0400 <TCMRHK> @realDonaldTrump As if you could get up off the couch long enough to actually hit someone let alone body slam them.
881663773051768832 2017-07-02 19:59:58 -0400 <60jeff60> @AustinOnSocial @realDonaldTrump Worst President we ever had
881663771847958528 2017-07-02 19:59:58 -0400 <mischiefcentral> @pnehlen @realDonaldTrump Funny that Paul, for the first time in his ridiculously litigious life nobody is being sued over these "lies" and the "fraud"? Why is that?
881663770560483329 2017-07-02 19:59:58 -0400 <207_Melissa> @realDonaldTrump @KORANISBURNING   https://t.co/4Tx73Td8rO
881663770216607744 2017-07-02 19:59:57 -0400 <Mr_Robear> @LadyTrumpVoter @BramerPenelope @realDonaIdTvump @DonaldJTrumpJr @realDonaldTrump Not! That's why your LOSER POTUS beats up on people and then laughs about it. Hate spews from the mouth of all his followers #GOPbootlickers
881663770132586496 2017-07-02 19:59:57 -0400 <demadalcielo> @realDonaldTrump Thank you @BarackObama job well done. This fool will blow up the country in no time.
881663769629401090 2017-07-02 19:59:57 -0400 <squill82> @realDonaldTrump Fake news.   What's up with Carrier?
881663769579061248 2017-07-02 19:59:57 -0400 <earlwilliams829> @realDonaldTrump Keep up the Postive  tweets .  Love to hear
881663769083953152 2017-07-02 19:59:57 -0400 <DTrump_Cat> @realDonaldTrump #Fuckfacevonclownstick  #25thAmendmentNOW   How many scoops of ice cream did you have today, "president" #TinyHands?
881663769071374337 2017-07-02 19:59:57 -0400 <gagadonna> Again I ask, @Twitter when do you block @realDonaldTrump ? Is inciting violence toward the press still not enough?
881663768941527043 2017-07-02 19:59:57 -0400 <halemstorm> @realDonaldTrump Thanks, Obama!
881663768383672320 2017-07-02 19:59:57 -0400 <MattFromMass> @realDonaldTrump I LOVE YOU TRUMP!!!
881663767746105345 2017-07-02 19:59:57 -0400 <SaratogaGrandma> @realDonaldTrump Hey!  Trolling YouTube videos is finally an activity you can share with Barron.
881663767590748160 2017-07-02 19:59:57 -0400 <Athoughtsoup> @realDonaldTrump Happy belated Pride month. You couldn't be bothered to say that because you're to busy insulting people to be inclusive.
881663767532249089 2017-07-02 19:59:57 -0400 <Dillmatic_6> @realDonaldTrump And what about the rest of America?
881663767431462912 2017-07-02 19:59:57 -0400 <pl8ofshrimp> @LynneCamp5 @AudreyK27 @tenthousandjoys @nytopinion @realDonaldTrump I think Sleazer is more like it.
881663767007944704 2017-07-02 19:59:57 -0400 <WPalmerCurl> @danibostick @realDonaldTrump AKA deplorables
881663765858717696 2017-07-02 19:59:56 -0400 <RobinettAndy> @MrTommyCampbell @realDonaldTrump Today's internet winner!
