1143307815399747584 2019-06-24 19:59:59 -0400 <justme1462> @realDonaldTrump ROFLMAO
1143307812644282368 2019-06-24 19:59:58 -0400 <LouDobbs> #AmericaFirst - @RepMattGaetz: "Mexico knows that the @realDonaldTrump administration means business. Frankly it’s been past time for Mexico to stop acting like a turnstile for human traffickers rolling out of Central and South America into the U.S."  #MAGA #Dobbs  https://t.co/XONB0NGybI
1143307811817836544 2019-06-24 19:59:58 -0400 <P_Ski18> @KevinPlantz @realDonaldTrump And why is he a white supremacist Nazi?
1143307808634363904 2019-06-24 19:59:57 -0400 <LutmanAngie> @axios I wouldn't believe @realDonaldTrump if he was struck by the truth like Jim Carrey in 'Lier Lier." #FuckTrump #GetTheFuckOffMyPlane
1143307804989689857 2019-06-24 19:59:56 -0400 <beachcat369> @P0A_Triot23 @realDonaldTrump @John_F_Kennnedy We appreciate you. WRWY. This is their free will. They refuse to stop. WWG1WGA. We are waking up. We belong together.
1143307801458089984 2019-06-24 19:59:56 -0400 <Lexielhasaapso> @PatriciaFenton5 @ashekirk @gatesoption @MrTommyCampbell @realDonaldTrump Is that a reason to deprive children of basic human rights? If you say yes, you are a disgrace to humanity just like your President.
1143307796529733632 2019-06-24 19:59:54 -0400 <DCGOLFER488> @realDonaldTrump DON’T LOOK FOR DEMOCRATS TO DO YOUR JOB THAT YOU’VE SCREWED UP SO BADLY. YOU’VE ALLOWED BORDER CONTROL TO SEPARATE CHILDREN FROM PARENTS, THESE KIDS DON’T HAVE TOOTH BRUSHES, SOAP, BLANKETS, ETC. THERE IS NOW A LICE BREAK OUT NOW &amp; IT FALLS ON YOUR SHOULDERS, CRIMINAL!
1143307791664390144 2019-06-24 19:59:53 -0400 <USA189969345> These democratic politicians in Congress are the ones causing the border death marches AOC, waters Schumer, Nancy, Harris, These Democratic politicians in Congress refused to help our president fix the border crisis. MAGA! 1/2 @realDonaldTrump @OANN
1143307790095650822 2019-06-24 19:59:53 -0400 <realgenlee> @bpadj @realDonaldTrump  https://t.co/bqFxA5GH21
1143307782541717505 2019-06-24 19:59:51 -0400 <beamstx> @Joy_Villa @realDonaldTrump You are the face of a powerful self thinking woman. It scares the scrap out of the dems. I love that you use your voice to fight against the dems and their corruption.
1143307781346353153 2019-06-24 19:59:51 -0400 <kimber527> @charliewolffhh @honeydrena @cantrnsorry @realtj49er @NancyLeeGrahn @realDonaldTrump Devastated wow.. glad to hear that you would never make a choice to subject your child to the treatment that Obama's administration administered...too bad these parents didn't make that same choice
1143307779517669382 2019-06-24 19:59:50 -0400 <nnneddy> @realDonaldTrump Financial advice from the single biggest money loser in the country... #BillionDollarLoser  https://t.co/sVMFraQPBc
1143307775428169728 2019-06-24 19:59:49 -0400 <ElleDeeGee1> @jeremynewberger @realDonaldTrump Yeah. Thats hilarious. And I mean it truly is. It's why I followed you. But you have the worst f****** timing. Do you know how dangerous it is right now? Also, my husband is on a land rig ensuring that u will have little plastic things to type all your jokes with. 🤣Hysterical🙄
