1093660673891069952 2019-02-07 18:59:58 -0400 <Sydneyquid> .@GOP .@realDonaldTrump  https://t.co/5SuoN0OyGG
1093660673605799936 2019-02-07 18:59:58 -0400 <PeterMarcello3> @realDonaldTrump I liked the alternate track much better where they took out your words and replaced them with the truth!
1093660672800575493 2019-02-07 18:59:58 -0400 <leesa_fl> @ChatByCC @realDonaldTrump Yes very calm. Has great ideas. Very Presidential and looked great at SOTU. Loved his speech. He’s just what USA needs right now. Strong and tough. Creative and brings new ideas. Pro-life amongst all the evil. Wants to put $ into childhood cancer. ❤️
1093660671923945472 2019-02-07 18:59:58 -0400 <Skywtchr> Unless the reason is to eliminate all those not deemed worthy, the disabled? @realDonaldTrump  @CDCgov  #DEA and the rest of the alphabet soup creating more suffering for those who suffer enough.
1093660671848239104 2019-02-07 18:59:58 -0400 <Applan69> @NikiFontaine @EmmaKennedy @realDonaldTrump When I Google "idiot" and select images, nine of the first ten are of Donald Trump. I can't find any Obama crimes though.
1093660671831695360 2019-02-07 18:59:58 -0400 <ALT351> @TheDemCoalition Damn! Did they really do that? #ImpeachTrump #ImpeachTheMF #Impeach45 #TRUMP  #TrumpRussia  #TrumpCrimeFamily  #TrumpShutdown  #TrumpCrimeSyndicate  #VoteBlue #NoWallEver #TraitorTrump @realDonaldTrump @senatemajldr @SpeakerPelosi
1093660671286411267 2019-02-07 18:59:57 -0400 <Mobyypower> @Jellicus1 @ltnldy805 @realDonaldTrump American politics is embarrassing, whenever Trump mentioned Border enforcement in his speech, the Dems never clapped although they had been pro border security/ wall before Trump. Even Obama voted for a border wall at one point. Shameful.
1093660671198330880 2019-02-07 18:59:57 -0400 <PaulMiller1313> @eugenegu @realDonaldTrump Agreed. Trump and his régime should all be charged with crimes against humanity.
1093660670917308417 2019-02-07 18:59:57 -0400 <IamRichyP1> @realDonaldTrump It’s not harassment, as only dictators are upset by legal due process, and this is exactly why there are 3 branches of government
1093660668153262081 2019-02-07 18:59:57 -0400 <PerriPonders> @realDonaldTrump You can't even stand up to politicians or reporters, God help us if we have troubles with a foreign nation.  Will you run to your safe space?
1093660667586973697 2019-02-07 18:59:57 -0400 <Randy8006> @realDonaldTrump I think Stormy Daniels might have something to say about the global and prosperity initiative.
1093660666676895744 2019-02-07 18:59:56 -0400 <chefbarnhouse> @realDonaldTrump It's called DEMOCRACY.  You're an asset to the Kremlin. Conspiracy against the United States of America is a significant crime.  You're going to prison.  #MuellerIsComingForYou
1093660663925358598 2019-02-07 18:59:56 -0400 <LilRdVet2> @realDonaldTrump  https://t.co/JsvLmXLE8I
1093660663300276224 2019-02-07 18:59:56 -0400 <LeRoyInSB> @realDonaldTrump glad to see your sorry butt squirm
1093660661937250304 2019-02-07 18:59:55 -0400 <CharlesKOrr> @realDonaldTrump Your daughter grabbed your phone again, didn’t she?
1093660659131260928 2019-02-07 18:59:55 -0400 <bobbiellen> @realDonaldTrump Psst...women have already fought for and earned our rights SHE was the one defending your sexual assaults, so she will NEVER speak for me. Besides, what does trust fund Barbie know about STRUGGLING???#DoesntSpeak4Me
1093660657860390912 2019-02-07 18:59:54 -0400 <yusmi05> @Almagro_OEA2015 @marcorubio @VP @mike_pence @AmbJohnBolton @SecPompeo Esto que muestra la caricatura, es la pura realidad de lo que nos está pasando! Hasta cuando darán más dilaciones? POR FAVOR se los suplicamos ayúdennos YA! La narcotirania se está oxigenando @realDonaldTrump
1093660654614003717 2019-02-07 18:59:53 -0400 <Johnny88Hara> @gennie39143 @GovMikeHuckabee @IngrahamAngle @POTUS @realDonaldTrump Trump never used birth control with all of his affairs. By the sounds of it there were lots, some had to get pregnant. Polygraph him.
1093660654190260224 2019-02-07 18:59:53 -0400 <SteveSnow29> @realDonaldTrump Was that English?
1093660653796106241 2019-02-07 18:59:53 -0400 <pullenpoynt1> @realDonaldTrump Quick put the foil hat back on - they are trying to figure out your shoe size
1093660650981810177 2019-02-07 18:59:53 -0400 <tammaye> @realDonaldTrump @WhiteHouse ooh look everyone Donnie did a memo
1093660650880958464 2019-02-07 18:59:53 -0400 <DesertPrimrose> @realDonaldTrump What is wrong with this idiot, pretending to be president?   Wendy Sherman: Kushner backchannel defense 'took my breath away'  https://t.co/SIjZX8fxaK via @msnbc
1093660648926400513 2019-02-07 18:59:52 -0400 <BidenHarrisWon2> @realDonaldTrump Hypocrite. You are the BEST harasser. That’s not a good thing. You harassed Obama, Hillary, Bill, Schumer, Sessions, Cohen, women. I’d shut up if I were you.
1093660648733593601 2019-02-07 18:59:52 -0400 <Josef08770924> @Josef08770924's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.
1093660648599367682 2019-02-07 18:59:52 -0400 <DausyQ> @realDonaldTrump Prison for you.
1093660646892277765 2019-02-07 18:59:52 -0400 <luvredsox13> @realDonaldTrump You have no clue about what you signed!!
1093660646607122432 2019-02-07 18:59:52 -0400 <willyangeloffi1> I don’t usually watch @cnn but I tune in every once in a while to see watch garbage they’re spewing. I have to say the moon could be falling from space on its way to destroy earth and @cnn would be talking about the loony conspiracy theories about @realDonaldTrump
1093660643994095616 2019-02-07 18:59:51 -0400 <PeezyMs> @1887Coltfan @cutlerken71 @TalbertSwan @justin_cooper11 @coolcam101 @realDonaldTrump You are literally dumb as ..... oh never mind you support 45. I’m wasting my time 😂. I’m muting you now. I’d rather play in traffic than to continue this 1st grade dialogue oh heck... preschool talk. See what I did there.. 😂😂😂
1093660643406827520 2019-02-07 18:59:51 -0400 <BobtheVIking2> @bexy11 @armourofagod @realDonaldTrump Bro it really isn't that bad. This country is like a screaming, crying baby that can't tell you what's wrong, you need to tone out the screaming and crying to truely assess the situation.
1093660642874220544 2019-02-07 18:59:51 -0400 <GetMooreH> @realDonaldTrump No worse than what the top Republican is doing to our country.   No different actually, racism and sexual assault. There you are in your glass house again.
1093660640978313219 2019-02-07 18:59:50 -0400 <BillEllson> @IssaHaddad_ @RealCandaceO @realDonaldTrump  https://t.co/qUUQxdEnvp  1945 election was during, not after the war.
1093660639162236935 2019-02-07 18:59:50 -0400 <duncanconnie98> @realDonaldTrump  @seanhannity  Where is the real Ruth? Sorry to keep asking but haven't got a response yet
1093660638843408384 2019-02-07 18:59:50 -0400 <lynn_micele> @HillReporter @realDonaldTrump Adam Schiff is doing his job, Congress has a responsibility to the American people to check you. I can’t wait until your base sees 1 you don’t pay taxes and 2 you are not a millionaire, put your big boy pants on because Congress doesn’t have executive time.
1093660638155464704 2019-02-07 18:59:50 -0400 <Drhusker661> @mommags2579 @Chevychic82 @tonka9754 @1175_Susan @MiaFarrow @realDonaldTrump @RepAdamSchiff Wow, Marie your spelling is as fluent as Donnies tirades. Wait did I use too many syllables in those words?
1093660638063280129 2019-02-07 18:59:50 -0400 <robbie_robbi1> @EdKrassen @realDonaldTrump Here u r again, too afraid to show your eyes MR BOT?
1093660636146515968 2019-02-07 18:59:49 -0400 <khourymurphy5> @realDonaldTrump 🍊🤡🍔
1093660633495756800 2019-02-07 18:59:48 -0400 <Maebell55506380> @BMcAdory9 @di_plora @LazyMeatball @realDonaldTrump She is rude, childish,causing distraction from the Presidents speech. How utterly embarrassing to be her!
1093660632510025729 2019-02-07 18:59:48 -0400 <fussal> @Wendilea8 @realDonaldTrump photo op...
