1049086968011939840 2018-10-07 19:59:58 -0400 <VStewartNYC> @julio94940797 @BrettKavanaugh @realDonaldTrump  https://t.co/SnPIe57AHP
1049086962982903809 2018-10-07 19:59:57 -0400 <bananaman3m> @realDonaldTrump @SecPompeo  https://t.co/Xd38UDYRre
1049086959237451782 2018-10-07 19:59:56 -0400 <ssharpie61> @realDonaldTrump “We went from ‘We the People ‘ to ‘Me the President ‘.” - Colin Powell
1049086958176092160 2018-10-07 19:59:56 -0400 <SusanWi31620743> @elizabethforma @realDonaldTrump Aww, Liz. Why you say things that are not true. You speak with forked tongue!
1049086957463248896 2018-10-07 19:59:56 -0400 <CobYanRa> @nytimes Dear New York Times you not wining with @realDonaldTrump  stop crying ! Stop fake news ! Tell us what is your  next fake news  regarding his dad? Oh maybe you say  he was illegal immigrant :(
1049086954216861696 2018-10-07 19:59:55 -0400 <valkyrie_hanna> @Vilda16161973 @ErinBadger1 @EJDuboisL7444 @realDonaldTrump @SecPompeo The fact that you think that is all he did shows how divorced you are from reality.  There are 4 credible allegations of sexual assault against him.  And there are over 40 witnesses the FBI never spoke to.
1049086953759678464 2018-10-07 19:59:55 -0400 <85Dromie> @realDonaldTrump  https://t.co/51akjBiYZt
1049086949854732289 2018-10-07 19:59:54 -0400 <TimWebbsite> @realDonaldTrump You are the one ripping apart the DOJ and the FBI.  You have no use for the rule of law so you don’t get to claim that you are for it.
1049086946373525505 2018-10-07 19:59:53 -0400 <chrsbyr> @realDonaldTrump What do I know
1049086944343412736 2018-10-07 19:59:53 -0400 <corvidgal> @elizabethforma @realDonaldTrump I’m with you!
1049086944209252352 2018-10-07 19:59:53 -0400 <KatBonesCrazy> @realDonaldTrump Give me a break!!!!!!!
1049086942665629697 2018-10-07 19:59:52 -0400 <JailRat40> @jcamillegray @MichaelAvenatti @realDonaldTrump 👍
1049086942359539713 2018-10-07 19:59:52 -0400 <kelleysher> #KavanaughConfirmed  so let it go people and don't let #Democrats spend any more of taxpayers money on this nonsense! Vote #Republican so  all the good @realDonaldTrump has done for our Country is not undone! He truly is #MAGA.  #BuildThatWall
1049086942195855360 2018-10-07 19:59:52 -0400 <Manuel73424045> @realDonaldTrump Lol
1049086940786708480 2018-10-07 19:59:52 -0400 <TileKevin> @PressSec @realDonaldTrump They’re never going to go away. But fortunately, we have a strong president. He won’t let the left hatred push him off course. Red Wave is coming
1049086940522450944 2018-10-07 19:59:52 -0400 <Ralph82916172> @OliverMcGee @Jali_Cat @realDonaldTrump It must end now. It's a waste of the tax payers money, and I'm sick and tired of the criminalized democrap party having access to it.
1049086940174213120 2018-10-07 19:59:52 -0400 <klingensmith_j> @realDonaldTrump @SecPompeo To continue your #WannaBeDictator lessons! Your love affairs are demented and sick.
1049086934352445442 2018-10-07 19:59:50 -0400 <imaworkingactor> @davidmweissman @Streganonna77 @realDonaldTrump Im glad you have come to realize that he will never be presidential material. Being from NY you should have known he's always been a charlatan. Always. Now that you know better please do better next election.  I thank you for tweeting.
1049086932112760832 2018-10-07 19:59:50 -0400 <steveATonOfClay> @realDonaldTrump And you don't let a crook pick his own jurist. Oh wait. Unless that crook is Donald J Trump. And "you" is 50 senators who don't seem to know what their job is anymore.
1049086930313461760 2018-10-07 19:59:49 -0400 <GrantTont> @realDonaldTrump Re. SNL: You're not man enough to laugh at yourself... or smart enough to realize that the Dems aren't the only ones laughing at you ... everyone in the White House is laughing at you behind your back ..
1049086926710554624 2018-10-07 19:59:49 -0400 <Nibiru7121973> @RomneyJudith @realDonaldTrump @SecPompeo Choosing to "ignore". Indicative..  key words  like "if".  Either way the truth is the truth and way...
1049086925502644224 2018-10-07 19:59:48 -0400 <TyQ_Waking_Now> @realDonaldTrump  https://t.co/CRE9Kn7fd6 Understand this is common practice for these criminals who are quickly losing all grasp on power and run toward judgement despite the squirming! #Qanon #MAGA #WWG1WGA @TyQ_Waking_Now
1049086925448122368 2018-10-07 19:59:48 -0400 <_nurse_steph_> @PolitiFact @realDonaldTrump This VA nurse of 10 years confirms this is fake news. 🤦🏽‍♀️
