1188968686645841920 2019-10-28 19:59:59 -0400 <LindsaySue2> @realDonaldTrump This like is for the dog. Just so we’re clear, it’s for the dog
1188968685412737024 2019-10-28 19:59:59 -0400 <RobertK25802325> @realDonaldTrump Speaking of weeping, it looked like you were crying after the fans booed you at the World Series game Sunday night. Did you whimper too?
1188968684896710657 2019-10-28 19:59:59 -0400 <Alwaystruthseek> @GOPLeader @realDonaldTrump Aren't you supposed to state that Trump is a genius or that he is too smart for everyone? Aren't you supposed to call him "Sir" or show him respect in your posts? He's reading these. He's looking for your due diligence in showing him honor. You'd better shape up. His excellency?
1188968684066394113 2019-10-28 19:59:58 -0400 <MaddiMatilda> @realDonaldTrump Here's a little surprise for you. They cannot impeach you if you have done nothing wrong.  Also, you are supposed to tell OUR gov. about this stuff BEFORE anyone else finds out. Those are the rules. Adam Schiff is doing his job, and doing it rather well. Buh-Bye
1188968682476593152 2019-10-28 19:59:58 -0400 <MsLuciaR> @realDonaldTrump Say the names of the children in concentration camps. Say the names of their parents. Say the names of those killed in mass shootings. Say the names of black/brown people killed by police. Say the names of children who will go hungry due to cuts in free meal programs.
1188968682065559552 2019-10-28 19:59:58 -0400 <Ruby2sday7> @silentsnows @steph93065 @realDonaldTrump @CalFreedomMom @CarmineZozzora @LindaSuhler @Braveheart_USA @Stonewall_77 And supported mainly by Russia.
1188968682040348672 2019-10-28 19:59:58 -0400 <BVaags> @laker477 @realDonaldTrump Girl, it's a girl 😋
1188968682023784450 2019-10-28 19:59:58 -0400 <KevinWi52059035> @realDonaldTrump That's not why you are being impeached! OMG do we have to spell it out for you your being impeached for Violating the Constitution Duh!
1188968680752734208 2019-10-28 19:59:58 -0400 <FrankG1194> @Navy_Lady_45 @realDonaldTrump @BreitbartNews Susan and Barry would have sent him a warning through the press. FYI. That administration put a stop on taking him out in the past. That administration were and are treasonous.
1188968679951585280 2019-10-28 19:59:57 -0400 <Brian6125> @LindseyGrahamSC  my god are you stretching to come up with a list on Susan Rice, most of those were good deals or caused by George W. No list competes with your hypocracy about @realDonaldTrump
1188968677439393797 2019-10-28 19:59:57 -0400 <notmyviews> @gloglome @JordanUhl @realDonaldTrump @JempsonJennifer  https://t.co/oHROzLRxF8
1188968675832778757 2019-10-28 19:59:56 -0400 <MarcosD02144955> @realDonaldTrump No, ignorant so called president, notifying the congress leaders was your duty. It is protocol. It is mandatory. You were not elected to decide like a sore teenager who you had to notify or not.
1188968675694411776 2019-10-28 19:59:56 -0400 <TheWondersNatur> @realDonaldTrump TRIGGERED: Crowd Boos Trump, Chants "Lock Him Up" at World Series  https://t.co/N6lWTV0rdl via @YouTube #LockHimUp @realDonaldTrump
1188968675430322176 2019-10-28 19:59:56 -0400 <EmptyTheory1> @realDonaldTrump Yang Gang is Coming  #YangGang #YangGang2020
1188968674729873414 2019-10-28 19:59:56 -0400 <jayhawk5th> @realDonaldTrump Dog's name must be Barack and Trump doesn't want to share the limelight with another Barack.
1188968672049729537 2019-10-28 19:59:56 -0400 <DarlstephL> @RepDougCollins @realDonaldTrump Most Americans, including many non rabid Dems will recognize this.
