1100546046554329088 2019-02-26 18:59:59 -0400 <peterThong3> @realDonaldTrump  https://t.co/wZP9DklEsd
1100546046344773632 2019-02-26 18:59:59 -0400 <JoanneEWhitt3> @shanehardy58 @realDonaldTrump I do agree with your post message!
1100546046185426949 2019-02-26 18:59:59 -0400 <brandy_mancari> @msngryanks @aarrrgggghhhhh3 @realDonaldTrump I'll bet you it doesn't. If I'm right - you say one thing nice about Trump. If I'm wrong. I want to hear your solution. Because the Democrats have lost their minds.
1100546046126710785 2019-02-26 18:59:59 -0400 <SimplySarati> @BBest123456 @realDonaldTrump “You are my refuge and my shield; your word is my source of hope.” Psalms 119:114 NLT  I have been given reasons to HOPE thanks to Jesus Christ! Do you? Because you are hopeless without God. And maybe your okay with it but what a shame it will be for you to keep a hardened heart.
1100546044767678465 2019-02-26 18:59:58 -0400 <cjtripnewton> Read this well-written and balanced piece from @davidfrench at #conservative @NRO:  Michael Cohen Testimony Preview: How to Evaluate What He Will Say  https://t.co/stidohtyfW @POTUS @realDonaldTrump @GOP
1100546042615992321 2019-02-26 18:59:58 -0400 <CentzCmon> @sandincreek @realDonaldTrump When we change the  LAWS enacted by previous administrations- change the LAWS  and the outcome will be different.
1100546041466757121 2019-02-26 18:59:58 -0400 <Rene67035946> @GOP @Straitland @realDonaldTrump Same thing will happen to Donny.
1100546040321662976 2019-02-26 18:59:57 -0400 <TruthHammer5> @DailyCaller You are aware the lies, so conveniently used to discredit Cohen were to protect and at the bequest of @realDonaldTrump  Don’t forget @RudyGiuliani disclosing the little prep meeting before the Congress appearance 🤔 please carry on with your distraction
1100546040032182272 2019-02-26 18:59:57 -0400 <eyerighton18> @realDonaldTrump VETO! Executive Action necessary #StopTheInvasion
1100546039956688896 2019-02-26 18:59:57 -0400 <clackerd> @GOP @realDonaldTrump He must have some bad bad things to say based on this full court press on display across the conservative world today.
1100546039797305344 2019-02-26 18:59:57 -0400 <giladb87> @mattgaetz @MichaelCohen212 Ur a #bully. I wish as a #congressman you behaved better than a middle school bully... ps- if you still believe in your man (@realDonaldTrump) you should believe that the #truth will out even without the smear campaign.
1100546037503193090 2019-02-26 18:59:57 -0400 <bheinen1_brenda> @realDonaldTrump Dear President Trump, Thank you so much for taking a stand on this.  This is truly barbaric and evil!  If we can't take a stand for the most innocent and vulnerable,who or what is next.  It grates me that tax dollars fund this and Planned Parenthood profits from it!!
1100546036081348608 2019-02-26 18:59:56 -0400 <JulieKay0914> @DrDenaGrayson @realDonaldTrump @RobertMaguire_ @aliasvaughn Tomorrow is going to be on 🔥🔥🔥
1100546031077507073 2019-02-26 18:59:55 -0400 <TruthSoldier10> @TomiLahren @realDonaldTrump Trump does nothing but lie. Nobody's Interested in his BS, shortbus! Tomi "shortbus" Lahren!
1100546029697593346 2019-02-26 18:59:55 -0400 <JosephAColburn1> @Iskailow1 @JacobAWohl @realDonaldTrump The evil one had cast so much deception over the people and use their own hate, and the twisted media which casted fourth with sedition and heresy, too late for them to back it up, now faced with a daunting truth of what they had done. Yeshua 🔥 exposing them for what they are!
1100546028556730369 2019-02-26 18:59:55 -0400 <IanSmit06743705> @GrahamAllen_1 @KamalaHarris @realDonaldTrump Democrats are just fighting to be the sacrificial lamb in 2020.
1100546028460220416 2019-02-26 18:59:54 -0400 <Sengaharas>  https://t.co/u6Oz2oSgNn @realDonaldTrump
1100546026916773888 2019-02-26 18:59:54 -0400 <MSMS247> @Aony6377 @martinblank1969 @BagManX1965 @EdKrassen @realDonaldTrump Obama like every other President was not perfect. Of course bad decisions were made but most were looking out for the best interest of America. I don’t believe any one of them allegedly worked as a spy for other countries. Trump is all about himself &amp; possibly working for Russia.
1100546025134178304 2019-02-26 18:59:54 -0400 <master55240179> @CongressmanHice @POTUS @WhiteHouse @realDonaldTrump Great job Mr. Hice supporting our president!
1100546024806989824 2019-02-26 18:59:54 -0400 <ReluctantWarri2> @GOP @realDonaldTrump Trump world has always and still consists of liars, cheats, grifters, con men and criminals. He is the same.
1100546024337215488 2019-02-26 18:59:54 -0400 <badboy328526> @Ineedanswe @nytimes @realDonaldTrump The war was on before Mr. Trump became your President ! Live with it !
1100546021342367744 2019-02-26 18:59:53 -0400 <JayGurl73> @adamcbest @mattgaetz @MichaelCohen212 @realDonaldTrump
1100546019098390528 2019-02-26 18:59:52 -0400 <f2c6bd03a2dc496> @Absolutesss @treasonstickers @realDonaldTrump Clinton avoided the draft just like Trump. Both men are a disgrace.
1100546017798238210 2019-02-26 18:59:52 -0400 <Whig0> @Meeeech_L @KellyTownsend11 @realDonaldTrump This thread is about your daughter ... that you cited and brought up...
1100546016149950464 2019-02-26 18:59:52 -0400 <gretathegreek> @jfunds1 @KayColesJames @KatrinaPierson @realDonaldTrump Come legally! If not you are a criminal!
1100546015868796928 2019-02-26 18:59:51 -0400 <michelemccarrol> @realDonaldTrump Liar
1100546015541846016 2019-02-26 18:59:51 -0400 <RunBaboRun> @realDonaldTrump Please stay over there.
1100546013713129472 2019-02-26 18:59:51 -0400 <paul80211841> @SunnyMegatron @realDonaldTrump Uncle George for president
1100546013134274567 2019-02-26 18:59:51 -0400 <LillyVBA> @PPact @realDonaldTrump #prolife
1100546010542161920 2019-02-26 18:59:50 -0400 <TonyHal41129631> @PressSec @realDonaldTrump Much Respect to ms.SANDERS  thank you for your service integrity &amp; bravery
1100546007602024449 2019-02-26 18:59:50 -0400 <BobNeff> @realDonaldTrump Keep up the great work Mr. President.  We the people stand with you
1100546005517385734 2019-02-26 18:59:49 -0400 <MaryfrancesDot1> I agree with Senator @tedcruz: El Chapo's ill-gotten gains should go to fixing the problem and securing the border. Support Ted's #ELCHAPOAct to help @realdonaldtrump #BUILDTHEWALL:  https://t.co/vuD1CO5Cwi
1100546002245861377 2019-02-26 18:59:48 -0400 <Hamidalichugh10> @realDonaldTrump ple ple ple trump quickly.i have no time
1100546002002628608 2019-02-26 18:59:48 -0400 <phidot2> @BrianKarem @Barbie892 @realDonaldTrump If they love you so much why don't you stay there permanently.
1100546000874283010 2019-02-26 18:59:48 -0400 <rekkaj1450> @bgregory091 @AOC @realDonaldTrump I know @realDonaldTrump is already the greatest troll in POTUS history but this would make him the greatest troll to ever live....period 😂😂😂
1100546000836382720 2019-02-26 18:59:48 -0400 <CEOCCFG> @3183belair @realDonaldTrump Yes🌏🌏❤❤👍👍in the whole  universe
1100546000345653248 2019-02-26 18:59:48 -0400 <Choobs64> @realDonaldTrump Prayers and blessings Sir. A whole generations of humans longing for better deal.
1100545999922184195 2019-02-26 18:59:48 -0400 <Janet0715> @realDonaldTrump Fake news 😡
1100545998764560389 2019-02-26 18:59:47 -0400 <Rachelle_jdh> @ruxcytbl @stevep1212 @gina21764 @steph93065 @realDonaldTrump @JussieSmollett For you to simplify an Act without the entire history and evolution of it is as well as other housing acts involved is well, simple. It’s more complicated than that and the myth of this act or Bill Clinton being the cause has been debunked.
1100545998529544193 2019-02-26 18:59:47 -0400 <Deermorrison1> @GOP @realDonaldTrump Hehehehehehehe,  so was he a lier then and telling the truth now,  or the other way around?
1100545993064566784 2019-02-26 18:59:46 -0400 <Tiberius_Philo> @Ctracymock @ChrisMurphyCT @realDonaldTrump red dawn wolverines movie -    https://t.co/7bdM8CqvHq  https://t.co/is0BmG8pkW
1100545991604953092 2019-02-26 18:59:46 -0400 <MayceBee> @realDonaldTrump I never thought I could hate a stranger this much but,.. here we are.
1100545990770245638 2019-02-26 18:59:46 -0400 <saudade_8404> @realDonaldTrump  https://t.co/bzrnBocYmA
1100545990040453121 2019-02-26 18:59:45 -0400 <Ron_Christie> This is going to be a Wild West week in politics.  With the House having passed a bill disapproving @realDonaldTrump emergency declaration, will Senate follow suit?  I have my doubts but could lead to 1st veto.  Did anyone say anything about #MichaelCohen testifying? #tcot
1100545989348417536 2019-02-26 18:59:45 -0400 <Alex35491681> @PressSec @realDonaldTrump @IvankaTrump LIES!!LIES!!!LIES!!!
1100545988312383488 2019-02-26 18:59:45 -0400 <Nalights1> @jimsciutto I think that counts as a bipartisan rebuke of Trumps plan. @realDonaldTrump
1100545984604426240 2019-02-26 18:59:44 -0400 <blogboyzHQ> @DrDenaGrayson @realDonaldTrump @RobertMaguire_ @aliasvaughn  https://t.co/uFOsljmgHg
1100545982490730496 2019-02-26 18:59:44 -0400 <wefishhm70> @POTUS @realDonaldTrump @VP @SecretarySonny @DOIDepSec @DOIPressSec @RepGosar @RepWesterman @JeffSmalls @RepTipton @RepPeteStauber @RepTomEmmer @RepLaMalfa @RepLizCheney @RepMcClintock @replouiegohmert @RepAndyBiggsAZ @MarkAmodeiNV2 @repdonyoung @UnitedMiningAl
1100545977772056576 2019-02-26 18:59:42 -0400 <Jorgelibremente> @GildateleSUR @ElOjoChurrinche @Almagro_OEA2015 @realDonaldTrump Triste. Seguro con Gobierno Demócrata-Republicano. Dios se apiade de ellos.
1100545975465082880 2019-02-26 18:59:42 -0400 <ChipzNgiggles> @ARTEM_KLYUSHIN @realDonaldTrump Wrong.  https://t.co/0KgG3pSLFe
1100545975339360256 2019-02-26 18:59:42 -0400 <m8omca> @haceminutos @realDonaldTrump @VP @marcorubio @jguaido Y que hace este tipejo en la onu..??? el ya no deberia entrar aya ni ser canciller nada.. es complice de la ruina y desgracia de Vzla..¡¡
1100545973888143362 2019-02-26 18:59:41 -0400 <HunsakerJoshua> @steph93065 @BrianSelvaggio @realDonaldTrump No. If he cured cancer, I would ease up.
