878402287688974336 2017-06-23 19:59:59 -0400 <b_sumarokov> @realDonaldTrump @POTUS VERY TIME !!! VERY NICE !!!
878402277542830080 2017-06-23 19:59:57 -0400 <denial_land> @realDonaldTrump putting Hair dyes back in business.  https://t.co/etAZuX8Mfa
878402277488422912 2017-06-23 19:59:57 -0400 <RGCC> @realDonaldTrump Mr. Trump, please do something for Venezuela.  Help Venezuela!
878402274682339329 2017-06-23 19:59:56 -0400 <PeeOTUS_45> @ALT_uscis @realDonaldTrump Minor(ities)?
878402266482393088 2017-06-23 19:59:54 -0400 <Randy_watson123> @9NewsAUS @realDonaldTrump Grow up people .. since whe  did anyone take this overrated fool seriously ..
878402266461548544 2017-06-23 19:59:54 -0400 <animalrescuer08> @realDonaldTrump  What no comments on this Donald?  #FakePresident  https://t.co/oHdQTd7zJ6
878402265261850624 2017-06-23 19:59:54 -0400 <Winkalishis> @realDonaldTrump ...in cutting taxes for the financially privileged. How about those of us who live from paycheck 2 Paycheck? For whom...
878402263794028548 2017-06-23 19:59:54 -0400 <AdavisWilliams> Not only #LiarInChief but an embarrassing one as well.  Try @MerriamWebster @realDonaldTrump Srsly, it's free.  https://t.co/17a2DIWW0T
878402260128190468 2017-06-23 19:59:53 -0400 <ShakespeareOfBS> @realDonaldTrump US law requires that flags purchased by the federal gov't are made of at least 50% American materials. Why not 100%? #MAGA
878402258563616768 2017-06-23 19:59:53 -0400 <susanabruschi> @realDonaldTrump @marcorubio #sosvenezuela@ultimatunalregimen. No le den asilo político. Es un torturador de estudiantes!!!!  https://t.co/xmXgrgDN5s
878402258144301056 2017-06-23 19:59:52 -0400 <elegirl04> @immigrant4trump @realDonaldTrump @Disney That's The sad part. The idiot in Chief can't even blame his behavior on alcohol or drugs.
878402258068791300 2017-06-23 19:59:52 -0400 <cutie2daniel> @Joy_Villa Keep on going from Miami, Florida ! #AMERICAFIRST #AmericanHeroes AmericanHeroes #MAGA #ProudAmerican @realDonaldTrump @POTUS  https://t.co/Ggw4Q8R4X1
878402257363935233 2017-06-23 19:59:52 -0400 <KelleyLarionRie> @jtomsh @realDonaldTrump Yes I know exactly what I talk about. Facts.
878402253861908480 2017-06-23 19:59:51 -0400 <PatriciaRyan17> @katpurnicous @AWaltonWilliams @Librepenseur @jules_su @jerkstoreclerk_ @realDonaldTrump We accepted him, we didn't like him, but there was no denying he won
878402246484078593 2017-06-23 19:59:50 -0400 <socratesrocks> @SeriouslySandy1 @realDonaldTrump @LouDobbs @seanhannity The question is: WTF R they doing still working N Swamp? FLUSH SWAMP PULL THE PLUG OUT OF DRAIN; Geez something 😳🤔 Tired daily leaking drama
878402241404649473 2017-06-23 19:59:48 -0400 <mnorthamericaga> @joshgremillion @realDonaldTrump great picture finally a President who loves his country and can not be bought a true patriot
878402236442755072 2017-06-23 19:59:47 -0400 <erikscottdebie> Further proof that @realDonaldTrump has never seen a Spider-man film or read a comic: "With great power comes great responsibility."  https://t.co/xuaQrrhjPx
