1216872554020909057 2020-01-13 18:59:59 -0400 <41girls> @realDonaldTrump  https://t.co/tROgtAZq4X
1216872553655894016 2020-01-13 18:59:59 -0400 <Vote4theG> @Mandeplease @PhilosMillenius @ChrisJZullo @realDonaldTrump I tell her that no one is granting one of her ridiculous premises - because it's ridiculous.  She thinks, "Oh no! An actual intellectual argument! I must brand him as a fear monger!  We don't do intellectual argument here."
1216872553446346752 2020-01-13 18:59:59 -0400 <snmij1> @thedoggeneral1 @realDonaldTrump Did he take a white Sharpie and make little dots on all the WH windows?
1216872553421115392 2020-01-13 18:59:59 -0400 <military_spouse> @ofpolitics1 @realDonaldTrump Bwahahaha
1216872553337237504 2020-01-13 18:59:59 -0400 <Wrong_way_down> @MaryMeliz99 @FaridMedia @realDonaldTrump Propoganda? People are dying in the streets. You truly are a sick sick person. There’s a special place in hell for you.
1216872552619839488 2020-01-13 18:59:59 -0400 <sootkat> @BUS1NESSBAY @realDonaldTrump RUBY- LMAOSNOD
1216872552338866176 2020-01-13 18:59:59 -0400 <Susicuespin> @realDonaldTrump Says the person who leads the party that is trying to roll back the ACA!
1216872551634345985 2020-01-13 18:59:59 -0400 <sue_maier> @GOPChairwoman @LindaSuhler @realDonaldTrump @MikeBloomberg
1216872551596666881 2020-01-13 18:59:59 -0400 <pauldavidlobel1> @realDonaldTrump mr president I just heard there is 104 yr old ww2 vet from bret bier Fox News
1216872550241853444 2020-01-13 18:59:59 -0400 <XstianTaliban> @CaslerNoel @realDonaldTrump Where are the evangelicals now?  Praying for Trump?
1216872549516054528 2020-01-13 18:59:58 -0400 <leochner1> @Gaynor327 @BenJackd1 @Sekiryuutei20 @johnson20_j @realDonaldTrump The Constitution reflects and follows the Declaration.   Are you saying people dont have a right to life?
1216872548937490432 2020-01-13 18:59:58 -0400 <MeticulousHeart> While out playing golf, watching games, flying to Florida, there is a real need from Americans- basic human rights for water, food, electricity and @realDonaldTrump a #FakePresident get on your Fu**ing Air Force one and show your unpresidential face! @All100Senators #RemoveTrump
1216872547138011136 2020-01-13 18:59:58 -0400 <3YearLetterman> @realDonaldTrump Healthcare is mostly unnecessary. As a youth football coaching legend I’ve made players play on compound leg fractures, and they’re doing fine.
1216872546899058688 2020-01-13 18:59:58 -0400 <JonathanKeithF1> @KarynTurk @realDonaldTrump Felons can't VOTE, hon
1216872546445873152 2020-01-13 18:59:58 -0400 <SuperDaveO1> @dcexaminer @realDonaldTrump @SpeakerPelosi @AdamSchiff Because the Schiftthead #Schiff faked the Whistle Blower to set off this whole thing.  Just like Comey and the Dake Russian Dossier kicked off the Mueller investigation!!!
1216872545787379713 2020-01-13 18:59:57 -0400 <MrTommyCampbell> @realDonaldTrump How do you stand stronger than anyone when you are a bone spurs sufferer????
1216872545221271552 2020-01-13 18:59:57 -0400 <Ronylopez247> @realDonaldTrump MAKE AMERICA GREAT AGAIN!! 🇺🇸🇺🇸🇺🇸🇺🇸
1216872544638291971 2020-01-13 18:59:57 -0400 <HarrisWhitehat> @realDonaldTrump Impeached
1216872543459643392 2020-01-13 18:59:57 -0400 <DeArmanJim> @realDonaldTrump You and your lies need to stop. Your administration is in court suing to stop coverage to people.  https://t.co/xRR5XXfmOy
1216872543040294913 2020-01-13 18:59:57 -0400 <lqqkin4> @ILoveLamppppppp @realDonaldTrump He could... He could be more polished and politically correct; less grade school play ground bully&amp;more of a public speaker, however, that would make him a "politician."  https://t.co/KZS5pV2awh
1216872542222405632 2020-01-13 18:59:57 -0400 <Skooba18> @roberthermanlaw @devinslorah @Shannonwas2 @Revsparrow @real_defender @realDonaldTrump Absolutely, That's where the term "draining the swamp" comes from...
1216872542100697088 2020-01-13 18:59:57 -0400 <timgoode7> @BarbaraRedgate @realcatdad23 @CBS_Herridge @KerriKupecDOJ @realDonaldTrump @POTUS @GOP @DevinNunes Not good enough...to the gallows for those involved in the coup...
1216872542050443265 2020-01-13 18:59:57 -0400 <republicansheep> @KerriKupecDOJ @realDonaldTrump Barr says that because you own him.
1216872541911801856 2020-01-13 18:59:57 -0400 <Swizzlestick8> @WhiteHouse @realDonaldTrump  https://t.co/31HlcHTIxf
1216872541383323648 2020-01-13 18:59:56 -0400 <Katiasalti> @realDonaldTrump He was the one that blocked witness
1216872540095893504 2020-01-13 18:59:56 -0400 <MarcelynJandre1> @JohnC5359 @but_abta @WhiteHouse @realDonaldTrump This is old Dem gossip.  Give it up 🇺🇸🇺🇸🇺🇸
1216872539231784960 2020-01-13 18:59:56 -0400 <Woodguy11> @realDonaldTrump Then why are you fighting the pre-existing conditions clause in court?
1216872538774466560 2020-01-13 18:59:56 -0400 <vevgar> @realDonaldTrump 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🖕🏽
1216872538531385346 2020-01-13 18:59:56 -0400 <speexvocon> @realDonaldTrump You are to healthcare what cancer is to the human body.
1216872538241949699 2020-01-13 18:59:56 -0400 <forwardrate> @realDonaldTrump Thank you Mr. President! The cost of healthcare has not gone up at all in the past couple years, either!
1216872537050746880 2020-01-13 18:59:55 -0400 <Paula_tikz> @realDonaldTrump He's trolling on this all day.
1216872536413286400 2020-01-13 18:59:55 -0400 <LLPoliticsNews> @IndependentReb2 @realDonaldTrump  https://t.co/vhVlKQComn
1216872535947481088 2020-01-13 18:59:55 -0400 <BobBrigham> @realDonaldTrump That is a lie.  You're fighting in court to end protections for pre-existing conditions.  Why are you always lying? Are you ashamed of your record?
1216872535096283136 2020-01-13 18:59:55 -0400 <debralynnlazar> @realDonaldTrump  https://t.co/j1pOMviHiP
1216872535041724416 2020-01-13 18:59:55 -0400 <ThatGreatPerso1> @bud_cann @girlforce45 @realDonaldTrump We can count on the corruption of the DNC to not give Bernie the nomination lol
1216872534726959104 2020-01-13 18:59:55 -0400 <SskUCRFqxsFE10c> @WhiteHouse @POTUS @realDonaldTrump  https://t.co/hYKwIu5LG9
1216872533393276930 2020-01-13 18:59:55 -0400 <LilwskysChaos> @jvharris65 @realDonaldTrump Is he with someone he wants to impress?
1216872532890001408 2020-01-13 18:59:54 -0400 <DebraRn725> @bacchaus351 @hard_rep @DearlessPhantom @EnglishClarion @rrgrs @MrPetabyte @blalock_chas @kenesco91 @MakingItUpAsIG0 @henryhoehn @MusicInNYC @stephiek2156 @SiriusProd @bishop7679 @ScottPresler @realDonaldTrump Listen if your just not man enough to say it in plain English then don't say it at all.
1216872532432883715 2020-01-13 18:59:54 -0400 <ShoreLee5> @SenSchumer .@realDonaldTrump has already become the most vile, crude &amp; crass person to ever disgrace the office of President; and yet, he always finds a way to descend even lower. This is how he will be remembered FOREVERMORE. #TrumpImpeachmentLegacy  https://t.co/V6EKHKyav5
1216872532202217473 2020-01-13 18:59:54 -0400 <PaellaAndPie> @realDonaldTrump You’re a liar. I’m a type 1 diabetic. My insulin is $350 a vial. My pump was $16000. You don’t stand for any of us.
1216872532080377857 2020-01-13 18:59:54 -0400 <trcrotelli> @realDonaldTrump Wtf?
1216872530494967808 2020-01-13 18:59:54 -0400 <debbie_prinz> @maggiejuang1 @WhiteHouse @realDonaldTrump Maggie, your headed to the nearest military recruiter right?
1216872529006071809 2020-01-13 18:59:53 -0400 <Laborer88> @realDonaldTrump Then why has your administration been fighting in courts to eliminate the pre-existing conditions clauses from the ACA?
1216872528880205824 2020-01-13 18:59:53 -0400 <moremalarky> This!  @realDonaldTrump #IMPOTUS #ImpeachedForever
1216872528859189249 2020-01-13 18:59:53 -0400 <rachel5753> @realDonaldTrump If any of my students wrote such an immature and petty note. There would be heavy Consequences!!! How low. Trump is Gutter trash. He lives in a swamp. The lowest form of life. Where are the consequences??!!!
1216872528108494848 2020-01-13 18:59:53 -0400 <SherryAnders0n> @AskDesCamp @realDonaldTrump Nope!! #BestPresidentEver 🇺🇸
1216872527986937857 2020-01-13 18:59:53 -0400 <Jason23799371> @realDonaldTrump Thank you
1216872527110254592 2020-01-13 18:59:53 -0400 <noblindtrust> @RKJ65 @realDonaldTrump There is no doubt that lying is akin to breathing for Trump. But the lie reveals that he sees no problem with indenturing our troops to foreign governments. And he does need to be removed.
1216872527038992385 2020-01-13 18:59:53 -0400 <TXLADY7061> @JudicialWatch @CA72Voter @realDonaldTrump to the shrugging of DIFI  Pel0si  https://t.co/QLuEo8vOin
1216872525738758150 2020-01-13 18:59:53 -0400 <TheRealRazielah> @realDonaldTrump @RepLeeZeldin @Jim_Jordan @RepMarkMeadows @RepMattGaetz @CongressmanHice @claudiatenney @RepAndyBiggsAZ @RepBrianBabin @replouiegohmert @RepScottPerry @DesJarlaisTN04 @KeithRothfus! See thread for more information...
