1216510165664575488 2020-01-12 18:59:59 -0400 <abitedgy> @EzAsCoWa @marymar28207884 @realDonaldTrump #2A
1216510165584883712 2020-01-12 18:59:59 -0400 <USA_WINGMAN> @realDonaldTrump @DevinNunes @MariaBartiromo @FoxNews Also something that you can't make up: The SDNY has sealed indictments and arrest warrants on you. They are patiently waiting for you to be evicted from the people's house.
1216510164729286656 2020-01-12 18:59:59 -0400 <cjcFlint> @realDonaldTrump #Releasethetranscripts !  So far, you've only released a memo and a partial record of your call(s).  Regardless, you will forever always be known #Impeached45  https://t.co/y5UsLSfSbz
1216510163114450948 2020-01-12 18:59:59 -0400 <PaulRride1> @realDonaldTrump It is very sad
1216510162627854336 2020-01-12 18:59:59 -0400 <car54ol> @realDonaldTrump Blah, blah, blah. Reminds me of when you told Kim Jong-un that you wished we (folks in USA) listened as well as his citizens did. Of course, he kills dissenters...even in his family.
1216510161780727808 2020-01-12 18:59:58 -0400 <Lightmo94028872> @realDonaldTrump Why you don't say that for Iraqi government and restrain parties.... (dont kill your protesters)  Parliament and government aren't represent Iraqi people
1216510161352704000 2020-01-12 18:59:58 -0400 <DianaStirens> @realDonaldTrump @FoxNews A bunch of loosers
1216510159486439427 2020-01-12 18:59:58 -0400 <norcalsamy> @realDonaldTrump Only ONE HOAX Exists and that is Donald Trump aka Treasonous Trump.
1216510158165049344 2020-01-12 18:59:58 -0400 <Diabolic600> @realDonaldTrump  https://t.co/SZtkx6Qxtu
1216510156466544641 2020-01-12 18:59:57 -0400 <Kush010101> @real_defender @realDonaldTrump Great president at making daft statements so is the loser the worst football team from a Lousy State.
1216510156361605120 2020-01-12 18:59:57 -0400 <Jammie93005446> Lies, lies and only lies. They can only try outvote @realDonaldTrump !!
1216510155640184832 2020-01-12 18:59:57 -0400 <Crazygirlcandie> @realDonaldTrump You don't kill a guy..then except to talk to his people...you murderer
1216510154562248705 2020-01-12 18:59:57 -0400 <BigShaq> @litshapez @RsLongshot15 @realDonaldTrump I’m just a fan account of the mighty @XS_11official who plays for Liverpool, same to yourself bro, you really made my day :) Hope life works out for you too man!
1216510154255941632 2020-01-12 18:59:57 -0400 <simplysmay> @itsJeffTiedrich @realDonaldTrump I WANT TO!!! Please pick me!!
1216510153467604993 2020-01-12 18:59:56 -0400 <rawheele2002> @realDonaldTrump @GOPLeader @GOP @SenateGOP @RepMarkMeadows @SteveScalise @RepDougCollins @RepLizCheney @LindseyGrahamSC @mattgaetz #TrumpResignNow  https://t.co/R6KBBRYoDc
1216510153043927041 2020-01-12 18:59:56 -0400 <jeannefisher17> @realDonaldTrump National Security Advisor—-you mean sycophant O’Brien—the one you chose because he “looked the part?” You mean the same one that rescued A$AP Rocky from Sweden and did such a swell job?  I can’t believe I had to write that to show its ridiculousness.
1216510152548999168 2020-01-12 18:59:56 -0400 <lillysi65> @realDonaldTrump  https://t.co/aie9YCzct1
1216510152548982784 2020-01-12 18:59:56 -0400 <Lilianaqkemp12> @carogotita @POTUS @realDonaldTrump @jairbolsonaro @matteosalvinimi @sebastianpinera Qué porquerías.. no comprendo el grado de idiotez al que llegan estos hijos del mismísimo Lucifer, con tal de ver su país destruido, y peor con un Presidente sin cojones.. qué desastre!
1216510152356089857 2020-01-12 18:59:56 -0400 <prof_hossam92> @realDonaldTrump dear, trump This terrorist Ahmed Al-Sheikh has nuclear weapons hidden by his friend Ayman Ashraf. I hope that you, Mr. President, will arrest them before the ess match and save the ahly fans from their evils  https://t.co/qTnfMOyqcx
1216510152070909952 2020-01-12 18:59:56 -0400 <Jahovafollower> @Gunowner1956 @TrumpWarRoom @realDonaldTrump TYPICAL DEMS IRANIAN SYMPATHIZERS ANTI-AMERICAN SOCIALISTS MARXIST COMMUNIST HATERS OF OUR RULE OF LAW AND CONSTITUTION 🇺🇸
1216510151466913793 2020-01-12 18:59:56 -0400 <Jesse12843754> @angie20172 @Synthetic_Gen @MatthewJshow @realDonaldTrump No worries it's not happening on our watch.
1216510151198478341 2020-01-12 18:59:56 -0400 <karencl95920756> @TrumpWarRoom @realDonaldTrump Well she has to keep it going until November the fool
1216510151118581760 2020-01-12 18:59:56 -0400 <mrprincebingo> @realDonaldTrump You did nothing wrong in your dreams. #Delusion
1216510150233796609 2020-01-12 18:59:56 -0400 <PanteaPeyvandi> @realDonaldTrump Thank you for your support 🙏🏻🌷
1216510149445193728 2020-01-12 18:59:55 -0400 <CathyJL11> @realDonaldTrump #ImpeachedForLife
1216510148870594561 2020-01-12 18:59:55 -0400 <NynvaT> @TrumpWarRoom @realDonaldTrump Pelosi had her day in the sun. Now it's time for her to step aside. Senate will do their job in their way. Think it will be more honest than hers and Schiffs. Let's move forward. We The People want this to end. We are her Boss!!
1216510147444576257 2020-01-12 18:59:55 -0400 <Cityboy4lifeRob> @catmartini53 @SpeakerPelosi @realDonaldTrump @RepAdamSchiff Just ask Ivanka I’m sure she knows quite well
1216510147008196608 2020-01-12 18:59:55 -0400 <arthurdenu> @realDonaldTrump No one thinks that, because that's neither a coherent sentence nor a reasonable thought at this point.  Take a nap.
1216510146924482560 2020-01-12 18:59:55 -0400 <JohnYuma> @realDonaldTrump Cool story, Spanky.  https://t.co/5YhIjpMFwn
1216510146542698499 2020-01-12 18:59:55 -0400 <OpresorL> @JuanJosAguiler7 @policia @realDonaldTrump Y según tú, ¿Que siente la policia? ¿Valentía? ¿Te cuento las veces que ante personas indefensas se lian a porrazos mientras que contra gente que les hace cara se cagan por la pata abajo? Si a eso le llamas tu ser hombre, gracias pero no, prefiero seguir siendo un niño
1216510145968136192 2020-01-12 18:59:55 -0400 <EmmandElle> @Tizluie @AADVANTAGEPAINT @realDonaldTrump I think she means in her lifetime. You can relax she looks pretty young.
1216510145137717248 2020-01-12 18:59:54 -0400 <JKPitts> @realDonaldTrump I thought you &amp; @StateDept have been tweeting all day about how you care about the Iranian people and you stand with them? This tweet proves you lied.  When will you demand Putin, MBS, Turkey &amp; NK not kill their protesters? #ImpeachedForLife
1216510144932171776 2020-01-12 18:59:54 -0400 <BeverlyCarter56> @CasperVDean @JennyGuice @realDonaldTrump Jenny is Jacob Wohl in disguise, isn't she?
1216510143262679040 2020-01-12 18:59:54 -0400 <liz_lrutecki> @realDonaldTrump Funny how you project in all your posts. Go and play with your daughter
1216510143069917195 2020-01-12 18:59:54 -0400 <UrsaMajor0017> @realDonaldTrump Can you imagine how packed the safe rooms are going to be when he wins again? Oh boy
1216510142990049281 2020-01-12 18:59:54 -0400 <JerryBowerman6> @TrumpWarRoom @realDonaldTrump  https://t.co/XJSXWHVL9g
1216510142398648320 2020-01-12 18:59:54 -0400 <bigskyguy10> @Dannidakota @realDonaldTrump  https://t.co/Od4YWaYRJW
1216510141778079744 2020-01-12 18:59:54 -0400 <morissette_dave> @realDonaldTrump I don't think they should testify because they have done nothing wrong. and BTW why should they testify if even you have refuse to testify and prove you innocence.
1216510140813336577 2020-01-12 18:59:53 -0400 <Donnagann4> @realDonaldTrump Why don’t you just sthu.
1216510139982917632 2020-01-12 18:59:53 -0400 <Smp1cookSherrie> @adasomg @realDonaldTrump Poland
1216510138317754368 2020-01-12 18:59:53 -0400 <Floki_000> @adasomg @realDonaldTrump اوباما جهان رو به گند کشید  اوباما به چین به روسیه به داعش جمهوری اسلام ایران و تروریست ها  فرصتی دوباره داد  اقای ترامپ با انها مبارزه خواهد کرد‌تا جهان امن تر شود
1216510136841392129 2020-01-12 18:59:52 -0400 <BruceLaslie> @RepMarkMeadows @DineshDSouza He's covering for the FISA court judge's that were in on the whole take down @realDonaldTrump SOME PEOPLE ARE TO STUPID TO SEE IT.
1216510136132476929 2020-01-12 18:59:52 -0400 <OyeKaren17> @JennyGuice @realDonaldTrump  https://t.co/GXamCfpkQH
1216510135532736512 2020-01-12 18:59:52 -0400 <msroseott> @realDonaldTrump @WhiteHouse SMDH such a small little man..... you really don’t have a plan at all.
1216510135360770051 2020-01-12 18:59:52 -0400 <YUSUF_201411> @realDonaldTrump You are just an embryo war criminal. She is the one who has tried to kill peace in the world. The Islamic Republic of Iran will crush you as you did with your masters, you fool. Speak to the criminal and the thug. I am close to date.
1216510134697984000 2020-01-12 18:59:52 -0400 <KatsTheory> @realDonaldTrump There’s this thing, The Constitution. I know you haven’t read it, but you might have heard of it. One part actually says The Senate must hold a trial. Thanks for playing though.
1216510134207361024 2020-01-12 18:59:52 -0400 <kathjosmith> @realDonaldTrump @foxandfriends @PeteHegseth If fox news reports it, I don't believe it.
