1041114435614470144 2018-09-15 19:59:59 -0400 <getthekey> @realDonaldTrump Best ever??? More lies?
1041114435459448833 2018-09-15 19:59:59 -0400 <spbowl> @FoxNewsInsider @realDonaldTrump @foxandfriends @dbongino John Kerry is worthy 2b in Jane Fonda's circle of trust Kerry is a phony who figured out a lying way 2 fame At the expense of trash fellow vets Right John? @SenateMajLdr  @JaySekulow  @LindseyGrahamSC  @DevinNunes @TomFitton @seanhannity @Jim_Jordan   https://t.co/DhcFRodZML
1041114434696105984 2018-09-15 19:59:58 -0400 <ThoughtsOfTony> @realDonaldTrump @fema @FEMA_Brock  https://t.co/ctni4mFs8j
1041114434205372417 2018-09-15 19:59:58 -0400 <theextrasinc> @realDonaldTrump Write a new tweet, douc*he
1041114433613815808 2018-09-15 19:59:58 -0400 <Bigbigjohn> @realDonaldTrump @IngrahamAngle  https://t.co/yJT9x5NG0s
1041114433299206144 2018-09-15 19:59:58 -0400 <dpsktm> @realDonaldTrump  https://t.co/8ceI2CtrmZ
1041114429902004224 2018-09-15 19:59:57 -0400 <flightHEMS> @lantarrykkozar @realDonaldTrump Dear Puerto Rico, I did not create the Hurricane. Your Govt failed to distribute the hundreds of thousands of water bottles still sitting on a runway. They let the food we sent rot. The USA spent billions to help. Your own Govt failed you. DONALD TRUMP, MAGA
1041114429171982336 2018-09-15 19:59:57 -0400 <neill_dano> @realDonaldTrump Oh we got the crime, white-collar crime is far worse and expansive than poor person crime because it involves huge amounts of money, far more than immigrants use, and laws are insufficient.  But you are doing us a great service by serving as an example for future investigations.
1041114428308107266 2018-09-15 19:59:57 -0400 <tonydino43> @FoxNewsInsider @dbongino @realDonaldTrump @foxandfriends You are the 8 year old boy Trump fixed the disaster you and crooked and Barak left
1041114424944160768 2018-09-15 19:59:56 -0400 <WilsonHreal> @lock32again @NRAHillbilly @prettylilbot7 @PrettyPatriot05 @graves_lynna @earthman34 @realDonaldTrump Ok my little Trumpers, you've already taken most of my day. Not wasting my time with crazy rednecks who know nothing about history anymore.😂😂😂  https://t.co/a9THw1Vcge
1041114424151625728 2018-09-15 19:59:56 -0400 <burtwasaweenie> @realDonaldTrump @GeraldoRivera Seriously, you’re just shit.  A huge steaming pile of bullshit. I wish nothing good for you, your traitorous family or the even more traitorous GOP. I hope you all get what you deserve. You fail this county, continent and world every damn day. #notwinning #FAKEpresident
1041114421999874048 2018-09-15 19:59:55 -0400 <KellenWilson2> @karenboyce39 @dvorakoelling @realDonaldTrump There is this thing called time and it moves forwards to put it simply if you make a death toll post now tomorrow it will be higher
1041114420498386945 2018-09-15 19:59:55 -0400 <CarlAttard23> @realDonaldTrump You have borders, ffs. Just like every other country. This Democrats want "open borders" bs, is just another red herring. Another lie, amongst a multitude of lies, or as the media puts it politely, so not to upset your feelings, "falsehoods".
1041114419768578048 2018-09-15 19:59:55 -0400 <biglifejane> @WhiteHouse @realDonaldTrump  @fema  I don't want text from you b/c we can't believe anything coming from this Adminstration.  Pls remove my # from your list or cancel this program. Waste of $ when you have ZERO credibility.   Blame the@pressSec, POTUS &amp; #complicitGOP
1041114418518654977 2018-09-15 19:59:55 -0400 <AlanNewsomw23> @The_Trump_Train @realDonaldTrump HOW ABOUT YOU PAY BACK ALL THAT MONEY YOU OWE TO THOSE INVESTORS WHO HELP YOU WITH TRUMP UNIVERSITY!!! OPPS I AM SORRY IT WENT UNDER!!!!! PAY THOSE INVESTORS BACK!!!!!!!!
1041114418241650688 2018-09-15 19:59:54 -0400 <TheyCallMeTomO1> @IgnitedTrueWord @FoxNews @jonvoight @realDonaldTrump He never signed that..  I really really believe you are a bot...  You just don't make sense? Very short sentences, words that don't match, replies that don't match... So many falsehoods. . .  You a bot?
1041114417881079810 2018-09-15 19:59:54 -0400 <cubfan2123> @realDonaldTrump I thought that polls were fake?
1041114417256194050 2018-09-15 19:59:54 -0400 <dillinger19991> @realDonaldTrump We’ve done very well for 242 years without a wall defining the borders of our country.
1041114416383766528 2018-09-15 19:59:54 -0400 <MIZZTER_ED> @realDonaldTrump  https://t.co/PbdxGz6CmQ
