1135335284248371201 2019-06-02 19:59:59 -0400 <mike_wm_krafka> @The_Trump_Train @realDonaldTrump "Mirror! We need a mirror in the Oval, STAT!"
1135335283887656961 2019-06-02 19:59:59 -0400 <gordon_dgordon> @realDonaldTrump  https://t.co/vYEr69ToEe
1135335281844838400 2019-06-02 19:59:59 -0400 <cyndy_jt> @Adrian21714667 @nelsonwendella @realDonaldTrump  https://t.co/uL8JUt37er
1135335281576546304 2019-06-02 19:59:59 -0400 <SNAP_Vegan> @bonheurmutombo @realDonaldTrump Keep him, please.
1135335281522085888 2019-06-02 19:59:59 -0400 <CarpenterElease> @FaithandFreedom @VP @realDonaldTrump HAIL SATAN!
1135335281060720640 2019-06-02 19:59:59 -0400 <AaronOldfield> @realDonaldTrump Sorry to hear that, I thought that was the job of the US?
1135335280989409281 2019-06-02 19:59:59 -0400 <NauRukh> @realDonaldTrump You sound like a dumb blonde! They are just trying to follow US, the evil empire of the world today. Hundreds of innocent civilians have been killed by US bombing, too! ...and whose unclaimed prodigy is Daesh terror?
1135335279521406976 2019-06-02 19:59:58 -0400 <GerkdDoug45> @realDonaldTrump I pray every day that you disappear.
1135335278867091456 2019-06-02 19:59:58 -0400 <CitizenTheKane> @realDonaldTrump #ConManTrump - It’s not Republicans or Democrats impeaching a Republican or Democratic President, it’s Congress impeaching a President for his alleged Obstruction of Justice.  Yup, most of the evidence is in!
1135335277239472128 2019-06-02 19:59:58 -0400 <LuisAlv57566289> @realDonaldTrump They do not respect you Sir!! That’s what’s happening ! The world do not count on you and our enemies laugh at you and us. You should go back to TV
1135335277184970752 2019-06-02 19:59:58 -0400 <BillBeaman2> @thehill @realDonaldTrump @FLOTUS Where is John Wilkes Booth when we need him?
1135335276077867009 2019-06-02 19:59:57 -0400 <Stephen77009> @realDonaldTrump I hate you.
1135335274123288576 2019-06-02 19:59:57 -0400 <spotts58> @OfficialJGorman @realDonaldTrump I think you mean “hypocrisy”
1135335274085568514 2019-06-02 19:59:57 -0400 <jb_in_motion> @JeffreyGuterman @realDonaldTrump Understandably way too believable.
1135335274043432965 2019-06-02 19:59:57 -0400 <open5107> @realDonaldTrump China is currently in the midst of a large number of media in the world, and it is necessary to fight the US economy!
