1003426094777847809 2018-06-03 19:59:58 -0400 <ringwac> @realDonaldTrump   https://t.co/I4czDILIWi
1003426092848300032 2018-06-03 19:59:57 -0400 <LFTR_Now> @realDonaldTrump THAT'S EASY. No information is safe with you. On May 10, 2017 you gave Russian Foreign Minister Sergey Lavrov and Russian Ambassador Sergey Kislyak details on intel that could be used by the Russians to deduce the source of the information and the manner  it was collected.
1003426088226381830 2018-06-03 19:59:56 -0400 <david_cdavidt> @realDonaldTrump .realDonaldTrump  Putting aside the obvious legal issues understood by anyone at least 10 years old ( except you, apparently), who in the fuck would trust you with that, or really anything?
1003426087345577984 2018-06-03 19:59:56 -0400 <DCamano66> @realDonaldTrump Because they're smarter than you are.
1003426086842032128 2018-06-03 19:59:56 -0400 <Tonjee_f> @Rickj038 @Chili_Sean @realDonaldTrump Notice all the important words: Russia, presidential campaign, presidential transition. These are all related. Why must I always be the one to present facts? Where are your facts?  Do you not read anything other than Faux News?
1003426080026480641 2018-06-03 19:59:54 -0400 <SusanDe71711074> @SheilaLipsey @Fuctupmind @realDonaldTrump We call them criminals.
1003426078298378240 2018-06-03 19:59:54 -0400 <smbanc> @POTUS @realDonaldTrump @DonaldJTrumpJr @  https://t.co/N48Cv2O3iu
1003426076901695494 2018-06-03 19:59:54 -0400 <devonleee> People are all this show was cancelled and this one wasn’t. Meanwhile, @realDonaldTrump is still “running” the most powerful country in the world.
1003426076490682369 2018-06-03 19:59:54 -0400 <BlackWeUnite> @realDonaldTrump Like this If You are Trump Supporter. ❤️
1003426074250772480 2018-06-03 19:59:53 -0400 <kathyblanchar11> @realDonaldTrump #Orange Shitgibbon. You need to apologize to the human race.
1003426074158616577 2018-06-03 19:59:53 -0400 <lLadyBing> @IvankaTrump @realDonaldTrump  https://t.co/4STzQNLv7a
1003426062108422144 2018-06-03 19:59:50 -0400 <AnthnyMazzeo> @realDonaldTrump @FoxNews  for the first time in 10yrs College/ High School 🎓 Grads have Real Hope for getting Real Jobs..Thank You @POTUS and @GOP vote more GOP in Nov '18!
1003426060568911872 2018-06-03 19:59:50 -0400 <RealBabyGeezus> @funder @realDonaldTrump Word
1003426054822715393 2018-06-03 19:59:48 -0400 <BeulahVDeVille> @tom93mustanggt @MoveOn @realDonaldTrump @DHSgov @SenJeffMerkley  https://t.co/yGAuQXRGnQ
1003426054541697025 2018-06-03 19:59:48 -0400 <readpaulread> @ryrysven @cutterko @skeller85 @realDonaldTrump U r obfuscating...she rigged against Sanders...Every1 knows this...even Donna Brazil...
1003426053031911424 2018-06-03 19:59:48 -0400 <grox_915> @ezlusztig @realDonaldTrump 🙋
1003426052662648832 2018-06-03 19:59:48 -0400 <TPublius> It's #PrideMonth, and can I just say how unsurprising it it is that  @realDonaldTrump hasn't mentioned it?  He's talked about loads of other things, but I guess that us LGBTQ+ people aren't important enough to him.  Whatever.  I don't want his approval.
1003426050460848134 2018-06-03 19:59:47 -0400 <FelineAdvoCat> @KateBennett_DC @TheTaijiNews @FLOTUS @realDonaldTrump @StephGrisham45 @CNN @dolcegabbana How dare she stay and keep recovering from major surgery... 🙄
1003426044060291072 2018-06-03 19:59:46 -0400 <PRresist> @CameronKirbz @AndromedaSmiles @ungerbn103 @realDonaldTrump   https://t.co/A6B999v5QX
1003426042344701952 2018-06-03 19:59:45 -0400 <MaureenJungblut> @realDonaldTrump Ps the resistance you so attack accounts for 70% of the country  https://t.co/ygUPjzRwfj
1003426038846590976 2018-06-03 19:59:45 -0400 <JCrum07> @j_n_foster @jennieology @realDonaldTrump But way to assume my race based off my political opinions. 👍🏼👍🏼👍🏼👍🏼
1003426038561550336 2018-06-03 19:59:45 -0400 <Sloan07300513> @OliverMcGee @DonaldJTrumpJr @realDonaldTrump So says Trump ... If you believe him
1003426033503211520 2018-06-03 19:59:43 -0400 <survivethegrind> @pleolleo @realDonaldTrump @foxandfriends He only wishes he were a Pot. He thirsts for the kind of power Pol had.
1003426030751764480 2018-06-03 19:59:43 -0400 <ReallyKirk> @granz_gw @centsible @lack_of_energy @LauzetaVentador @davidfrum @FLOTUS @realDonaldTrump Sounds like you’re questioning an honorable GOP military hero  https://t.co/49pLOwIz6O
1003426026968535040 2018-06-03 19:59:42 -0400 <grandmatojosie1> @DonteDahOne @ethiopia2day1 @tammybodygoals @PARISDENNARD @realDonaldTrump @POTUS @WhiteHouse   https://t.co/qzlkPEyx1L
1003426025676525568 2018-06-03 19:59:41 -0400 <airgweilo> .@realDonaldTrump .@POTUS .@RudyGiuliani 👇Then I guess it’s time Mueller went to court, and started the whole sub poena ball rolling.  And the sooner the better.  Executive Privilege is not an argument that worked for Nixon or Clinton, and it won’t work for Trump.  https://t.co/IV3drMWGCs
1003426016818290688 2018-06-03 19:59:39 -0400 <mcgdfry> @realDonaldTrump Mr. President....keep up the pressure on FAKE NEWS, DOJ and Dems!!  Thank you for your leadership!!
1003426014897364992 2018-06-03 19:59:39 -0400 <TruthMatters41> @MistyPh91192575 @proudfeminist47 @realDonaldTrump @FBI You are being brainwashed, Misty. Look carefully at the facts.
1003426012988878848 2018-06-03 19:59:38 -0400 <bleary2> @funder @realDonaldTrump Well said, just like a Hallmark card!
