995453564049920001 2018-05-12 19:59:58 -0400 <abufarispro> @Alkhaldi990990 @realDonaldTrump فري سمول هههههه
995453561868865537 2018-05-12 19:59:58 -0400 <Malserenity> @GraftonrodLisa @Bob7787606774 @PoxNewsCEO @Jdaddy3381 @RealBensonBear @JackPosobiec @realDonaldTrump Did the author of the Dossier get information from Russian sources? Of course he did. Whom else would give him information about Donald Trump in Russia? The Swiss or Israel. The author of the dossier is former British intelligence. Well respected BTW.
995453560774168576 2018-05-12 19:59:58 -0400 <CheeseCakeWiz35> @therealJHFitz23 @GregShugar @realDonaldTrump How many trips to visit troops has he taken?
995453556189814784 2018-05-12 19:59:57 -0400 <Muriel395Muriel> @deplorablem1ke @TinaTho41869918 @realDonaldTrump   https://t.co/DBYE2UBaLR
995453555061309440 2018-05-12 19:59:56 -0400 <callistogaawine> @MickStanhope1 @7NewsSydney @JuliaGillard @HillaryClinton @realDonaldTrump BeBest
995453554973396993 2018-05-12 19:59:56 -0400 <JohnDRobinson> @LoneGringo0083 @MommyLydZard @friartucknj @Luke4Christ @therealJHFitz23 @GregShugar @realDonaldTrump @BarackObama @POTUS @HillaryClinton @BillClinton @AGLynch Where did you hear that?  If you knew what they were investigating, it wouldn't be a very good investigation.
995453554277126146 2018-05-12 19:59:56 -0400 <mscod1960> @kendra48640 @Smpwns @ffsadomhq @realDonaldTrump   https://t.co/9b1ksc0fa1
995453553559785473 2018-05-12 19:59:56 -0400 <Brad_Rhoades> @JacobAWohl @realDonaldTrump Have we forgotten the civil war? WWI, WWII? He’s working harder than these eras??? You must be smoking some strong stuff.
995453551949336576 2018-05-12 19:59:56 -0400 <ShawnDMatthews1> @realDonaldTrump He does know that his party has control over the House and the Senate right?
995453550019907589 2018-05-12 19:59:55 -0400 <HuerterKaren> @realDonaldTrump So happy to see this and I'm not even Jewish.  Born Again believer.  WELCOME to our GROUP!!
995453549600432128 2018-05-12 19:59:55 -0400 <sjta_amy> @realDonaldTrump It looks like North Korea’s nuke testing site has collapsed and Kim Jong-un is using it as propaganda to pretend to world peace. Kim Jong-un is a despot dictator that deserves no praise and he is playing Trump for a fool. #NorthKorea   https://t.co/tur840PWPh
995453548010893317 2018-05-12 19:59:55 -0400 <WendyKrause5> @shacker56 @GovMikeHuckabee @realDonaldTrump That is definitely Trump’s motto.
995453542986059776 2018-05-12 19:59:53 -0400 <cjsipos63> @friartucknj @JohnDRobinson @therealJHFitz23 @GregShugar @realDonaldTrump And how many damn vacations did Obama and his entire family take?
995453540616364032 2018-05-12 19:59:53 -0400 <lukepalla> @hostileholly5w @melanoma321 when protected groups are the criminal predators that assume no responsibility for their actions. This must end now, but sadly, too late for Ben 😢 NO MORE white guilt @realDonaldTrump @KellyannePolls @JudgeJeanine @AnnCoulter @jeffsessions @LouDobbs #MAGA @FoxNews @OANN @CRTV
995453537625821185 2018-05-12 19:59:52 -0400 <PapaJff> Hear that @realDonaldTrump?  https://t.co/cvYEHWJaYL
995453535667048449 2018-05-12 19:59:52 -0400 <4439234d179d485> @realDonaldTrump Thanks to PRC!
