1094747843234054149 2019-02-10 18:59:59 -0400 <Zac64583166> @realDonaldTrump You realize you won't be able to tweet from jail, right?
1094747842961272833 2019-02-10 18:59:59 -0400 <knewpres2020> @JacobAWohl @realDonaldTrump Neither should crooks and Russian collaborators.
1094747842785263616 2019-02-10 18:59:59 -0400 <ebbybennett> @thehill @realDonaldTrump is a fool with a fool’s following.
1094747842088964102 2019-02-10 18:59:59 -0400 <JoannaRinfret> @RWPUSA @realDonaldTrump Hopefully this is the case- we will be without him in the nearby time-His hostilities, greed and narcissistic ways are catching up-another leak- another worry and more to come-no one trusts or respects him and it’s a matter of time!
1094747841858285573 2019-02-10 18:59:59 -0400 <OnlineWicklow> @realDonaldTrump @CNN  https://t.co/nKZr9cdsTX you need to toughen up Mr Trump
1094747841162022912 2019-02-10 18:59:59 -0400 <takrevol> @Felicious1908 @ava @realDonaldTrump Looks like there may be a little whiteness flowing through your veins so do not pretend to know anything about slavery when you your parents or grandparents lived through it. # walkaway, Blexit and learn history before you spew your ignorance.
1094747840994172928 2019-02-10 18:59:59 -0400 <TraderTony2> @PatWielandLIVE @realDonaldTrump I don't know about ever... But for sure in modern times. Trump 2020 all the way!!!
1094747838553088000 2019-02-10 18:59:58 -0400 <NATEBASS13> @realDonaldTrump Mueller is close. We get it.  https://t.co/pthk6nL9UP
1094747837240360963 2019-02-10 18:59:58 -0400 <TFortworth> @TheRightMelissa @RyanHillMI @realDonaldTrump @CNN  https://t.co/kOucE8d9nL
1094747836678356993 2019-02-10 18:59:58 -0400 <BlodGlipn> @realDonaldTrump Answer: You're lying .
1094747834761596929 2019-02-10 18:59:57 -0400 <Rem2000> @realDonaldTrump Simple minds make simple jokes, as you and Matt Whitaker demonstrate to perfection. You need to gain an appreciation of what you do not know or understand. Such an appreciation would make you look so much less foolish. 😜
1094747834660896770 2019-02-10 18:59:57 -0400 <RandyMoldenhaur> @realDonaldTrump Are you really that affraid of strong women?
1094747834061123584 2019-02-10 18:59:57 -0400 <zoneman173> @realDonaldTrump President Trump you’re the best
1094747833624862721 2019-02-10 18:59:57 -0400 <jlm0325> @realDonaldTrump Hahahahahahahahahahahahahahahahahahah *tears streaming down face*hahahahahahahahahahahaha
