883838105442058240 2017-07-08 19:59:59 -0400 <1konagirl2> #trumpG20Fail @realDonaldTrump  https://t.co/Cc99CBqxx9
883838101378011136 2017-07-08 19:59:58 -0400 <suzy2grandma> @realDonaldTrump You have gone too far now. Over 60% of Americans do not trust you or your family. Get Ivanka out of our country's business NOW.
883838099549179904 2017-07-08 19:59:58 -0400 <VglntGrandma> @UniteAlbertans @realDonaldTrump I bet he is on his phone! 😂😂 What kind of daughter/woman would be ok with his attitude towards women? Oh yeah, a greedy one! $ over values.
883838097414402048 2017-07-08 19:59:57 -0400 <WJNicholsSr> @johnpodesta @realDonaldTrump The emails are the emails........hope you can live with yourself. But of course you can. Crowning your Queen me and more than others' lives.
883838096952836097 2017-07-08 19:59:57 -0400 <PaulaDuvall2> @RT_com President Xi is geographically closer to #NorthKorea than we are...and he just doesn't seem to be at all HYSTERICAL!  @realDonaldTrump
883838095669514240 2017-07-08 19:59:57 -0400 <Joepa77Joseph> @realDonaldTrump You got played by Putin.
883838092800434177 2017-07-08 19:59:56 -0400 <BunnyNamedBanjo> @Politicalpulse1 @jennmcgrath4 @NBCNews @realDonaldTrump Yes, the last one wasn't solved.
883838085565300736 2017-07-08 19:59:55 -0400 <nmrowan> This sums it up people! Totally unqualified  @IvankaTrump sitting in for @realDonaldTrump. I thought oligarchs were only in Russia 🇷🇺.  https://t.co/MaKV3FYTmh
883838083724136448 2017-07-08 19:59:54 -0400 <morches58> @redsoxYankey @realDonaldTrump You should have done that when Obama was in.
883838081136173056 2017-07-08 19:59:54 -0400 <BONGOBIRD63> @Dimanc59 @PuestoLoco @972_834 @BarackObama @realDonaldTrump @YerOpinion @KevinDarryl @EJLandwehr @DearAuntCrabby @PrincessBravato Thinking about making America great again?! Your guess is as good as mine!!
883838080083472385 2017-07-08 19:59:53 -0400 <sj_ca1867> @TheJustLogos @BrettArends @TomOrtenberg @esquire @realDonaldTrump The press isn't dishonest. Trump his and he can't handle getting called out so he his making his troops buy into his "fake news" narrative.
883838079584358400 2017-07-08 19:59:53 -0400 <monarchmama351> @realDonaldTrump Gather up your tax returns!!!  We ALL want to see !!!!
883838074484019200 2017-07-08 19:59:52 -0400 <iihave10toes> @realDonaldTrump Hamburg is beautiful, I lived there when I was in the Army (something you didn't have tur balls to do). You should stay there.
883838062064697344 2017-07-08 19:59:49 -0400 <Timster27> @realDonaldTrump Sad!  G20 leaders' statement on climate change highlights rift with US   https://t.co/aaAmfIW5E6
883838062056398848 2017-07-08 19:59:49 -0400 <DebraBuenik> @steph93065 @realDonaldTrump Imagine if the feckless GOP actually got on board!!
883838061385322497 2017-07-08 19:59:49 -0400 <CrystalSiegel> @Alyssa_Milano @realDonaldTrump What we really need is for someone to protect us from trump &amp; co.
883838058528985089 2017-07-08 19:59:48 -0400 <philosoweed> @BososSayWhat @POTUS @realDonaldTrump Nothing wrong with wanting to find a women that shares the good qualities you admire about your child.
883838056108892160 2017-07-08 19:59:48 -0400 <bourky24> @pastorlocke @dumptrump33 @realDonaldTrump So was Obama and you badgered him for 8 years
883838055056105473 2017-07-08 19:59:47 -0400 <novelsareborn> @realDonaldTrump Still with you sir.
883838054393421824 2017-07-08 19:59:47 -0400 <LizWill99> @rabble_rousing @RedAnneBolynn @_plainspoken @MarieTitus9 @doodlebug0 @stockguy61 @votevets @realDonaldTrump @TheDemocrats @DNC @dccc @BarackObama We're gonna be pretty angsty emo screamo!
883838052661112832 2017-07-08 19:59:47 -0400 <Tackspayer> @MikeLevinCA @paolo_sf @GOP @SenateGOP @HouseGOP @realDonaldTrump Some journalists could become famous by getting to the truth of #TrumpRussiaCollusion.45 CAN'T be so smart as to leave no evidence at all!  https://t.co/7OloirPX0U
883838052061384704 2017-07-08 19:59:47 -0400 <HughesSpeak> @peplamb @realDonaldTrump Don't you have an end of the world salvation party to plan?
883838050039734272 2017-07-08 19:59:46 -0400 <oestellas> @WayneDupreeShow Great job @realDonaldTrump, great job!!👏👏👏👏
883838046025777152 2017-07-08 19:59:45 -0400 <lindachxeristi3> @mgullia065 @realDonaldTrump  https://t.co/xrRUlHkAYu
883838044750610432 2017-07-08 19:59:45 -0400 <HenriettaHumpl1> @steve_perri @TJM_III @badgerb1972 @mykul3 @ColumbiaBugle @realDonaldTrump   https://t.co/yccUzALvru
883838042909413376 2017-07-08 19:59:45 -0400 <RaeMargaret61> @realDonaldTrump If you are going to start fighting the fake news better start with FOXNews because there are number one fake news media
883838036445773824 2017-07-08 19:59:43 -0400 <Velowhiz> @tedlieu @realDonaldTrump You mean you are not hearing whispers about Podesta there? It is all the rage here. #maga
883838035678437377 2017-07-08 19:59:43 -0400 <Rgieras> @Scavino45 @davidmweissman @USTreasury @stevenmnuchin1 @realDonaldTrump @POTUS @WhiteHouse @WHNSC @TomBossert45 @EliHMiller #ThrowCNNFromThePlane !
883838032381661184 2017-07-08 19:59:42 -0400 <UnimedDoc> @allandumbong @adamcbest @realDonaldTrump Adams just jealous he wasn't on the receiving end of the groping and billions.   #MAGA
883838030771101696 2017-07-08 19:59:42 -0400 <nowickirebel> @Daniellemalaur1 @sartoris1960 @lana_preston @eugenegu @thegaf @Mrtimrock @realDonaldTrump Not to mention the constitution. President ivanka at the G20 table. #treason
883838028116000768 2017-07-08 19:59:41 -0400 <MaryHeartsCats> @realDonaldTrump should be impeached for sheer ignorance.He believes a former KGB agent over the CIA/FBI/NSA. #ImpeachTrump @DonaldJTrumpJr  https://t.co/9oTTQW5a8h
883838024806694913 2017-07-08 19:59:40 -0400 <Jennycokafor> @tedlieu @realDonaldTrump @POTUS Thanks for saying it as it is.   Sovereignty of America under Trump remains a matter of concern to many.  He is more like a Russian puppet.
883838022776737793 2017-07-08 19:59:40 -0400 <goddamnitgabe> @realDonaldTrump @POTUS you attack our free press, our election process &amp; former presidents in another country? #traitor #coward #thehauge
883838022101368834 2017-07-08 19:59:40 -0400 <cpursell0313> @realDonaldTrump Thank you Angela Merkel you are the leader of the free world, a world where everyone can win, not winners and losers.
