1009949083023257600 2018-06-21 19:59:59 -0400 <rsc71383> @rbsralaw @realDonaldTrump Over 500 companies 4 go bad... wow get over it. How many companies you got?
1009949082499014657 2018-06-21 19:59:59 -0400 <GillyBalls> @Oilerule @realDonaldTrump That’s it?
1009949082192883719 2018-06-21 19:59:59 -0400 <GuiWRandJ> @realDonaldTrump "Orphanmaker Donald". There will be a Magnitsky Act named after @realDonaldTrump  That's the Law Donnie Jr was talking to the Russians about in Trump Tower, and hacked emails
1009949081681063936 2018-06-21 19:59:59 -0400 <MyHateIsYours> @breezinnn @realDonaldTrump Triggered😂🖕🏻
1009949081190400000 2018-06-21 19:59:59 -0400 <ozzpack12> @realDonaldTrump Lets review this source of pride right now that you have bestowed upon your nation! White Suprem. Charlottesville= Fine ppl Mexican Immig.= Rapists and Murd. African Countries= Shitholes DPRK Dictator= Honourable and trustworthy Long time Ally= Weak WHICH R U PROUD OF MOST?
1009949081186263045 2018-06-21 19:59:59 -0400 <JennyHotFire> @realDonaldTrump Stronger security and better surveillance, we don’t need a wall. Stop acting like your family wasn’t immigrants. Your grandfather was kicked out of Germany. Stop trying to act like a dictator, Donald, it’s unbecoming.
1009949080116604934 2018-06-21 19:59:59 -0400 <kentwinter90> @KimReynoldsIA @IowaGOP Bad news... @GOP &amp; @realdonaldtrump's inflationary tax and monetary policies are causing interest rates faster than you can say "bankrupt farmers with $4 #soybeans"
1009949079978369025 2018-06-21 19:59:59 -0400 <altreality9> @realDonaldTrump What she does care about she got on a plane to visit. That’s more than anyone you’ve hired to work with you will do. You’ve spent more time moaning about this than doing anything
1009949079814770688 2018-06-21 19:59:59 -0400 <akawaiikookie> The new cucuy is @realDonaldTrump .
1009949077755383808 2018-06-21 19:59:58 -0400 <Madelin59638666> @Bedhead_ @realDonaldTrump Like I said don't flatter your self!!!
1009949077679804416 2018-06-21 19:59:58 -0400 <DavidNi38826163> @realDonaldTrump   https://t.co/jvGdLPMVox
1009949077063323648 2018-06-21 19:59:58 -0400 <SueKru> @BIGDAWG1107 @yare_quinones @realDonaldTrump   https://t.co/m5WIy2tD89
1009949076522196993 2018-06-21 19:59:58 -0400 <SportSlant> @realDonaldTrump You guys are really bad at keeping your stories straight.
1009949076098412544 2018-06-21 19:59:58 -0400 <Jharperj1> @realDonaldTrump Did you find another Hooker?
1009949074538233856 2018-06-21 19:59:57 -0400 <binwoudaa> @realDonaldTrump I think you are ridiculously leading this toward a dark tunnel..the only one who pay the price if your craziness is the American Nation as well poor immigrants..
1009949074391425024 2018-06-21 19:59:57 -0400 <Dave_in_SoPo> @realDonaldTrump #FakeNews #FakePresident
1009949074072784897 2018-06-21 19:59:57 -0400 <wchemh> @therealnmma @realDonaldTrump is correct much more than he is wrong. You would be smart to follow his lead.
1009949073363947520 2018-06-21 19:59:57 -0400 <pharmDNJ> @realDonaldTrump Thank you for clarifying
1009949072894066689 2018-06-21 19:59:57 -0400 <xmas1961> @realDonaldTrump Reality check  https://t.co/uTn8ieLJlr
1009949072671666176 2018-06-21 19:59:57 -0400 <ExoticCatLady> @TonyinNY @judith_dite @realDonaldTrump I'll bet my life against yours they won't be voting to build a wall to stop the influx of illegals!
1009949071631634432 2018-06-21 19:59:57 -0400 <VictoriaTrigger> @realDonaldTrump I am sure every man,woman and child that read those words, understood that pathetic response and felt better. Appalling.
1009949070494797824 2018-06-21 19:59:57 -0400 <dstanza9> @realDonaldTrump it's like you have the midas touch but instead of gold it's pain and suffering.  @FLOTUS @IvankaTrump @SecNielsen @jeffsessions @SpeakerRyan @StephenMillerAL
1009949070322995201 2018-06-21 19:59:56 -0400 <mikehesner> @realDonaldTrump Forget NAFTA - STOP ALL Trade with Mexico until this is resolved
1009949069266030593 2018-06-21 19:59:56 -0400 <rockinrobinwv> @realDonaldTrump Go to HELL!
1009949068603166720 2018-06-21 19:59:56 -0400 <BlindMansBlufff> @realDonaldTrump ...meanwhile, "R's" have said publically that they won't negotiate! Democrats *do want security, just not at the expense of human rights!
1009949068020330496 2018-06-21 19:59:56 -0400 <BKapcoe> @ChrisLa83126448 @NastyNEGirl @2020Again @realDonaldTrump   https://t.co/Oo1BtTzfQK
1009949067743391745 2018-06-21 19:59:56 -0400 <monroe_river> @realDonaldTrump YOU NEED JESUS !!!
1009949065793232896 2018-06-21 19:59:55 -0400 <scotthambyx> @realDonaldTrump @PeteStauber I'm glad that this time you tweeted about the issues and not the num... oh.
1009949065428299778 2018-06-21 19:59:55 -0400 <TreeshJill> @realDonaldTrump We won’t vote for any thing you stand for
1009949065327628290 2018-06-21 19:59:55 -0400 <Roscoe_Notrub> @DocCamo @eugenegu @realDonaldTrump Underrated comment.
1009949063301627905 2018-06-21 19:59:55 -0400 <chriscoon824> @realDonaldTrump So keep giving mixed messages. You don't believe the USA is exceptional now? #lowIQ #Dementia
1009949062542581762 2018-06-21 19:59:55 -0400 <Char_GZR> @mafiasummer @racej56 @realDonaldTrump I'm sorry for you   https://t.co/hoEYxXOET4
1009949061678551040 2018-06-21 19:59:54 -0400 <PKFL> @realDonaldTrump The issue of being proud of America... that ship sailed when you kept up your obnoxious behavior post inauguration... seeding discord by attacking press, allies, and our institutions daily does NOT evoke pride, just disgust.
1009949061582151685 2018-06-21 19:59:54 -0400 <Deb77074743> @Worknottwerk @real_farmacist @realDonaldTrump Not exactly.
1009949059266809858 2018-06-21 19:59:54 -0400 <RealJesusSonGod> @realDonaldTrump Republicans control Congress and The Senate   https://t.co/LeucJb8BDv
1009949058918764546 2018-06-21 19:59:54 -0400 <tbla2001> @vcarr2000 @realDonaldTrump 4) about running with a black VP? He even made contributions to Charlie Rangel &amp; praised the first black mayor of NYC. Why did he support Jesse Jackson during his presidential campaign? Why did he have many high profile black friends? If Trump is a racist, he isn't doing it right  https://t.co/Wc6xdcG6ZW
1009949058901905409 2018-06-21 19:59:54 -0400 <mykareno2> @scholt7 @diggergld1 @realDonaldTrump Aren't these people running on the Democratic ticket in November?...Hmmm......
