1027706087728979969 2018-08-09 19:59:59 -0400 <PattyGator> @realDonaldTrump  https://t.co/Td7cQCtBB1
1027706087284371456 2018-08-09 19:59:59 -0400 <GiliwayaDoraine> @realDonaldTrump You are creating instability in the world.
1027706087015936003 2018-08-09 19:59:59 -0400 <shaefferangelo> @ialwyz1der @electrovert @realDonaldTrump And if you look over there... Is a vast wasteland where Hillary resides😂😂😂😂🤣🤣🤣
1027706082741964800 2018-08-09 19:59:58 -0400 <mafrommanhattan> @realDonaldTrump Traitor
1027706081127092225 2018-08-09 19:59:58 -0400 <HayesS105> @realDonaldTrump  https://t.co/OfVJwEb8UQ
1027706077742284800 2018-08-09 19:59:57 -0400 <LibtardBeaver> The father of the 🇺🇸 space program was a fascist (Von Braun) and the father of 🇺🇸 #SpaceForce, @realDonaldTrump , is also a fascist. #FullCircle
1027706077444558848 2018-08-09 19:59:57 -0400 <LonnyClyde> @realDonaldTrump #TrumpResign
1027706077243047936 2018-08-09 19:59:57 -0400 <knotaboy> @realDonaldTrump @GrahamLedger Thanks for the laugh. You need to learn the definition of EVIDENCE. You being in the White House IS evidence. What’s all the lies for if there was no conspiracy?  https://t.co/oClO6BZspO
1027706076765016065 2018-08-09 19:59:57 -0400 <mcfairy1> @Wildling0022 @CowboyLittle @seanmdav @realDonaldTrump These people have gone plum loco.  https://t.co/nQCrNrsXHo
1027706075410182145 2018-08-09 19:59:56 -0400 <Gabbar_Returnz> @realDonaldTrump Mr. President, you Sir, are a true leader and a great American patriot. Even though I am not an American or living in America, it is really a honor and privilege to see and learn from your leadership. Hats off to you Sir, huge respect and a big fan.
1027706074361733121 2018-08-09 19:59:56 -0400 <therealjane_g> @realDonaldTrump Space Force is going to fail.  I wonder if you’ll go to jail before or after it plummets back to earth.  🤔You might not get to watch it from your cell. 😂😂😂😂
1027706073690583040 2018-08-09 19:59:56 -0400 <Cattttttttttttu> I was just watching @foxnews, which is one of the only sources of semi-non-fake news, and I learned more about James Mattis... and the sacrifices this dude made for our country. Amazing, he is a true #patriot! #WWG1WGA! @realDonaldTrump @POTUS
1027706071622791168 2018-08-09 19:59:55 -0400 <Maximillian1973> @CraigHecht3 @VanHipp @realDonaldTrump @SpaceCorpsUS There is not any evidence that we can leave low earth orbit. Space is a hoax. We can't leave the firmament. Google pictures from space. They're all fake. Mostly bad CGI. I support  President Trump, but not on this Space Force scam.
1027706071492767747 2018-08-09 19:59:55 -0400 <mstthinskin> @realDonaldTrump #WeDontBelieveYou Poor little Donnie. #YouPoorThingIPityYou
1027706071346020352 2018-08-09 19:59:55 -0400 <SandySenn2> @ashtonpittman @realDonaldTrump Oh really...what are you celebrating?
1027706069454344192 2018-08-09 19:59:55 -0400 <wallaceresists> @Chap1247Bill @AnnCoulter @realDonaldTrump Just curious, but other than this last election and Bush's win, were you around in 1888?
1027706068447711232 2018-08-09 19:59:55 -0400 <realSashaBella> @realDonaldTrump There's a New Russian Collusion! Hollywood Psycho Alicia Milano discovered HOW Democrats lost ANOTHER election.  RUSSIA DID IT!
1027706063892701189 2018-08-09 19:59:54 -0400 <JoshJane> @FoxNews @The_Social_Goat Hey @realDonaldTrump, is $450G lavish bribe? Would you admit taking it and resign in disgrace? I’m asking for a wicked sly Fox.
1027706058435960832 2018-08-09 19:59:52 -0400 <tinaolson> @GOP @realDonaldTrump Again, I checked, no word on Rand Paul and Russia. What, didn't he get my message? Put a damn travel ban on that guy. Who invites Russia to the US after all of their murder, manipulation, and cyber attacks? Who does that?
1027706057076957185 2018-08-09 19:59:52 -0400 <a_MiAngel> @realDonaldTrump The best of EUA and Brazil! 🇺🇸🇧🇷  https://t.co/yfYMC397vu
1027706055604617216 2018-08-09 19:59:52 -0400 <Briinthesprings> @MGill_USA @realDonaldTrump @GrahamLedger Yes
1027706054178758656 2018-08-09 19:59:51 -0400 <CapsRepublic> @realDonaldTrump Mr. President. I'm sending you a package with American made shirts and caps for your space Force program - For you, Melania and Barron.  We hope you enjoy them.
1027706051989307398 2018-08-09 19:59:51 -0400 <mtopchik> @realDonaldTrump Keep talking. You’re going down.
