1168674967141138433 2019-09-02 19:59:59 -0400 <psmithgb> @realDonaldTrump Does it read ‘gone golfin’ ?
1168674966302351360 2019-09-02 19:59:59 -0400 <bonnie414> @WalshFreedom @gtconway3d @realDonaldTrump @DebraMessing Small, petty and despicable
1168674964364509189 2019-09-02 19:59:59 -0400 <hOcULTpQ4ZPjYsk> @realDonaldTrump They will immediately impose strict sanctions on them and let them know that the world (Western democracies) cannot deceive and bully. The CCP is crazy about their own evil metamorphosis and they  If you are guilty of sin, wait for trial and severe punishment and destruction!
1168674963781562369 2019-09-02 19:59:58 -0400 <4AllSoulKind> @michaelbeatty3 @realDonaldTrump 🕶  https://t.co/OA5Rlx8j7H
1168674962179334144 2019-09-02 19:59:58 -0400 <YancyCt> @Marynoggle2 @realDonaldTrump @jonkarl @ABCWorldNews So true...so true.
1168674957922131970 2019-09-02 19:59:57 -0400 <thegazelle22> @realDonaldTrump @jonkarl @ABCWorldNews Every time @realDonaldTrump tweets or speaks.  https://t.co/FPtcdw3giM
1168674956952997889 2019-09-02 19:59:57 -0400 <AM_McCarthy> @VP @realDonaldTrump You're spending as many taxpayer dollars as possible by staying (flying) to Trump's property instead of staying in Dublin, where the meetings are.
1168674955786997761 2019-09-02 19:59:57 -0400 <macarthur54> @MAGATrumpUSA45 @realDonaldTrump  https://t.co/pxXChpsVyY
1168674955074179077 2019-09-02 19:59:56 -0400 <MizBetsy> @realDonaldTrump @jonkarl @ABCWorldNews don't you have anything better to do with your time?
1168674951248769024 2019-09-02 19:59:55 -0400 <NastySusieQ> @waybeyondhelp42 @realDonaldTrump Fox is right wing propaganda. CNN has a definite liberal bias. CSPAN televises actual congressional hearings. The site you referred to is known for conspiracy theories with NO basis in fact.  Saying some lies are as reliable as other lies doesn't support make them true.
1168674950166847489 2019-09-02 19:59:55 -0400 <krisly68> @realDonaldTrump @jonkarl @ABCWorldNews @realDonaldTrump Dude!  You  got some xanax or something.   I think they've......👇  https://t.co/hK298cQEYo
1168674948727992320 2019-09-02 19:59:55 -0400 <tRUmpIsTheSwamp> @RepSwalwell @realDonaldTrump What’s he going to do? Throw paper towels? Thoughts &amp; prayers? #TrumpIsAFailure #WorstPresidentinHistory
1168674945603448832 2019-09-02 19:59:54 -0400 <tatsncats89> @realDonaldTrump We all read your tweets. We saw the whole statement. You are not the weather man. You’re not even capable of doing your own job well so quit playing.  https://t.co/ButmcXRB1Y
