1194404506290851840 2019-11-12 18:59:59 -0400 <realjamestoller> @realDonaldTrump  https://t.co/QVuWGO3MXm
1194404502562070530 2019-11-12 18:59:59 -0400 <steve8a> @gtconway3d @realDonaldTrump Why put liars on TV?
1194404500167122945 2019-11-12 18:59:58 -0400 <KMBpatriot> @brianstelter @realDonaldTrump @seanspicer What’s your point?
1194404498749435905 2019-11-12 18:59:58 -0400 <senraba> @thelushlarry @itsJeffTiedrich @realDonaldTrump That's only one state!!!
1194404497734324224 2019-11-12 18:59:57 -0400 <BernieSandersE> Estos jóvenes soñadores están luchando por su derecho a vivir en el único país que han conocido.  Y tienen un mensaje para @realDonaldTrump: 1/2
1194404495725346821 2019-11-12 18:59:57 -0400 <timwofct> @Cocofritz @grindingdude @RepAdamSchiff @realDonaldTrump @RepAdamSchiff liar criminal narcissist idiot
1194404495691669504 2019-11-12 18:59:57 -0400 <TimBolgerbros> @Jim_Jordan @realDonaldTrump @RepAdamSchiff  https://t.co/tBGoR1koSu
1194404493393383435 2019-11-12 18:59:56 -0400 <GaryLeClair2> @realDonaldTrump Nancy is a women with strong values going against a 1/2 man with no morals and weak values.
1194404491749142528 2019-11-12 18:59:56 -0400 <MurphyBrwn> .@gop @realdonaldtrump’s attempt to force the govt of Ukraine to investigate @JoeBiden was launched through a disinformation campaign whose first &amp; chief propagator was  ➡️  #JohnSolomon, a conservative columnist w a pattern of publishing false and misleading stories
1194404491354918912 2019-11-12 18:59:56 -0400 <francnharley> @realDonaldTrump Boss man, thanks Obama!!
1194404489945595905 2019-11-12 18:59:56 -0400 <gabriel_gmaraes> @w_terrence @realDonaldTrump You are confused as to the meaning of « due process. » It literally means « the process DUE under the rules. » The rules can be the Constitution, a statute or, in this case, the rules of the House. Dems are following the rules Republicans put in place in 2015 for Hillary.
1194404488779587584 2019-11-12 18:59:55 -0400 <mce103> @PressSec @WhiteHouse @realDonaldTrump @EconClubNY You're fired.  I will not pay your salary any more.
1194404488527982593 2019-11-12 18:59:55 -0400 <tha10man> @w_terrence @realDonaldTrump So what exactly is the point of this “coalition”? Just to get black people to vote for Trump?
1194404488221745152 2019-11-12 18:59:55 -0400 <kjune65> @MrAndyNgo @RememberPaoli @TaraLaRosa @realDonaldTrump @DonaldJTrumpJr @SebGorka
1194404485289906182 2019-11-12 18:59:54 -0400 <MemeRodz> @mmpadellan @realDonaldTrump Omg! Is he really going to make his staff workers commit a crime by making up a fake transcript?
1194404484908118017 2019-11-12 18:59:54 -0400 <jmixxx> @Robert_A_Main @jessica_dunagan @AdamCarollaShow @DonaldJTrumpJr @adamcarolla @realDonaldTrump Sad
1194404483972976641 2019-11-12 18:59:54 -0400 <rnew1125> @realDonaldTrump Is that an unredacted transcript?
1194404483956125697 2019-11-12 18:59:54 -0400 <moronmomma> @Tore_says @realDonaldTrump Trump said last week, we he brought it up with the media, that the transcript of first call was REALLY revealing.
1194404482903232512 2019-11-12 18:59:54 -0400 <Mynonna3> @realDonaldTrump FYI in California there are more illegal immigrants working in the construction industry it’s not fair to the American people. It’s effecting our lives. Make it illegal for illegal immigrants to work in any company
1194404481187958785 2019-11-12 18:59:53 -0400 <Jayyjayz> @realDonaldTrump I believe this absolutely
1194404480973975558 2019-11-12 18:59:53 -0400 <RaeMargaret61> @LJDYGK @jonkarl @realDonaldTrump @JuleannaGlover If all the people that didn’t go out and vote in 2016 would’ve gone out and vote we wouldn’t be in this shit show right now.
1194404478625210369 2019-11-12 18:59:53 -0400 <dearbornman> @realDonaldTrump Not in Michigan at all  mr president
1194404478323249153 2019-11-12 18:59:53 -0400 <24sales2U> @john_stPete_FL @WhiteHouse @realDonaldTrump It's the standard GOP distort and distract. They can't win on the truth so they lie.
1194404476817424384 2019-11-12 18:59:52 -0400 <VetsUnitedMarch> @raaamises @realDonaldTrump Americans should have a say in their lives, just because someone becomes disabled doesn't mean they're useless, there's so many who have so much to offer the world for the better and we all vote!
1194404475236016130 2019-11-12 18:59:52 -0400 <EmToTheK> @SexCounseling @realDonaldTrump Oh no it’s PhDumb again.
1194404474011496450 2019-11-12 18:59:52 -0400 <dl7038> @ArloTWalker @tdub02693342 @SilverWingsPega @realDonaldTrump Because there are no facts Toto... Lol!  The fact's are, Dems , liberals and some Republicans are doing their darndist to get Trump out of office so they can keep their hands in our cookie jar. No more! The people will decide where our hard earned money will go now. Trump 2020!
1194404471926902789 2019-11-12 18:59:51 -0400 <LBrown_AABDJT> Hahaha! Mulvaney must be almost as big a #narcissist as his boss! I doubt anyone is as far gone as @realDonaldTrump in the category. Trump may be so narcissistic that he will fire him anyway!
1194404471079624704 2019-11-12 18:59:51 -0400 <BonnieSharpless> @ReSparkled_ @JRehling @realDonaldTrump So I tell @ReSparkled_ to learn about DACA before continuing to post ill-informed opinions. Rather than learning why they were wrong, they just blocked me. #Coward
1194404470622445569 2019-11-12 18:59:51 -0400 <DaviesWayWorks> Good Luck,  @DevinNunes let farmers suffer so @realDonaldTrump could act like a big man and start a TRADE WAR with CHINA.
1194404470064631808 2019-11-12 18:59:51 -0400 <JermynMan> @realDonaldTrump Little known fact: 25 Years ago New York City would not pay for Veterans day parade so guess who did? Donald J. Trump!!
1194404469963972609 2019-11-12 18:59:51 -0400 <Gina73605417> @realDonaldTrump Let’s see your tax returns, Mr. Transparent!
1194404469607321600 2019-11-12 18:59:51 -0400 <robertgoulet13> @real_defender @realDonaldTrump Yawn
1194404468554641408 2019-11-12 18:59:50 -0400 <Swampella> @VP @realDonaldTrump I thought the United States was a country free of religion persecution and yet here we are.
1194404468340744195 2019-11-12 18:59:50 -0400 <RealMikeKeaton> @realDonaldTrump  https://t.co/DKWXQKNwOw
1194404465916436481 2019-11-12 18:59:50 -0400 <lilly_sanabria> @realDonaldTrump Many of the people in DACA, if not all of them, are more valuable in american society than the xenophobic president of the nation. I won't trade them for this joke of  president and all of his sycophants.
1194404465668972549 2019-11-12 18:59:50 -0400 <DianneDsearle82> @realDonaldTrump @seanspicer 😂😂😂
1194404463244500992 2019-11-12 18:59:49 -0400 <DlteAlt> @MrGQ37 @SamanthaJean27 @Dicky_Bitch @lovemyhymns @BadAsVlad @realDonaldTrump Lol, imagine having such pride in careers that require very little intelligence and critical thinking. Good for you though Randy, hope  your “careers” and “followers” help you sleep at night. P.S yes I can operate a motor vehicle. Any moron can.
1194404461843795968 2019-11-12 18:59:49 -0400 <PatsLadi99> "CRIMINAL ACT" Fox......👏👏👏👏👏👏👏👏👏👏👏 @seanhannity  @TuckerCarlson  @BillOReilly OOPS @FoxNews  @realDonaldTrump  @GOPLeader  @GOP  #MAGAs  #MAGACHALLENGE   No alternative facts.....😆
1194404461172555776 2019-11-12 18:59:49 -0400 <knudsen99> @realDonaldTrump @BillOReilly PUBLIC HEARINGS 👍🏻
1194404461118144512 2019-11-12 18:59:49 -0400 <tspicchiali> @brianstelter @realDonaldTrump @seanspicer Um ok?
1194404460782592000 2019-11-12 18:59:49 -0400 <JTJohnson1982> @CaraDalton13 @dalidaisy @MarshaBlackburn @realDonaldTrump There wouldn't be stats on people turned away for their signature, and voter fraud is only found out when a person gets caught.
1194404459037757440 2019-11-12 18:59:48 -0400 <DebbieSVA> @alfabravo2207 @Michael_Hater @WhiteHouse @realDonaldTrump Still waiting to hear about what companies and jobs cane back to the USA?  You do know the tariffs are still in place?
1194404456537837570 2019-11-12 18:59:48 -0400 <GeorgeRTheresa> @SenFeinstein Insulin will soon be universally affordable, thanks to @realDonaldTrump .
1194404456219234304 2019-11-12 18:59:47 -0400 <Donnafaye56> @w_terrence @realDonaldTrump Can we say.....CRAZZZZY!!!!
1194404456126963713 2019-11-12 18:59:47 -0400 <lmh3072> @ElaineLuriaVA @DemocracyStorm @realDonaldTrump Remind your colleagues that Ukraine met the threshold for Congress to approve funding for aid.  There was no reason for Trump to hold it hostage.
1194404455543906305 2019-11-12 18:59:47 -0400 <marla_j98> This is all of our money folks! Can you imagine if Trump did this?! A double standard is unconstitutional. Because it's about power; if one side can do it, the other can.  That would be the end of America. That would be dictatorship and communism. @realDonaldTrump
1194404452729577472 2019-11-12 18:59:47 -0400 <RollinsLynda> @TeamTrump @realDonaldTrump @IvankaTrump When she finishes Fundraiser classes she needs to take Math classes with you
1194404451815215104 2019-11-12 18:59:46 -0400 <remap12> @RKJ65 @realDonaldTrump I'm so glad they're ok with a moron who has the nuclear codes! 🤦‍♀️
1194404450212962304 2019-11-12 18:59:46 -0400 <Bowwowmeow13> @ChrisJZullo @realDonaldTrump Wake up KY, you are going blue, vote McConnell OUT.  Moscow Mitch is a traitor
1194404450145906688 2019-11-12 18:59:46 -0400 <marthaonfire> @realDonaldTrump Call them spies which is what they are
1194404444366155777 2019-11-12 18:59:45 -0400 <Ziggyzoo00> Nobody asked the "wise Latina" about her feelings. You know the executive branch is a political branch of government. So yes @realDonaldTrump is free to make "political decisions." Especially those his supporters want.  #SCOTUS
1194404443246096384 2019-11-12 18:59:44 -0400 <HotTakes1> @Laura85883363 @TeamCavuto @RepScottPerry @realDonaldTrump lol bot
1194404442105270272 2019-11-12 18:59:44 -0400 <Lolo033> @realDonaldTrump The only thing you do is tweet all day! Get to work instead of whining all day!
1194404442021466112 2019-11-12 18:59:44 -0400 <calian23> @SandiAnthony1 @realDonaldTrump Typical leftist  https://t.co/VzJbUE6ynf
1194404441794973702 2019-11-12 18:59:44 -0400 <jmrn1953> @WhiteHouse @POTUS @realDonaldTrump Corruption is at an all time high also. Leadership is the worst it’s ever been . Republicans in the Senate needs to be voted out
1194404441249718274 2019-11-12 18:59:44 -0400 <sheilajsampson> Bull. Michael Atkinson changed the WB's complaint to include 2nd testimony in Sept 2019. He then backdated it to August so Eric Ciaramella's August complaint would apply. He should be fired. @realDonaldTrump
1194404441123893249 2019-11-12 18:59:44 -0400 <rmastro2000> @DebraMessing @NikkiHaley She had to squeeze out @SecPompeo, @LindseyGrahamSC, and many others in kissing @realDonaldTrump’s rear end. Lucky for her though, Trump’s ass is so big, there’s room for everybody.
1194404440780001280 2019-11-12 18:59:44 -0400 <PeeBee_5> @JFryWR4 Call it in @realDonaldTrump
1194404438112378880 2019-11-12 18:59:43 -0400 <HubbJoanne> @realDonaldTrump Let's remind GOP members  about 18 USC section 3  https://t.co/zR93T0hvc8
1194404437973880835 2019-11-12 18:59:43 -0400 <rsaamodtgmailc1> @brianstelter @realDonaldTrump @seanspicer Hard hitting journalism once again from Humpty Dumpty Stelter on fake news CNN 🤢🤮
1194404437701398528 2019-11-12 18:59:43 -0400 <neelk1> Omg it’s almost as if @realDonaldTrump colluded with the Russians to interfere in the 2016 election  https://t.co/sztpIt1v3T
1194404437550419968 2019-11-12 18:59:43 -0400 <MANOFSPEEL> @VoteoutTrudeau @TroyWestwood @realDonaldTrump What war has Trump ended? An economy which sees the USA go further in debt everyday from Trump
1194404435536924672 2019-11-12 18:59:43 -0400 <EarthConcepts> @realDonaldTrump WALL STREET IS NOT MAIN STREET      Where are those record wage gains? Where is that record closure of the income gap?   Where is your brain?
1194404432810786821 2019-11-12 18:59:42 -0400 <associationmax> @TeamTrump @realDonaldTrump Don’t Democrats have any sense at all?!
1194404431686750208 2019-11-12 18:59:42 -0400 <BarnosJohn> @DwightMann17 @skane2600 @Mary26499721 @Veeskonsan01 @sheltonrw @tedlieu @realDonaldTrump @POTUS  https://t.co/zMeaxJ9NJY.  Donald Trump: Central Park Five settlement is a 'disgrace'
