1041476826542030848 2018-09-16 19:59:59 -0400 <nogg_the> @TraceyWitt64 @realDonaldTrump  https://t.co/VGq5MEoWVY
1041476826198097920 2018-09-16 19:59:59 -0400 <DuchampMark> WW3 could start any minute. Was @realDonaldTrump sufficiently briefed about the deployment of 25+ Russian warship along the Syrian coast?  @RonPaul @DrRandPaul @SenRichardBlack @TuckerCarlson @seanhannity @stranahan @LouDobbs @libertytarian @Jim_Jordan @ChuckGrassley @tedcruz
1041476825891909633 2018-09-16 19:59:59 -0400 <UKBALANCEPARTY> @msf165 @DaanBarnard @joerogan @realDonaldTrump Where is your empathy now?
1041476824805650432 2018-09-16 19:59:59 -0400 <FoodMfgMan> @SenSchumer We have swung too far the other way and you have a coordinated effort to #Stain a good man YOU and your party have unleashed a #RedWave that your party will #NeverRecover be prepared to hold no #power for a hundred years @RealJamesWoods @realDonaldTrump @larryelder @RealCandaceO
1041476823471800320 2018-09-16 19:59:59 -0400 <Spaceacetrace2> @Stop_Trump20 @realDonaldTrump Retweeted.
1041476822830116865 2018-09-16 19:59:58 -0400 <pendleton2fun> @realDonaldTrump Thank you President Obama. Of course president trump is doing his best to wreck it with his tariffs and deficit spending. He'll put everybody but himself in the poorhouse.
1041476822041616385 2018-09-16 19:59:58 -0400 <GeoTheDude1> @realDonaldTrump You mean the newfound wealth you gave to the super wealthy Americans while regular Americans got scraps.
1041476821714432000 2018-09-16 19:59:58 -0400 <kimsulik> @realDonaldTrump Did you help Melania's parents became citizens? Didn't she pose naked?
1041476819042689024 2018-09-16 19:59:58 -0400 <droinclay> @fearthemask10 @realDonaldTrump @cpal23 @CoachBabersCuse @CuseFootball Whose house?  Our house!
1041476818702921730 2018-09-16 19:59:57 -0400 <ckaiserjr> @realDonaldTrump
1041476818518323205 2018-09-16 19:59:57 -0400 <MommyDearestUS> @Turnip2020 @realDonaldTrump Hell yeah
1041476816257441793 2018-09-16 19:59:57 -0400 <CaryTurkle1> @Turnip2020 @realDonaldTrump Yes!!!!!!!
1041476812226920448 2018-09-16 19:59:56 -0400 <langan_sandy> @realDonaldTrump @MariaBartiromo @FoxBusiness It’s football season I was watching football love my football
1041476809198432256 2018-09-16 19:59:55 -0400 <L01001111GIC> @mjb136 @Lynore11 @kibsbobstweet @realDonaldTrump theres nothing tricky about it. you wrote 3 sentences. if the idea you meant to convey didnt come across then thats not really anyones fault but your own.
1041476808917573632 2018-09-16 19:59:55 -0400 <DirtyWhiteBread> @realDonaldTrump Vote red no other choice
1041476807868866560 2018-09-16 19:59:55 -0400 <shaun_ww> @realDonaldTrump Probably yours too
1041476805813624832 2018-09-16 19:59:54 -0400 <jerryrose1973> @realDonaldTrump  https://t.co/xmUAgULamY
1041476805327118336 2018-09-16 19:59:54 -0400 <WendyQ1102> @realDonaldTrump Blah blah blah  I will believe findings from #MuellerInvestigation over ANYTHING you tweet or say. #TruthMatters
1041476803871821824 2018-09-16 19:59:54 -0400 <smif99> @tedlieu @realDonaldTrump  https://t.co/d408CKb4v7
1041476803653787648 2018-09-16 19:59:54 -0400 <baily_michael> @AMPRo1219 @realDonaldTrump  https://t.co/pa6yYdkYul
1041476802747625473 2018-09-16 19:59:54 -0400 <JohnCFischer_> @Jenapher_B @realDonaldTrump You're kidding right?  https://t.co/pCib3jteAS
1041476802332377088 2018-09-16 19:59:54 -0400 <Bain6Jackie> @MicahKolding @MTcowboy3250 @DrSCubed @realDonaldTrump @MariaBartiromo @FoxNews @FoxBusiness Oh, by the way, @realDonaldTrump is completely in agreement with the current Intel community. The other Intel people who have a different version have been out of government for a while.
1041476801997012992 2018-09-16 19:59:53 -0400 <karenta42168532> Thread by @2runtherace: "After Q’s last two drops, I’m thinking possibly the Q Team is starting to be publicly revealed!! @realDonaldTrump @G a look at all these confirmations! How many coincidences before i […]" #QTeam #AdmiralRogers #GeneralFlynn #QAnon  https://t.co/DUV0VqFN7g
1041476801090924544 2018-09-16 19:59:53 -0400 <AHS1974> Thanks @realDonaldTrump your original tweet on Nike has made me big bucks, because you tweet and I immediately bought Nike stock.  Thanks again, love your #FakeNews
1041476800721805312 2018-09-16 19:59:53 -0400 <NuvoDiogenes> @DailyCaller @brianstelter OUT OF CONTEXT America is being hijacked! #Liars #Grifters #Obstruction #TREASON  @realDonaldTrump #FKKKingMORON #KGBBOT #maga #gop  #Work4Trump #Go2Jail #GITMO #TrumpTwerps @mike_pence  @KellyannePolls @StephenMillerAL @PressSec @jeffsessions  https://t.co/ZwnOliMkTq
1041476799794827264 2018-09-16 19:59:53 -0400 <stefandg> @realDonaldTrump What wealth?
1041476798528335872 2018-09-16 19:59:53 -0400 <hollyjaen1> @realDonaldTrump Liar
1041476797668515840 2018-09-16 19:59:52 -0400 <1sm00th1> @2020fight @realDonaldTrump You just be in a hella high tax bracket if you got $100. Most didn’t see any or a number I heard a lot is $17 in the paycheck.
1041476797303382016 2018-09-16 19:59:52 -0400 <JoelFRicca> @realDonaldTrump Liar!
1041476794283548674 2018-09-16 19:59:52 -0400 <leeeeeeeesssa33> @Jenapher_B @realDonaldTrump Please tell me that isn’t the real spelling of your name.
1041476792643670016 2018-09-16 19:59:51 -0400 <RA_RA_1981> @realDonaldTrump So crass!
1041476791221792768 2018-09-16 19:59:51 -0400 <FreedomRings120> @realDonaldTrump is evil and @SenateGOP don't have the courage to be good. @Gipper2020  @PaDenys  https://t.co/oRsP1s5r35
1041476790248718336 2018-09-16 19:59:51 -0400 <RickJ210> @Manhattan1947 @realDonaldTrump @MariaBartiromo @FoxBusiness This also comes in suppository form with an easy glide applicator.
1041476789384740864 2018-09-16 19:59:50 -0400 <PARADEDRIVER> @MBroemmel @Jenapher_B @realDonaldTrump  https://t.co/IWymBxpAzr
1041476789003005957 2018-09-16 19:59:50 -0400 <LassyDub> @realDonaldTrump Wow, shame you couldn’t do that for the American citizens in Puerto Rico!!
1041476788684128257 2018-09-16 19:59:50 -0400 <HalFairchild> @Amicalola @realDonaldTrump @POTUS I am promoting World Peace.
1041476786331234304 2018-09-16 19:59:50 -0400 <MikeC41057665> @Jenapher_B @realDonaldTrump 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 you so funny!
1041476786117206017 2018-09-16 19:59:50 -0400 <vince1833> @realDonaldTrump @MariaBartiromo @FoxBusiness  https://t.co/w36BQLy36G
1041476782430593024 2018-09-16 19:59:49 -0400 <cjhend1231> @realDonaldTrump DEAR MR PRESIDENT:  17 ANGRY DEMOCRATS. NOT ALLOWED UNDER THE LAW, NOT ALLOWED AT ALL. ALL MY RESPECT.
1041476781331673088 2018-09-16 19:59:49 -0400 <Debraluther6> @realDonaldTrump Oh and health care
1041476778949267456 2018-09-16 19:59:48 -0400 <PaoniRoberta> @realDonaldTrump @MariaBartiromo @FoxBusiness You wouldn't know a real fact if it hit you with a 2 by 4.
1041476778110410753 2018-09-16 19:59:48 -0400 <RealNewsTerry> @realDonaldTrump Go eat a trump tower taco bowl!
1041476777451970561 2018-09-16 19:59:48 -0400 <mjayshilling1> @realDonaldTrump @fema @FEMA_Brock I guess that makes everything ok Donnie please stop praising yourself and just be a bedrock for the people who are suffering
1041476773895135232 2018-09-16 19:59:47 -0400 <Chronamut> @Ehac10 @WeRAllDivine @iamphilkirk @Richm222 @FrankFlorio1960 @realDonaldTrump the "removal of patriotism" act.
1041476768912351232 2018-09-16 19:59:46 -0400 <HayesS105> @realDonaldTrump  https://t.co/2B8xz95hau
1041476768807440384 2018-09-16 19:59:46 -0400 <diane_tttt> @GOP @realDonaldTrump  https://t.co/GKjZID3Eyo
1041476768241147904 2018-09-16 19:59:45 -0400 <mebeandreaaolco> @last_buffoon @KLinduff @Tango__Juliette @AshTodd4 @WendyTruong3 @signorex3 @DanerE_57 @BonJS0370 @YerOpinion @HjelmRuss @DianaDemarest @kneadinghands @GaryDietz @Betterw05759703 @pnwbonniebaker @LPerez1313 @G82Jared @ShercoSherrill @Samruss28922849 @clara_weim @CarolCpmgasser @IvanDeploravich @LibtardPothead @Englalond1000 @LBisaillon @yankeeproud1 @Marjori87941817 @KikiFoow @katstails @fromjudgesue @jopoleski @Politic25767567 @gzusscripes1 @a_hota74 @c_a_charbonneau @Ealy9099 @Americanvet1219 @AmazonianGal127 @normangoldman @Mindpollution3 @notmyside752 @JohnnyRox12 @cyberma01 @LesterJ76130762 @Onabender716 @wcjackson2 @angieesslinger @Dobgrrman Some people should NEVER wear White unless ur for #AmeriKKKa! Right? @realDonaldTrump
1041476766211104768 2018-09-16 19:59:45 -0400 <petergeorge421> @realDonaldTrump you have absolutely no clue about what is going on.
1041476765607227392 2018-09-16 19:59:45 -0400 <GuitarHistrnYT> @realDonaldTrump The illegal Trump Presidency continues in spite of having less votes than his opponent, the 51 angry Republicans refuse to do anything about the President’s collusion with Russia, refusal to back up his own intel community. Very unfair and BAD; SAD.
