867168263888752640 2017-05-23 19:59:59 -0400 <emilyslongdash> @oshma @realDonaldTrump @GOP Fake
867168260889993216 2017-05-23 19:59:59 -0400 <chris_allman> @BenBerkon @kimkress83 @DarthLolita @realDonaldTrump I am very aware of what I am talking about. We have a press that wants nothing more than to see Trump fail. Zero support.
867168253860343808 2017-05-23 19:59:57 -0400 <tcromwell1> @FoxNews @SpeakerRyan U cant be serious. The WH is in shambles bcuz u have an evil loser known as @realDonaldTrump GOP lol.... What losers u all r
867168253273133057 2017-05-23 19:59:57 -0400 <WehnerDavid> @_andylooney @theBaconcat @RichardGrenell @RZimms @realDonaldTrump Andy, shame on you for showing how stupid you really are
867168251993890817 2017-05-23 19:59:57 -0400 <TBobbyA> @realDonaldTrump I sent the following tweet to each Republican in both the House and Senate - ALL read it and ALL shared it (sound advice)
867168249187770368 2017-05-23 19:59:56 -0400 <ReneeGalvan4> @realDonaldTrump @GOP @seanspicer Senate panel says to subpoena Flynn businesses    https://t.co/diHNYUEJee  https://t.co/grHHlot9cl
867168245522083845 2017-05-23 19:59:55 -0400 <e7225548eaab4fe> @adamcbest @realDonaldTrump and I guess you think Hillary would be better???
867168231269715968 2017-05-23 19:59:52 -0400 <Terry24681865> @meangirl1 @KlayVolk @FLOTUS @POTUS @Pontifex @realDonaldTrump #1 Accusing him of something many women say way worse about men isn't Proof, it's Slander you Crybaby snowflake #SoreLoser Get some help!
867168228824559616 2017-05-23 19:59:51 -0400 <bessy_c3> @AllenBr81380751 @FoxNews @POTUS @realDonaldTrump Exactly how o feel about trump
867168222570844160 2017-05-23 19:59:50 -0400 <JAFFY1313> If @realDonaldTrump LOVED VETERANS and their FAMILYS as he stated so much. Then WHY THE HELL is he CUTTING their benefits? He LIED to you!
867168214777815042 2017-05-23 19:59:48 -0400 <GFDougie> I think @realDonaldTrump @POTUS will be #served w/ #Impeachment; despite the #Republican #HouseOfRep! #Government will work in #USA!
867168211929890816 2017-05-23 19:59:47 -0400 <iblucy1122> @johnpavlovitz @FoxNews @realDonaldTrump 3) work that night. The elderly are forgotten and I doubt if 45's mother was there, he would still cut the budget. Priorities are screwed up
