861370051055812610 2017-05-07 19:59:58 -0400 <kchivzzz> @realDonaldTrump nice try
861370050078535680 2017-05-07 19:59:58 -0400 <vandevil555> @realDonaldTrump Tick tock tick tock tick tock tick tock tick tock tick tock tick tock tick tock tick tock tick tock tick tock tick tock tick tock tick tock
861370049143087104 2017-05-07 19:59:57 -0400 <imsorrywth> @FoxNews @realDonaldTrump @POTUS So its unfair when someone takes the words and actions that you do and then televise it? Hahahaha
861370048530620416 2017-05-07 19:59:57 -0400 <Stassi_Karr> @OfficialSPGB @realDonaldTrump What's wrong w/people? Do you even know what you're standing up for? Brainwashed by libs &amp; media pray4 France
861370048140783616 2017-05-07 19:59:57 -0400 <tknight3> @realDonaldTrump Everything out of your mouth is a big fat lie. So why would we believe this, Old Man
861370048065269760 2017-05-07 19:59:57 -0400 <AparkinNYC> @GeraldoRivera @realDonaldTrump Not one conservative gave Obama his due. GOP did nothing to help clean up the mess left to him. He left the country on sure footing for #45
861370047754842112 2017-05-07 19:59:57 -0400 <jwhiggins75460> @jmendrews @Fuctupmind @ZakZales @theNuzzy @realDonaldTrump @HillaryClinton What's something good that happened under Obama? More people on welfare, more people out of work, Obama DOUBLED the national debt...
861370046282690560 2017-05-07 19:59:57 -0400 <HankLewis9> @realDonaldTrump @realDonaldTrump you're toxic in more countries than nerve gas. No one "wants" to work with you, but for the sake of world peace, they will.
861370043199868928 2017-05-07 19:59:56 -0400 <judy_kimble5> @15183_roxyneuro @JeffHar18906046 @trahanjack @KspetersenKen @dtfp2016 @yourworlddaily @richardhenrypa1 @ClearScanOrg @dannyboy5368 @BishopInAfrica @pianostruck @beadlover55 @carlobnms20511 @TeamTrumpAZ @eissolomon11 @JrcheneyJohn @ROCKONDUDE2 @GeorgiaDirtRoad @Mags661 @LeahR77 @ChristieC733 @LVNancy @FiveRights @POTUS @realDonaldTrump @BetsyDeVosED @VP @Scavino45 So, when Dylan Roof killed 9 black parishioners to "bring back segregation", that wasn't a hate crime?  Who got special rights? So ignorant!
861370042667216896 2017-05-07 19:59:56 -0400 <umackja> @potus @realDonaldTrump Only one #LiarInChief here.  That would be you.  #youfucker  https://t.co/R1IuiIM3JD
861370041421508608 2017-05-07 19:59:56 -0400 <offthepost71> @DailyMail @realDonaldTrump is responsible for this. MS-13 is just misunderstood utes
