938196282245398528 2017-12-05 18:59:59 -0400 <fenlohuwhite> @JMcfeels @realDonaldTrump Deeply concerning
938196280475639808 2017-12-05 18:59:58 -0400 <jennifer19471> @realDonaldTrump It was amazing to watch Trey Gowdy. He's great at revealing a liar. So, I've thought about all this and came to conclusion
938196278823079937 2017-12-05 18:59:58 -0400 <JeffGulino> @realDonaldTrump Hpocrite racist war monger 👎💩👎👎💩 asshole 💩💩💩
938196276918792192 2017-12-05 18:59:57 -0400 <fishsamich744> @realDonaldTrump backing a child rapist? Nice. #GOP
938196275966693377 2017-12-05 18:59:57 -0400 <PeterRFreeman> Hmmm. What about this Donnie boy  @realDonaldTrump Can't trust your own VP. What a shame.. @VP  https://t.co/iUOCsk1YQ0
938196275119271937 2017-12-05 18:59:57 -0400 <OrangyClown45> @realDonaldTrump  https://t.co/ox5MbLOTMt US border arrests plummet to lowest level since 1971 amid Donald Trump's hardline immigration stance
938196274700062725 2017-12-05 18:59:57 -0400 <john_korakas> @SenatorCantwell @SenateDems @realDonaldTrump @nytimes @washingtonpost @Lawrence @SenMajLdr “ROBIN HOOD IN REVERSE” PLAN WORST IN US HISTORY! GOP CONGRESS IS A DIDGRAVE!
938196273659756544 2017-12-05 18:59:57 -0400 <onewsewmn> @Brasilmagic @TuckerCarlson @realDonaldTrump @FoxNews Excuse moi while I LOL‼️😉
938196270421864449 2017-12-05 18:59:56 -0400 <Juanita32996276> @wolfeyekidd @RonniesLaughing @DRJOLT @TuckerCarlson @realDonaldTrump @FoxNews @POTUS WE HERE KNOW THAT THERE IS A NEED 2 CLEAN UP THIS GOV ,FBI,CIA &amp; ANY OTHER PLACE  THAT IS AGAINST 4 PPL&amp; THEIR FREEDOMS.👍🙏🇺🇸💒🇺🇸💒😁❤🎄🎁
938196269863985153 2017-12-05 18:59:56 -0400 <z_t_m17> @GOP @realDonaldTrump   https://t.co/RVaUA7QIEr
938196268215566337 2017-12-05 18:59:55 -0400 <DelacruzAugie> @realDonaldTrump WTF for?
938196267221446656 2017-12-05 18:59:55 -0400 <likesMixedNuts> @realDonaldTrump @TeamTrump   https://t.co/FZskDzrTLf
938196260854665217 2017-12-05 18:59:54 -0400 <Ottawaguy1962> @DonnaWR8 @realDonaldTrump Well to do so arrest her for a crime. Then have a trial and a conviction. See how that works. But in Trump's world that would be expensive.
938196260418478080 2017-12-05 18:59:53 -0400 <MichaelRajner> @browardpolitics @BrittanyWallman @realDonaldTrump He’s only just realizing this?
938196257926930432 2017-12-05 18:59:53 -0400 <JTF_Christ> @lanceb131 @hondo1650 @dljones60 @GeorgeTakei @realDonaldTrump You know what Mark Twain said about fool's and arguing.   I agree with you BTW.
938196255020388354 2017-12-05 18:59:52 -0400 <LesleyWischmann> @EarthjusticeDC @Earthjustice @realDonaldTrump Really sad that so few people understand how their rich heritage is being sold off to greedy corporate interests. The “debt clock” needs to be a true balance sheet, showing our assets as well. We ignore our assets at our grave peril.
938196252768038917 2017-12-05 18:59:52 -0400 <TylerDPhelan> @realDonaldTrump I’ve been kicked in the nuts before, no need to do it to myself.
938196250234630146 2017-12-05 18:59:51 -0400 <Reliant6410Miss> @realDonaldTrump You could not pay me enough to attend such circus.
938196249286725633 2017-12-05 18:59:51 -0400 <joshdelozier> Ironically, it might be a ruling in the Clinton-Paula Jones case that required @realDonaldTrump to testify under oath about this allegation.  https://t.co/FzQypY5rkU
938196249135779840 2017-12-05 18:59:51 -0400 <AnnRompca> @realDonaldTrump Donald dont ever give upp,you are ehat America needs
938196247378321408 2017-12-05 18:59:50 -0400 <Yelena_NNT> @finger_painter @notinabluemoon @SenatorDurbin @SecretaryZinke @realDonaldTrump State and local governments cannot take control of federal land, unless special provisions are made. I couldn’t find any. Have you?
938196246073712640 2017-12-05 18:59:50 -0400 <THCobbPHC> @1960Doe @realDonaldTrump 'tis the season! I love Christmas movies.  https://t.co/vHOpxp4eu0
938196242588254208 2017-12-05 18:59:49 -0400 <suejam6> Hey @realDonaldTrump - think this photo would be perfect for Roy Moore’s locker door in his ‘Special Place in Hell’ - enjoy!  https://t.co/mb6nlOYBPo
938196242512928769 2017-12-05 18:59:49 -0400 <MomsThoughts> @dreamweaver1001 @JulieGrey13 @SenateGOP @SpeakerRyan @SenateMajLdr @MooreSenate @farenthold @GOP @realDonaldTrump I think it is!  @womensmarch 2!!!  ✊
938196241766338562 2017-12-05 18:59:49 -0400 <DavidCe99720302> @SocialPowerOne1 Crazy people like him are most of @realDonaldTrump followers.
