1177372276578246662 2019-09-26 19:59:59 -0400 <Vfljrj98> @kayleighmcenany @realDonaldTrump And we are surprised?!
1177372276561498112 2019-09-26 19:59:59 -0400 <AndrewHarris80> @LisaMDavison @RepStevenSmith @realDonaldTrump @jsolomonReports Trump tariffs on Chinese steel remember... except the majority of the steel you buy comes from us. You emit 1/5 of all greenhouse gasses You’re mango POTUS has economically attacked us as well. And which party would that be?  We have several unlike your archaic two party system.
1177372276150493184 2019-09-26 19:59:59 -0400 <JosJrfeo> @JulioBorges @realDonaldTrump @jguaido Señor Trump,a usted no le da Ascó escuchar a un Asesino de Niños como Julio Borges pedir la destrucción de su pueblo. Le gustaría tener TRAIDORES como este dentro de su gobierno. Guaido Paraco Rastrojo.
1177372275412221955 2019-09-26 19:59:59 -0400 <stretchlimo5> @rhonda_harbison @denise_kakacek @realDonaldTrump Those who support trump will read this and say the liberals are the ones believing the enemy.
1177372275185790976 2019-09-26 19:59:59 -0400 <Amusedandhappy> @ScottPresler @realDonaldTrump @seanhannity @FoxNews Because polluted US rivers, soon to be much more polluted thanks to #PABOTUS , flow into Mexico.
1177372275055587328 2019-09-26 19:59:59 -0400 <JT64168107> @POTUS @realDonaldTrump @FLOTUS @WhiteHouse @GOP @DevinNunes @DanCrenshawTX @stevenmnuchin1 @senatemajldr @GOPLeader @GOPChairwoman @foxandfriends @foxnation @IngrahamAngle @TuckerCarlson @TomFitton @thehill @Heritage @FDRLST @charliekirk11 @TheDailyCaller @BreitbartNews @OANN
1177372274774683650 2019-09-26 19:59:59 -0400 <MaryMcG51004542> @realDonaldTrump The president of Ukraine knows you threatened him a few times already. What do you think he's going to say?? His country needs our help. And this IS NOT about Biden this is about what YOU DID!! You always have the "what about". You're a criminal and you got caught. You're DONE!!
1177372274409771008 2019-09-26 19:59:59 -0400 <nancyokeef> @EricTrump @SpeakerPelosi @realDonaldTrump Trust me-  Americans are red rage furious!!! Dems are done! Pelosi and her lying corrupt pedos can kiss our collective ass!! ☺
1177372273965031424 2019-09-26 19:59:59 -0400 <riffraff0001> @realDonaldTrump Obama was a better public speaker and a better Golfer.
1177372273860390912 2019-09-26 19:59:59 -0400 <KittiiMaow> @EricTrump @SpeakerPelosi @realDonaldTrump  https://t.co/QPqlFnXuDu
1177372272983728130 2019-09-26 19:59:59 -0400 <cc2055> @MatthewJshow @realDonaldTrump And trump is not.  He still has pending lawsuits waiting for him when he gets out of office.
1177372270907363330 2019-09-26 19:59:58 -0400 <bargegol> @realDonaldTrump @seanhannity @FoxNews Are you resigning? That would the only GREAT thing to do.
1177372270626529280 2019-09-26 19:59:58 -0400 <Silverpathic> @RepMarkMeadows @_hublette @realDonaldTrump @CNN 🖕
1177372268990619650 2019-09-26 19:59:58 -0400 <stock_janine> @TeamTrump @realDonaldTrump @mike_pence The PEOPLE WANT FASCISTS LIKE TRUMP &amp; all those that assist him in continuing his traitorous occupation of the Oval office be brought to justice. That's the agenda. GOP leadership is right up there in aiding and abetting him &amp; Russia.
1177372268340699136 2019-09-26 19:59:57 -0400 <NormaHerna68> @realDonaldTrump  https://t.co/RQNcoJojp6
1177372268042674176 2019-09-26 19:59:57 -0400 <DudeAsInCool> @LouDobbs @realDonaldTrump @RepMarkMeadows @POTUS The majority of people didnt elect him, Lou
1177372267811983360 2019-09-26 19:59:57 -0400 <BigRedXJ> @ColMorrisDavis @realDonaldTrump You mean the tax cuts didn't help the middle class?
1177372267661185024 2019-09-26 19:59:57 -0400 <JayJack2568> @realDonaldTrump Speaks for itself!  https://t.co/csnTeVJ2JE
1177372267338063872 2019-09-26 19:59:57 -0400 <Conman174> @mirandayaver @realDonaldTrump So enlisting the IRS (obama) and justice (obama) is no big deal?
1177372266704695296 2019-09-26 19:59:57 -0400 <KathyMerry2> @realDonaldTrump Oh, they are not saying that any more.  You were holding back funds for favors.  What do you expect the newly elected comedian to say?
1177372266306396160 2019-09-26 19:59:57 -0400 <salmonpaul76> @realDonaldTrump @seanhannity @FoxNews Doesn’t matter what your statement is, it will all be lies anyways. The only thing that matters are the facts and you pressured a foreign government to smear a political rival.
1177372265882632192 2019-09-26 19:59:57 -0400 <BabsSCL> @RepSwalwell @joncoopertweets @realDonaldTrump Schiff, Speier, Lieu, Swalwell CALIFORNIA STRONG
1177372265656307715 2019-09-26 19:59:57 -0400 <58LesPaul> @realDonaldTrump @seanhannity @FoxNews Let’s drop this into the Trump-o-lator and get the translation shall we? Pfffffzzzzztt.  Will be another GREATLY inaccurate talking point show tonight by @seanhannity on @foxnews (9:00 PM). Will play my full statement from Air Force One!
1177372265312395264 2019-09-26 19:59:57 -0400 <Jack2John> @realDonaldTrump 🤣  .@realDonaldTrump #TreasonousTrump #Whistleblower #WhistleblowerComplaint #Nunes
1177372264049889282 2019-09-26 19:59:56 -0400 <RebekahAmerica1> @kelshel7781 @stillgray @realDonaldTrump How about you try an educated response. This is America today? Oh my. Is it youth or just plain stupidity? They have set Trump up everytime. Hence why impeachment has not happened, nor will it?
1177372263781294082 2019-09-26 19:59:56 -0400 <nalley_a> @w_terrence @realDonaldTrump Good job Terrence!!
1177372263110316037 2019-09-26 19:59:56 -0400 <LadyDetectiveX> @got99coins @nytimes @realDonaldTrump  https://t.co/ImxD0RRHYm
1177372261558476800 2019-09-26 19:59:56 -0400 <ingohellwege> @ltnldy805 @realDonaldTrump He still is. Sadly
1177372260522504192 2019-09-26 19:59:56 -0400 <yeogib> @dansidwell @realDonaldTrump @POTUS @seanhannity @FoxNews Every. Single. One.
1177372259822002176 2019-09-26 19:59:55 -0400 <Mac23601097> Watch "BREAKING NEWS! MAGASOTA LAUNCHES TO WIN MINNESOTA FOR TRUMP!" on YouTube  https://t.co/yzBDY03Zdl  @realDonaldTrump  @DonaldJTrumpJr
1177372258857365504 2019-09-26 19:59:55 -0400 <davidrmahon> @realDonaldTrump  https://t.co/2kzx8LU2ac
1177372258257592320 2019-09-26 19:59:55 -0400 <wmburnett111> @real_defender @realDonaldTrump 🖕🏻
1177372258010054656 2019-09-26 19:59:55 -0400 <jon_quijano> @calebspayd @Jared_Courn @realDonaldTrump Derp.
1177372257993330688 2019-09-26 19:59:55 -0400 <Sherwood1981> @ChrisJZullo @realDonaldTrump @seanhannity @FoxNews It is fake when they report "news" based on make believe, then have to make corrections! Keep whining, snowflake! Donald Trump is still your president!
1177372256172822529 2019-09-26 19:59:55 -0400 <SugarBabiesMom> @realDonaldTrump No MOBS allowed !
1177372253287309312 2019-09-26 19:59:54 -0400 <lauras7771> @realDonaldTrump @WhiteHouse @seanhannity @FoxNews So they will play your lies then.  Nice.
1177372252645425152 2019-09-26 19:59:54 -0400 <bjk5568> @EricTrump @SpeakerPelosi @realDonaldTrump Absolutely!!! Doubled my donation!!!
1177372251781521408 2019-09-26 19:59:54 -0400 <LeeRuss16374278> @realDonaldTrump @seanhannity @FoxNews You’re #dunzodonnie. Buh bye.
1177372251764793349 2019-09-26 19:59:53 -0400 <dbcompany2> @DavidWohl @realDonaldTrump Lmao
1177372251437486080 2019-09-26 19:59:53 -0400 <nickbeatty72> @realDonaldTrump #FakePresident getting really defensive
1177372251424997376 2019-09-26 19:59:53 -0400 <frank4indiana> @TomiLahren Hahahahaha hey #fauxprincess @realDonaldTrump has his own secret server. Pay attention next time.
1177372251085144064 2019-09-26 19:59:53 -0400 <potzer37> @TWIT_ANTHONY @realDonaldTrump The Smiths lyrics are super appropriate here as Morrissey is also a huge crybaby.
