1176647500779925504 2019-09-24 19:59:59 -0400 <irispraytan> .@realDonaldTrump .@SpeakerPelosi Indeed they did.. Thanks Nancy!! 🤣
1176647500717023232 2019-09-24 19:59:59 -0400 <nysangel> @realDonaldTrump Gee buddy, you're in a pickle.
1176647500003971072 2019-09-24 19:59:59 -0400 <BernadetteNoBot> @FloridaGal0814 @realDonaldTrump 🤣🤣🤣🤣
1176647499572031488 2019-09-24 19:59:59 -0400 <aevumtacet> @ChatByCC @realDonaldTrump Агентство интернет-исследований  https://t.co/LGVPMVspaB
1176647499555266562 2019-09-24 19:59:59 -0400 <ProfGranPops> @real_defender @realDonaldTrump Not me!!
1176647499337125888 2019-09-24 19:59:59 -0400 <Kansas4Trump> @realDonaldTrump We are with you forever Mr. President!  ◾Proud To Be An American ◾Trump Landslide 2020 ◾Vote Red To Save America ◾Trump Keeps His Promises  https://t.co/m2DDYLxSbx
1176647498791817218 2019-09-24 19:59:59 -0400 <Stoneold66> @realDonaldTrump You're done, old man. A lifetime of surrounding yourself with yes men and bullying your way through life is over.
1176647498095611905 2019-09-24 19:59:59 -0400 <clarisheets> @Dora_Lee @realDonaldTrump That is so good to watch!
1176647496619020290 2019-09-24 19:59:58 -0400 <Anna86653476> @IvankaTrump @realDonaldTrump Is a Ivanka somehow.. high too😂
1176647495981719552 2019-09-24 19:59:58 -0400 <BHallBabyDoc> @realDonaldTrump Because you illegally withheld it...
1176647495444848642 2019-09-24 19:59:58 -0400 <50_klaus> @AynRandPaulRyan @realDonaldTrump Holly Figueroa, how many times did Obama lie, not only to the american people, but also to the world? Did you count that to?
1176647495176396801 2019-09-24 19:59:58 -0400 <NTolliver1987> @chrislhayes @RepAdamSchiff @realDonaldTrump  https://t.co/x8mawaPvfL
1176647494576394241 2019-09-24 19:59:58 -0400 <HollywoodHoot> @only___me____ @69destinychoice @realDonaldTrump It is for you apparently.
1176647494484279296 2019-09-24 19:59:58 -0400 <Tawny13> @cspan @realDonaldTrump HAHAHAHAHAHAHAHAHA
1176647494316560385 2019-09-24 19:59:58 -0400 <PamEllaCasual> @realDonaldTrump Did you get laughed at this year?
1176647493913911297 2019-09-24 19:59:58 -0400 <yourfavoritejim> @realDonaldTrump Have you tried the new Popeyes sammich?
1176647493452324864 2019-09-24 19:59:58 -0400 <JoAnnDonohue2> @RyanAFournier @akabfaber @realDonaldTrump Trump 2020
1176647492974366722 2019-09-24 19:59:58 -0400 <lbwhileblack> @realDonaldTrump  https://t.co/tMbSVozM5m
1176647492475092993 2019-09-24 19:59:57 -0400 <epaaa63> @realDonaldTrump  https://t.co/q0D4Vk35uI
1176647489803472896 2019-09-24 19:59:57 -0400 <GretchenInDE> @realDonaldTrump  https://t.co/roc0l15wuI
1176647488817811456 2019-09-24 19:59:57 -0400 <frhad100ashegh_> @realDonaldTrump  https://t.co/wxPgxq5B1x
1176647488268394497 2019-09-24 19:59:56 -0400 <LabrakeMichael> @TWIT_ANTHONY @realDonaldTrump Well actually the depression would only be felt in the southern states. And who really cares about them besides trump. We in the north just pretend that you’re not even there. And so far it’s been working.
1176647488217812992 2019-09-24 19:59:56 -0400 <snarkylady> @JFNYC1 @realDonaldTrump Bingo!
1176647488167698439 2019-09-24 19:59:56 -0400 <kellythesequel> @realDonaldTrump We are a country of laws. Even for you.
1176647488067047424 2019-09-24 19:59:56 -0400 <suziemiller63> @realDonaldTrump
1176647487836364800 2019-09-24 19:59:56 -0400 <FaBPaule> @realDonaldTrump Ohhhh, you’re going to jail! 😂
1176647486842105856 2019-09-24 19:59:56 -0400 <Mountaingoat957> @v0teblu3 @realDevinMagill @ThoughtsByArii @GermanyTrump @realDonaldTrump You’re debating a potential NASA employee, they’re looking for brilliant conservative minds.  https://t.co/YwatdQz1DX
1176647484694773760 2019-09-24 19:59:56 -0400 <1983dodgers> @Liz_Cheney @SpeakerPelosi @realDonaldTrump Like monster like monster
1176647484648624128 2019-09-24 19:59:56 -0400 <SvenJohannsen7> @realDonaldTrump What would that list of “successes” be?
1176647484493484032 2019-09-24 19:59:56 -0400 <STPFreak> @SteveScalise @realDonaldTrump P.S.  Stop being Trump's parrot.
1176647484296163328 2019-09-24 19:59:55 -0400 <Metallichris> @realDonaldTrump MAIA! Make America Impeach Again! Awww yeah.... This actually may be a fun Fall!
1176647483570737152 2019-09-24 19:59:55 -0400 <profs_murphy> @realDonaldTrump  https://t.co/Q28Le3EpCa
1176647483033866241 2019-09-24 19:59:55 -0400 <alexizedM> @ABC Epstein died under Federal custody!! I would not trust any of these mobsters in the current administration: AG Barr, @realDonaldTrump etc; Keep the Whistleblower far away and safe from these people!!  https://t.co/8C6l1yQ7Vq
1176647482576498689 2019-09-24 19:59:55 -0400 <coffeeforhealth> @AngelaBelcamino @realDonaldTrump @CLewandowski_ Trump 2020. 4 more years.
1176647482211819520 2019-09-24 19:59:55 -0400 <FranP2018> @realDonaldTrump That speech of yours has got to be the most boring rendition of a boring speech !!!
1176647481695854592 2019-09-24 19:59:55 -0400 <coldpluto55> @realDonaldTrump Hahahahahaaaaaaaaaaaaaaaaaaahaha🤡
1176647481611948033 2019-09-24 19:59:55 -0400 <jkm69691> @realDonaldTrump You....you are what is SO bad for this country!!! And remember, no one is above the law.
1176647481473622017 2019-09-24 19:59:55 -0400 <MarkLothian1> If people had stopped crying Nov 9, 2016 after the election and accepted they lost, we could have done a lot to improve the country with @realDonaldTrump  Instead they threw out a boat anchor and then @realDonaldTrump made America better in spite of them. They look trite now
1176647481427398658 2019-09-24 19:59:55 -0400 <gigiboo59> @realDonaldTrump Your boy Mitch is the one holding everything up
1176647481360310273 2019-09-24 19:59:55 -0400 <1213treboR> @hogangidley45 @SebGorka @realDonaldTrump God bless you Mr President.
1176647481276452864 2019-09-24 19:59:55 -0400 <chinster2017> Seriously @realDonaldTrump how is this legit if there was no vote on the house floor?  She knew she would not have the votes!  So how does that work?  Just because she says it, it's okay?  What happened to procedure?
1176647480848592901 2019-09-24 19:59:55 -0400 <gregun1> @realDonaldTrump For someone who professes innocence, Trump hides a lot.
1176647480840245249 2019-09-24 19:59:55 -0400 <patsfan4evah> @realDonaldTrump  My thoughts on this impeachment stuff: I'm betting the RepubliKlans end up going along with it.... Trump has already replaced all the federal judges, he's got his Supreme Court Justices, he's wiped out all of Obama's accomplishments....
1176647480718573568 2019-09-24 19:59:55 -0400 <jerdewees> @realDonaldTrump They are just being the typical poor losers. We are with you 2020
1176647480059891712 2019-09-24 19:59:54 -0400 <GreatIn58317225> @realDonaldTrump
1176647479686623232 2019-09-24 19:59:54 -0400 <georgelily> @eugenegu @realDonaldTrump We won’t hear the whole thing
1176647479263211520 2019-09-24 19:59:54 -0400 <ses1978> @realDonaldTrump  https://t.co/g8q9U5Wrl1
1176647479263150080 2019-09-24 19:59:54 -0400 <mohamed50840467> @realDonaldTrump  https://t.co/zVpb4qesld
1176647479258828800 2019-09-24 19:59:54 -0400 <katherine_skokk> @realDonaldTrump It’s not the transcript that is important. We are waiting for the Whistleblower complaint and testimony.
1176647477681782784 2019-09-24 19:59:54 -0400 <peaceloverockr> @realDonaldTrump You sound high!  https://t.co/CxQwqaG8gz
1176647477660831744 2019-09-24 19:59:54 -0400 <DaniGraychik> @PattyWheeler12 @real_defender @realDonaldTrump I think they’ve earned their paychecks. These are all passed by Congress since January 2019. They’re just waiting for McConnell to bring them to a Senate vote!
1176647477145079809 2019-09-24 19:59:54 -0400 <cari_rech> @realDonaldTrump Quer o zap da Dilma?  Ou o do Collor?
1176647476310421504 2019-09-24 19:59:54 -0400 <MakeAmericaSan3> @realDonaldTrump  https://t.co/2RuzvzQunL
