990380137681219584 2018-04-28 19:59:59 -0400 <AndyKimy> @realDonaldTrump @FoxNews Nope.
990380134157840385 2018-04-28 19:59:59 -0400 <Wwidget11> @realDonaldTrump YOU GO FIRST!  Do us all a favor and get the hell out.  Only then can we MAGA!
990380133612634112 2018-04-28 19:59:58 -0400 <ShadelAngie> @T_Bone1964 @FoxNews @realDonaldTrump Sure they do— that’s the case with Obama.....
990380130219552768 2018-04-28 19:59:58 -0400 <ffalcon52> @DeeKenMayhem @realDonaldTrump @FoxNews   https://t.co/pa41XBxtRo
990380129053495296 2018-04-28 19:59:57 -0400 <Hansnfranz> @realDonaldTrump @FoxNews Donald, the EU doesn’t want to pay for the BS wars this country loves to get involved in. The EU has no interest invading Iran like this administration does. #NATO #JCPOA #IranNuclearDeal
990380128466325505 2018-04-28 19:59:57 -0400 <fuzzymuzz> @realDonaldTrump @foxandfriends It's pretty rich you calling anyone a liar -- especially a person as highly respected as Clapper.
990380128055148544 2018-04-28 19:59:57 -0400 <missnmkim> @GR8_2B_alive @realDonaldTrump Wow!  I use our VA in WI and I have never seen anything this bad!
990380127858188289 2018-04-28 19:59:57 -0400 <2VAIN2> @JesseBWatters @WattersWorld @realDonaldTrump 😎😎😎  https://t.co/Ggz0XJdt8h
990380127593918464 2018-04-28 19:59:57 -0400 <Dsw1957Dennis> @realDonaldTrump @FoxNews Oh come on, not another comedy hour.
990380127178633216 2018-04-28 19:59:57 -0400 <HawkThrobbin> @cykelly1718 @realDonaldTrump @kschmitz_8 @HillaryClinton Yet when I look at the score board it says  Trump 1 Hillary 0
990380123626098688 2018-04-28 19:59:56 -0400 <kyleadalton> @LadyChesapeake @EricTrump @realDonaldTrump @POTUS Telling what? Lies. Oh yeah. That.
990380122619326464 2018-04-28 19:59:56 -0400 <heartisatwitta> @VictorBSmith10 @realDonaldTrump There were 20+ coworkers complaining about the good doctor.  I think 23 if I remember right.
990380120585187334 2018-04-28 19:59:55 -0400 <PauleyMarsha> @realDonaldTrump   https://t.co/yNga3ItD8r
990380118714413056 2018-04-28 19:59:55 -0400 <ReflectingMan> @SoranoFrank @LouiseMensch @ChiefCovfefe @TheNewTiresias @realDonaldTrump @foxandfriends @Comey @ContainerStore @FBI It’s called projection for a reason. Chekism is loose in America but Mueller has it by the scrawlies.
990380118597144578 2018-04-28 19:59:55 -0400 <BigBlueDaddyLou> @realDonaldTrump Please just shut up
990380117846355968 2018-04-28 19:59:55 -0400 <NEPAforTRUMP> @JesseBWatters @WattersWorld @realDonaldTrump  https://t.co/zvUw25Ijze
990380114046205952 2018-04-28 19:59:54 -0400 <FirstDistortion> @FoxNews @realDonaldTrump   https://t.co/el34hLXUk3
990380114004316160 2018-04-28 19:59:54 -0400 <keishaofdogs> @tedlieu @mom_of_aaa @realDonaldTrump Why does he capitalize random pronouns? Is he German?
990380112712433664 2018-04-28 19:59:53 -0400 <FrankAsher18> @eyevida @tedlieu @realDonaldTrump I understand your point, 20 miles is not the “middle of nowhere”. That’s where his people are so that’s where he goes, it’s what he does.  It’s not hard to figure out.
990380112146087936 2018-04-28 19:59:53 -0400 <regina_tully> @realDonaldTrump I am so sick and tired of peoples lives being destroyed from false statements and the fake news . This is the worst behavior in the world how people don’t care to just destroy lives with lies!
990380111420588032 2018-04-28 19:59:53 -0400 <angrypooka> @realDonaldTrump Secret Service doesn’t handle this type of investigation dipshit.
990380109126189057 2018-04-28 19:59:53 -0400 <heierup> @KingBrahj @kcponte @LeighAnne2014 @beckemp @realDonaldTrump @TwitterSupport “Fine people on both sides.” - Trump about Nazis
990380105934524416 2018-04-28 19:59:52 -0400 <frankinhtown16> @panosjr @daveluvzcubs @realDonaldTrump What exactly did Trump do? Kim got his nuke and now everyone wants to speak to him.
990380099240431619 2018-04-28 19:59:50 -0400 <michdash1> @StormyDaniels I think you've got this all wrong  @realDonaldTrump has ruined this country  @StormyDaniels is only my holding him accountable
990380099076702208 2018-04-28 19:59:50 -0400 <i_mnottellin> @JesseBWatters @WattersWorld @realDonaldTrump Listening to the liar, lie, go you!
990380093670338560 2018-04-28 19:59:49 -0400 <frodo3245> FB STOP CENSORSHIP @realDonaldTrump  https://t.co/soCiwbU7y2
990380091623403520 2018-04-28 19:59:48 -0400 <somuch2019> @FoxNews @realDonaldTrump 😂😂😂😂😂😂😂lies,lies, lies.
