1170124519140233216 2019-09-06 19:59:59 -0400 <MarilynnKobza> @realDonaldTrump  https://t.co/JGlYPt2G1I
1170124517362065408 2019-09-06 19:59:59 -0400 <pantsmcshirt> @realDonaldTrump Just make sure you provide the sharpies!
1170124514375667722 2019-09-06 19:59:58 -0400 <9M8Oyh02Hsnm4Oa> @realDonaldTrump @USCG @fema 🤣🤣
1170124513868226561 2019-09-06 19:59:58 -0400 <EkkaiaA> @realDonaldTrump People show who they really are by their actions. There is no need to pick apart every single thought, every single action that a person performs. What is the point in it all? It’s a waste of time. Why don’t we talk about good things in life? Be positive for a change?
1170124511972188161 2019-09-06 19:59:58 -0400 <jmy999ster> @realDonaldTrump  https://t.co/r58TKQl8fg
1170124511460691968 2019-09-06 19:59:58 -0400 <mimsycoll> @realDonaldTrump If supremes call it law,Mr President, write a book of EO's and EM's.  Right? #Trump2020LandslideVictory @HouseDemocrats @SenateDems
1170124507010535424 2019-09-06 19:59:56 -0400 <MorvantCheryl> @GayleHolden9 @2runtherace @FoxNews @realDonaldTrump @EpochTimes Yes, me To!
1170124506431676417 2019-09-06 19:59:56 -0400 <CrowCrud> @ScottPresler @realDonaldTrump He was 2 days late.
1170124502619033601 2019-09-06 19:59:55 -0400 <amygardner48> @cwyyell @realDonaldTrump  https://t.co/uIAyE1HgmB
1170124501931065344 2019-09-06 19:59:55 -0400 <thetoyman1> @mechester2016 @realDonaldTrump Yes.
1170124501553692673 2019-09-06 19:59:55 -0400 <Howcanyouletth1> @realDonaldTrump So instead admitting you were wrong you announce a ' small  excuse '  and immidiatly call out the (your words) fake news/3th party again. Why don't you live up to your mistakes and focus on a better strategy an all, without fueling every topic  in your benefit. You are  lousy
1170124501532778498 2019-09-06 19:59:55 -0400 <rtsheffy11> @realDonaldTrump That's okay Mr Pres. You aren't really a President anyway. Your just trying to pretend to be one, right?  A real President would have sucked it up a long time ago and moved on. Not like you though. PLAY ON, OLD BOY!!!!
1170124499230121985 2019-09-06 19:59:55 -0400 <wshlst1689> @realDonaldTrump Time to cut the purse strings and let them swim on their own.
1170124498504507392 2019-09-06 19:59:54 -0400 <BorntoGain> @realDonaldTrump  https://t.co/kfmn2AfJfm
1170124496176590848 2019-09-06 19:59:54 -0400 <BennyBoss11> @SenSchumer @realDonaldTrump @senatemajldr You’re unacceptable.
1170124495912349696 2019-09-06 19:59:54 -0400 <dhighl54> @realDonaldTrump That’s why we True Patriots love you so much Mr. President!!!  You don’t back down to these liars
1170124493957648384 2019-09-06 19:59:53 -0400 <factchecking201> @aj_reason @Veritas_2016 @morrithompson @VincentMorenoSD @Irishyrock @realDonaldTrump 😂😂😂😂😂😂😂😂😂  According to AJ, the runner-up in the popular vote should win every single election.  Majorities are dangerous!
1170124493001375746 2019-09-06 19:59:53 -0400 <GrantTraill> @glamelegance @realDonaldTrump Me too Jules, me too..,  https://t.co/ZpgXpJsPB4
1170124491533381632 2019-09-06 19:59:53 -0400 <EmrldTwohundred> @adasomg @realDonaldTrump I think you mean SHARPIEcated.  LOL you Russian Troll.
1170124491411861505 2019-09-06 19:59:53 -0400 <carley_grimes> @realDonaldTrump Good for you and all your friends! Bad for America. Just like you.
1170124491390894081 2019-09-06 19:59:53 -0400 <pisces4761> @realDonaldTrump STOP WHINNING! give it a rest. Don't you have more important issues to deal with? Worst president ever!
1170124491277688832 2019-09-06 19:59:53 -0400 <WattsLamiel> @NewCovenant2018 @RawStory @realDonaldTrump  https://t.co/84PwR6qv0W
1170124491055173632 2019-09-06 19:59:53 -0400 <annemariemavie> @realDonaldTrump Liar liar pants on fire. #ImpeachDonaldTrumpNOW
1170124488379379712 2019-09-06 19:59:52 -0400 <peterlcurry> @realDonaldTrump @jimcramer @JoeSquawk Ha ha ha ha ha ha....
