1026618923117096960 2018-08-06 19:59:59 -0400 <VittorioAV> @realDonaldTrump   https://t.co/Ou9xJKSmSr
1026618921376346112 2018-08-06 19:59:59 -0400 <itsPeteRepeat> @megdropsoup @Harlan @realDonaldTrump Except you conveniently ignore the fact that Twitter is shadowbanning tens of thousands of conservatives, effectively boxing us into an echo chamber.  That includes many conservative politicians who are running for election in November. That's the definition of election meddling.
1026618919610662913 2018-08-06 19:59:58 -0400 <Meekway1> @realDonaldTrump Trump discusses Collusion, Trump Tower Meetings, Manafort, private meetings with Putin,  North Korea continuing Nuclear program...  https://t.co/wGsM4o7D0A
1026618919279153152 2018-08-06 19:59:58 -0400 <isabeemagee> @chrishanson72 @joepabike @SecretaryZinke @realDonaldTrump Most of the fires we are currently having in California right now, the worst ones, didn’t even start in commercial forest land.  He refuses to mention the biggest problem—Climate Change.
1026618918981566464 2018-08-06 19:59:58 -0400 <nodotard> @PersianRose1 @realDonaldTrump asked them for a solid in return for his lap dog treatment of the fascist Sunni regime. You go #sheiks! Let #Trudeau have it!
1026618918771802112 2018-08-06 19:59:58 -0400 <RickBritt61> @realDonaldTrump Oopsie.  https://t.co/WWUZIUQltP
1026618917597454337 2018-08-06 19:59:58 -0400 <factstogether> @realDonaldTrump You are the only vicious person that needs to be removed from our country!
1026618916456488960 2018-08-06 19:59:57 -0400 <ResearchB4uVote> @realDonaldTrump corrupt and dangerous people are in the government right now. They are rapist, conspirators, thieves and money launderers. With so many americans in support of this being ok i am amazed that they care about what is going on outside our borders. FIX our country from within. VOTE!
1026618911586963456 2018-08-06 19:59:56 -0400 <shannon4t76> Greatest book you will ever read. You will also understand @realDonaldTrump  https://t.co/oJhLtvK1dX
1026618910601371648 2018-08-06 19:59:56 -0400 <jfcharlebois> @Blood362 @NeilBancs @4ArTess12 @ktorih1 @Whistlingghost @realDonaldTrump Right.... now, try to differentiate those two words : “Muslim” and “Islamist”. All Muslims don’t take the Qur’an literally. And look back 50-60 years ago at how women were treated in Christian society. Hell, look at how they are treated now in some western countries!
1026618908470472705 2018-08-06 19:59:56 -0400 <EarlStubbs2> @The_Trump_Train @realDonaldTrump @foxandfriends Lock you and family up loser
1026618908281847808 2018-08-06 19:59:56 -0400 <inspectthehome> @realDonaldTrump They don't hate you, they are laughing at you.
1026618908206280705 2018-08-06 19:59:56 -0400 <somberamarath> @realDonaldTrump #FakeNews #FakePresident
1026618907388403712 2018-08-06 19:59:55 -0400 <KPotterman> @realDonaldTrump @foxandfriends But i thought collusion was not a crime.
1026618905748492288 2018-08-06 19:59:55 -0400 <Sebas_Rv> @realDonaldTrump Me caga que tengas tanto poder y a la vez seas tan pendejo.
1026618902275674112 2018-08-06 19:59:54 -0400 <ktravisturek> @realDonaldTrump you will have blood on your hands if something happens to anyone in the news media!
1026618901608558593 2018-08-06 19:59:54 -0400 <Wrath_of_Cath> @Arizona_momma @The_Trump_Train @realDonaldTrump   https://t.co/BhWJXlVMfv
1026618900925083648 2018-08-06 19:59:54 -0400 <HalSchild> @realDonaldTrump at the protest tonight #VoteThemOut  https://t.co/Jv1KKnHUyM
1026618900555939840 2018-08-06 19:59:54 -0400 <dibabiblu> @Lady_Star_Gem @realDonaldTrump Whoever brings him down gets the star!!
1026618899066806272 2018-08-06 19:59:53 -0400 <Guitarlord34> @realDonaldTrump Thanks for sharing your sympathy with the victims. Oh wait, you didn't.
1026618897699667970 2018-08-06 19:59:53 -0400 <RKJ65> @datdiverdown @510_Bate @WinterSolider2 @realDonaldTrump Nah...   https://t.co/7WJB9dUEMS
1026618897368264704 2018-08-06 19:59:53 -0400 <true_sea> @realDonaldTrump CALFIRE says it has "no idea" what Trump's talking about in regards to  "bad environmental laws" making California's fires worse.  "We have  plenty of water for the firefight. The Mendocino complex is next to  Clear Lake and the Carr fire has the Whiskeytown Lake and Lake Shasta"
1026618894436323329 2018-08-06 19:59:52 -0400 <Memboof4> @realDonaldTrump Liar
1026618893744398336 2018-08-06 19:59:52 -0400 <DianneTipton1> @realDonaldTrump I think that's why they carry axes.  https://t.co/AkJTq3q0xq
1026618893027225606 2018-08-06 19:59:52 -0400 <jadegreen64> @slyderboss @realDonaldTrump join the space force and politely fork off to space
1026618892200771586 2018-08-06 19:59:52 -0400 <duenaz_g> @MyKidsMomBB8 @kylegriffin1 @realDonaldTrump  https://t.co/qI56QQpvfr
1026618891164778496 2018-08-06 19:59:51 -0400 <tunaofthesky> @artAudis @realDonaldTrump He should be the president of a different country...a funnier country...maybe Elbonia
1026618889667596290 2018-08-06 19:59:51 -0400 <Moniera1> @FoxNews @Judgenap @POTUS @Judgenap is a DISGRACE to the the legal profession and human race! He’s jealous and hates @POTUS @realDonaldTrump! He supported #CrookedHillary! #NoWayInHell @POTUS would EVER nominate a FRAUD like him for the #SCOTUS!  https://t.co/UdfkJpNqJ4
1026618886584721408 2018-08-06 19:59:50 -0400 <LivLaughLuv21> @CharMac50 @photomama52 @realDonaldTrump Even though this only about what the GOP &amp; the Kochs are up to, I think you find it very interesting...&amp; scary.  https://t.co/7acDC5vNpw
