1079527552107073536 2018-12-30 18:59:59 -0400 <DwightMarshal19> @realDonaldTrump -62%
1079527551297441792 2018-12-30 18:59:59 -0400 <Licentia1963> @TassajaraRd @realDonaldTrump @BarackObama @MichelleObama Don't confuse It with something as healthy as comparisons between fruits....try something It knows, like "Big Macs &amp; Filets O' Fish"
1079527551075139585 2018-12-30 18:59:59 -0400 <sgmret2011> @realDonaldTrump #ResignTrump #TrumpCrimeFamily
1079527549921882113 2018-12-30 18:59:59 -0400 <BbiHarfoSi> @ChinaSaleman @realDonaldTrump @antonioguterres @hrw @StateDept @USSenate @theresa_may @cnni @CNN @BBCAfrica @AJEnglish @FoxNews #Justice4Nera10 @JNera10 @AUAmbAasland @Amnesty_Norge @UNHumanRights @antonioguterres @CrisisGroup @IntlCrimCourt  https://t.co/hpC88VzayH
1079527548281933824 2018-12-30 18:59:58 -0400 <HauthFlorije> @BeaglesResist @coleyworld @realDonaldTrump He didn't talk to anyone. He is a BS artist....
1079527547317207045 2018-12-30 18:59:58 -0400 <RoseLeflere> #TrumpShutown #MexicowillpayfortheWall @realDonaldTrump @GOP why are you all blaming democrats. Accept responsibility for this. You can only fool your base.
1079527545870012416 2018-12-30 18:59:58 -0400 <jb_secessions> @realDonaldTrump It's because Birthers don't know people can climb walls. Don't panic, pretty soon you will have walls around your mansion/prison cell.
1079527542980308994 2018-12-30 18:59:57 -0400 <StanMcCombs1> @realDonaldTrump @JesseBWatters It’s about time the facts finally came out!
1079527542774775810 2018-12-30 18:59:57 -0400 <atxsouthside04> This is the best pic to sum up Trump's base @realDonaldTrump  https://t.co/0dCdlMTdXA
1079527542502113280 2018-12-30 18:59:57 -0400 <Sasha_Suprema> @JeffreyGuterman @realDonaldTrump Free rent is hard to come by these days.🙄
1079527541826826241 2018-12-30 18:59:57 -0400 <JacksonsMom2017> @realDonaldTrump @realDonaldTrump @SenToomey @senatemajldr @senatemajldr Mexico will pay for the wall
1079527541768155141 2018-12-30 18:59:57 -0400 <Forty5ACP> @badwolf70 @realDonaldTrump @DiamondandSilk Are those guard towers? Trump just wants a wall. No guards.
1079527541281615872 2018-12-30 18:59:57 -0400 <Lindalo62382451> @realDonaldTrump Oh lord how pathetic and insane that Trump is trying 2 use Obama’s personal residence as an argument for his fence!!  This is beyond scary!!
1079527540572778496 2018-12-30 18:59:56 -0400 <Icculus30347356> @realDonaldTrump You are a 73 year old 7 year old
1079527540107214848 2018-12-30 18:59:56 -0400 <badger_proud> @realDonaldTrump We also agree that you have pretty much lost both your mind and a majority of your base. Mueller will take care of it, though. You should pack your favorite shit, you won't be there long.
1079527539935268865 2018-12-30 18:59:56 -0400 <GJordonI3> @realDonaldTrump The women should just become call girls and they might get lucky and marry a president.
1079527539763302400 2018-12-30 18:59:56 -0400 <unalienablerght> @FaustKnowsBest @MikeJon12797095 @juliuscaesarrex @DJ12GAUGE00 @InsanityIsFree @TastyCa60374227 @sweetdeesez @NotMe72079601 @UtopiumTinkerer @DaPholosopher @MotorCityBadBoi @ConanSonof @rangermonk1 @Ganulvian @politicalrussef @thaimaishuu @alllibertynews @getsmartguys @OutlawedMind @lambzy12 @itsmycountryto1 @ForestAflame @jrchism1 @William_J_Hurst @FuzzyBlueOG @riceman79 @LewtonSerena5 @MaxPowe10034250 @MainsheetMeric @theracetbannon @Thesilentscrea3 @johnnylemuria @cryptoking213 @dc_healey @Herbert_L_Reed @JMfreespeech @realDonaldTrump @AntiStupidWars @JamesLWilson @flowwiththezo @JSwur @ThePeteRaymond @thefreerifleman @FreedomGottaAK @GoldPillBrown @unknownchaos3 @SallyMayweather @Nalasnotnormal @birdarchist Sweetheart, living under socialism will not make our country better. That was tried in #Venezuela. You have no success stories.
1079527539591266304 2018-12-30 18:59:56 -0400 <Susan78English> @3rdViv @zorkmow @MKGenest @sharagodwinson @Kokomothegreat @SocialPowerOne1 @kimmyifuplease @karatedentist @Pacoluismonta9a @ez1weeze1 @Amy_Siskind @Arigon52 @funder @theRealDawson83 @JoAnnLewis2 @ChrisSt44752892 @X953101 @realDonaldTrump
1079527538441900032 2018-12-30 18:59:56 -0400 <funnymcmurray> @realDonaldTrump Since Trump always has to try to outdo #Obama, he can have a *20* foot wall around his future residence. That is a #Wall that ALL Americans would be proud to pay for, and REALLY enhance the #USA's National Security! After the #TrumpShutdown, #ShutDownTrump to #MAGA &amp; #DTS!  https://t.co/C5X0BpfS0J
1079527538001625090 2018-12-30 18:59:56 -0400 <vickism61> @realDonaldTrump @JesseBWatters  https://t.co/uqSd6tyEzm
1079527537141665793 2018-12-30 18:59:56 -0400 <BigBlackGED> @The_Hard_Gudbye @KeiraJaneReed1 @realDonaldTrump 63 homicide convictions over a 7 year period. I'm being generous and rounding up.
1079527535514447873 2018-12-30 18:59:55 -0400 <Mikeysgurl1> @realDonaldTrump Thank you to our border patrol and to you, Mr. President for fighting so hard to keep us safe! #MAGA
1079527531366223872 2018-12-30 18:59:54 -0400 <Realrrjenkins> @realDonaldTrump Not even comparable to the monument you want.
1079527528576892928 2018-12-30 18:59:54 -0400 <Barnacules> @vazr00 @realDonaldTrump @NancyPelosi Nah, Trump is directly responsible for the neglect that lead to their deaths. But keep trying to deflect to uninvolved parties if it helps you sleep while you continue to support someone that goes against the core values of our country.
1079527526609944579 2018-12-30 18:59:53 -0400 <ginsengity> @rolandscahill @mms5048 Yeah- @realDonaldTrump makes George W.  Bush seem smart, Richard Nixon seem honest &amp; Bill Clinton seem faithful
1079527525645279232 2018-12-30 18:59:53 -0400 <CadeCresse> @jasonhaber @WissamIssa7 @realDonaldTrump But in this case, Obama’s home and America are kept safe by the same means—a wall.
1079527525615841280 2018-12-30 18:59:53 -0400 <moxiemona> @realDonaldTrump @JesseBWatters And the beat goes on!  🤣🤣🤣🤣🤣🤣
1079527525242548230 2018-12-30 18:59:53 -0400 <k_corang> @realDonaldTrump  So instead of casting the blame on another party why not just figure out something to compromise and get the government back on track, ok?!
1079527525221490689 2018-12-30 18:59:53 -0400 <cholly100> @michele_f68 @chipcoffey @realDonaldTrump @JesseBWatters Freak!
1079527524760199170 2018-12-30 18:59:53 -0400 <mlswartz22> @cnnbrk @realDonaldTrump wouldn't give a supplier any money without knowing what he was getting in return.  How can he expect Congress to give him $5 billion without any type of well documented plan!!  It's an obvious political scam!  https://t.co/CaDA6xwsTT
1079527524319838210 2018-12-30 18:59:53 -0400 <eddie_collierx4> @ThomasKirschne3 @realDonaldTrump Isn't he witty?
1079527521748742144 2018-12-30 18:59:52 -0400 <mhardwick1965> @AndyOstroy @realDonaldTrump Walls work
1079527521614467072 2018-12-30 18:59:52 -0400 <KeepUsaGreater> @realDonaldTrump You’re going to love federal prison! #trumpisacriminal
1079527520607846400 2018-12-30 18:59:52 -0400 <ss31704_s> @LaraPatriotDeb @freedomforce990 @busblog @realDonaldTrump But it doesn't kick in until the high deductable is paid?  Does it include any routine examinations, test, well care before the deductable is satisfied?
1079527518892380162 2018-12-30 18:59:51 -0400 <raymack1999> @realDonaldTrump You are mentally ill. I’m not joking. No one around you has the courage to get you help but you need it. Badly. Reach out to a doctor for your sake, for your family and for your country. Please
1079527518573613057 2018-12-30 18:59:51 -0400 <Zinnia1111> @badwolf70 @realDonaldTrump @DiamondandSilk They didn't have technology back then.  So, duh.
1079527518380658688 2018-12-30 18:59:51 -0400 <CuriosityCaty> @realDonaldTrump #TrumpShutDown #TrumpResign  https://t.co/wYuqkkXl6s
1079527517965467648 2018-12-30 18:59:51 -0400 <ritter_fischer> @realDonaldTrump Your supporters might buy into this ridiculous tweet but only a donkey would agree that this is a sound comparison. #donkey #unsound
1079527515989987329 2018-12-30 18:59:51 -0400 <blckburn> @Socratic1 @realDonaldTrump Exactly I mean the dumbest
1079527515109146627 2018-12-30 18:59:50 -0400 <EileenSchmitz7> @tklongcor @realDonaldTrump Exactly..like they all had their hats creased in a moments notice!
1079527515079827456 2018-12-30 18:59:50 -0400 <Bert00000> @AndyOstroy @realDonaldTrump You need to chill
1079527514228342785 2018-12-30 18:59:50 -0400 <hudsonbremner> @LindseyGrahamSC @realDonaldTrump Yep - just wait Lindsey - he'll change his mind.
1079527512965869568 2018-12-30 18:59:50 -0400 <TravoltaMolta> @realDonaldTrump  https://t.co/V78I5YycG3
1079527511195828225 2018-12-30 18:59:49 -0400 <CynthiaMcRae8> @kriver53402400 @realDonaldTrump Resolve...
1079527511028125696 2018-12-30 18:59:49 -0400 <Mar_maemae> @realDonaldTrump Another After Party (AP) poll?
1079527510411493376 2018-12-30 18:59:49 -0400 <Marvin515119758> @realDonaldTrump ✔️✔️✔️✔️✔️🇺🇸🇺🇸🇺🇸🇺🇸🙏
1079527507555172352 2018-12-30 18:59:49 -0400 <19snoopy55> @katherinelynd @williamlegate @realDonaldTrump You know trump, always has to get higher numbers than any previous Presidents!  Hmmm, how come he ain't bragging about this one?
1079527505390759936 2018-12-30 18:59:48 -0400 <mgobluegirl6> @theturtlewoman1 @realDonaldTrump  https://t.co/gkq7vm74X8
1079527504774336514 2018-12-30 18:59:48 -0400 <LauraKammer3> @chrislhayes Sorry @realDonaldTrump has no clue what a metaphor is
1079527503407050752 2018-12-30 18:59:48 -0400 <kimisanauthor37> @Indy4MAGA @realDonaldTrump Did men suggest you do? Men have no power over me! I am free they see and flee! We don't have to agree!
1079527502484254721 2018-12-30 18:59:47 -0400 <luckyluigi71> @realDonaldTrump RESIGN!
1079527502131781632 2018-12-30 18:59:47 -0400 <Brian99oo> @ArtsBeCrafty @realDonaldTrump @JesseBWatters  https://t.co/3z8FDo2O4O
1079527501943185414 2018-12-30 18:59:47 -0400 <AnitaDelia12> @realDonaldTrump Trump/Pence 2020!  Thank you for keeping America SAFE. WHO CARES who pays for it.  Obummer was a total FRAUD.  YOU ALL KNOW IT.
1079527500332568576 2018-12-30 18:59:47 -0400 <trikytrump3> @realDonaldTrump  #TrumpLiesEveryTimeHeSpeaks  #TrumpShutdown
1079527499040768000 2018-12-30 18:59:47 -0400 <SomeBluMoon> @realDonaldTrump The U.S. averaged at least one deadly mass shooting a month in 2018.  https://t.co/AcayOdGw0i  https://t.co/dLeCThPpIk
1079527498097065986 2018-12-30 18:59:46 -0400 <brendaebr58> @realDonaldTrump The deaths of those children lay squarely at your feet - maga death to children
1079527496935124992 2018-12-30 18:59:46 -0400 <SunjeevBery> @earthwithmikey @realDonaldTrump Well, you could have a moat with lions on one or both sides. For me, the better question is,  "What's inside the moat?"
1079527496712970241 2018-12-30 18:59:46 -0400 <Ban_Liberals> @BishNacho @CindisPLace @DCraelin @JolieReinhardt @Zimmy19798993 @derelict41 @RepSwalwell @Htygrett1 @realDonaldTrump @dragonfire55555 @DavidPiepho @Jennifblair @CarmenYulinCruz @kadelia @ProfessorAMuse @grantstern @stockguy61 @TheDemCoalition I will always support those who talk sense.
1079527492518641664 2018-12-30 18:59:45 -0400 <HOAction> @realDonaldTrump The sarcasm of @POTUS is a virtue.  I respect @realDonaldTrump's satire on sensitive public issues.  Hilarious, but loaded.
