1092935903859875841 2019-02-05 18:59:59 -0400 <InorOnWater> @realDonaldTrump I see you're ready to "Let the unity begin!"
1092935903603879936 2019-02-05 18:59:59 -0400 <janagatien73> @RejeanHebert1 @realDonaldTrump @POTUS Via suicided
1092935898507956230 2019-02-05 18:59:58 -0400 <isawthesethings> @SenJeffMerkley @realDonaldTrump The wall is a distraction from ballooning deficit, disastrous gop tariffs,  gop estate tax repeal, gop undermining healthcare, and of course this 👇👇👇  https://t.co/8N8rgiDG6w
1092935897669136384 2019-02-05 18:59:58 -0400 <JeannetteWalsh1> @WhiteHouse @POTUS @realDonaldTrump We will be watching...STAND TALL, STAND STRONG, WE STAND TOGETHER!
1092935897463603200 2019-02-05 18:59:58 -0400 <Dashersonic> @carlreiner Sir! You accomplished more in the time it took to write this tweet than @realDonaldTrump has accomplished in the last 2 years.
1092935896033308675 2019-02-05 18:59:58 -0400 <twardow> @realDonaldTrump Oh yes!They ditched the  “warming” lingo,but we vividly remember their stupidity,Mr. President.The entire idea of “extreme weather”was only invented when climate change people realized they needed 2shift gears-when weather didn’t fit their narrative. Win,win,win, Mr. President!
1092935895555166208 2019-02-05 18:59:57 -0400 <Wilkey43> @realDonaldTrump Watching Netflix!
1092935894535790592 2019-02-05 18:59:57 -0400 <KainCyril> @KarenUntz @rehemaneema @RyanHillMI @realDonaldTrump As you MAGAts always say: if you're an American citizen, she IS you speaker! Enjoy!
1092935894263156737 2019-02-05 18:59:57 -0400 <Envirojim008> @realDonaldTrump DONALD, just wondering if there have been any upgrades to the OBAMACARE or TRUMPCARE PLAN, If so talk about it tonight, it's going to be a big topic with the DEMS in 2020 election!!!
1092935893923581952 2019-02-05 18:59:57 -0400 <zoealt8675309ea> @realDonaldTrump Thanks for promoting unity.
1092935893608992769 2019-02-05 18:59:57 -0400 <jaxx613> @msliberty9 @WhiteHouse @realDonaldTrump Because kids will get ice cream?
1092935893382545408 2019-02-05 18:59:57 -0400 <Natty09157039> @SenWarren @cnnbrk @CNN @DonaldJTrumpJr @realDonaldTrump  @benshapiro @IlhanMN @kathygriffin @JimCarrey   I Hope you enjoy your Law Suit :)   Link:  https://t.co/3zG8FxqHt6 Link:  https://t.co/3zG8FxqHt6 Link:  https://t.co/3zG8FxqHt6  https://t.co/ReohFEzhCA
1092935892761743360 2019-02-05 18:59:57 -0400 <dantevos95> @realDonaldTrump #Trump2020LandSlide
