870792141118865409 2017-06-02 19:59:59 -0400 <elacs> @realDonaldTrump  https://t.co/Jky4yDL9HS
870792139977797633 2017-06-02 19:59:59 -0400 <really33956> @cnni @realDonaldTrump FAKE NEWS OUTLET BULLSHIT LEFTIST PAID HACKS AND CRY BABY CORNER
870792136702275585 2017-06-02 19:59:58 -0400 <nekosensei> @realDonaldTrump … impose unacceptable legal risks, &amp; put us at a permanent economic disadvantage to the other countries of the world.
870792135032750081 2017-06-02 19:59:58 -0400 <vtbirkenstock> #Saveh2b @USCIS @DHSgov @SecretaryAcosta @realDonaldTrump - we need a short term fix and a real solution going forward  https://t.co/wSkganDJLl
870792132293926914 2017-06-02 19:59:57 -0400 <jdrealestatetx> @realDonaldTrump I agree with President Donald Trump. America has the right to set its own policy regarding climate change, we don't have to agree w everyone
870792128103800832 2017-06-02 19:59:56 -0400 <canativeobt> @robertjmont @realDonaldTrump never ever never speaks truth #MalignantNarcissist and a #Fascist #ContemporaryCulturalBarbarian
870792127835324416 2017-06-02 19:59:56 -0400 <Pambens76284059> @realDonaldTrump Yes...51 votes and get people's work done!
870792124735868929 2017-06-02 19:59:55 -0400 <Stan65808108> @Team_Trump45 @realDonaldTrump Impeach Trump!!!
870792124375199745 2017-06-02 19:59:55 -0400 <not2deepNu> Why couldn't @realDonaldTrump be golfing when this happened?  https://t.co/MiAvsOAngM
870792123078950913 2017-06-02 19:59:55 -0400 <marienelson1961> @bpolitics @realDonaldTrump you don't have an administration. Cities &amp; states are ignoring you and moving forward. Your policies are meaningless.
870792122554658817 2017-06-02 19:59:55 -0400 <Manuel_Campos07> @realDonaldTrump Thank you for Everything You are doing. Please give police authorization to arrest rioters with masks on site.
870792120184872961 2017-06-02 19:59:54 -0400 <aljenanthony> @realDonaldTrump help India to grow spiritually when people will know Christ personally automatically everything will change
870792116158562304 2017-06-02 19:59:53 -0400 <JJDJ1187> @realDonaldTrump the only President in history to fulfill campaign promises. The #libtardmedia is freaking out. @cnn @msnbc @nytimes @ABC
870792116158517248 2017-06-02 19:59:53 -0400 <Serafinos> @missouriwolfman @wisecc1 @POTUS @VP @WhiteHouse @HouseFloor @SenateFloor @HouseGOP @HouseDemocrats @SenateGOP @SenateDems @realDonaldTrump Hubby train Rangers at Fort Benning 73-76 &amp; did tour "humped mtn trails" 76-77 on Korean DMZ.  When you said Saigon I confused w/Seoul lol
870792114233380865 2017-06-02 19:59:53 -0400 <kerley_mike> @realDonaldTrump Keep it going sir
870792110034780160 2017-06-02 19:59:52 -0400 <Julia21023> @FoxNews @kathygriffin @POTUS How poor as a President you should deal with other stuff than bad jokes from comedians . It shows how unclassy Donald @realDonaldTrump is
870792108680065026 2017-06-02 19:59:51 -0400 <puneetkapoor_> @realDonaldTrump  https://t.co/hWLHkID7Ug
870792100488597505 2017-06-02 19:59:49 -0400 <russelltim151> @tedlieu @realDonaldTrump #TrumpRussia is ignorant of law much less Law of Treaties Vienna Convention.
870792096772493313 2017-06-02 19:59:49 -0400 <Topsgt2017> @EricTrump @realDonaldTrump SO? What has that to do with you?
870792095518347265 2017-06-02 19:59:48 -0400 <LilMeichi> #ParisAgreeement @realDonaldTrump @HillaryClinton @CTrappe ARE SOME PEOPLE LATE ABOUT NEWS.?
870792090590072836 2017-06-02 19:59:47 -0400 <sarahkravitz13> @BilleVenusvenue @Research4Truth5 @PaulMayATL @RaheemKassam @richardson_jw @realDonaldTrump Like, a professional writer not mastering spelling/grammar means they're not good at the basics of their job, so like...kind of a problem.
870792089768009728 2017-06-02 19:59:47 -0400 <JL_uy> @huesopintos @realDonaldTrump esa es buena, se juntan, te asesora, y ven lo que pinte. De pronto sale un hogar... aquí o un hogar... allá.
870792089344385025 2017-06-02 19:59:47 -0400 <Arriadna> @OneAndOnlyArion @mikemnyc @ActingacademyN @SphallSteve1245 @ScottPresler @realDonaldTrump She won't do you, no matter how much you slobber over her.
870792085338816512 2017-06-02 19:59:46 -0400 <AbiGailKitKat> @KlayVolk @realDonaldTrump It blows my mind how naive and easily manipulated some of Trump supporters are......  Yes, #SAD indeed #ImpeachDonaldTrumpNow #MEGA
870792083581288448 2017-06-02 19:59:45 -0400 <klaus_wong> @realDonaldTrump 🌏🌍被謀殺而死 🏭🏭去你他媽的 🔫🔫特朗普先生 make ,📊climate change 💵🇺🇸Great again🇯🇵💴
870792083178704896 2017-06-02 19:59:45 -0400 <zed_kris> @VP @realDonaldTrump And the whole rest of the planet last. Gotcha. #assholes
870792082943881216 2017-06-02 19:59:45 -0400 <fajdkmgott> @LindaAnnecrawf3 @rubenvega1941 @AndrewGraupe @ItzPamela @VicenteFoxQue @realDonaldTrump O'Reilly is in that group as well. Such a hateful man.
870792075750637569 2017-06-02 19:59:44 -0400 <PatHGordo> Schwarzenegger's message to @realDonaldTrump.  https://t.co/VGVCXszK0H
870792073951293441 2017-06-02 19:59:43 -0400 <HoultsAddicted> @JoshBalz @realDonaldTrump Nothing
870792071052963840 2017-06-02 19:59:42 -0400 <nekosensei> @realDonaldTrump Meanwhile, global warming will most certainly undermine our economy, hamstring our workers, weaken our sovereignty...
