1098734109357236225 2019-02-21 18:59:59 -0400 <PunkerWood> @realDonaldTrump @POTUS stop listening to your son-in-law
1098734106706272257 2019-02-21 18:59:59 -0400 <FelthamJune> @realDonaldTrump If the democrats would stop all their arrasament and get out of the   presidents way he could accomplish lots
1098734105133486080 2019-02-21 18:59:58 -0400 <nFamousOneuhB> @lterdner @SpinalMelee @DavidBeckler1 @Tonystopskony @901MemTN @zxbrown2 @AnacVentilari @ida_skibenes @realDonaldTrump @JussieSmollett Officially been blocked by 2 liberals on this thread.   Hot streak
1098734104344809472 2019-02-21 18:59:58 -0400 <SusanKnowles> @ExposingLibsBS @naenae61_grp @870South @realDonaldTrump The only people who look at that poll will be Liberals. They wouldn’t care if it was flipped and wasn’t dissing President Trump but I understand your point.
1098734101065019392 2019-02-21 18:59:57 -0400 <michael81409898> @realDonaldTrump Why are you not letting the rv happen
1098734100125544448 2019-02-21 18:59:57 -0400 <gailyRN> @JimCarrey @realDonaldTrump a false prophet.  He's evil.
1098734098468745217 2019-02-21 18:59:57 -0400 <youthgirl08> @realDonaldTrump So you are paying for it out of pocket right? K thx
1098734097441214464 2019-02-21 18:59:56 -0400 <MichaelJBaldwi4> @mconnors451 @SpeakerPelosi @realDonaldTrump Theyve put up more than was already there so yeah
1098734096543608832 2019-02-21 18:59:56 -0400 <klphotos> @realDonaldTrump Ok Comrade 😂 #TheresAPeeTape
1098734095956201472 2019-02-21 18:59:56 -0400 <DsOchoa> @realDonaldTrump, immediately Denounce:  - White Nationalists  - White Supremacists  - NAZIS  - KKK  - Trump’s Hatred Movement against People of Color &amp; journalists &amp; politicians!
1098734095595655168 2019-02-21 18:59:56 -0400 <DriverM19> @realDonaldTrump I want 7G....
1098734095352455169 2019-02-21 18:59:56 -0400 <protecimages> @realDonaldTrump  Hi Don  i think the walls a great plan of yours to stop the scum bags  terrorists and scroungers entering your country but please bear in mind the uk have 21 miles of sea water on there boarder and they still come flooding in  how would you deal with that
1098734094089826304 2019-02-21 18:59:56 -0400 <chrishicks22> @realDonaldTrump Hi im a year 12 student and I'm studying community and family studies in a school from Australia I was wondering if you can answer one question for me. What are the factors that influence your leadership
1098734093691482115 2019-02-21 18:59:56 -0400 <Carl834> @realDonaldTrump Resign
