931673301797294080 2017-11-17 18:59:59 -0400 <sweetdeemph> “She only put a toe in. She’s not a full on lesbian.” #mymarywash @realDonaldTrump
931673299255545856 2017-11-17 18:59:58 -0400 <Melissa19261499> @realDonaldTrump Lower taxes with repealed deductions such as medical expenses, caps on other deductions is nothing more than a wolf in sheep's clothing, so basically the lose of deductions will make up the difference in taxes lost through the cuts, what about ppl who pay 0 in federal income 1/1
931673298022404097 2017-11-17 18:59:58 -0400 <Fun_EE1> @greta @trumps_feed @realDonaldTrump Love your attempt...saying please and that it’s important to people. He doesn’t care, he only cares about his money! Lol
931673291206676481 2017-11-17 18:59:56 -0400 <TrumpCare_not> @realDonaldTrump Here we come...... war.
931673290715869184 2017-11-17 18:59:56 -0400 <BacksweetBranch> @realDonaldTrump dont wanna talk abt this.He raped her in anger b/c, he asked her for her dermatologist, so he could get his hair plugs fixed, the Dr. hurt him, got mad, came home &amp; raped her, he hadn't touch her in months. U know she wasn't prepared for sex, that hurts! #Resist  https://t.co/Mw6Mc3YXXa
931673288731791361 2017-11-17 18:59:56 -0400 <0320ryotaro> @xc61iAmHNzrcxkF @realDonaldTrump @WhiteHouse お前ちょっとだまっとけw
931673288320978944 2017-11-17 18:59:56 -0400 <Clif281> @realDonaldTrump Trickle down is a failed practice
931673287658278913 2017-11-17 18:59:56 -0400 <Spooky_Platypi> @TomWellborn @realDonaldTrump @WhiteHouse   https://t.co/4gwajeyNQd
931673286659805185 2017-11-17 18:59:55 -0400 <CringeKidiscool> @realDonaldTrump If you give peace to any community maybe try the lbgtq community. 🙄
931673284361330688 2017-11-17 18:59:55 -0400 <dmrc793> @realDonaldTrump You have no business talking, Mr. pussy grabber in Chief 🤡
931673282214092805 2017-11-17 18:59:54 -0400 <TinaHeuring1> @mlgisn0tdead @EdKrassen @IRdotnet @realDonaldTrump So disappointed in Trump and the Republicans!
931673281828044800 2017-11-17 18:59:54 -0400 <ddeenniissee59> @davidhess59 @benjaminwittes @realDonaldTrump I know, but if the crimes were federal he will. Hopefully they can make sure they’re state crimes.
931673281245077504 2017-11-17 18:59:54 -0400 <pjhbearbear> @Roneyclan @jackomackay @MrsS0S @Scottroby72 @realDonaldTrump And the name-calling and bullying continues...ever dividing our country. Well done. Let’s not have meaningful fact-related dialogue when we can hurl insults. Oh wait. Look at the example set by the “best of the best” in this country. So sick of it all.
931673281182289920 2017-11-17 18:59:54 -0400 <taniaT504> @realDonaldTrump @WhiteHouse   https://t.co/XZn4X5EVmp
931673280137834502 2017-11-17 18:59:54 -0400 <dejavousagain> @KeithOlbermann @realDonaldTrump this would be a good day for the pussy grabber Trump to release his taxes
931673278267174913 2017-11-17 18:59:53 -0400 <canidothisnow> @realDonaldTrump @WhiteHouse   https://t.co/X1IuWlomvT
931673276467875843 2017-11-17 18:59:53 -0400 <HillsHandmades> @realDonaldTrump The House Just Voted to Bankrupt Graduate Students. FAIL.  https://t.co/0f4JXnd8bh
931673276023222274 2017-11-17 18:59:53 -0400 <happy_miss37> I AGREE with you @Franklin_Graham that all the sexual exploits of @realDonaldTrump,  our President, has done much worse!!!!  Thank you for your tweet, you hit the nail on the head!  https://t.co/jrWZVvN8Sf
931673270709096448 2017-11-17 18:59:52 -0400 <Marsonpark> @realDonaldTrump Are you kidding!! I was a Republican until you disgusted me into another party!
931673268024512512 2017-11-17 18:59:51 -0400 <hitmeister1> @kar73 @realDonaldTrump Who needs facts? #TrumpWorld runs on alternative facts.
931673266619666432 2017-11-17 18:59:51 -0400 <01USA18> @Herbwilson1967 @seanpw81 @realDonaldTrump @POTUS Clinton is guilty of a lot of things for sure. Does that make Trump less guilty somehow?  If so please explain and I'll wait.......
931673259841638400 2017-11-17 18:59:49 -0400 <DoomsdaysCW> @realDonaldTrump @SenateGOP @SenateDems  https://t.co/j3OHy4y4DG
931673255055970304 2017-11-17 18:59:48 -0400 <Max_Patriote> @inesbreef Parmi les jeunes patriotes, les doués en informatique sont priés de se joindre à l'idée. Ça prendra des ressources financières pour le hardware data. @realDonaldTrump serait un bon sponsor pour un site web et les ressources requises.
931673254292545536 2017-11-17 18:59:48 -0400 <blizthehusky> @realDonaldTrump The Pot calling the Kettle Black
931673252749041664 2017-11-17 18:59:47 -0400 <1999Bloom> @realDonaldTrump Irresponsible hater
931673252010831872 2017-11-17 18:59:47 -0400 <laura_pacione> @realDonaldTrump I make between $10,000 and $75,000. My taxes are going up now so you rich people can have tax cuts. How does that help me?  Where’s my power
931673250203086848 2017-11-17 18:59:47 -0400 <Spaceconveyor> You just Had to screw us @RepLaHood. @POTUS @VP @SpeakerRyan @SenMajLdr @LindseyGrahamSC @SenJohnMcCain @lisamurkowski @SenatorCollins @RandPaul @marcorubio @SenTedCruz @GOP @SenateGOP @HouseGOP @WhiteHouse @CRNC @yrnf @ilgop @ilgopwomen @realDonaldTrump @senorrinhatch  https://t.co/we7PtNHatj
931673245513846784 2017-11-17 18:59:46 -0400 <MetalFingers1> @PressSec listen hypocrite @realDonaldTrump  Trump is on tape bragging about grabbing women by the pussy.   https://t.co/8Y7tliccc0
931673243601330176 2017-11-17 18:59:45 -0400 <payao1a1> @EricTrump @JimSomers5 @realDonaldTrump @realDonaldTrump - He loves his country 🇺🇸 and it’s citizens... how many career politicians would work WITHOUT PAY? He works LONG HOURS and the comments of haters don’t make him weak. God bless our President
931673240635871232 2017-11-17 18:59:44 -0400 <WabiSabiWasabi_> Because @realDonaldTrump tweeted, I just saved $1 because I need to #GetMoney while in the time of crisis lol
931673240208134144 2017-11-17 18:59:44 -0400 <Maryloufl> @realDonaldTrump @tedlieu response to your tweet has more RT’s and more likes. Thought you might want to know. Your losing ground buddy.  https://t.co/etUFXz5YjV
931673239964729344 2017-11-17 18:59:44 -0400 <inzane2112> @realDonaldTrump #GreatObstructionistParty
931673236789702666 2017-11-17 18:59:43 -0400 <Eggsfreebnik> @TomSteyer @realDonaldTrump A plurality is NOT a majority, or even, by definition, close to one. Please just shut up and go away, or continue making an ass of yourself. Whatever.
931673236408078338 2017-11-17 18:59:43 -0400 <FollowMe2Truth> The Clinton’s brought a stink to Washington DC. It will take years to cleanse the smell. @realDonaldTrump #DrainTheSwamp #BillClintonIsARapist
931673235556417537 2017-11-17 18:59:43 -0400 <zConsider> @realDonaldTrump   Trump Made Millions of Dollars From Drug Money Laundering in Panama: Report  https://t.co/t7w1iQP0QL
931673234642259968 2017-11-17 18:59:43 -0400 <MarvinEJacobson> @Unpersuaded112 @trudy_sanders @realDonaldTrump @POTUS That video should be shown over and over all over the nation.
931673232847114245 2017-11-17 18:59:43 -0400 <ItsTheBebop> I find it hilarious the amount of shit @realDonaldTrump gets in US when YOU actually voted him into power. Madness.
931673231131525120 2017-11-17 18:59:42 -0400 <liz_lrutecki> @realDonaldTrump And then this!! Do not let this man get away with his crimes!!  https://t.co/fKny3TyMwI
931673230930259968 2017-11-17 18:59:42 -0400 <GeorgannResists> @MoniqueMK2 @realDonaldTrump Trump is a bigger womanizer than anyone else! Did you not hear the Access Hollywood interview. How can you, a woman, support this tweet from trump!
931673227105132544 2017-11-17 18:59:41 -0400 <ellyne711> @SenateGOP @SenatorTimScott @realDonaldTrump, his family &amp; company will benefit from these tax cuts by about &amp;1,000,000,000. Isn't that a conflict of interest? Doesnt @GOP even care? Think of all the needs our country has  that will not be done because the funding went to pay for tax cut. Shameful!
931673223883870208 2017-11-17 18:59:40 -0400 <scottawarner1> @realDonaldTrump Personally thank you for having a president that cares arresting the terrible gangs on our streets just the beginning of putting our inner cities back on the right track. Most of these rich Elite making comments don't care about the inner city.
931673223544147969 2017-11-17 18:59:40 -0400 <pete51754> @realDonaldTrump @WhiteHouse  https://t.co/XrEIpHj6Im Transcript: Donald Trump's Taped Comments About Women - The ...
931673222088679424 2017-11-17 18:59:40 -0400 <NaNa20931548> @Lrihendry @realDonaldTrump Amen
931673221723770880 2017-11-17 18:59:40 -0400 <ChristopherCud1> @realDonaldTrump THE ELEPHANT IS ON ITS WAY OUT JUST IN IVORY POACHES THEY NEED NO HELP FROM YOU !1 THE LAST ELEPHANT STANDING, , YOUR DEALING WITH AFRICAN THEY HAVE NO LAWS !!
931673221262430208 2017-11-17 18:59:40 -0400 <taniaT504> @realDonaldTrump @WhiteHouse   https://t.co/hIAriAqZYT
931673219785826306 2017-11-17 18:59:39 -0400 <pjhbearbear> @FlGHTlNGlRlSH @Roneyclan @jackomackay @MrsS0S @Scottroby72 @realDonaldTrump And the name-calling and bullying continues...ever dividing our country. Well done. Let’s not have meaningful fact-related dialogue when we can hurl insults. Oh wait. Look at the example set by the “best of the best” in this country. So sick of it all.
931673216384299008 2017-11-17 18:59:39 -0400 <AngelPi97443626> @realDonaldTrump good job míster president i am vote 4 you (is my héroe same andrew Jsckson god bless forever ,thank
931673216095055872 2017-11-17 18:59:39 -0400 <CarolMillsjtmr> @CabooseEcho @LeifHanson7 @weonlife @realDonaldTrump Well unless you are in the top 1 percent you aren’t getting a tax decrease of any substance
931673213146402816 2017-11-17 18:59:38 -0400 <acidlullaby> @ChrisCharlotteG @laurentbaheux @realDonaldTrump thinks this is a goal. He's going to be proud his name will be in the history books for it. Even better, his family will have the largest number of 'rare extinct elephant trophies' to charge people to come and see what they looked like
931673212466946048 2017-11-17 18:59:38 -0400 <ILTidefan> @realDonaldTrump I know you want respond I am going to say it anyway, I am a Vet, I need to get some help for a friend, could you please help me ?????
931673210990424066 2017-11-17 18:59:37 -0400 <jdlw1975> @realDonaldTrump They're trying to keep you from screwing anything else up while you're busy trying very start wars by acting like a 3 year old.
931673210738921472 2017-11-17 18:59:37 -0400 <StephenFurey5> @IRdotnet @realDonaldTrump @WhiteHouse Not many ,only the in the closet ,ones
931673209476222976 2017-11-17 18:59:37 -0400 <321Progress> @realDonaldTrump  https://t.co/kqc2Aoa1Oq
931673206875762689 2017-11-17 18:59:36 -0400 <THOLT8> @drix78 @realDonaldTrump .... give time drixy, give him time, sadly he has 3yrs to do it.
931673206460768258 2017-11-17 18:59:36 -0400 <C_T_Moore> @realDonaldTrump That’s locker room talk POTUS - just like when you were telling Billy (where the hell is he now) Bush how damn charismatic you are with the women.  You encourage it Don #grabembythepussy
931673206360100867 2017-11-17 18:59:36 -0400 <MsAvaArmstrong> The greatest pleasure in life is doing what people say you cannot do.  @realDonaldTrump  https://t.co/D5uUR9B8hW
931673204233572354 2017-11-17 18:59:36 -0400 <angie_renati> @FreeThinkTX @Protect_Wldlife @realDonaldTrump @DonaldJTrumpJr @rickygervais @jimmyjohns DAMN PEOPLE..!!!  https://t.co/nm8Atdt3LG
931673198730645505 2017-11-17 18:59:34 -0400 <BereftBarrister> @realDonaldTrump What?  Safety?? Peace??? You doin' a Palin and quitting?  Leaving town?? Defecting???
931673196394188800 2017-11-17 18:59:34 -0400 <slipperpawz> @countrysherry @donnahnah @realDonaldTrump   https://t.co/D2gk9MJAuA
931673194012073984 2017-11-17 18:59:33 -0400 <Crummyd> @realDonaldTrump You tell us. You have some experience in the art of the grop.
931673193756033024 2017-11-17 18:59:33 -0400 <MayaLaukaran> @realDonaldTrump Quite possibly where we know yours go.
931673188437815296 2017-11-17 18:59:32 -0400 <Mama_Kath> @realDonaldTrump If Republicans weren't such obstructionists for the last 8 years, the bugs would have been worked out of the ACA, we'd have a jobs bill, an immigration bill, etc.
931673183639556096 2017-11-17 18:59:31 -0400 <Michael07079> @realDonaldTrump Love this speech: it's where you advocated police brutality and the police department you were speaking to disavowed your words. Good times.
931673179449413632 2017-11-17 18:59:30 -0400 <20thesis15> Yeah, i just wish, THEM &amp; @realDonaldTrump, stop tryin to drag the rest of us there with them  https://t.co/6vQ2xMRboA
931673175816945664 2017-11-17 18:59:29 -0400 <railmaps> @realDonaldTrump I always have to check these tweets very carefully to confirm whether they really are from the president of the United States.  It's almost beyond belief, but it seems genuine. The mainstream media is not a factor here, Trump condemns himself through his own personal messages.
931673175712256001 2017-11-17 18:59:29 -0400 <taniaT504> @realDonaldTrump @WhiteHouse   https://t.co/NtmSLvuQJV
931673173183156224 2017-11-17 18:59:28 -0400 <storiesandsongs> Twitter needs a mood filter. One second I'm laughing at @theofficenbc memes and the next I'm reading about @realDonaldTrump and the elephant trophy ban and my emotions are a roller coaster.  https://t.co/1PFG7ZRPLD
931673170154631168 2017-11-17 18:59:28 -0400 <iTzNikkitty> @realDonaldTrump Okay, so I guess it's bad to grope people's breasts, but it's okay to grope their pussy. Thanks for clearing that up.
931673168950915072 2017-11-17 18:59:27 -0400 <NutrixOpus> @realDonaldTrump   https://t.co/rq9NZgvEVL
931673162982543365 2017-11-17 18:59:26 -0400 <eam195> @realDonaldTrump Like you really should judge anyone else of the same thing you’ve done 10 times before. The difference...the senator apologized!
931673162714107904 2017-11-17 18:59:26 -0400 <grey_sister> This is so true! @realdonaldtrump consults FOX for ALL his decisions!  https://t.co/VE6f5noQoq
931673161896046592 2017-11-17 18:59:26 -0400 <Christi46119463> @Susan_4_Trump @m82ho @Yosaki_Mazuko @realDonaldTrump i doubt he will make it another year.
931673161615097856 2017-11-17 18:59:26 -0400 <LiveinSLOCO> @realDonaldTrump Your delusional. They laughed you off the continent.
931673157018173440 2017-11-17 18:59:24 -0400 <VirginiaCutler4> We #NeedtoImpeach @RealDonaldTrump. Join me and sign on to @TomSteyer’s petition demanding Congress impeach Trump.  https://t.co/ql386yl7vt
931673152563884037 2017-11-17 18:59:23 -0400 <jen_young111> @realDonaldTrump Baby elephant grieves over its mother...  https://t.co/aHP4ssWQXu
931673152509415424 2017-11-17 18:59:23 -0400 <jackie_cesare> @realDonaldTrump Trump Access Hollywood video where you ADMITTED to being a sexual predator, then calling all the women who accused you of being just that...LIARS! At least Franken owned what he did and apologized. Meanwhile you deny, deflect, LIE!
931673152337469440 2017-11-17 18:59:23 -0400 <Angelaselden9> @FemalesForTrump @realDonaldTrump @seanhannity @FLOTUS @DonaldJTrumpJr @EricTrump Absolutely HAPPY THANKSGIVING!!!
931673152052117505 2017-11-17 18:59:23 -0400 <milesranderson> @realDonaldTrump @realDonaldTrump well Sir the future President of Zimbabwe was head of State Security fduring the massacre of tens of thousands of Ndebele people in 1982. Then named by U N SC in 2002 for illicit diamond deals in the Congo please condemn his appointment.
931673151435689985 2017-11-17 18:59:23 -0400 <CivicCentaur> @realDonaldTrump "Mister Kettle," said the pot, "How very black with soot you've got!" This argument is passing poor  From such as you - need we say MOORE? #NeverMoore #TrumpsASexPredator
931673147379781632 2017-11-17 18:59:22 -0400 <cynthiacallison> @realDonaldTrump Don't be a pot, kettle.
931673146540904448 2017-11-17 18:59:22 -0400 <StopYourLies> @realDonaldTrump  This why you don’t want anyone looking into your business practices? Too much criminal behavior?  https://t.co/8fq53nlbFV
931673146041688065 2017-11-17 18:59:22 -0400 <321Progress> @realDonaldTrump  https://t.co/nwXgZCYF5U
931673144112435200 2017-11-17 18:59:21 -0400 <JJAY137> @realDonaldTrump whats up SA ...We'll have to ask Putin about 'Pictures 2,3,4,5&amp;6' ... oh thats right those are the ones YOU are kissing up to Putin because of ..
931673142644432896 2017-11-17 18:59:21 -0400 <Jefferson195082> @realDonaldTrump @WhiteHouse Big deal let’s talk about sexual misconduct.
931673141532700672 2017-11-17 18:59:21 -0400 <hermjon> @realDonaldTrump There are 17+ women accusing you of rape and harassment. Nobody has forgotten. Tick tock, friendo.
931673141172146176 2017-11-17 18:59:21 -0400 <MacoroJojo> @JacobAWohl @realDonaldTrump I’m reading Wohl Cease &amp; Desist on @Scribd #ReadMore  https://t.co/WT1BeGFdIu
931673139570003968 2017-11-17 18:59:20 -0400 <eldelcompos> @JavierClementeF @_MelinaSanchezF @lola_y_pepe @angel_garco @Anadiher @EstifMcQueen @absurddheces @MiguelF10013687 @mekausi @CockMcGuinness @NitoSetroc @hermanntertsch @lagarder81 @gabrielrufian @BertinOsborne @Rody_Aragon @BeatrizTalegon @Najwa_Nimri @MrT @realDonaldTrump @Santi_ABASCAL @SergioRamos @RyanGosling @Irene_Montero_ @maria_patino @pnique @sanchezcastejon @navedelmisterio @LauraPausini @jaimecantizano @BarackObama @policia @VicenteVallesTV @PeralesOficial @ElPedroRuiz @IgnatiusFarray @As_TomasRoncero @AnnaSimonMari @willsmith @tikotikoh @Xuxipc @LdeGuindos @picuetin @DaniMateoAgain @davidbroncano @Mari_ano_Rajiao @LaMadredeBrian @fatmanvuelve @elrancius @neymarjr He tenido que disculparme con los vecinos por el ruido 😀😁😂
931673139070648320 2017-11-17 18:59:20 -0400 <colorado7733> @funder Illegitimate President!  @realDonaldTrump  #NotMyPresident !!  https://t.co/63CkPdDZBf
931673138122735616 2017-11-17 18:59:20 -0400 <FSOforHire> @Tann_Matt 11) If you're a Member Of Congress.   @realDonaldTrump, "My amp goes to 11... it's the best amp, beautiful, sweet-sounding. The best."
931673135060885504 2017-11-17 18:59:19 -0400 <TonyHulkGames> @realDonaldTrump First thing we need to do to restore safety to the USA is dump the CHEETO... and sorry to Frito-Lay, for the abuse of the term
931673134645829632 2017-11-17 18:59:19 -0400 <sed_justicia> @realDonaldTrump @WhiteHouse Ejército Nacional y Colombia esta con Usted.
931673130807865344 2017-11-17 18:59:18 -0400 <AaronGilbert5> @rix_core @sciam @realDonaldTrump LOL
931673129503547392 2017-11-17 18:59:18 -0400 <QueenHasVoted> @kylegriffin1 Sooooooo, that means @realDonaldTrump is innocent?  I'm not following her logic.
931673127934885889 2017-11-17 18:59:18 -0400 <BlessedMaOfTwo> @funder @realDonaldTrump @REALDONALDTRUMP #TrumpSexPredator #SexualPredatorTrump #TrumpSexPredator #SexualPredatorTrump #TrumpSexPredator #SexualPredatorTrump #TrumpSexPredator #SexualPredatorTrump #TrumpSexPredator #SexualPredatorTrump #TrumpSexPredator #SexualPredatorTrump #TrumpSexPredator #Rapist
931673118841679877 2017-11-17 18:59:15 -0400 <ncar999> @BishirDeborah @POTUS @realDonaldTrump @jeffsessions @TGowdySC When did Jeff Sessions drop his name?
931673116606124032 2017-11-17 18:59:15 -0400 <smitts> @realDonaldTrump Great for the environment.... oil spills maker the plains a luxurious Texas tea wonderland.
931673110402580480 2017-11-17 18:59:13 -0400 <trainergina1> @realDonaldTrump   https://t.co/wI81dRjQ3o
931673107869212673 2017-11-17 18:59:13 -0400 <ricklevy67> @Politic_Newz @realDonaldTrump and the #TrumpCrimeFamily Made $Millions From #DrugCartels And #RussianMafia In #PanamaCity   https://t.co/HuP9XACU0k @NetflixMulhouse @BanditRandom @randlight @nobby15 @RBJRON #TrumpIsADrugDealer #USPolics #auspol
931673105633755137 2017-11-17 18:59:12 -0400 <jadedview> @TheZachBeard @mikajuon73 @realDonaldTrump You should do your homework with REAL critical thinking being that you're "an educated, Conservative Republican".
931673103293472769 2017-11-17 18:59:12 -0400 <psheldon9> @realDonaldTrump Amazing statements from someone who "grabs a woman's p***y". You should step down.
931673102962094080 2017-11-17 18:59:12 -0400 <taniaT504> @realDonaldTrump @WhiteHouse   https://t.co/F5RfyEnMjO
931673102337150981 2017-11-17 18:59:11 -0400 <Nalutik> @realDonaldTrump Dictator Trump...take a good look at your accusers. These are the ones that we know about!  https://t.co/rsNiuTQWNA
931673095965986816 2017-11-17 18:59:10 -0400 <randy_ratliffKC> @KattyKayBBC In fact, isn't the impulse here the very same brazen "gotcha!" Twitter is @realDonaldTrump grabbing everybody's junk.
931673095689129984 2017-11-17 18:59:10 -0400 <mollyruffles> @realDonaldTrump Ok. I suggest we start with the kkk then the white nationalists the neo-nazis the neo-confederates the Christian nationalist need I go on...  https://t.co/gL5hYlxYjr
