946531203410096128 2017-12-28 18:59:59 -0400 <petermland> @realDonaldTrump Insane. Banana Republic. Sad.
946531203234062342 2017-12-28 18:59:59 -0400 <patsroll12> Trump finally gets the honor he deserves - CNN @realDonaldTrump here’s your recognition lol!  https://t.co/A3Rymu7cmx
946531203116437504 2017-12-28 18:59:59 -0400 <GillHuffmon> @xyam70 @realDonaldTrump Obviously he doesn't know Anna Wintour - "beside herself in grief" - I seriously doubt it!!!
946531202072236032 2017-12-28 18:59:58 -0400 <Demps5356> @realDonaldTrump   https://t.co/X559m1Fuos
946531198309945344 2017-12-28 18:59:58 -0400 <Taz_Atkinson> @JacobAWohl @realDonaldTrump Dont you ever get sick of being wrong Toenails?
946531195583651842 2017-12-28 18:59:57 -0400 <theresa_gavitt> @philpotbot @DawnM43091820 @karschnick_jr @lipkinlip @realDonaldTrump @BarackObama and his administration appear to have done many bad things to the American people that are unspeakable. I am sorry and I hope things get better for you now #MAGA
946531194685964288 2017-12-28 18:59:57 -0400 <sddphoto> @DearAuntCrabby @realDonaldTrump   https://t.co/rOZLANHsmT
946531193276850177 2017-12-28 18:59:56 -0400 <JohnFavere> GULEN EMAILS ARE COMING OUT DECEMBER 29,2017 @realDonaldTrump @turkishreporter @trpresidency  https://t.co/OpNpeH1w1j
946531192123244549 2017-12-28 18:59:56 -0400 <jaxmartins1> @bfraser747 @JFNYC1 @EricTrump @realDonaldTrump @DonaldJTrumpJr @IvankaTrump @LaraLeaTrump @TiffanyATrump Really?   So several marriages and all have different mothers. But sure, Trump leads the pack In family values.  If so, Obama must be the standard bearer, what with his crazy, long term marriage to one person and intelligent, caring children.
946531192077242369 2017-12-28 18:59:56 -0400 <mbficklesticks> @IvankaTrump @realDonaldTrump Go home and rear your children.  U have no place in politics. Or our government.
946531189522919425 2017-12-28 18:59:55 -0400 <Alanwhi51464301> @LedJEFFlin @realDonaldTrump Wait a minute they forgot Bill and Obama in the incompetence section
946531189090795520 2017-12-28 18:59:55 -0400 <WolfSnakeshit> @TheMajorDudes Your stats are fake! You’re fake news! The only real news is @foxandfriends  they would never say anything negative about supreme leader @realDonaldTrump #FakeNews #ILoveThatMan #FakeNewsMedia  #Trump #USA #MAGA
946531186372956164 2017-12-28 18:59:55 -0400 <CTET17> @realDonaldTrump Grow up, 45.
946531185894797313 2017-12-28 18:59:55 -0400 <mr_schang> @realDonaldTrump You seem to be ignoring all of the other polls that have you in the low to mid 30s. But good job having most of the Country disapprove of you I guess... #Fail #YearEndPoll
946531184808529924 2017-12-28 18:59:54 -0400 <LassoTruth> @realDonaldTrump 46% of Republicans who voted for you, NOT of all Americans........  Your approval rating is only 27% of voters &amp; only 9.8% of America overall .....Man a LOT of people think you suck as President!! 😂😂😂
946531183122419716 2017-12-28 18:59:54 -0400 <Mike_P_Williams> @johncouch1964 @JacobAWohl @realDonaldTrump Ok, brobot
946531179917905920 2017-12-28 18:59:53 -0400 <GammaEvelyn> @DearAuntCrabby @realDonaldTrump And stay there!!!
946531178349256704 2017-12-28 18:59:53 -0400 <TheBearTrader1> @j_elliott_ness @XRPTrump @TBCrypto @cryptfx @officialmcafee @realDonaldTrump You just got off work to go at it again? Lmao 😂 let’s all agree to disagree.
946531178252767232 2017-12-28 18:59:53 -0400 <ChaChaReyes57> @realDonaldTrump Rasmussen is a right-leaning polling organization, so of course the rating will be higher than it is among all Americans. Trump will use their numbers over those of polling more representative of how all Americans feel because they make him look good. Typical.
946531178139607043 2017-12-28 18:59:53 -0400 <Vera30516369> @seanhannity @realDonaldTrump Complaints!!’
946531173693452288 2017-12-28 18:59:52 -0400 <LouLachat> @thewolfforhire @realDonaldTrump Hey don’t forget to add the world...They hate him as much as “We the People” do here, AND you know it, don’t cha Donnie boy!  #TrumpRussia #PenceKnew BUT #Mueller knows all #MegaTsunami2018 aka #BlueTsunami2018 #BlueWave2018  https://t.co/DP9fy8EEdJ
