875865572290031620 2017-06-16 19:59:59 -0400 <CyndeeCuddy> @realDonaldTrump is this #fakenews  https://t.co/khk1A9fJ6Y
875865568737460224 2017-06-16 19:59:59 -0400 <dgmg1994> @Corrynmb @realDonaldTrump 😃😃😃😃
875865567487418369 2017-06-16 19:59:58 -0400 <MsTruthiness> @steph_bello @TeaPainUSA Stupid is as stupid does 🤡 @SarahHuckabee  @realDonaldTrump  @IvankaTrump
875865564832333824 2017-06-16 19:59:58 -0400 <OGSlickWillis> @IvankaTrump @realDonaldTrump @LaraLeaTrump @EricTrump @TiffanyATrump @DonaldJTrumpJr All TRUE AMERICANS love &amp; support you!! Let me personally apologize for all the CRETINS that don't They are loud but not the LEGAL MAJORITY
875865562919968768 2017-06-16 19:59:57 -0400 <Seqouyahd> @realDonaldTrump Hey! I have an idea about the Russia investigation! Just fire Rosenstein, and Mueller like you did Comey.  Don't be afraid! Go ahead.
875865562546663424 2017-06-16 19:59:57 -0400 <eangelina64> @J_W_Armistead @james_laubhan @realDonaldTrump   https://t.co/9ZmHY1Wnig
875865562139811840 2017-06-16 19:59:57 -0400 <Talula71> @mcmasters_hr @marcorubio @realDonaldTrump Is ur point the income from visiting relatives bringing over $? Or is it the $ the Cuban ppl make from tourism?
875865561636380672 2017-06-16 19:59:57 -0400 <SeattleHypno> @realDonaldTrump You know how you can tell when someone is guilty as hell?  When their lawyer needs a lawyer!  #Guilty #LockThemAllUp  https://t.co/NSGlJldCnC  https://t.co/J2nZJmiyFO
875865556112596992 2017-06-16 19:59:56 -0400 <MeriShery> @Sportsfan7224 @realDonaldTrump Have you seen the video in which the prime minister of Australia mocks Trump? Or how Macron is trolling Trump? And that´s the beginning...
875865552291581952 2017-06-16 19:59:55 -0400 <TurtleCrone> Trevor Noah just took Donald Trump mockery to the next level  https://t.co/UXpqAhaUP7 via @HuffPostEnt @realDonaldTrump #Twitterbrary
875865551469465600 2017-06-16 19:59:54 -0400 <21moneyboy> @realDonaldTrump SURE
875865551326892032 2017-06-16 19:59:54 -0400 <JeanRoberts4> @realDonaldTrump Did you block me!?
875865551305924608 2017-06-16 19:59:54 -0400 <aleidaraujo> @realDonaldTrump Excelente Sr. presidente, soy una venezolana que toda la vida lo ha admirado, por su visión par los negocios, le pedo ayuda por mi país
875865550970212352 2017-06-16 19:59:54 -0400 <crauber> @zachvat @realDonaldTrump Nixon drank a bit, near the end, and wandered the halls at night. But he was about to lose the presidency.
875865550945124353 2017-06-16 19:59:54 -0400 <PatriotaRepubli> @realDonaldTrump  real good Mr. Trump! Raul Castro is a CRIMINAL!  https://t.co/SVfUQRSZIJ
875865550433464324 2017-06-16 19:59:54 -0400 <mikeyd_47> @USCCRgov will investigate @realDonaldTrump  https://t.co/77zoHCHMXt
875865547618910209 2017-06-16 19:59:54 -0400 <BatesmatthewLee> @realDonaldTrump Short term memory loss is a real problem for you. You alone made the decision to fire Comey.
875865547581403136 2017-06-16 19:59:53 -0400 <JamesVanHooser3> @kmbiamnozie @staceycatenacci @realDonaldTrump @FareedZakaria Watch OANN  https://t.co/nUfzAXLsaJ
875865547413614596 2017-06-16 19:59:53 -0400 <Carsonraml> @realDonaldTrump No, you are not.
875865542296555520 2017-06-16 19:59:52 -0400 <cmcmahon> @DonaldJTrumpJr @realDonaldTrump Imagine how much better adjusted you'd be if he wasn't your father.
875865541700984832 2017-06-16 19:59:52 -0400 <IcemanDaGenius> Demo Russia Narrative ON STRING. Almost Done. Now Demos REACHING on Obstruction OBVIOUS. Time 2 COUNTER PUNCH @realDonaldTrump FAMOUS FOR IT
875865539616309248 2017-06-16 19:59:52 -0400 <mrbongostx> @KevinLemery @MichaelGrantBks @realDonaldTrump Curious as to how you interpret "I am being investigated"?
875865539268157440 2017-06-16 19:59:52 -0400 <1underpar> Hey President Cheeto Mussolini @realDonaldTrump, your BFF Jeff Sessions is a liar just like you.  https://t.co/ZB4mvMMbIp
875865539184279553 2017-06-16 19:59:51 -0400 <dryden2911> @realDonaldTrump Doesn't matter who you block you will go down in history as one of the biggest failures in U.S. history. Ur Dad is ashamed
875865537607331841 2017-06-16 19:59:51 -0400 <bubbygina> @KeeganNYC @realDonaldTrump None of it true. You are watching too much Rachel maddow. Be careful. One of her supporters just committed double suicide
875865536227299328 2017-06-16 19:59:51 -0400 <gracewontshutup> @realDonaldTrump Didn't want you to miss this important article.   https://t.co/K9sWDAHnJi
875865535535304704 2017-06-16 19:59:51 -0400 <djaunz> @realDonaldTrump Today it became perfectly clear how jealous of Obama you really are.....feel sorry for the staff
875865531584303104 2017-06-16 19:59:50 -0400 <gobbledeegook> @JoshButler i'm going with @realDonaldTrump
