1192592566006550529 2019-11-07 18:59:59 -0400 <WHFakeNews> @realDonaldTrump Read the Mueller Report.🙄  https://t.co/VHqhV8WAqY
1192592564907581440 2019-11-07 18:59:59 -0400 <samtosane> @Suzdee1 @retort_the @binary_evasion @realDonaldTrump Not all conservatives, though
1192592563515121665 2019-11-07 18:59:59 -0400 <MGSnyder12172> @realDonaldTrump It’s the Constitution. You sound like you just discovered its. This is not a trial in the House, and it’s not a fake hearing. Serious Q: would you actually explode if you told the truth?
1192592563057897472 2019-11-07 18:59:58 -0400 <Tammy60479677> @realDonaldTrump I love the way you Libs say the majority of Americans. The last I remember the majority put him in the White House and the majority will see he gets a second term! #TRUMP2020
1192592563045355526 2019-11-07 18:59:58 -0400 <ManeBlonde> @Stefie0611 @DonaldJTrumpJr @realDonaldTrump @kimguilfoyle @TheView To show what croupt fool they are.
1192592561581568000 2019-11-07 18:59:58 -0400 <itjustdoesntma2> @walton_vikki @ElizabethEThorp @BradBeauregardJ @realDonaldTrump thats literally the fucking point of this post... he was not loyal. fucking read/
1192592559966699520 2019-11-07 18:59:58 -0400 <LaurenPotterfi1> @realDonaldTrump Presidential propaganda alert.
1192592559165456385 2019-11-07 18:59:58 -0400 <TroyWilder318> @SteveScalise @realDonaldTrump Jeez, how boring would things be if Trump was  a normal president? This man has givin us so much...to talk about it's been a "wonderful" 3 years of this reality show. Now I think we could all use some peace and quiet.
1192592558775554048 2019-11-07 18:59:57 -0400 <roydert8> @realDonaldTrump @Lrihendry All Republicans should boycott Amazon until Bezos sells this propaganda rag or quits publishing fake news
1192592558440042502 2019-11-07 18:59:57 -0400 <TheGrinMill> @real_defender @realDonaldTrump Hahahahahahahahaha .. yeah, fighting to keep his sexual crimes out of court. LMAO
1192592557886148608 2019-11-07 18:59:57 -0400 <TIG_Asia> @TomekUs @MatthewJshow @realDonaldTrump In bizarro world perhaps
1192592554975469568 2019-11-07 18:59:57 -0400 <GlassmanJoe> @kupcakesNkiddos @BlueDem1 @nyc_2018 @SenSchumer @realDonaldTrump Look, conversations the President has with foreign Governments are classified. That there even are "whistleblowers" means that someone leaked classified information. All they have is hearsay, and what isn't hearsay no one is actually going on record with.
1192592554157584384 2019-11-07 18:59:56 -0400 <cavachonmama> @realDonaldTrump @IvankaTrump
1192592553264193536 2019-11-07 18:59:56 -0400 <CreatingDems> @kimguilfoyle @TheView @DonaldJTrumpJr @realDonaldTrump That’s not what I hear in nyc
1192592552601509889 2019-11-07 18:59:56 -0400 <moonbeast1> @NightFl82963429 @mmpadellan @realDonaldTrump 😂🤣😂🤣😂🤣😂🤣
1192592548172161024 2019-11-07 18:59:55 -0400 <GilbertRanch47> @howroute Trump's Army, blind that they're still fanatically supporting a Treasonous @RealDonaldTrump, who with the help of his Ruskie Conspirators in the @SenateGOP and @HouseGOP, continue the Ruskie orchestrated coup of the Republic, they begin to travel and stage for his next Hate Rally  https://t.co/lDVXbzMTgz
1192592547371200512 2019-11-07 18:59:55 -0400 <InversionesSaen> @IvanCepedaCast Cepeda en la mira de la justicia internacional. Cantó el sobrino de Ivan Marquez  @marcorubio @realDonaldTrump @DEAHQ agilice la oden de interpol, Este terrorista es parte del mal.  https://t.co/fnpOFl3bz6
1192592547085877248 2019-11-07 18:59:55 -0400 <DictatorRemoval> @SCH41076287 @realDonaldTrump I would say the immigration laws are gonna change soon from welcoming to not welcoming, don’t waste time and money.
1192592544628121601 2019-11-07 18:59:54 -0400 <Donna49727502> @SteveScalise @realDonaldTrump Democrats are committing treason ..   time to turn this around
1192592544422600704 2019-11-07 18:59:54 -0400 <LisaHUrban> @realDonaldTrump Read the constitution!!!
1192592541562130432 2019-11-07 18:59:53 -0400 <BeadingfanNancy> @GOP @realDonaldTrump @CMSmedile  https://t.co/GuRBLgTIXH
1192592541276762113 2019-11-07 18:59:53 -0400 <MaryMbeal1fan> @kimguilfoyle @TheView @DonaldJTrumpJr @realDonaldTrump Why did the view even have them on their?
1192592539121004544 2019-11-07 18:59:53 -0400 <RobertL_Watson> @thedailybeast Mark Burnett needs to take his arse back to Australia where he belongs. The @realDonaldTrump belongs in jail.  https://t.co/ZaOXEeoH2U
1192592538676420608 2019-11-07 18:59:53 -0400 <rwalker7841> @AP @SethAbramson Be Best, @realDonaldTrump !  Loser!
1192592538051448837 2019-11-07 18:59:53 -0400 <cindyt47> @outofcontroljb @AmyMek @realDonaldTrump 🤣🤣🤣😂Amy., Your adorable
1192592536868667397 2019-11-07 18:59:52 -0400 <CindyMaddock> @realDonaldTrump Hahahahaha haha........
1192592536730079232 2019-11-07 18:59:52 -0400 <fmlinz> @realDonaldTrump If u have contradicting verifiable evidence ask them to testify at the hearings.U don't have any so u resort to calling the inquiry a whitch hunt/scam instead try to support ur claims with verifiable facts.U are sounding like a man who is soiling his pants, the walls r closing in
1192592536176615425 2019-11-07 18:59:52 -0400 <digbiblioteca> @realDonaldTrump it's Obama's legacy that you are falsely taking credit for. we could enjoy this, if we didn't have to live in the hellhole of your presidency.
1192592532527632384 2019-11-07 18:59:51 -0400 <RosaryMia> @realDonaldTrump You're in so over your head. You don't know how any of this works, and neither do your sycophants. Just give up. #ImpeachAndRemove
1192592531436892160 2019-11-07 18:59:51 -0400 <tomartin7> @realDonaldTrump You are most likely the liar in this story, according to science.
1192592529427959808 2019-11-07 18:59:50 -0400 <randy_monsen> #BigPrediction #AristotlePsycranium @realDonaldTrump  https://t.co/u41ta61B82
1192592528689811458 2019-11-07 18:59:50 -0400 <rusty_pharris> @b6c25a8568dd42d @EpicEthanol @syfyguy @realDonaldTrump Fair-minded people have begun to ask why is it necessary to have secret witnesses, secret hearings, and leaks of distorted, out-of-context excerpts from transcripts  Why is it necessary to block potus from sending reps to attend hearings so he can have equal access to evidence?
1192592525732859905 2019-11-07 18:59:50 -0400 <antiecc> @RepMarkMeadows @realDonaldTrump Swalwell is a mouth piece for Schiff. They have been appearing together lately.
1192592525451812864 2019-11-07 18:59:50 -0400 <RafaelRiveraMe8> @realDonaldTrump donde la intelegincia le diga si obrador está loco y pendejo he idiota hasta ese momento va creer que está mal de sus facultades mentales o que necesita o yo soy un reality no señor presidente Trump ni yo soy un reality y ni usted está loco el loco es obrador
1192592524247891968 2019-11-07 18:59:49 -0400 <VederEats> @realDonaldTrump fraud #ImpeachmentTaskForce
1192592522901704704 2019-11-07 18:59:49 -0400 <b6c25a8568dd42d> @syfyguy @rusty_pharris @EpicEthanol @realDonaldTrump I can't believe this is still an on going tweet 😂😂 @syfyguy .
1192592521857122304 2019-11-07 18:59:49 -0400 <hellonwheels222> @realDonaldTrump But your filthy house of cards is going down.  https://t.co/STawFbzGnT
1192592521248952320 2019-11-07 18:59:49 -0400 <AndreNg75862790> @juhndad0812 @realDonaldTrump Be happy 😃 😊😊.
1192592520779309056 2019-11-07 18:59:48 -0400 <Patriot89432220> @TimWrig54880068 @UseYourWordsAmy @THEFXR1 @RealDealAxelrod @TheRightMelissa @realDonaldTrump @real_defender @Lrihendry AJ, have u ever been to church? Christ is something tangible... literally something you can feel. And you're poking fun of stories in the bible without taking the fact that it has been phenomenal in accuracy with many prophecies within it
1192592516207534081 2019-11-07 18:59:47 -0400 <Roush081> @SebGorka @realDonaldTrump OMG
