886737207641460736 2017-07-16 19:59:59 -0400 <Kaydlane22> @morten @realDonaldTrump Yikes! That is crazy!
886737206798405632 2017-07-16 19:59:59 -0400 <lordjefury> @dmartosko @DonaldJTrumpJr @realDonaldTrump So if Don jr was perp in To Catch A Predator &amp; he sets up meeting but no 14 yr old girl shows up instead its a Rus lawyer he should go free?
886737203598168066 2017-07-16 19:59:58 -0400 <MainStreetMuse> @vfx_dude @dmartosko @DonaldJTrumpJr @realDonaldTrump Stop lying. It's terrible for the country.
886737193875668992 2017-07-16 19:59:56 -0400 <Ricklafond1> @realDonaldTrump Thanks again Mr President for keeping us safe !!! Even the Hillary loving demacrats
886737186628001792 2017-07-16 19:59:54 -0400 <greeny08111958> @realDonaldTrump Let's FACT CHECK 🤔stock market, hits ALL time highs and lows with EVERY PRESIDENT,TRUMP😎😉U,HAVE done NOTHING(CON ARTIST)ASK PUTIN 4 HELP 👀📺
886737183012421632 2017-07-16 19:59:53 -0400 <LBFCC1wpg> @realDonaldTrump To be experiencing this much resistance...you MUST be right!
886737181942968320 2017-07-16 19:59:53 -0400 <ATBWeddings> Can you imagine the uproar from the @realDonaldTrump side if that email was sent to @ChelseaClinton instead of @DonaldJTrumpJr ?  https://t.co/hvyIKu3zq2
886737177744420873 2017-07-16 19:59:52 -0400 <thedivuh> I wonder if any of @realDonaldTrump products are Made in America  https://t.co/NUGgGoxENv
886737176578404352 2017-07-16 19:59:52 -0400 <deancat2005> @THINKBELIEVEME3 @cottonpony @realDonaldTrump time to pull the plug and drain the scum from DC
886737174355480578 2017-07-16 19:59:51 -0400 <cyberma01> @realDonaldTrump   https://t.co/irgeSqJhQE
886737174263209984 2017-07-16 19:59:51 -0400 <BigSky3450> @realDonaldTrump #POTUS not elected by the #majority of people, and thought so poorly of by his peers #narcissist #greedy #embarrassment  https://t.co/WGHqjIED6w
886737173399175168 2017-07-16 19:59:51 -0400 <BigglesDad> @Protrump45 @realDonaldTrump @USGA Collude with Russia, (cont)
886737172572852224 2017-07-16 19:59:51 -0400 <nexxfaze> @realDonaldTrump Please let us form an association for all stylist so we can decent health insurance.  We deserve it.
886737171834703872 2017-07-16 19:59:51 -0400 <Abdullah_n11225> @realDonaldTrump @USGA You the one can help us to find my missing brother in Qatar govrment
886737165375373312 2017-07-16 19:59:49 -0400 <JenDuBreuil> @NeilMaginnis @OldGent46 @alexisgoldstein @realDonaldTrump #PutinBot
886737165337731072 2017-07-16 19:59:49 -0400 <deb_heinz> @JeffTutorials @realDonaldTrump @USGA The only hard thing he has done consistently, has been hard up for attention.   His current ratings suggests he's failing at that as well.
886737161759973376 2017-07-16 19:59:48 -0400 <hasler_theresa> @LoveloveTrump12 @TheRealJoeyBelz @Ozzy16635439 @johnoaustin2 @danibostick @getongab @realDonaldTrump You're so right the others are only keyboard warrior's
886737160900096000 2017-07-16 19:59:48 -0400 <antitrump1969> @realDonaldTrump @USGA Is it true that both you and Napoleon Bonaparte have tiny hands? Don't be grabbing any pussies with those tiny nubs!
886737157385109505 2017-07-16 19:59:47 -0400 <sachal09> @realDonaldTrump @USGA Please don't embarrass us AGAIN!  https://t.co/FCSKo8IYrz
886737155812360192 2017-07-16 19:59:47 -0400 <BooHall2> @Impeach_D_Trump @realDonaldTrump That's winning Trump style. Walking away with these numbers of disapproval will break another record. Make history, Trump your different .
886737155648884736 2017-07-16 19:59:47 -0400 <Nygma619> @TampaBayLyft @slack2thefuture @realDonaldTrump Read about "thing of value".  You know what opposition research from a foreign government is? A THING OF VALUE!
886737153509564416 2017-07-16 19:59:46 -0400 <cloudless8> JICYMI @realDonaldTrump #Almost40% 🐴😂  https://t.co/0Apvzrv0jg
886737153174126592 2017-07-16 19:59:46 -0400 <Traceyt73930839> @realDonaldTrump   HAHAHAHAHEHEHEHE  https://t.co/FryQUyjUB6
886737151647469568 2017-07-16 19:59:46 -0400 <fakename1234321> @MargheimRon @NikLentz @sartorialblog @realDonaldTrump Almost a month later and this is the best you can come up with? NOT SENDING THEIR BEST.
886737150116585473 2017-07-16 19:59:46 -0400 <Monkeys2Fly> @realDonaldTrump, did you see this? You have hit a historic low in approval ratings.  https://t.co/UD18KVPr4g
