1199840324274851840 2019-11-27 18:59:59 -0400 <banjo1357> @IamChicana @ScottPresler @realDonaldTrump Pendeja. Tu hablas por tu y tu sola. 🤮
1199840323595374592 2019-11-27 18:59:59 -0400 <Clemson02826539> @wolverhampt0n1 @LawCal999 @JenuineLeighJen @msdeehj1 @cleojonz @alibiapple @MarkDice @Travon @frankieboyle @realDonaldTrump Hillary lost!  https://t.co/Mei4KNQoAC
1199840320990535680 2019-11-27 18:59:59 -0400 <3hkongui> @SenTedCruz @realDonaldTrump Thanks for paying attention to #HongKong 🙏🙏
1199840319765991429 2019-11-27 18:59:58 -0400 <D00mPaul> @eugenegu @realDonaldTrump aw poor surgeon-scientist Eugene is so oppressed by Drumph
1199840319157735424 2019-11-27 18:59:58 -0400 <IkristenMcMast1> @realDonaldTrump Has nothing to do with you.  https://t.co/jSNNkdxv11
1199840319023525888 2019-11-27 18:59:58 -0400 <Dragic95710546> @realDonaldTrump HOW THE GOP,  TRIES to COVER up for @POTUS Ukraine impeachment HEARINGs.  https://t.co/Wwd2rP7rH6
1199840317505245184 2019-11-27 18:59:58 -0400 <mebconsult> @realDonaldTrump Poverty is not plummeting. Stop making things up. Our life expectancy is going down due to opioids and alcohol abuse. Gun violence is rampant.
1199840314200068099 2019-11-27 18:59:57 -0400 <EvaSailEast> .@realDonaldTrump signs the #HongKongHumanRightsandDemocracyAct   “I signed these bills out of respect for President Xi, China, and the people of Hong Kong.”     https://t.co/v5tjHy87WA
1199840313470140417 2019-11-27 18:59:57 -0400 <Lawly101> @SenRickScott @realDonaldTrump Thank you so much Senator Scott for paying attention to #HongKong. #HKHRDA is a hugh news to us #HongKongers &amp; we would love to see the Act make use &amp; be effective soon to take those accountable for this already half a year long humanitarian crisis during #HongKongProtest  https://t.co/DVteEBnL2L
1199840311163404288 2019-11-27 18:59:56 -0400 <JerrysBhoy> @realDonaldTrump The Republican Party is quickly shrinking.
1199840310395899905 2019-11-27 18:59:56 -0400 <heathhag1> @realDonaldTrump would you like to ring the Salvation Army bell in lake Jackson Texas on December 9th? I have slots available.
1199840310110687233 2019-11-27 18:59:56 -0400 <TheRickWilson> Oh hey...@realdonaldtrump.   https://t.co/ygPR99ln4K  https://t.co/Zm5xJ4uL51
1199840308566978560 2019-11-27 18:59:56 -0400 <rspecial2> @realDonaldTrump Fake news enemy of the people.  BULL SHIRT
1199840308357455873 2019-11-27 18:59:56 -0400 <DebbieSVA> @realDonaldTrump  https://t.co/WYzSB6SGbo
1199840306994262016 2019-11-27 18:59:55 -0400 <MurrayMcA> @realDonaldTrump That picture is as real as your morals.
1199840306578907136 2019-11-27 18:59:55 -0400 <AristotleWisem1> @realDonaldTrump  https://t.co/6YDTZiB9Ul
1199840306218188800 2019-11-27 18:59:55 -0400 <busbybonnie> @realDonaldTrump Holy. Holy. Can't believe you have not deleted this. So embarrassing. Yikes!
1199840306193022976 2019-11-27 18:59:55 -0400 <Urisesu2> @realDonaldTrump 😂😂😂
