925512710346993664 2017-10-31 19:59:59 -0400 <Fluffball67> @realDonaldTrump You are a racist sellout to the #NRA ... What about Vegas?
925512710271504384 2017-10-31 19:59:59 -0400 <robby4handicap> @Paul98265831 @BilldeBlasio @realDonaldTrump Not leaving and gonna bash the pathological liar in chief every day.
925512709424152577 2017-10-31 19:59:59 -0400 <mbanovetz1> @realDonaldTrump 240,000 acres of MN land w/100% of nation’s nickel at risk. Talk to our congressmen and help us! #Fight4MiningMN
925512709285863424 2017-10-31 19:59:59 -0400 <klgrieser> @BrainyB3 @TheRickWilson A good question would be, once @realDonaldTrump starts calling Hope Ivanka, how quickly does he expect her to have his balls in her mouth?
925512708748922881 2017-10-31 19:59:59 -0400 <kakee111> @Realjmannarino @realDonaldTrump I know because DT has done so much since he’s been in office. Talk is cheap.
925512704152035336 2017-10-31 19:59:58 -0400 <danirenee623> @AnthonyDesivo @realDonaldTrump I'm guessing the wall needs to along the Florida state line since that was where he resides
925512703266848768 2017-10-31 19:59:58 -0400 <ResistRevote> @millarly @MarkJKremer @realDonaldTrump   https://t.co/DrkVORDpHg
925512702461542400 2017-10-31 19:59:58 -0400 <UMAPGrizzlies> @TrumpGirlStrong @realDonaldTrump He welcomes them all.
925512701421539328 2017-10-31 19:59:57 -0400 <mikemleland> @realDonaldTrump MrPresident Cuomo,De Blasio have those peoples Blood on there hands ! They allow that Scum into our USA an protect Them 🖕💩
925512701329190912 2017-10-31 19:59:57 -0400 <bluesfan1994> @realDonaldTrump told u this would happen
925512700335132672 2017-10-31 19:59:57 -0400 <Brentana> @UnfollowVP Can’t wait to see the Justice and resolve in the @WhiteHouse @VP cause that will be sweet when @realDonaldTrump goes down. Go away now
925512698531545088 2017-10-31 19:59:57 -0400 <Blackflash22> @realDonaldTrump Careful not to poop your pants early. Wait for the cameras to be present. We only get one take. #TheResistance #ImpeachTrump
925512696858075136 2017-10-31 19:59:56 -0400 <JosephSparano> @IvankaTrump @realDonaldTrump The Republican legislators are rebellious against the President. It's done purposely. Drain the SWAMP. Nothing will get done. Embarrassing
925512696291823618 2017-10-31 19:59:56 -0400 <strathglass7982> @123andsold @cindyinodessa @RightlyNews @realDonaldTrump You are sadly so very ignorant.
925512696203800576 2017-10-31 19:59:56 -0400 <wintrywood> @realDonaldTrump Lawlessness is a fact of life and always will be, till a higher power ends it.
925512693892530176 2017-10-31 19:59:56 -0400 <Isfahannougat> @rookrestindane @Waynes0ul @Scavino45 @POTUS @realDonaldTrump @WhiteHouse @PressSec @WHNSC @IvankaTrump Don’t forget trumps just returned from Saudi with container loads of cash.  It is called hush money
925512692500238337 2017-10-31 19:59:55 -0400 <marshall3244> We #NeedtoImpeach @RealDonaldTrump. Join me and sign on to @TomSteyer’s petition demanding Congress impeach Trump.  https://t.co/9nHrca7iTG
925512691766185984 2017-10-31 19:59:55 -0400 <DidinaBebeselea> @realDonaldTrump Judges that blocked the travel ban should be held accountable and or thrown out of office for what happened in NY today ! #MakeAmericaSafe 🗽
925512691669757952 2017-10-31 19:59:55 -0400 <MickeyHorne> @realDonaldTrump Oh big tough guy about to exploit this tragedy to distract from the Mueller investigation. Beginning of blaming Obama/Clinton in 3...2...1
925512691619454977 2017-10-31 19:59:55 -0400 <dinodogstar> @realDonaldTrump 's Contradctory Statements About Relatonship W/ #TrumpPutin2020 ..  https://t.co/B4DgJiI4lw via @YouTube @SarahHuckabee @ap
925512689299939329 2017-10-31 19:59:54 -0400 <Anthony07613137> We #NeedtoImpeach @RealDonaldTrump. Join me &amp; sign on to @TomSteyer’s petition demanding Congress impeach Trump.  https://t.co/lEdjwEuoCi
925512689052540929 2017-10-31 19:59:54 -0400 <Archfeldspar1> @realDonaldTrump Are there shortcuts to victory (i.e. campaign promises fulfilled)? Probably not. Negotiate partial amnesty for platform promises &amp; truce.
925512687311781888 2017-10-31 19:59:54 -0400 <chrismoody83> @realDonaldTrump @DirtyLeedsLeo Lovely punctuation Mr Trump
925512685592170496 2017-10-31 19:59:54 -0400 <alexcain33> Full travel ban now Mr. VP @realDonaldTrump @POTUS @WhiteHouse @SpeakerRyan @SenateGOP @SenTedCruz @RandPaul @jeffsessions @SteveScalise  https://t.co/ett6AOaBzG
925512684287733760 2017-10-31 19:59:53 -0400 <locations131> @realDonaldTrump YEAH, DONALD, ENOUGH! MUELLER!!!!!!!!
925512682379382784 2017-10-31 19:59:53 -0400 <msgrizzle> @realDonaldTrump 600 people were shot IN THE USA in Las Vegas. No big whoop?
925512681846484992 2017-10-31 19:59:53 -0400 <nanosilicon> We #NeedtoImpeach @RealDonaldTrump. Join me &amp; sign on to @TomSteyer’s petition demanding Congress impeach Trump.  https://t.co/f0tIpzdkZi
925512681746042880 2017-10-31 19:59:53 -0400 <Rome_Fell> @TrumpGirlStrong @realDonaldTrump DeBlasio whining &amp; grandstanding as usual
925512681083334656 2017-10-31 19:59:53 -0400 <buckygoldymom> @Realjmannarino @realDonaldTrump America voted for Hillary
925512678151458816 2017-10-31 19:59:52 -0400 <Kathreichard> @realDonaldTrump It looks like the USA was attacked by a treason weasel. NOT IN THE USA!
925512677778079744 2017-10-31 19:59:52 -0400 <ProfJulie616> @JoshuaH6X7is42 @siesienna @parklanephil @tazdelaney @robreiner @realDonaldTrump I’m afraid you have a long wait ahead.
925512677765648385 2017-10-31 19:59:52 -0400 <FnTonyHall> @realDonaldTrump That fucking terrorist attack in Vegas tho #wrongskintone #racist #fucktrump #terrorism
925512672870912000 2017-10-31 19:59:51 -0400 <truthcounts4> @justathoughtUSA @An0nRav @BilldeBlasio @realDonaldTrump The Democrats vile Virginia video is a welcome mat for ISIS 2 use democrat hate to justify their kills!  Democrats act like ISIS IN TRAIN’G
925512666558316545 2017-10-31 19:59:49 -0400 <officialshntll> @mkennedy2104 @Lin_Manuel @realDonaldTrump Their debt has nothing to do with Obama. Debt precedes him. Why do you guys always gotta deflect to him?
925512666545827845 2017-10-31 19:59:49 -0400 <Clanky74> Horrified by events in New York, I don't know the answer, but if you think it's @realDonaldTrump,  then you are asking the wrong question.
925512666457759745 2017-10-31 19:59:49 -0400 <mikey2cool2> We #NeedtoImpeach @RealDonaldTrump. Join me &amp; sign on to @TomSteyer’s petition demanding Congress impeach Trump.  https://t.co/cDba8GQEhh
925512665677619200 2017-10-31 19:59:49 -0400 <Roberttimestwo> @realDonaldTrump @VP @AP @FoxNews Trump Campaign negotiated with Russians proven, Russians hacked Election in favor of Trump proven  https://t.co/iebaUfjXQK
925512664155123712 2017-10-31 19:59:48 -0400 <ItsReallyMarkCM> @Fuctupmind @realDonaldTrump This dude's been here since 2010. Your original point on the Muslim ban  doesn't hold up. He was already here.
925512656672428032 2017-10-31 19:59:47 -0400 <Hardin3G> @AliCologne @realDonaldTrump The suspect in Manhattan apparently shouted “Allah Akbar” before being detained...
925512655661617152 2017-10-31 19:59:46 -0400 <XThexPhenomxxxx> @realDonaldTrump i thought you're going to defeat isis in 30 day's.
925512654516396032 2017-10-31 19:59:46 -0400 <wanwho> @Poetivity @realDonaldTrump same thoughts..!! 😣
925512653203824640 2017-10-31 19:59:46 -0400 <Laurasa16627974> @Wanderer_RH @realDonaldTrump He just gives more power to isis like that.plays according to their playbook.SAD
925512652734042112 2017-10-31 19:59:46 -0400 <DrHaffaarr> Um, with 44 superior presidential choices to make, it's best that you keep your @realDonaldTrump mask in your toy chest, junior. #ToxicBrand  https://t.co/6OFdMVBHqC
925512652662517760 2017-10-31 19:59:46 -0400 <JuliaLeo4> We #NeedtoImpeach @RealDonaldTrump. Join me &amp; sign on to @TomSteyer’s petition demanding Congress impeach Trump.  https://t.co/tWHz7cZbZT
925512650771107841 2017-10-31 19:59:45 -0400 <honeycocobrown> @realDonaldTrump You don't mean that...I'll never believe you mean what you just said and truly, no one else does either.
925512650594779136 2017-10-31 19:59:45 -0400 <maga1dayatatime> @804StreetMedia @realDonaldTrump Why don't you ask the little girl's that Biden wanted to kiss and struck their hair. Creepy. Or Obama that wanted a 750% increase in refugees into this country. No thanks.
925512648996900870 2017-10-31 19:59:45 -0400 <didierjeanjean1> @realDonaldTrump mr le président des États-Unis d'Amérique. Quand la statue de la liberté pleure le peuple français pleure avec vous  Hourra
925512647856050176 2017-10-31 19:59:45 -0400 <GrandWizardPePe> @IvankaTrump @realDonaldTrump Tfw 1st lady hasn't picked a "cause" but her step daughter has championed like 20 already :o
925512647704903680 2017-10-31 19:59:45 -0400 <ymoonbow> @realdonaldtrump protect Americans from a dumb tax increase set to go into effect Jan. 2018 #StopObamacareTaxes  https://t.co/OJekgU1Y20
925512645972779010 2017-10-31 19:59:44 -0400 <hiareth> @realDonaldTrump Um, it happens all the time, by US citizens mostly.  Where do you live?  Maybe you aren't familiar with whats happening in the US.
925512645456924677 2017-10-31 19:59:44 -0400 <Matter_of_Fact> @SimonPinsa @guardiannews @realDonaldTrump Na, my whole thing was to point out the ineptitude of your tweets. It wasn’t hard. Bye.
925512644727070720 2017-10-31 19:59:44 -0400 <bigfoot6504> @realDonaldTrump Thank God for you our President . The activist judges can have this blood on their hands as will the mayors of sanctuary cities .
925512644328648709 2017-10-31 19:59:44 -0400 <maryhilliard45> #Resistance will become so strong we will meet you in the streets @realDonaldTrump @GOP  #Icantkeepquiet.org  https://t.co/crKk763SpQ
925512644085166080 2017-10-31 19:59:44 -0400 <abigailbluesong> @realDonaldTrump @VP @GOP @HousseGOP @SenateGOP Listen to #WeThePeople &amp; do not proceed with the #TrumpTaxScam Trickledown never, ever works  https://t.co/6atfqT1XgY
925512643879763970 2017-10-31 19:59:44 -0400 <trouble5885> @realDonaldTrump No way! You are going to screw us!
925512637500272641 2017-10-31 19:59:42 -0400 <lcox1948> @IvankaTrump @realDonaldTrump You are not qualified to even be involved in these decisions.  GO HOME!  Take your unqualified daddy with you!
