899058394950021122 2017-08-19 19:59:59 -0400 <b_radcrypto> @614swat @paynej247 @realDonaldTrump @BrandonCBibb
899058394514034688 2017-08-19 19:59:59 -0400 <SeanahanDotCom> @docjohn61 @Verge19 @deena_stephens @emh_rn @ffb1234 @glogh1 @TheBartPimpson @realDonaldTrump Before I begin, do you have a list of sources which you'd find acceptable? Does @WSJ count? @FoxNews? @NRO?
899058393637429248 2017-08-19 19:59:59 -0400 <Chalant15> @realDonaldTrump You aren't helping our/your country come together
899058393599549440 2017-08-19 19:59:59 -0400 <DanoPinyon> @Aroliso @realDonaldTrump Bot
899058390600634369 2017-08-19 19:59:58 -0400 <KenHamacher> @SallyCarson19 @TheTweetwit @realDonaldTrump You are one sick person, can't see good things right in front of you!! Love President TRUMP
899058389904437249 2017-08-19 19:59:58 -0400 <kimchi_trades> If you can't --easily-- spot the error at a one second, glance, well you probably voted for @realDonaldTrump to begin with #WINNER  https://t.co/dBY7HwnZrl
899058389325684736 2017-08-19 19:59:58 -0400 <thedebbiec> @edge_of_fresno @IngrahamAngle @shadythrees @realDonaldTrump I don't think so.
899058388654583810 2017-08-19 19:59:58 -0400 <SueMassa256> @realDonaldTrump We need protest to heal? Really?
899058387803045889 2017-08-19 19:59:58 -0400 <Cirellan> Donald is a coward. His worst fear is Obama jumping out from a curtain and making jokes. And he has to sit there. @realDonaldTrump  https://t.co/qEkEVcK2Q0
899058372108058624 2017-08-19 19:59:54 -0400 <MConsuella> @JessiMarsh @JimiBagODonuts @N0T0RI0USme @amalietuffin @HillaryWarnedUs @realDonaldTrump ...and children had less protection against rape.🇺🇸🇺🇸 - I'm with her
899058369666850816 2017-08-19 19:59:53 -0400 <bbqpigskin> @realDonaldTrump Not with you leading the way!
899058368811347969 2017-08-19 19:59:53 -0400 <Widditt1> @exploosv @614swat @realDonaldTrump And I tell them that every chance I get!
899058368563654656 2017-08-19 19:59:53 -0400 <AnnCoulterChat> @BlueGP1200 @realDonaldTrump   Our Supposed "Law and Order" President is on the job...preventing this...oh wait...
899058368240734208 2017-08-19 19:59:53 -0400 <PurlCharles> @realDonaldTrump  Mr. President, am a huge fan and supporter. We really need to federalize our war memorials. They all have Veteran status.
899058365070012417 2017-08-19 19:59:52 -0400 <ElementofLoyal> @realDonaldTrump @BreitbartNews "F" Him and you.
899058363438202880 2017-08-19 19:59:52 -0400 <SweetPeaFan> @robyndenton10 @TeoGuzman63 @lk337 @45JONNYBOY @anthonystoppel @realDonaldTrump Good post!! He's done nothing to change his manufacturing to USA!
899058363388047360 2017-08-19 19:59:52 -0400 <samkamkor> @realDonaldTrump @KellyannePolls @BreitbartNews Really? New?
899058362943389697 2017-08-19 19:59:52 -0400 <LBinFL> @realDonaldTrump Hope Hicks is a better speller than Donny. Obvious this isn't him though, but good effort.
899058362205310976 2017-08-19 19:59:51 -0400 <trish_nelson> @realDonaldTrump "Our country will soon come together as one!"...since it was YOU who divided the country, I assume this means you're stepping down 🙏
899058361794150400 2017-08-19 19:59:51 -0400 <lululluvshollis> @tedlieu @stevenmnuchin1 @realDonaldTrump Dangit Ted... It's not like @stevenmnuchin1 was standing next to Trump when he said that... oh wait.  https://t.co/4fMVrZniTe
899058355850838016 2017-08-19 19:59:50 -0400 <StaceyCarmody1> @realDonaldTrump @BreitbartNews Yes, Fake News like FOX and Info Wars needs competition!
899058354949165056 2017-08-19 19:59:50 -0400 <eichenbergerana> @45JONNYBOY @anthonystoppel @realDonaldTrump Dream On
899058353283911680 2017-08-19 19:59:49 -0400 <dlhale310> @BrianKarem @officialfey @realDonaldTrump I was thinking of writing something similar, but I couldn't escape the feeling I was about to be the victim of a very mean joke! Thank you!
899058353082515456 2017-08-19 19:59:49 -0400 <rays89_ray> @davidmputnam @tonyposnanski @realDonaldTrump No bigger racist compared to a smug white liberal. So sit down racist
899058352860397569 2017-08-19 19:59:49 -0400 <bethmegna> @Habsj51 @realDonaldTrump @marty_walsh Your farrs smell bad
