1030242803253735424 2018-08-16 19:59:59 -0400 <JustgoawayDT> @RichHamblin11 @2020fight @realDonaldTrump You as well
1030242802402254849 2018-08-16 19:59:59 -0400 <mark_place> @realDonaldTrump Dude can you just give it a rest and try being president for a minute?
1030242801294958594 2018-08-16 19:59:59 -0400 <JRBanTwittler> @realDonaldTrump To the top 1%.  Have you seen all those stock buybacks?
1030242801194217472 2018-08-16 19:59:59 -0400 <HonestAbe72> @realDonaldTrump You want him to "represent" us as a "great patriot hostage"? What the fuck kind of nonsense is that?
1030242801114591239 2018-08-16 19:59:59 -0400 <JonnyZombie1> @44mmvvpp @realDonaldTrump Not at all saying I don't believe it, sounds par for the course actually but don't want to just believe cause I saw it on the interweb.
1030242800993034240 2018-08-16 19:59:59 -0400 <AlO20775456> @realDonaldTrump You lie.
1030242800942624770 2018-08-16 19:59:59 -0400 <katherine_nick> @DeepStateExpose @realDonaldTrump I read it and it sucks.
1030242800770723840 2018-08-16 19:59:59 -0400 <barclay740> @DrumpfBTrippin @MSNBC @realDonaldTrump @FoxNews Editing information to present a particular point of view or advance a specific agenda is fake news, and as for propaganda, well the voting poulace spoke loud and clear when they told Hillary to stuff it and go home.
1030242799940194305 2018-08-16 19:59:59 -0400 <abdulaziznn> @NoNameCimBom @Sul6an_0_ @realDonaldTrump  https://t.co/nWOOKIMZt2
1030242798577102848 2018-08-16 19:59:58 -0400 <OPCGhost> @superlorna69 @realDonaldTrump He's going to try to take down patriots one at a time, not realizing there are a thousand right behind them, willing to pick up the torch.  He just doesn't understand who or what he is messing with.  Sad.
1030242798564458496 2018-08-16 19:59:58 -0400 <gwm1959> @MarkSpa15541436 @jeeper64060 @realDonaldTrump Some people have zero respect for our veterans, and their service to our country. They will disparage them all due to some right wing nut-job making claims in his blog that he cannot back up with evidence of any sort.
1030242798421909504 2018-08-16 19:59:58 -0400 <mikey7036> @realDonaldTrump IF You Want Really Hurt Turkey 🇹🇷 Really Bad &amp; Got Our Patriot Priest Out Of Turkey So Fast@Mr. President @realDonaldTrump  Declare The Muslim Brotherhood As A Terrorist Organization ASAP. Because Turkey’s President Recep Tayyip Erdoğan He’s One Of Their High Ranking Member!
1030242796068909061 2018-08-16 19:59:58 -0400 <Olive_Winters_> @ladydem65 @realDonaldTrump Is that supposed to be u I don’t get it
1030242795733352448 2018-08-16 19:59:58 -0400 <LouisGolia> @GeraldoRivera @ntvnyr173 Well put Jerry! @realDonaldTrump @MariaBartiromo
1030242795313803264 2018-08-16 19:59:58 -0400 <mfdez1231> @realDonaldTrump Arrest Hillary and DEPORT OBAMA !!!
