954503738957316096 2018-01-19 18:59:59 -0400 <calengineer1981> @realDonaldTrump America  never left!  from where do  think it is back?
954503738944782337 2018-01-19 18:59:59 -0400 <Pepedropo1975> @realDonaldTrump   https://t.co/meIcd9B0sl
954503736172466176 2018-01-19 18:59:59 -0400 <rexallenwaldo> @realDonaldTrump Go on TV tonight a lay out your case No DACA we need America first
954503733467123713 2018-01-19 18:59:58 -0400 <cassellpeter> Analysis | We asked experts to grade Trump’s first year as a president. Here’s what they said.  https://t.co/QjnvS7d3AV. If this was a business, he’d be fired.  If is was college, he’d be tossed. @realDonaldTrump  has got to go.
954503733345509378 2018-01-19 18:59:58 -0400 <polguru> @KellyO @realDonaldTrump Count your blessings
954503731458007040 2018-01-19 18:59:58 -0400 <_oatc_> @WillBlackWriter @realDonaldTrump None of the young people behind him seem to notice anything amiss. Were they deaf people? Or does abstinence education omit everything but "don't do it"?
954503730342248448 2018-01-19 18:59:57 -0400 <GOPDeathCult> @TheaBergAuthor @steph93065 @DevinNunes @realDonaldTrump Pizzagate....."unmasking"....Seth Rich....Uranium One.  These fools are addicted to Nothingburgers.  Nom nom nom.
954503729499156481 2018-01-19 18:59:57 -0400 <arjitlamba> #SaveH4EAD @CNN @USChamberAction @HouseDemocrats #DontRevokeH4EAD @SecNielsen #GodBlessAmerica @LIFECoreUSA 🇺🇸 @USCIS @realDonaldTrump @IvankaTrump @FLOTUS  https://t.co/RUl1hoMfDC
954503727989313538 2018-01-19 18:59:57 -0400 <RickSharpe12> @pqwiley @realDonaldTrump Even though people of color unemployment rate is at an all time low while every economic statistic was way down during Obama's years
954503727678918657 2018-01-19 18:59:57 -0400 <KimPanaro> @realDonaldTrump You are asking be impeached liar.
954503726907052032 2018-01-19 18:59:56 -0400 <laureniscooking> @DevinNunes @realDonaldTrump Do you get a star on your report card for this tweet?  Maybe an "attaboy"  Exactly which country do you work for because it's not the US.  Anyway, we have @JanzforCongress ready to replace you in Nov., hopefully you'll be in prison before that!
954503725271408640 2018-01-19 18:59:56 -0400 <AlwaysInAmerica> @ericbolling @AppSame @realDonaldTrump schumer wants @HillaryClinton to be potus then they will vite in favor for the bill to pay our military and fireman and give millions of kids health insurence  SMH
954503725023862784 2018-01-19 18:59:56 -0400 <IlianaIxcel> We #NeedtoImpeach @RealDonaldTrump. Join me and sign on to @TomSteyer’s petition demanding Congress impeach Trump.  https://t.co/lVFeMmW7lQ
954503723534909445 2018-01-19 18:59:56 -0400 <DirtyButClean> @EmmyMaher @realDonaldTrump You and me both!
954503723312656384 2018-01-19 18:59:56 -0400 <celata_kathleen> @AudreyK27 @realDonaldTrump One can but hope, that these deviants who've hijackedthe honor of our country will face some retribution
954503720158470144 2018-01-19 18:59:55 -0400 <BoonBugaboo> @realDonaldTrump @johnbadams4th While you have your pen out President Trump, will you please stop the hemorrhaging chaos created over #ReleaseTheMemo and go sign it’s release before we kill each other over it’s fate? Thank you.
954503717209956353 2018-01-19 18:59:54 -0400 <juliusvandelaar> One year of @realDonaldTrump in office. Join me as @SarahHarman53 and I look back at some high- and lowlights of the first 365 days on #theday @dwnews  https://t.co/gxb6jyowYA
954503716383674369 2018-01-19 18:59:54 -0400 <LegendofDurkin> @realDonaldTrump proof! we demand proof
954503716148740102 2018-01-19 18:59:54 -0400 <Jch2520Hill> @TomFitton @JudicialWatch @realDonaldTrump They seem to forget about President Trump turning down a New Air Force One!
954503713057574912 2018-01-19 18:59:53 -0400 <mmneese2> @realDonaldTrump DACA is DEAD!
954503709333098502 2018-01-19 18:59:52 -0400 <WadeHughes10> @edwardbojones @pawz_pawz65 @AndyKimy @realDonaldTrump Us govt anyone convicted of a crime goes on public domain trump is innocent the whole portrayed thing was years ago didn't even Merritt investigation
954503707441451008 2018-01-19 18:59:52 -0400 <LyleCampbell12> @SenSchumer @realDonaldTrump Chuck, besides being a flunky for Uncle George. You would be the one responsible for the shutdown. You are a career politician who lacks all statemanship
954503706770378753 2018-01-19 18:59:52 -0400 <NikkiHurwitz> @realDonaldTrump Only the right porn stars? Right after your wife had your son?
954503706195693568 2018-01-19 18:59:52 -0400 <simplify77> @realDonaldTrump @PressSec @GOP @SenateMajLdr This👇🏻  https://t.co/DMAVV6njxj
954503705616818176 2018-01-19 18:59:51 -0400 <ItsThatRonakGuy> I wonder if @realDonaldTrump is letting the government #shutdown because he thinks it means he gets to go home.
954503705604259840 2018-01-19 18:59:51 -0400 <JillRyanNikita> @realDonaldTrump @SenSchumer @SenateMajLdr @SpeakerRyan No extension without 100% DACA protection and CHIP funded for years. Oh, and no freaking wall!!!!! 250 million + don't want it ...  Donnie dear, you want it, start a gofundme or pay for it yourself.
954503701124780032 2018-01-19 18:59:50 -0400 <WileyCraftsman> @realDonaldTrump It's all your fault
954503698423611392 2018-01-19 18:59:50 -0400 <FBeauchard> @alozrasT11 @POTUS @realDonaldTrump #ReleaseTheMemo
954503697253322752 2018-01-19 18:59:49 -0400 <testweeter3> @SenateMajLdr @TomCottonAR @GOPand Trump @potus @realDonaldTrump is responsible given that the senate House and Whithouse is under GOP ( aka ) Republican control and so you own it
954503697165377536 2018-01-19 18:59:49 -0400 <heatherhasideas> @realDonaldTrump Wow Donald. I guess you really do SUCK!
954503695995154434 2018-01-19 18:59:49 -0400 <JulianC8S> Hope @realDonaldTrump doesn't sexually assault the country. Heard he doesn't like getting shut down..#17Women? #ImpeachTrump
954503695441342464 2018-01-19 18:59:49 -0400 <noleyez> @tedlieu @realDonaldTrump Why don't 13 of you Dems vote then. It takes 60 votes, republicans are 51. So actually it is the Dems responsibility to vote with the republicans. But you all like to spread false rhetoric instead.
954503694443208704 2018-01-19 18:59:49 -0400 <amy_kramer> @realDonaldTrump @SenSchumer @SenateMajLdr @SpeakerRyan Or are you just in a hurry to get to Florida to charge 100,00$ a ticket to celebrate losing the popular vote?
954503692295770113 2018-01-19 18:59:48 -0400 <Okie_Resister> @TertiusIII @libbytaylorHOU @sassy_since @MRSSMH2 @pandorastile @AmhBoo @mutts4me_sherri @7thCycle @seanmdav @realDonaldTrump Even the conservative leaning WSJ who loves 45 broke the news and had another article yesterday on the porn star payoff with Cohen establishing a dummy Corp to run the $ through.
954503692190920704 2018-01-19 18:59:48 -0400 <bynermack2k> @jaybakeraz @DeplorableVW @MarkSKrikorian @deirdrewalshcnn @realDonaldTrump Nunes created it. He's seen it.
954503685022756864 2018-01-19 18:59:46 -0400 <LetumMonkey> @MashiedNp @EdKrasenstein @realDonaldTrump Oh look, an entire thread dedicated to sexual predators and their spouses 🙄
954503682439237638 2018-01-19 18:59:46 -0400 <ElGuaro1993> Mr President @realDonaldTrump just listen to Venezuelan Escobar incriminating @NicolasMaduro regime, no just in this crime but all those to come!  @marcorubio @Almagro_OEA2015 @TAMARA_SUJU @maibortpetit @NTN24 @Diego_Arria @EquilibrioGV @NituPerez  https://t.co/9N501glwoL
954503681289916416 2018-01-19 18:59:46 -0400 <Deplorable_JJ> @NancyPelosi @realDonaldTrump So corrupt! Congress continues to be paid while my daughter who is a single mother will not! You put dreamers before soldiers  #SchumerShutdown  https://t.co/JQXlrdZfRo
954503680987865088 2018-01-19 18:59:46 -0400 <WCM012> @realDonaldTrump @SenSchumer @SenateMajLdr @SpeakerRyan It irks me that this draft dodger is in charge of the military
954503680086151173 2018-01-19 18:59:45 -0400 <kcingram50> @krassenstein @williamhboney1 @realDonaldTrump There has never been a FISA warrant request refused: FBI/DOJ used the Steele file while aware that it was false.
954503679666778112 2018-01-19 18:59:45 -0400 <jkellykyle> @LoDuv @Maggieb1B @realDonaldTrump @TheBorumForum I kinda feel sorry for people as stupid as her. She’s not even smart enough to know she’s stupid !!!
954503679050158083 2018-01-19 18:59:45 -0400 <carroll_lenny> @realDonaldTrump   https://t.co/jy55pCdsR9
954503674117722112 2018-01-19 18:59:44 -0400 <cruzforce1> #TheResistance #FBR #FBRParty ... #GOP &amp; @realDonaldTrump are like #GreenGoblin asking #SpiderMan ( @chuckschumer &amp; #Democrats)  to choose his gf or a schoolbus full of kids ( #DACA or #CHIP). Can they sace both? #TrumpShutdown Country is watching! #TrumpTrain #Maga this is on u!
954503671219458048 2018-01-19 18:59:43 -0400 <themrpov> @realDonaldTrump and America is winning SO BAD with the #SchumerShutdown hashtag, The Left feels like Russia hacked twitter (No, The Left leaning liberals are getting served by conservatives and the #MAGA Coalition).  It's not #TrumpShutdown. Chuck is now "Shutdown" Schumer!
954503670606970881 2018-01-19 18:59:43 -0400 <RonCamPor> @realDonaldTrump @POTUS @GOP   https://t.co/mHCEI7A8SA  You will be held accountable. You are the incompetent *leader* who is ultimately responsible.
954503668987936769 2018-01-19 18:59:43 -0400 <tablogloid> @realDonaldTrump @SenSchumer @SenateMajLdr @SpeakerRyan I bet you still won’t get to golf this weekend.
