1144757368540094465 2019-06-28 19:59:59 -0400 <joanne_mulenex> @realDonaldTrump I think you spelled give him head wrong
1144757367768322053 2019-06-28 19:59:59 -0400 <DanielPenn78> @kphoto2020 @Raiderdave70 @Lrihendry @realDonaldTrump WHITE people were proud to be Americans you mean.
1144757365947768832 2019-06-28 19:59:59 -0400 <hjgood1> @cindyhydesmith @realDonaldTrump Exactly right! Modern times requires it.
1144757365108903937 2019-06-28 19:59:59 -0400 <chevyellis> What @realDonaldTrump doesn’t know is that when he leaves the room everyone refers to him as an Idiot including #Putin.
1144757363297148930 2019-06-28 19:59:58 -0400 <MilesQBlack1> @realDonaldTrump trump has never hit 50 percent in a poll... Fake poll.
1144757362923888640 2019-06-28 19:59:58 -0400 <Jenxpistola> @realDonaldTrump LMAOOOOO  https://t.co/knZI24t9dX
1144757361741049858 2019-06-28 19:59:58 -0400 <1CathyHarrell> @TomiLahren @realDonaldTrump He did some very good things. Do some reading @TomiLahren   https://t.co/N00yHFWXhn
1144757360923201542 2019-06-28 19:59:58 -0400 <WayneASchneider> @realDonaldTrump Rasmussen doesn't count.
1144757357567565825 2019-06-28 19:59:57 -0400 <MrBigPecks> @TheReal_Ikrani @RealKevinNash @SenSanders @realDonaldTrump I have, thank you.  I've read everything from malpractice insurance to conspiracy by the Illuminati (that's a favorite).  Frankly, most of it is bullshit.  But hey, government regulations get you down?  Could try doing away with them.  That works so fucking well.
1144757352543002624 2019-06-28 19:59:56 -0400 <Vivianvanessa52> @rolandscahill @realDonaldTrump Who is Donald Trump?
1144757351473397760 2019-06-28 19:59:55 -0400 <Patrici26457896> @pablovidalrojas @sebastianpinera @jairbolsonaro @realDonaldTrump Diputado Su tweet no es digno de su cargo Madure...
1144757345815158784 2019-06-28 19:59:54 -0400 <DirtyAdios> @TomiLahren @realDonaldTrump You're not fit to carry his tool belt.
1144757345576214528 2019-06-28 19:59:54 -0400 <VasudevaraoSuma> @RyanHillMI @realDonaldTrump And he sincerely thinks Kim has the intelligence of a 5 year old!
1144757340824096769 2019-06-28 19:59:53 -0400 <LoblollyPines> @RyanHillMI @realDonaldTrump #block
1144757338953457670 2019-06-28 19:59:52 -0400 <thehandymancen1> @JRehling @realDonaldTrump It seems totally ridiculous that you don't get it. You are either a job snatching swine, or just a simple, useless troll that no one pays any attention to.
1144757335874777089 2019-06-28 19:59:52 -0400 <edwards_lill> @RyanHillMI @WarlickLeslie @realDonaldTrump Dangerous for America
1144757335283392513 2019-06-28 19:59:51 -0400 <embeessem> @BootEdgeEdge20 @realDonaldTrump Cause he's a #FakePresident and #PutinsPuppet and #TrumpColluded
1144757334868209665 2019-06-28 19:59:51 -0400 <Indianagranny71> @realDonaldTrump
1144757334708645888 2019-06-28 19:59:51 -0400 <lynette74891958> @realDonaldTrump Instead of meeting him at the BORDER,  just cross their border and HOPEFULLY they will arrest you and put you in their detention center without a toothbursh and soap. That would be an AMERICAN dream if that happened
1144757332221538304 2019-06-28 19:59:51 -0400 <DebbieRausch3> @realDonaldTrump Lmao must be fun living in fantasy land!
1144757331512705029 2019-06-28 19:59:51 -0400 <WRHH1396> #G20OsakaSummit “leaders”  @realDonaldTrump is committing genocide in America but go on and pretend like nothing is happening.
1144757328547373057 2019-06-28 19:59:50 -0400 <mytwocts> @realDonaldTrump I am keen to hear a psychoanalysis if this message by an expert on narcissism! #ImpeachTrump and #LockHimUp
1144757328370995200 2019-06-28 19:59:50 -0400 <ifyousayrun> @realDonaldTrump  https://t.co/hUKBhkzjJj
1144757328316645376 2019-06-28 19:59:50 -0400 <customframingto> @45RAPEDKATIE @realDonaldTrump Not rapey
1144757325871407104 2019-06-28 19:59:49 -0400 <sharifulsdc> @realDonaldTrump Meanwhile chairman reacts  https://t.co/IpFOZKXcBN
1144757325363736576 2019-06-28 19:59:49 -0400 <EganLA> @GOP @realDonaldTrump  https://t.co/JOMGSl2uRN
1144757325212913666 2019-06-28 19:59:49 -0400 <D34DED> @RealKevinNash @T_Schaefer_ @SenSanders @realDonaldTrump You're misinterpreting free. It's taxpayer funded. All of us will be asked to pay more, but when it comes to individual costs it would be way less. I'm not sure how mu h your most recent surgery cost but it was probably around what I make in a year.
1144757324294369286 2019-06-28 19:59:49 -0400 <The_Moccasin_> @AmericanRising @marylene58 @BluehandArea @BriteEyes8 @Pcnw45Mike @MissyJo79 @slocke375 @AmericanJane2 @MsSpy007 @walkawayAUS @jujube23 @martuk56 @barefootinAk @RealBluehand @FoundinNV @49FisHLiveS @GOP @RealJamesWoods @realDonaldTrump @TheDemocrats @nfulmer0827 @VP @anthonymentill4 @BanchaSomchai @ShrimpyViews @RynoOnAir @lenlucas46 @tgradous @AlkireMike @larryvance47 @Durango96380362  https://t.co/zl3a9hFz9Q
1144757324130738176 2019-06-28 19:59:49 -0400 <coppertime> @realDonaldTrump 54% chance that Little Rocket Man will humiliate you again. 75% if you take Ivanka along.
1144757323304448005 2019-06-28 19:59:49 -0400 <BisiDada6> @realDonaldTrump @CNN CNN does not have low rating.CNN performs much. Better than your low performing Govt  with zero ideology.Or your very SELF whose achievement is to live off an inheritance and declares bankruptcy after each failing roll out.
1144757322016808961 2019-06-28 19:59:48 -0400 <billyf65> @RealOmarNavarro @realDonaldTrump LOL, no. You won't crack 45%.
1144757321433698304 2019-06-28 19:59:48 -0400 <hperryhorton> @realDonaldTrump What he doesn't mention is the poll question: "do you think Donald Trump is a serial sexual predator?" 54% of us do, and the rest think they're being asked if he's the alien from that Schwarzenegger movie.  https://t.co/fUYJfPpsp2
1144757320439779328 2019-06-28 19:59:48 -0400 <YaelSoussanMtl> @realDonaldTrump ❤️
1144757320276160514 2019-06-28 19:59:48 -0400 <cantcodeforthat> @PressSec @realDonaldTrump You lied. All the time. America won’t forget it. Your place in history is sealed and bad news, it won’t look good in the books.
1144757319743332352 2019-06-28 19:59:48 -0400 <wenwar69> @realDonaldTrump Trump has never broken 50% in his life and never will.
1144757318132928513 2019-06-28 19:59:47 -0400 <Wenpav> @TomiLahren @realDonaldTrump President Carter is not jealous of traitor trump.
1144757318124494848 2019-06-28 19:59:47 -0400 <LisaFitzzzzz> @Christi58968150 @sillymickel @SpeakerPelosi @RepZoeLofgren @realDonaldTrump @senatemajldr  https://t.co/YhG2AroeCF
1144757317927342080 2019-06-28 19:59:47 -0400 <CMint728> @TheRightMelissa @realDonaldTrump “the Dems are have...” 🤣
1144757317742710784 2019-06-28 19:59:47 -0400 <leibensp630> @realDonaldTrump What ? Are you a teenager? This is not how heads of state communicate...or even mature teenagers.
1144757316987715585 2019-06-28 19:59:47 -0400 <LindaDominguez> @realDonaldTrump You are mixing up the words "disapprove" with "approve" again....  https://t.co/5WKRCz3Ba4
1144757316748578816 2019-06-28 19:59:47 -0400 <Misty_Muse> @MicheHelle @realDonaldTrump @MicheHelle don't be a #bully
1144757315247255552 2019-06-28 19:59:47 -0400 <RebeccaWethman> @johnpavlovitz @TomiLahren @realDonaldTrump What John said you sad little girl
1144757314433572865 2019-06-28 19:59:46 -0400 <benniebhead> @realDonaldTrump You need some tissues for your issues
1144757313259151360 2019-06-28 19:59:46 -0400 <chris_bayers> @JumzyRau @rebl582 @aquatzke @mintNomadic @realDonaldTrump Trumps stands for corruption and greed and so do the republicans
1144757311770124288 2019-06-28 19:59:46 -0400 <RonalJay> @realDonaldTrump With you we get two in one...
1144757309920251904 2019-06-28 19:59:45 -0400 <midwestbagel> Yo @FoxNews can we still get an airing of @realDonaldTrump debating himself?
1144757306191687680 2019-06-28 19:59:45 -0400 <WadeJac39788797> @itsme_user @realDonaldTrump 😁
1144757305872801793 2019-06-28 19:59:44 -0400 <Stetayor> @TomiLahren @realDonaldTrump So your ok with the fact that Donald is conniving with a hostile foreign government? Your ok that the president of our country tells lies every day, how do you tell your kids it’s not right to lie?
1144757304023224321 2019-06-28 19:59:44 -0400 <joeleyare> @realDonaldTrump Um: And your eyes Trump: Your eyes, your eyes BOTH: They tell me how much you care Ooh yes, you will always be My endless love  BOTH: Two hearts, Two hearts that beat as one Our lives have just begun
1144757303914242048 2019-06-28 19:59:44 -0400 <pattihb101> @streak69 @realDonaldTrump Dumbo hasn’t figured that out yet!
1144757302811119620 2019-06-28 19:59:44 -0400 <NoSacredCow60> @Bindlestaff @realDonaldTrump By the light  of President moon Trump and Kim will spoon...🎵🎶🎵
1144757302643318785 2019-06-28 19:59:44 -0400 <MassageWellness> @realDonaldTrump Fake much, punk?
1144757301485682688 2019-06-28 19:59:43 -0400 <SCVProud> @aiton_william @LorenLee21 @eugenegu @realDonaldTrump Thanks for the back up, he believes what he was taught in school, I believed that for years until I retired and started delving into family history.  Your definitely right he needs to do more homework on the subject.
1144757301351464960 2019-06-28 19:59:43 -0400 <flipped54> @realDonaldTrump Omg did Putin approve this?  https://t.co/dlDgoksOdE
1144757300411785216 2019-06-28 19:59:43 -0400 <VictoriaDuggan2> @realDonaldTrump What is your problem? Cozying up to murderous dictators and alienating all of our allies. Former President Carter is correct. Russia got you elected. You need to be impeached. #Truth #ImpeachmentInquiryNow
1144757299279327233 2019-06-28 19:59:43 -0400 <Jimatsunrise> @happyfinko @MichelleRempel @GjosLisa @realDonaldTrump You likely wouldn't be allowed in now if you tried to do it the legal way. Trudeau's to busy writing cheques to the "irregular" border crossers to be bothered with people doing it the proper way.
1144757299124346881 2019-06-28 19:59:43 -0400 <9lindac> @PressSec @realDonaldTrump Thank goodness you are gone!!
1144757298340012032 2019-06-28 19:59:43 -0400 <jazzyjules54> @realDonaldTrump You’re pathetic, resign please
1144757298281308163 2019-06-28 19:59:43 -0400 <mswafford> @realDonaldTrump People love the economy, they just can’t stand you. #LiarInChief
1144757298197405696 2019-06-28 19:59:43 -0400 <DegoAngelo24> @PressSec @realDonaldTrump  https://t.co/LRpv4HsIJc
1144757295630475266 2019-06-28 19:59:42 -0400 <danielgansle> @glamelegance @realDonaldTrump Because he is one.
1144757294997102592 2019-06-28 19:59:42 -0400 <PauloRosso3> @jairbolsonaro @realDonaldTrump Esse sim: “He is the man”’!!!
1144757294875308032 2019-06-28 19:59:42 -0400 <Zacktherippa> @RMLeCompte @realDonaldTrump It’s entertaining just to scroll through and read the comments from crazy people like yourself
1144757292727984128 2019-06-28 19:59:41 -0400 <truebot9> @IamPurpleHearts @realDonaldTrump We hate you Mr. President!  The American people won’t vote you back in no problem! 🖕🏻🇺🇸
1144757286444969985 2019-06-28 19:59:40 -0400 <stirgryguy2> @realDonaldTrump Hey Trump  https://t.co/5TaEAiajR5
1144757286331658244 2019-06-28 19:59:40 -0400 <NoCapDallah> @realDonaldTrump Imagine Harris in a debate with trump
1144757283190136832 2019-06-28 19:59:39 -0400 <BrightApollo> @PressSec @realDonaldTrump later liar
1144757282288414720 2019-06-28 19:59:39 -0400 <MarkGElliott1> @blusie @DGComedy @realDonaldTrump @mPinoe When something is self evident (thank God for video tape) it is not a lie.
1144757280442916869 2019-06-28 19:59:38 -0400 <JerryDu05198155> @PressSec @realDonaldTrump Honor?  Are you insane?  You lied more often than you told the truth? How can you see that as honorable?
1144757279914262528 2019-06-28 19:59:38 -0400 <KerrianneS66> @realDonaldTrump Kim won’t see it - he’s a real leader....pick up a phone, Donny, and grow up!
1144757279453077504 2019-06-28 19:59:38 -0400 <WarlickLeslie> @tparmer @realDonaldTrump You win Twitter
1144757278911979520 2019-06-28 19:59:38 -0400 <worshipthesloth> @realDonaldTrump This is disturbing on so many levels,
1144757277145980930 2019-06-28 19:59:38 -0400 <macshe52> @realDonaldTrump  https://t.co/7J0uj9eLkY
1144757275594297344 2019-06-28 19:59:37 -0400 <bionicob4> @RyanHillMI @realDonaldTrump @mPinoe Precisely my first thought when I read his tweet.
1144757275069964288 2019-06-28 19:59:37 -0400 <je_mclaughlin> @PressSec @realDonaldTrump In service of the biggest bald-faced liar in our history.... shameful from a shameless man.
1144757274164043777 2019-06-28 19:59:37 -0400 <michelegamboa> @realDonaldTrump Was this a poll within your administration? 🤔
