1025531758996058120 2018-08-03 19:59:59 -0400 <NicoleKenza> @realDonaldTrump   https://t.co/AKZzJDFsSA
1025531757179936772 2018-08-03 19:59:59 -0400 <vernaschertz> @realDonaldTrump IS BUZZ LIGHTYEAR ON YOUR TEAM?
1025531753207947269 2018-08-03 19:59:58 -0400 <Huey5Huey> @Jamierodr10 @SiddonsDan @realDonaldTrump 🎯👍🇺🇸
1025531752935301121 2018-08-03 19:59:58 -0400 <Kaydlane22> @realDonaldTrump does not know the difference between a trooper and a traitor. His spelling is all off! We have the most #IllegitimatePresident in HISTORY!   Not kidding. He’s a full on scam!
1025531750905204736 2018-08-03 19:59:57 -0400 <FreedomLosing> @PauletteParis1 @thehill @realDonaldTrump Not stupid ones
1025531746287341568 2018-08-03 19:59:56 -0400 <SpringChickenAF> @realDonaldTrump @greggutfeld @TheFive ThTs some insightful stuff from Greg ‘Gsg Me’ Gutfirkd.  His IQ is just points above you.  Almost Hitting the 50%  mark.  That means you are both really unstable non-geniuses.
1025531745343549440 2018-08-03 19:59:56 -0400 <BrucLazlie> @Iamjpevans @realDonaldTrump Sometime god takes care of past events Venezuela made extreame poor choices in 1945 its no secret time to pay the piper.
1025531744160808960 2018-08-03 19:59:55 -0400 <hernan_ferrea> @realDonaldTrump THANK YOU PRESIDENT OBAMA!!!!
1025531739509125121 2018-08-03 19:59:54 -0400 <FreshSpellbound> @realDonaldTrump #1. You didn’t “win” the election. #2. You have done NOTHING to help our economy. #3. You have put America’s farmers out of business. #4. You’ve divided this country in hate and prejudice. #5. You split families and are doing NOTHING to rejoin them. #6. You are only a conman. FO!
1025531738292977664 2018-08-03 19:59:54 -0400 <LarryBlack10> @ZZ_NYC @DailyCaller @BretBaier @realDonaldTrump They're METAL. The freakout over "plastic guns" is that they won't show up on metal detectors.  For example: If I carry concealed, my gun is effectively "undetectable". Until I try to enter a government building or board a plane.
1025531737013669889 2018-08-03 19:59:54 -0400 <LonnieJ88477272> @SenGillibrand @realDonaldTrump Trump's policies destroying families he needs to go to jail Republicans are murdering people
1025531736376012800 2018-08-03 19:59:54 -0400 <Jlperezacevedo> @realDonaldTrump @POTUS US commonly creates 300 k jobs per month... whay is the "great" thing on your 500 k within 2 yrs??? Stupid president !!!!
