1184620033487659009 2019-10-16 19:59:59 -0400 <DebD26591439> @DavidJHarrisJr @realDonaldTrump 😂😂😂 first class baby 👏👏👏
1184620031407247360 2019-10-16 19:59:59 -0400 <jayaf1980> @briantylercohen @realDonaldTrump @SpeakerPelosi is the boss!
1184620031386308608 2019-10-16 19:59:59 -0400 <joeythegolfer> @JohnBrennan @realDonaldTrump Terrorist are dying! Thank you Mitch, Lindsey, Marco &amp; other Rs
1184620031201763328 2019-10-16 19:59:59 -0400 <Nasty_Mindy> @realDonaldTrump @SpeakerPelosi is a queen   Donald Trump was born into the mob.  https://t.co/3BCj2dPwNk
1184620030517895168 2019-10-16 19:59:59 -0400 <Hippie_Grannie> @fantagor @Oman89962000 @LibsInAmerica @realDonaldTrump Yep, already blocked.
1184620030350086145 2019-10-16 19:59:59 -0400 <KenDoss6> @realDonaldTrump Looks to me like she is handing you your ass...thanks for sharing
1184620030090190854 2019-10-16 19:59:59 -0400 <humphrey_cecile> @realDonaldTrump  https://t.co/8gHAzH1wOE
1184620029242986496 2019-10-16 19:59:58 -0400 <angieisstellar> @realDonaldTrump The body language on the Republican side of the table speaks volumes.
1184620029083607043 2019-10-16 19:59:58 -0400 <chief_224> @seanhannity if u have @LindseyGrahamSC on your show U need TO GRILL HIM,  he said he would be DJT's worst nightmare! So DESPICABLE!  OVER the Syria pullout? U cannot allow him to disrespect @realDonaldTrump , u just can't ! But I have a feeling u R ALL TALK NO ACTION! #gutless
1184620028576063489 2019-10-16 19:59:58 -0400 <Jess_deladono> @trish_regan @realDonaldTrump @POTUS This template works splendidly for asking for Christmas lists from family members.  💫🌈  https://t.co/BZokyCTQRY
1184620028240392194 2019-10-16 19:59:58 -0400 <LoveDomine> @Jamierodr14 @SoarOnTheWings @realDonaldTrump They are really pathetic
1184620028194361344 2019-10-16 19:59:58 -0400 <jerseabeachlvr> @realDonaldTrump It took a woman to put you in your place. Not at  all surprised
1184620028127264776 2019-10-16 19:59:58 -0400 <bookkeepPLUS> @realDonaldTrump this photo is so damning that Pelosi made it her twitter cover photo! 😂  https://t.co/JWgMGhMIcy
1184620027871453186 2019-10-16 19:59:58 -0400 <CatintheHome> @PressSec @realDonaldTrump @SpeakerPelosi Donald lost it today. If I were you I'd start looking for new employment. It won't be long.
1184620027829542912 2019-10-16 19:59:58 -0400 <fulhamatl> @trish_regan @realDonaldTrump @POTUS Hahaha. Clown.
1184620027812728832 2019-10-16 19:59:58 -0400 <roseanddave> @nelsonwendella @realDonaldTrump Great wonderful, going going gone thank God
1184620027682545664 2019-10-16 19:59:58 -0400 <JoeHoken> @GramaSugar @AndyOstroy @realDonaldTrump @SpeakerPelosi That was Hillary ya goof
1184620027460378625 2019-10-16 19:59:58 -0400 <Stephen64332161> @realDonaldTrump Had Biden never had been in government at any level.  I mean had he been a truck driver or something else.  Would Hunter Biden ever have a job with that company.  Think that through.
1184620026814328832 2019-10-16 19:59:58 -0400 <backup4317> @paulsperry_ Good, now the GOP had better fall in line with the greatest president since Lincoln... @realDonaldTrump
1184620026512457728 2019-10-16 19:59:58 -0400 <RetiredBoomer55> @realDonaldTrump thinks the United States is 2243 years old.
1184620025702957056 2019-10-16 19:59:57 -0400 <MysterySolvent> @RickinPA6 @realDonaldTrump HAHAHAHA so do I!!!
