1017921614787166208 2018-07-13 19:59:59 -0400 <WilmaBradley12> @MSNBC YET!!! @WhiteHouse @PressSec @realDonaldTrump
1017921613025574912 2018-07-13 19:59:59 -0400 <dusty_58> @realDonaldTrump Just curious, when are you going to talk about the "failing" fox news?  Another popular vote loss...  https://t.co/GOeO9MDiji
1017921610722861056 2018-07-13 19:59:58 -0400 <Jayson510> @tod1776 @CassieLynn4207 @suzydymna @realDonaldTrump You “ Super Elite “ really love the insults.
1017921610592989184 2018-07-13 19:59:58 -0400 <_GH_S_> The Crowds at #London ’s Anti- @realDonaldTrump Protests Were Enormous - New York Magazine  https://t.co/nTK1fEgx7V
1017921609787723776 2018-07-13 19:59:58 -0400 <kasek18> @jandif @GregShugar @realDonaldTrump He’s putting us into a position of complete vulnerability by appeasing Kim
1017921607342358528 2018-07-13 19:59:57 -0400 <sherc1948> @thomaswright08 @maggieNYT Yeah @realdonaldtrump. You are still in U.K.  they should kick you out for your insults and rude behavior.  But they have protocols to follow.  Now you can go to ‘your precious’ Putin and follow his wishes
1017921607136960514 2018-07-13 19:59:57 -0400 <brian24587> @WhiteHouse @realDonaldTrump @FLOTUS You need to learn geography
1017921606914641922 2018-07-13 19:59:57 -0400 <FemaleHumanist> @realDonaldTrump And @mattgaetz voted against a bill to help end human trafficking.....what a guy.
1017921605660360704 2018-07-13 19:59:57 -0400 <boblpartridge> @904humanity @FoxNews @realDonaldTrump Out of 65 million
1017921604158935040 2018-07-13 19:59:57 -0400 <alex09230344> You insulted the Crown you bumbling idiot @realDonaldTrump   The Crown always takes precedence. You do not walk in front of the Crown.  You do not touch the Crown!  You don’t like it stay the fuck out of ENGLAND !
1017921603630329857 2018-07-13 19:59:57 -0400 <man_sdk> @realDonaldTrump  https://t.co/HyGcfAC7H8
1017921603143917568 2018-07-13 19:59:56 -0400 <Gullahbreeze> @realDonaldTrump @POTUS wow did u see this crowd?! Was this ur inauguration? Oops it was all the people that hate u in London! 😂😂😂 Small man, don't cry!!! #FakePresident  https://t.co/SlDW9yEQL6
1017921601281683456 2018-07-13 19:59:56 -0400 <Nessmah1> @Connerish @krassenstein @realDonaldTrump My thought exactly!
