1071917406220705792 2018-12-09 18:59:59 -0400 <fguerincart> @realDonaldTrump Agree. Keep on fighting. Keep the faith.
1071917405213986816 2018-12-09 18:59:59 -0400 <JThomasAlbert> @nick_ayers @realDonaldTrump @VP Is that Georgia here in the US or the other one?
1071917404589047808 2018-12-09 18:59:59 -0400 <ItsWhtPlntsCrAv> @realjaydavis1 @DeanObeidallah @realDonaldTrump Which has nothing to do w/ the narrative you claim is occurring.  And I am showing you... demonstrating you do not know what you are talking about... and trying to tell you that Trump is going to make you a fool.  All b/c of this arrogance that you think you have a clue
1071917401955098624 2018-12-09 18:59:58 -0400 <sbnationalpark> @krassenstein @realDonaldTrump I bet he doesn't read your reply 😎
1071917400692424704 2018-12-09 18:59:58 -0400 <new_revolt> @realDonaldTrump Dumb Little Lying Donnie J. Trumpet, the real Enemy of the People! America does not have to rely on the media for news &amp; information anymore, Donnie. We can look stuff up on the internet all by ourselves. Clinton lied about getting a blow job. You've lied to America 5,000+ times.  https://t.co/1USRnseJ1p
1071917399207800834 2018-12-09 18:59:57 -0400 <_Ms_Olivia_> @rbraitling @Rrosen2727 @realDonaldTrump I wish someone would confiscate his iPhone. Every time a receive a notification that's he's tweeted, my heart skips a beat.
1071917398809288704 2018-12-09 18:59:57 -0400 <Epifiny> @travis_butler10 @trekswthbaggage @realDonaldTrump That's not how it works. That's like me saying 98% of people like cats better than dogs because the majority of my friends do.    You're trolling right? Please. I need to see you say you understand that's not how it works.
1071917398410723328 2018-12-09 18:59:57 -0400 <kefish> @realDonaldTrump You LIE!
1071917396338884609 2018-12-09 18:59:57 -0400 <KiraLawlet> @ryantrebon @realDonaldTrump Trump, unlike many presidents in his first year, had signed few major pieces of legislation. Certainly, the whirlwind of accomplishments under presidents such as Franklin
1071917396053524481 2018-12-09 18:59:57 -0400 <ZiloElGrande> @YellowRose1776 @realDonaldTrump @EmmanuelMacron Around your corner and UP your ------where ever Macron. Turn about is fair play. At least Trump is telling the truth.  😎
1071917394828902402 2018-12-09 18:59:56 -0400 <TonyB> @realDonaldTrump You've been having a really good time, AT OUR EXPENSE!  https://t.co/mVQAoUGMfJ
1071917394501754880 2018-12-09 18:59:56 -0400 <Wilkersonclan> @realDonaldTrump  https://t.co/pMeQZPpKuV
1071917393599963136 2018-12-09 18:59:56 -0400 <hshy307> @realDonaldTrump I think you meant more lies, more corruption, and most divisive. #worstpotusever
1071917393180413952 2018-12-09 18:59:56 -0400 <APattom> @realDonaldTrump You are seriously not facing reality
1071917393075679233 2018-12-09 18:59:56 -0400 <carlee_cork> @realDonaldTrump You are living in La La land!  Resign!
1071917389472821250 2018-12-09 18:59:55 -0400 <kim_li> @realDonaldTrump  https://t.co/9d2J5nkW8P
1071917387690127360 2018-12-09 18:59:55 -0400 <realTuckFrumper> @travis_butler10 @realDonaldTrump You mean 75% of people with IQ’s less than 90...?
1071917386935152640 2018-12-09 18:59:54 -0400 <vidaclinic> @nick_ayers @realDonaldTrump @VP The only advancement of a cause you will see is your dear leaders destruction of institutions by his progressing dementia.
1071917386851184640 2018-12-09 18:59:54 -0400 <trumpocalyps17> @realDonaldTrump If you say so, #Individual1. How does it feel being an unindicted co-conspirator?  https://t.co/47DHRcbrUE
1071917386041704448 2018-12-09 18:59:54 -0400 <megadutch1> @realDonaldTrump Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof; or abridging the freedom of speech, or of the press; or the right of the people peaceably to assemble, and to petition the government for a redress of grievances.
1071917385525927937 2018-12-09 18:59:54 -0400 <worldwatcherA> @DaveG0624 @travis_butler10 @trekswthbaggage @realDonaldTrump His Q friends 😆
1071917382589972487 2018-12-09 18:59:53 -0400 <teufelshunde4> @AraquelBloss @SethAbramson @DrPeterLang @realDonaldTrump Sounds like someone watches Fox or reads way to much Breitbart.
1071917378135560193 2018-12-09 18:59:52 -0400 <marymaherkane> @realDonaldTrump Aye right!!!!
1071917377703546881 2018-12-09 18:59:52 -0400 <TxButterfly1982> @Sheilabbl @realDonaldTrump 😭🤣🤣🤣🤣🤣🤣🤣🖕
1071917377087045632 2018-12-09 18:59:52 -0400 <a_grianmhar> @realDonaldTrump  https://t.co/R3mPFcwPVw
1071917374893223936 2018-12-09 18:59:52 -0400 <kmjreade> @realDonaldTrump Oh Jesus H Christ!
1071917372854943746 2018-12-09 18:59:51 -0400 <TRUMPSneedtogo> @realDonaldTrump You better hold on the sone m omey so someone can can defend trump jr and you have more yet let,
1071917371462344704 2018-12-09 18:59:51 -0400 <BretBucher> @JulianSvendsen @angelics44 @realDonaldTrump Who could possibly say No, the media is in an illegal Soft Coup against POTUS.
1071917370917183489 2018-12-09 18:59:51 -0400 <MichaelWitschel> @realDonaldTrump Most corrupt administration in American history.
1071917370619379717 2018-12-09 18:59:51 -0400 <casinodavila> @nick_ayers @realDonaldTrump @VP You will be the next one to be investigated.
1071917369524666368 2018-12-09 18:59:50 -0400 <Farrell4ever> @realDonaldTrump Well, Individual 1, I really feel uncomfortable when you refer to journalists as the enemy of the people.  I understand when an unindicted co-conspirator lies to make himself feel good, but threats like this get people hurt or killed.
1071917368585129984 2018-12-09 18:59:50 -0400 <L_Chupacabra> @vivavelo @realDonaldTrump USA USA USA USA
1071917367628689408 2018-12-09 18:59:50 -0400 <CaptnConundrum> @realDonaldTrump Joining the ranks of those wishing you went to Vietnam the FIRST time...
1071917367356211200 2018-12-09 18:59:50 -0400 <DavidTMurry> #Icantbreath Hey @realDonaldTrump let these words haunt you when you think about Saudi Arabia. Imagine if it was your son going through what Jamal Khashoggi went through knowing he was going to Die. Or never mind, money is all you care about.
1071917365896585216 2018-12-09 18:59:49 -0400 <HowzitUSA> @realDonaldTrump  https://t.co/Cu1ioQFb3g
1071917363916754944 2018-12-09 18:59:49 -0400 <sherry_bath> @realDonaldTrump Lol, talking about going out of your mind. You’re not gonna make it to Christmas dude. You’ll be swinging off the chandelier nuts soon. Poor thing. Lol. #25thAmendmentNow coming soon! #heslostit #Apprenticefinale  https://t.co/EsgCjNNb5P
1071917362440519680 2018-12-09 18:59:49 -0400 <DeanObeidallah> @realDonaldTrump Nick Ayers not taking job as White House chief of staff. Turns out Ayers is allergic to prison.
1071917362209677312 2018-12-09 18:59:49 -0400 <TheRealQAn> @Pjrock37 @TomFitton @realDonaldTrump Well you'd better get used to that base breaking up.
1071917362180489216 2018-12-09 18:59:49 -0400 <ChiCustomTattoo> @realDonaldTrump You are losiiiiiiiiiiiiiing it. Fun to watch your meltdown in real-time! Thank you Twitter!
1071917361475846144 2018-12-09 18:59:48 -0400 <wichmann_cody> @realDonaldTrump Decorum.
1071917360905379841 2018-12-09 18:59:48 -0400 <q45woodstock> @realDonaldTrump You’ve got to be kidding!!
1071917359278055424 2018-12-09 18:59:48 -0400 <thinkspoon> @mitchzaavo @realDonaldTrump Mort wrote it!
1071917357591748609 2018-12-09 18:59:47 -0400 <_history_nerd> @realDonaldTrump You're going to prison.
1071917355528273920 2018-12-09 18:59:47 -0400 <FundTheWall> @peepspolitical @realDonaldTrump @IvankaTrump @jaredkushner @FLOTUS @PressSec  https://t.co/jq32dPo42d
1071917354081312768 2018-12-09 18:59:47 -0400 <gwhittingtonco1> @realDonaldTrump GOD IN HEAVEN WATCH OVER AND BLESS OUR GREAT PRESIDENT WITH POWER AND WISDOM AND CONFOUND AND CONFUSE ALL HIS ENEMIES
1071917351728308224 2018-12-09 18:59:46 -0400 <Reedman22> @realDonaldTrump Stop with the Fake News Already!!!
1071917350876794880 2018-12-09 18:59:46 -0400 <hooperwalker> @washingtonpost @realDonaldTrump @JoeNBC @MichaelSteele @mikebarnicle @morningmika @washingtonpost @thehill @JonLemire @nytimes @NicolleDWallace #BreakingNews  https://t.co/Jy5zZqtSvu
1071917350511894528 2018-12-09 18:59:46 -0400 <GreeneGloriamg1> @realDonaldTrump Pence wants your job &amp; you just brought in one of his people.  Who do you think is leaking everything?
1071917349928808448 2018-12-09 18:59:46 -0400 <zaharasladyhawk> @realDonaldTrump Not my president. Not even close to being a president. It’s obvious you didn’t read the handbook, u know, the Constitution!? Ohhh, you don’t read, that’s right. You better start cause jail can be boring and no Big Macs!
1071917347613503488 2018-12-09 18:59:45 -0400 <PeterMuirlives> Really sucks that the US is treating people this way, but that's what @realDonaldTrump wants. His caging will come soon.
1071917346808324097 2018-12-09 18:59:45 -0400 <MpM46343799> @realDonaldTrump Wondering about the stock market I hope,
1071917345113694209 2018-12-09 18:59:44 -0400 <Patricefairman> @realDonaldTrump Yes, only POTUS that makes Nixon seem like a choir boy.#IndividualNo1
1071917342710530049 2018-12-09 18:59:44 -0400 <JasonWoodley33> @realDonaldTrump Facts are always optional with you..
1071917342496575488 2018-12-09 18:59:44 -0400 <ellenwell_> @travis_butler10 @realDonaldTrump Just like Trump, making up facts to suit your narrative. Sad!
1071917340403662848 2018-12-09 18:59:43 -0400 <GrtWhtNrthAlex> Screw the language.  This is fully deserving of a retweet @realDonaldTrump .  No President has been worse, more feckless, nor has accomplished so little.  You will only do right by your country by going to prison.
1071917340344778752 2018-12-09 18:59:43 -0400 <SoCallls> @nick_ayers @realDonaldTrump @VP Shouldn't you be thanking #Putin!  https://t.co/25fxJvjG8x
1071917340273590272 2018-12-09 18:59:43 -0400 <AndiCharkow> @realDonaldTrump 87 pages to counterpoint when you don’t know his report says?  That sounds like fake news to me.
1071917340122591233 2018-12-09 18:59:43 -0400 <Cdnfordecency> @realDonaldTrump  https://t.co/0MvMwKz2it
1071917339631935489 2018-12-09 18:59:43 -0400 <realJoeDeFranco> @realDonaldTrump choose @ChrisChristie for White House Chief of Staff!!!!
1071917336968527876 2018-12-09 18:59:43 -0400 <ThePatriotMan20> @Sheilabbl @realDonaldTrump Hahahaha. Is Obama’s 8 years your idea of success and growth? Must be a sad life.
1071917336880402432 2018-12-09 18:59:43 -0400 <patty_crawford> @realDonaldTrump Yes! More people in your Administration quitting!
1071917336398045185 2018-12-09 18:59:42 -0400 <KatDemocracy> @realDonaldTrump  https://t.co/vF0uUBJcWS
1071917335961694209 2018-12-09 18:59:42 -0400 <MzLelah559> @realDonaldTrump  https://t.co/Gl1TSP941o
1071917330333077505 2018-12-09 18:59:41 -0400 <KarenTurro> @David_Leavitt @realDonaldTrump   Whatever the Donald is smoking, I want some
1071917330010173441 2018-12-09 18:59:41 -0400 <SpikeMilligan29> @realDonaldTrump Resign.
1071917329129328640 2018-12-09 18:59:41 -0400 <valerieeggers> @realDonaldTrump Dear Mr. President, I am so happy you are in the Oval Office. Under the opposition, insult and fake news you encounter daily you are a miracle worker. keep on keeping on.  I totally support you.
1071917328223399936 2018-12-09 18:59:40 -0400 <lynnecmcmahan> @realDonaldTrump  https://t.co/Khd47uF5fn
1071917325442580480 2018-12-09 18:59:40 -0400 <michaelm2136> @travis_butler10 @realDonaldTrump I have friends who voted for Trump. Staunch Older Rich White Men. All regret now voting for for  https://t.co/DHn3KH1MbL said hes so tired of all the daily nonsense
1071917324754669569 2018-12-09 18:59:40 -0400 <DonMacheAponte> @GeraldoRivera @jared_jgordon2 @POTUS @realDonaldTrump Talk about massive!?  How in hell can you compare Obama’s campaign financial violations to the scope of trump’s?  Yo, Geraldo! What happened to you?
1071917324503003136 2018-12-09 18:59:40 -0400 <CaroleMoss5> @realDonaldTrump 🤣🤣🤣🤣🤣
1071917323232010240 2018-12-09 18:59:39 -0400 <V1rg1n1am> When I read the @realDonaldTrump  DT tweet, all I heard was “that guy on CBS’s” voice (that would be @StephenAtHome Stephen Colbert). Love him!
1071917322846134272 2018-12-09 18:59:39 -0400 <Kitchenqueen10> @realDonaldTrump There hadn't been any German Attacks in American Homeland during WWII.Learn History Idiot in Chief!!
1071917322149912576 2018-12-09 18:59:39 -0400 <valerieonmaui> @realDonaldTrump The only words that are true in your tweet are "(not even)."
1071917319910117378 2018-12-09 18:59:38 -0400 <dcarrots> @realDonaldTrump Lol
1071917319042019329 2018-12-09 18:59:38 -0400 <Winston19848> @hyang1 @larryelder @ABC @KeithOlbermann @realDonaldTrump @espn @Disney It's okay, but I preferred when he didn't hold back his real feelings.
1071917317385273344 2018-12-09 18:59:38 -0400 <quitbrogonow> @realDonaldTrump Delusional Donald
1071917316915384321 2018-12-09 18:59:38 -0400 <Alynnjohnston> @nick_ayers @realDonaldTrump @VP  https://t.co/6c8E1RqQNU
1071917316831617025 2018-12-09 18:59:38 -0400 <lsjerm> @realDonaldTrump  https://t.co/bVgurEbY7j
1071917315862732800 2018-12-09 18:59:38 -0400 <Typical_Logic> @marylindstrom @realDonaldTrump Get your facts right  .... 1. it doesnt .2 look up any quotes from a lot of legal executive positions
1071917315481063430 2018-12-09 18:59:37 -0400 <VMLOCK> @realDonaldTrump We have to be mindful the @realDonaldTrump is not playing with a full deck of cards  https://t.co/M3gPAbrbp2
1071917315476914176 2018-12-09 18:59:37 -0400 <tex_american79> @realDonaldTrump
1071917313287311360 2018-12-09 18:59:37 -0400 <ShiloCook> @realDonaldTrump You are out of your mind. This will not only be taught in history classes, but you will also be studied in psychology classes.
1071917312989687810 2018-12-09 18:59:37 -0400 <klotsche> @realDonaldTrump  https://t.co/9dE6ZcyxOW
1071917312947695616 2018-12-09 18:59:37 -0400 <Benzy60> @realDonaldTrump Like what?
1071917312217939969 2018-12-09 18:59:37 -0400 <aledajd> @realDonaldTrump You are the enemy of the people
