1038215335571283968 2018-09-07 19:59:59 -0400 <Alfa95161911> @realDonaldTrump Ur full of it.
1038215333532839936 2018-09-07 19:59:59 -0400 <SeesRichie> @realDonaldTrump When you refer to "almost everybody" I get the impression your talking about just you're immediate family.
1038215333394432000 2018-09-07 19:59:59 -0400 <raumunz> Obama es un comunista. Le dió oxígeno a Irán, a Cuba, Venezuela, Nicaragua y a Korea del Norte. Es el culpable del sufrimiento del pueblo venezolano y de tener al mundo en peligro nuclear. @realDonaldTrump @POTUS @SarahPalinUSA @nikkihaley @PressSec
1038215333314740224 2018-09-07 19:59:59 -0400 <mawilken2004> @South4TrumpMAGA @Imfr0mthefutur3 @WA_SusanD @realDonaldTrump Unfortunately the rest of the world (besides 🇷🇺) doesn’t get to decide our elections. It is the people drinking the @FoxNews kool aid that get to.
1038215332098240512 2018-09-07 19:59:58 -0400 <VictoriaKilby2> Donald Trump, we will outlive you. We will outlive you. So have your jollies now, before you’re impeached. This is the only time that you got. I have the next 50 years, do you? @realDonaldTrump
1038215329988702209 2018-09-07 19:59:58 -0400 <colabyrd6250> @LindseyGrahamSC @BarackObama @realDonaldTrump You are delusional. Obama brought us out of a recession. I will be paying over $3000 more in taxes thanks to your tax plan for the rich. No AMT will save Trump and others millions. Thanks for nothing.
1038215328180920322 2018-09-07 19:59:58 -0400 <pantog> @JIKaufmann @Mediaite @realDonaldTrump Grammy award for the wit-dim!  https://t.co/hKKnbc4tGd
1038215324758355969 2018-09-07 19:59:57 -0400 <aferr18> @Kokomothegreat @realDonaldTrump FBHO was projecting. Good try tho, shill.
1038215322434789385 2018-09-07 19:59:56 -0400 <ThirdDaugher> @realDonaldTrump Look at the way he struts across the stage, he's a fool that's looking for attention.  What does he think he is? A model for one of his beauty contests?  It's pitiful and sickening that people are fool enough to sit and listen to his half sentences, pointless.
1038215322237583360 2018-09-07 19:59:56 -0400 <manbabytrump16> #plaidshirtguy just started a new #Resistence movement. I wonder if he works for @realDonaldTrump
1038215321574883329 2018-09-07 19:59:56 -0400 <kenndbaby> @realDonaldTrump Hey everybody, wasn't it great 2 hear a genuine PRESIDENT of the United States Barrack Obama give a speech of UNITY! Unlike the IDIOT placed in the WH by the RUSSIANS Donald Trump. Barrack is a president whose eloquence and communication skills are sorely missed
1038215321386213376 2018-09-07 19:59:56 -0400 <M_JClayton> @techgistics1 @adanadenmedina @BrianFlake68 @realDonaldTrump And who could blame you!
1038215320610267136 2018-09-07 19:59:56 -0400 <Wizzord65> @Kokomothegreat @realDonaldTrump 🤣😮🤣👍🤣✌️
1038215319976927233 2018-09-07 19:59:56 -0400 <wjlca> @realDonaldTrump You’re the puppet.
1038215319578439680 2018-09-07 19:59:55 -0400 <cmdnicol> @BillyBaldwin @realDonaldTrump She was thinking I wonder how much money I can get after the divorce if I have a kid first
1038215318194274306 2018-09-07 19:59:55 -0400 <Jeffpalmeri> @nickiknowsnada @Pajjr2016 @realDonaldTrump this kid is my new hero!  You go PLAID MAN!
1038215316793384960 2018-09-07 19:59:55 -0400 <nothin_personal> @ResistAltleft @ClausPhanta @BreitbartNews @realDonaldTrump @nick_ayers  https://t.co/HK4BG7KdXO
1038215316592058368 2018-09-07 19:59:55 -0400 <diannesmi> @LindseyGrahamSC @BarackObama @realDonaldTrump Ignorant. Speak for yourself. At the rate things are going our country will be trashed and the world will turn its back on us.
1038215314998095872 2018-09-07 19:59:54 -0400 <caoyuxiang3> @lrendon247 @realDonaldTrump Crazy! why you love Obama so mach though I am not support Trump but I don't realize you
1038215314008244224 2018-09-07 19:59:54 -0400 <DanielWilsonPix> @LindseyGrahamSC @BarackObama @realDonaldTrump What happened to you?? Who'd you sleep with? Who did you defraud? There is no other explanation for this. You called @realDonaldTrump every name in the book when he was running. What happened Lindsey. John McCain is rolling in his grave.
1038215313492455425 2018-09-07 19:59:54 -0400 <YesiKenn> @GardJohanna @Finlee2Smith @FindingAnswers @realDonaldTrump I doubt Trump has any idea that those posts exists. He does some stupid shit, but he's not going to pull a move like that. Looks more like something a right wing version of David Hogg would do.
1038215313458950145 2018-09-07 19:59:54 -0400 <LovesTrump2020> @zHeroInterest @karen_kitto @AverYEezus @realDonaldTrump Report them!
1038215312582291458 2018-09-07 19:59:54 -0400 <chewstruth> @evolve0101 @cstetson @TheRynheart @MJL87321152 @realDonaldTrump one of those was a bot. The pugilistic tone. The insults and profanity. Plus, it had started being a troll. It had ten followers or even less I think.
1038215312251002880 2018-09-07 19:59:54 -0400 <laserpaper4> @dawnintomorning @SManolesco @realDonaldTrump Same thing with your comments
1038215307528044545 2018-09-07 19:59:53 -0400 <d_weible> @lrendon247 @realDonaldTrump  https://t.co/sCmWuEpjbh
1038215306529918976 2018-09-07 19:59:52 -0400 <csnetprogrammer> @AP_Politics @realdonaldtrump goes more insane over a little water cooler talk.
1038215305745584128 2018-09-07 19:59:52 -0400 <Elizabe57025476> @realDonaldTrump Seriously? U said u fell asleep listening to one of our greatest leaders and speaker of all times?!!!maybe next time they can do a picture book to keep your attention
1038215305129013248 2018-09-07 19:59:52 -0400 <suzqshan> @realDonaldTrump Your speech is a word salad.
1038215303518412805 2018-09-07 19:59:52 -0400 <clayranck> @realDonaldTrump That's called sentencing leniency, due to a guilty plea. If Manafort, Cohen, Papadopoulos, and Flynn all had to serve max sentences, it would under $500 per day. 56,575 total days. 155 years.
1038215303044517889 2018-09-07 19:59:52 -0400 <Sydneyquid> @realDonaldTrump .@realDonaldTrump A scam is what you are. Not legally in the White House. Breaking laws daily, 5 lawsuits against you not countingvthe Russia probe. You are nothing but a con man.
1038215302717366272 2018-09-07 19:59:51 -0400 <MyViewMary> @SharonTutall @62WalterP @realDonaldTrump @POTUS It’s been a nonstop nightmare since January 2017.
1038215301928771584 2018-09-07 19:59:51 -0400 <davenlr> @DearAuntCrabby @realDonaldTrump #plaidshirtguy is @TLinfesty and he has gone from 500 followers an hour ago, to over 1400 right now.  Scientist type...no wonder he was making faces at the Dotard in chief.
1038215301056229378 2018-09-07 19:59:51 -0400 <JayKileman> @realDonaldTrump @OldTakesExposed
1038215300741824513 2018-09-07 19:59:51 -0400 <alars1> @LindseyGrahamSC @BarackObama @realDonaldTrump Yeah. That should trigger the narrow minded hate filled bigots who didn’t vote last time.
1038215300091719681 2018-09-07 19:59:51 -0400 <rich_peabody> @LindseyGrahamSC @BarackObama @realDonaldTrump You're a fucking idiot
1038215299911352320 2018-09-07 19:59:51 -0400 <mjk_4mjk> @realDonaldTrump Hope Hicks (11-11-16): “It never happened. There was no communication between the campaign and any foreign entity during the campaign."  https://t.co/cz9XicDAMp "Secret guilty plea of ex-Trump campaign adviser reveals Russian ties"  https://t.co/FTIoHG57rQ via @nbcnews
1038215299235864576 2018-09-07 19:59:51 -0400 <StratRojo> @realDonaldTrump That they didn't want to be racist &amp; misogynist like you.  @realDonaldTrump's lies, deflection and obfuscation go on and on. Mud washes off: #Collusion is forever!    #CadetBoneSpurs #LiarInChief #IllegitimatePresident  https://t.co/V2L0eSkqng
1038215298879504384 2018-09-07 19:59:51 -0400 <stevenprowse> @realDonaldTrump What are we talking about?  Your golf trips?
1038215297919066122 2018-09-07 19:59:50 -0400 <SuzanFlammang> @realDonaldTrump That Mr. Kapernic is more honorable than are you, Mr. Trump. You need to rid yourself of your MAGA hat as it has the “Just Do It” logo. You wouldn’t want to be a hypocrite would you?  Oh, I forgot, nothing is beneath you.
1038215296555790338 2018-09-07 19:59:50 -0400 <ebenites> @realDonaldTrump Donald. you will not get 14 days. You will get 14 cc's of a lethal cocktail when you are #executedForTreason in a federal prison. There is no going back now, Donald. You, a #Treasonous POTUS deserves no less. Putin will NOT be able to save you, your family, or you cabinet.
1038215293485674496 2018-09-07 19:59:49 -0400 <527Neil> @realDonaldTrump  https://t.co/XpgPS4rd7x
1038215291065384961 2018-09-07 19:59:49 -0400 <SchipperkeBob> @NoneWser @eggers_kim @DebbieJuneToo1 @DickXaivier @wvjoe911 @realDonaldTrump There is no suffering in that.  Sociopaths don’t feel suffering.
1038215290398629888 2018-09-07 19:59:48 -0400 <JohnDix16> @charliekirk11 @realDonaldTrump I think he is right! He is working hard to increase the division within this country and possibly to start a revolution? He needs to shut up and kick his feet up and leave us alone. If he was as good as he thinks he is this country would have been in better shape @ end of term.
1038215289564024832 2018-09-07 19:59:48 -0400 <PierreTombale_1> @GreggJarrett @SaraCarterDC That's Jeff Sessions' non-politically influenced @FBI &amp; @TheJusticeDept.. don't know in what world JS in living, but it's not the real one.  @realDonaldTrump
1038215287592706049 2018-09-07 19:59:48 -0400 <mcc_shawn> @JonesMurphy @blastnost @realDonaldTrump @HillaryClinton I agree with you 100%.  We can’t let this slide.  @realDonaldTrump and all of the complicit @GOP should go to jail.
1038215283775885315 2018-09-07 19:59:47 -0400 <suz_o_rama> @LindseyGrahamSC @BarackObama @realDonaldTrump It's about the backlash of having a black man in the WH. You are disgusting. Just think what your friend John McCain would've said about this tweet. He had @BarackObama speak at his funeral. Not you, tho. Maybe he saw how you've been compromised.
1038215282454605825 2018-09-07 19:59:47 -0400 <bguthrie1968> @PressSec I am sure the 🍊🤡 @realDonaldTrump already asked Kavanaugh for his complete loyalty over country just like he asked Comey, but he was honest enough not to give it over Country.  The GOP is all corrupt and complicit in Russian interference. They can’t win fair elections.
1038215280869158912 2018-09-07 19:59:46 -0400 <RonnieBissinger> @JesseBreezeC @LeftWingBrave @realDonaldTrump Trump has created fewer jobs than Obama did with those regulations in place. How do you explain that?  https://t.co/nlV4pECs72
1038215279925489664 2018-09-07 19:59:46 -0400 <leslieannec67> @DottiGG @krassenstein @realDonaldTrump @BarackObama ❤️❤️💯💯❤️❤️🇺🇲🇨🇦
1038215276913803264 2018-09-07 19:59:45 -0400 <Christina1959> @realDonaldTrump Trump said that he fell asleep during Obama speech.. I think it was just the frustration of having to "Google" the words!  https://t.co/qhS7eDn18K
1038215276649533440 2018-09-07 19:59:45 -0400 <YoRosesYo> @justinamash @POTUS @realDonaldTrump Impeach Trump and save the nation.
1038215276158844928 2018-09-07 19:59:45 -0400 <annstarrm> @lmedcafe66 @sashsepehran @Jubey97Michael @realDonaldTrump Thank you!  WHAT?
1038215276138033152 2018-09-07 19:59:45 -0400 <JayThePatriot43> @realDonaldTrump @WhiteHouse @GOP #MAGA #KAG #RedWaveRising2018 #RedWave #RedMidterms  https://t.co/tz9prqOLF4
1038215275227709441 2018-09-07 19:59:45 -0400 <paulajimz43> @Micguilecutty @officialhotrod @realDonaldTrump Actually in this world of REALITY it's the other way AROUND..But you live in your alternative world..Your the little man in everything.
1038215275177566208 2018-09-07 19:59:45 -0400 <marty_zurick> @LouiseSchul1009 @realDonaldTrump Four more years.
1038215275051724800 2018-09-07 19:59:45 -0400 <nickkkg> @realDonaldTrump Can't wait to read it!
1038215274644684800 2018-09-07 19:59:45 -0400 <atoyot> @billingsgazette @realDonaldTrump In ten years we will look back and say what a lier, bully, and racist. Never again.
1038215273906692108 2018-09-07 19:59:45 -0400 <yeahitsme829> @RichFenton @realDonaldTrump Lmfao @RichFenton &lt;3
1038215273529139200 2018-09-07 19:59:44 -0400 <cartland_s> @Devilherb616 @CR @benshapiro @realDonaldTrump I will google it though cause now im intriqued
1038215272711303168 2018-09-07 19:59:44 -0400 <BernardTheriau1> @FoxNews @realDonaldTrump @nytimes @johnrobertsFox Maybe Session can do this simple Job unless he is the mold.
1038215271918518272 2018-09-07 19:59:44 -0400 <JLangWood> @fawfulfan The whole @GOP is taking bullsh---ing lessons from @RealDonaldTrump.
1038215271478165504 2018-09-07 19:59:44 -0400 <chitownhustler> @realDonaldTrump is a fraud of the first order and they don’t respect him, let alone have even a bit of loyalty toward him. Though it’s difficult to imagine that there’s sufficient cohesiveness among them to organize a coup in the form of the 25th or otherwise.
1038215271272603648 2018-09-07 19:59:44 -0400 <ripple2012> @chrislhayes Wonder how many abortions hypocrite @realDonaldTrump has demanded / benefitted from...?!?  We already know he wanted Marla to get one.
1038215271029194752 2018-09-07 19:59:44 -0400 <Kootenani> @neeco_tripp @ilaosinatlanta @realDonaldTrump Not a problem, I'm an ass but I'm honest.
