1099821273612541957 2019-02-24 18:59:59 -0400 <Silverstealth7> @jeffmccrary60 @realDonaldTrump Nobody!!
1099821268352802816 2019-02-24 18:59:58 -0400 <TomJones2nd> @realDonaldTrump It'll be just like you inauguration!  All 107 people will be there!!! Party!!!
1099821265261641729 2019-02-24 18:59:57 -0400 <CBanks91121304> @JeffreyGuterman @realDonaldTrump Crazy Jeff’s back....ow geez. Where can a councilor get the help he needs?
1099821263693008899 2019-02-24 18:59:57 -0400 <HelpfulOlive> @realDonaldTrump Figures courtesy of Daffy Duck Rasoortch Ynstitoot.
1099821263109980165 2019-02-24 18:59:57 -0400 <RiflemanPartTwo> @realDonaldTrump Good luck with Kim Jung Un Mr. President. So long as America comes first, everything will work out just fine. Tens of millions of Americans are standing with you in Vietnam.  MAGA  https://t.co/aIt63cDlVV
1099821261105086465 2019-02-24 18:59:56 -0400 <kim_f86> @stevnlari @realTuckFrumper @HoarseWisperer @realDonaldTrump I love that! If I went to his parade I would scream that out.
1099821260970717184 2019-02-24 18:59:56 -0400 <redsonrising> @Alyssa_Milano @realDonaldTrump silly Alyssa this isn't about the country this is about The Donald! Campaign rally masquerading as a Independence Day celebration so the tax payers can pay for it and The Donald can stroke his ego. 🤬
1099821258961813504 2019-02-24 18:59:56 -0400 <andydnyc> @realDonaldTrump U getting played again
1099821258940784646 2019-02-24 18:59:56 -0400 <D_Dobrovetsky> @BulldogShadow @JohnCornyn @realDonaldTrump I think the GOP is having a wet dream over what’s happening in Venezuela because it gives them more reason to talk abt how @aoc and @SenSanders are socialists and want to turn the US into starving Venezuela. Notice people were less concerned with the skeletal babies in Yemen too.
1099821258391343104 2019-02-24 18:59:56 -0400 <Andy9375> @krassenstein @realDonaldTrump @KatiePavlich Jealousy's an ugly thing.
1099821256403271680 2019-02-24 18:59:55 -0400 <masterdeb8er1> @EugeniaMaryDon1 @newtnewtriot @Lrihendry @realDonaldTrump You are denying the words of trumps own appointees. So who do you believe if not trump, the media, or his own officials?
1099821256050802689 2019-02-24 18:59:55 -0400 <SandyKrue> .@POTUS @realDonaldTrump   #CowboysForTrump 🤠🤠🤠🐴🐴🐴   LOVE It !  ❤️❤️❤️❤️❤️❤️❤️❤️❤️  #LiberalsAreMiserable  #LiberalIntolerance  AWFUL, HATEFUL People in Cars !! The're PATHETIC !!  #SundayThoughts
1099821253840359424 2019-02-24 18:59:55 -0400 <WdWillard> @realDonaldTrump Great idea. Hey...what day is it on, again?
1099821250220822528 2019-02-24 18:59:54 -0400 <WoodyWi03943660> @realDonaldTrump On what alternate universe do you live?
1099821249537044480 2019-02-24 18:59:54 -0400 <LarryFinesGhost> @thecheckster @realDonaldTrump "Psychological projection is a defence mechanism in which the human ego defends itself against unconscious impulses or qualities (both positive and negative) by denying their existence in themselves while attributing them to others."  -Wikipedia   He's an idiot.
1099821245615558656 2019-02-24 18:59:53 -0400 <UncleBoneski> @realDonaldTrump We know you’re not going to negotiate. This is just a political stunt for re-election. They didn’t get rid of one nuke last time and won’t get rid of one this time either.
1099821244642410498 2019-02-24 18:59:53 -0400 <roxanneg62> @eugenegu @realDonaldTrump Right on, Dr. Gu.
1099821244231356416 2019-02-24 18:59:52 -0400 <WineKop> @Chris15172482 @realDonaldTrump Вы бесполезный инструмент для вашего авторитарного повелителя
1099821244134842368 2019-02-24 18:59:52 -0400 <ballerbillz85> @texdem1 @ChaseIsMyName2 @_cbackus @realDonaldTrump I don’t even understand your point here. Is it that I assume the NYT article uses the same FBI data as the bongino article?
