1135697672168529920 2019-06-03 19:59:59 -0400 <Theo07935409> @realDonaldTrump @CNN @ATT BBC just as bad can't stand ut
1135697671857926145 2019-06-03 19:59:59 -0400 <l800mph> @hongkongpoowee @realDonaldTrump @FoxNewsPhotos 😅😂🤣
1135697671732121600 2019-06-03 19:59:59 -0400 <neal_cowboy> @grahamwil @GOPChairwoman @realDonaldTrump Maybe you should see a neurologist.
1135697669689466881 2019-06-03 19:59:59 -0400 <n3ardeath> @realDonaldTrump Mulvaney must be pissed.
1135697669433757698 2019-06-03 19:59:59 -0400 <ReformForum> @realDonaldTrump  https://t.co/bfgElcXCT3
1135697668997570567 2019-06-03 19:59:59 -0400 <Onthegodonna> @IvankaTrump .@realDonaldTrump WHY ARE YOUR ADULT CHILDREN THERE?!!
1135697668116799488 2019-06-03 19:59:58 -0400 <DMC510> Yo Donald you might want to skip the fries..🤣🤣🤣Not a great look @realDonaldTrump
1135697667928002562 2019-06-03 19:59:58 -0400 <grant_findley> @realDonaldTrump Great your up late working whilst in the uk. Congrats mr president
1135697667697369088 2019-06-03 19:59:58 -0400 <travelbill07> @piersmorgan @SadiqKhan @realDonaldTrump One more thing I’ve learnt today.....ANYBODY can be mayor of London..😏
1135697666736885767 2019-06-03 19:59:58 -0400 <BayouBites2013> @realDonaldTrump Hey Mr. President!  I will make you a good down south home cooked meal complete with a dessert spread all for the low low price of my student loan balance.  Give me a call let’s make this happen.
1135697666661163008 2019-06-03 19:59:58 -0400 <SmitticusM> @realDonaldTrump “Not one more dollar to Puerto Rico” - DT
1135697666204213252 2019-06-03 19:59:58 -0400 <Virgilsbaby> @realDonaldTrump  https://t.co/6TaODLz4kL
1135697665763790848 2019-06-03 19:59:58 -0400 <eleana28> @realDonaldTrump Gracias Presidente, ojala pronto leamos un Tweet que diga YA VENEZUELA LIBRE DE NARCOS, CHAVISTAS, MADURISTAS, CASTRISTAS ! Dios lo ayude a darnos esa noticia.
1135697665319063552 2019-06-03 19:59:58 -0400 <NanniMagee> @realDonaldTrump Look  https://t.co/PGZ6Dp0tk4
1135697664614551553 2019-06-03 19:59:58 -0400 <Norahsekud> @SJVET45 @RealMAGASteve @FLOTUS @realDonaldTrump Ditto on both of those.
1135697664329175040 2019-06-03 19:59:58 -0400 <rochell53676507> @Bribaru @sianoresist @realDonaldTrump @FoxNews As has Trump! His achievements are harder to see with all the lying, belittling, making fun, deceit, an on and on.  I’d prefer to have less done my someone with class and is working for the betterment of all, not just his chosen few; who by the way are@doing quite@well already.
1135697664027369472 2019-06-03 19:59:58 -0400 <USAneedsTRUMP> @realDonaldTrump The politicians in Puerto Rico are criminals, hopefully someone responsible gets the money
1135697663918268418 2019-06-03 19:59:57 -0400 <TacticlSquirrel> @nancylee2016 @realDonaldTrump 🙋🏽‍♀️
1135697662789898240 2019-06-03 19:59:57 -0400 <PoxOnBothHouses> @realDonaldTrump But does it fund your Great Border Wall?
1135697661514985472 2019-06-03 19:59:57 -0400 <jimmypeebles1> @realDonaldTrump @SadiqKhan I don’t know 🤔 why anyone would be NASTY 😷 to a a nice person like you.
1135697661514964994 2019-06-03 19:59:57 -0400 <SolveWithLove> Dear @realDonaldTrump EVERYTHING  you do @BarackObama does 1000 times better!
1135697661049180160 2019-06-03 19:59:57 -0400 <leod_mac> @realDonaldTrump @SadiqKhan You have such a limited vocabulary. You keep using the word nasty for all and sundry. These people are not nasty. Because they tell unpleasant truths about you dose not make them nasty, just honest in expressing how they feel about your nastiness.
1135697660227346433 2019-06-03 19:59:57 -0400 <Hoopgreen> @GOP @realDonaldTrump Really? Isn’t paying farmers and ranchers hurt by his tariffs a firm of socialism?
