947255979497967616 2017-12-30 18:59:59 -0400 <MichaelMjank> @FoxNews @realDonaldTrump Where is @CNN ? #boycottFakeNews
947255978596229120 2017-12-30 18:59:59 -0400 <50somethingish> @realDonaldTrump You are the BEST at spreading fake news — BEST EVER!!!!
947255977924898817 2017-12-30 18:59:58 -0400 <resistit45> @realDonaldTrump I beg to differ. Everything you say is pure fiction. #MakeHonestyGreatAgain
947255977442553856 2017-12-30 18:59:58 -0400 <lindamickle> @DavidJollyFL And @realDonaldTrump met Melanie while he was on a date with ANOTHER woman...  https://t.co/nmHL81hrPi
947255976889061376 2017-12-30 18:59:58 -0400 <rupatho> @farnazfassihi @realDonaldTrump Iraniens are good people as long as they stay there
947255975341449216 2017-12-30 18:59:58 -0400 <maritimeramman> @realDonaldTrump Trou de cou! !
947255973416017920 2017-12-30 18:59:57 -0400 <jogibwa> @Emannikcufesin @scodogno @JerryKeirns @ttrestler @Pollueloenfuego @realDonaldTrump I know i was bored and what she said was stupid
947255973097246722 2017-12-30 18:59:57 -0400 <Kovie1961> @realDonaldTrump  https://t.co/nMH5dYoGs0 quick! Deflect!! #TrumpLiesMatter #TrumpRussia
947255971222642688 2017-12-30 18:59:57 -0400 <johnkempf19> @JohnPaul_USA @realDonaldTrump My thinking exactly. When is going to be allowed to fire these folks? Busch had no problem firing Regan holdovers.
947255970735865857 2017-12-30 18:59:57 -0400 <greenngold4me> @jim2004x @JacobAWohl @realDonaldTrump   https://t.co/n7PZ5CepSj
947255970056626176 2017-12-30 18:59:57 -0400 <dawnbreaker508> @McgaffeyKim @realDonaldTrump @WSJ What that?
947255968739610625 2017-12-30 18:59:56 -0400 <nanaswrapped> @n0ahboa @realDonaldTrump SUCKA!!!
947255968668188672 2017-12-30 18:59:56 -0400 <blacknewt61> @realDonaldTrump Remember these words over the next year or so as they will apply to the United States. The day will come when the people will have a choice. Your days are numbered.  https://t.co/3P3rSqYJbX
947255968647274496 2017-12-30 18:59:56 -0400 <USBornNRaised> @WTOL11Toledo @WaltDisneyCo @DisneyStudios @DisneyAnimation are you on a budget and having students do freelance work🤔 That looks nothing like @realDonaldTrump! Really slacking on the quality🙄
947255968596766720 2017-12-30 18:59:56 -0400 <ChalicothereX> @realDonaldTrump @WSJ whatever man this shits boring who cares
947255966659162114 2017-12-30 18:59:56 -0400 <cosser65> @davidmputnam @brant @realDonaldTrump God help us all
947255966587858945 2017-12-30 18:59:56 -0400 <blurryf182> @realDonaldTrump  https://t.co/MvE0yV74Gc
947255966147289088 2017-12-30 18:59:56 -0400 <SquirtGG> @realDonaldTrump Stop being a dotard and ass. And the bad press will stop. They don't report what you don't do. Ohhhhh... except Fox, the Disney channel for the perpetually angry.
947255964700471296 2017-12-30 18:59:55 -0400 <Soul_Sistah> @realDonaldTrump   https://t.co/9fbPyfVTfn
947255963135901698 2017-12-30 18:59:55 -0400 <DonnyThinSkin> @realDonaldTrump The only person calling the majority of the press sources "fake news" is you. Of course most of us have referred to @FoxNews us Faux News for years. #FuckingMoron #ResignNow
947255962972409863 2017-12-30 18:59:55 -0400 <MarilynMulvihi1> @realDonaldTrump   https://t.co/TvdDPaY9Fc
947255962720768007 2017-12-30 18:59:55 -0400 <val1965> @realDonaldTrump  is an idiot Retweeter  https://t.co/tuf9uBWuxR
947255961038700544 2017-12-30 18:59:54 -0400 <rightrealruby> @realDonaldTrump Please continue to use Social Media Mr. President; communicating directly with your constituents greatly helps curtail media lies and their liberal agenda.
947255960996925441 2017-12-30 18:59:54 -0400 <MiSquaredS> @FoxNews @realDonaldTrump I bet he does
947255960271278082 2017-12-30 18:59:54 -0400 <ShopgirlAlic> @realDonaldTrump Says the fake president.
947255959805616128 2017-12-30 18:59:54 -0400 <philhuie> @KayaJones @realDonaldTrump That should help a lot .   Doubt he would be having children after that.  Maybe it could become a new liberal norm.
947255955481296897 2017-12-30 18:59:53 -0400 <Lucywilkes7> @realDonaldTrump That's way we the people like for you to use it. Thanks Mr.President
947255952956448769 2017-12-30 18:59:53 -0400 <lewis_reco> @SheriffClarke @realDonaldTrump How did this person become sheriff of Mayberry/ he has been exposed by Rolan M. and several others. Whatever town your in please stay there  https://t.co/2pYr4Z4Fdr
947255951245094913 2017-12-30 18:59:52 -0400 <HaroldLang16> @cittygirl5 @citty_girl63 @JMosesRoss @gloglome @TxIntenseRadio @IndifferentCow @jsurena1 @IvankaTrump @realDonaldTrump President Trump is amazing with foreign leaders and policies.
947255950817316865 2017-12-30 18:59:52 -0400 <skessler22> @realDonaldTrump @WSJ Just look at all the growth that happened when Kansas cut taxes -not!
947255950796345344 2017-12-30 18:59:52 -0400 <sandy06906> @FoxNews @realDonaldTrump Someone is trying every trick in the book, as this Investigation is about to explode!
