862819608709017600 2017-05-11 19:59:59 -0400 <MreCkr> @Billmisew @HarveyLawson1 @realDonaldTrump You're precious.
862819608159498240 2017-05-11 19:59:59 -0400 <WarrenHargis> @SenWarren @realDonaldTrump The gerrymandering, especially in states like NC, and voter suppression keep them locked into office. They have rigged the system.
862819607693860864 2017-05-11 19:59:59 -0400 <ptolover7> @realDonaldTrump You still don't understand what the problem is.
862819604950810624 2017-05-11 19:59:58 -0400 <rdlove56> @3dollarbill1 @reaganrbx @pbuffknowles @m_altayer @realDonaldTrump @TurkiAldakhil The son of Ronald Regan is named-wait for it--Ronald Regan.
862819604300652544 2017-05-11 19:59:58 -0400 <joebunch121> @williamlegate @realDonaldTrump And what did they have over the woman you voted for she sold our country to Russia before she was even in office
862819602438508545 2017-05-11 19:59:58 -0400 <StudentOfDrA> @Rosie @realDonaldTrump No, they don't have proof. They don't sit on proof. They have testified there is no proof.
862819600672722944 2017-05-11 19:59:57 -0400 <cathyNmimi> @AnitaBalaski @williamlegate @realDonaldTrump Oh please 🙄
862819600249081856 2017-05-11 19:59:57 -0400 <BetsyBetsy920> @CNN @realDonaldTrump we are not confused, you are.
862819599926124544 2017-05-11 19:59:57 -0400 <mattprobably> @realDonaldTrump What about kislyak your Russian handler?
862819599049302016 2017-05-11 19:59:57 -0400 <DaniG999> @realDonaldTrump On the same day, at the same time. Just after you fired Comey the night before. All of this was done at the request of Putin. #Trumprussia
862819595454951424 2017-05-11 19:59:56 -0400 <NObamaski> @realDonaldTrump @trumphop You the ultimate loser, are being rightfully called out for your continuing losing.
862819594423209985 2017-05-11 19:59:56 -0400 <brett_hart21> @realDonaldTrump Got new instructions?
862819590887411713 2017-05-11 19:59:55 -0400 <JoFo47> @KozenewskiM @realDonaldTrump He's doing it to cover up the Russia investigation,coincidence the day that Comey says he's gonna amp up the investigation he gets fired🤔
862819589301739520 2017-05-11 19:59:55 -0400 <Whovian_Chick> You speak as elegantly as a common back alley thug and are just as truthful. #ImpeachTrump #TrumpRussiaCollusion  @realDonaldTrump
862819587288580096 2017-05-11 19:59:54 -0400 <golfskijohn> @realDonaldTrump Did Ivanka explains what that means? It's pretty big deal for you to understand
862819585468243968 2017-05-11 19:59:54 -0400 <Rcstrprtr> @SenWarren @realDonaldTrump Unfortunately it will work with a lot of people
862819585082437632 2017-05-11 19:59:54 -0400 <BelichickThis> @realDonaldTrump Two scoops of ice cream? Really? For fucks sake. You're like a doublewide trailer.  https://t.co/nKZjIVQgrg
862819579965222912 2017-05-11 19:59:52 -0400 <farhanakhera> .@realDonaldTrump admitting to obstruction of justice.  https://t.co/1Jy4Ops4nZ
862819579873177600 2017-05-11 19:59:52 -0400 <RSM0757> @realDonaldTrump Keep up the great work Mr. Preident and keep the "DUMS" I mean DEMS on their heels.  They will fight with no ammo.
862819578048421888 2017-05-11 19:59:52 -0400 <SanjoDuggan> And we should just take the demonstrated liar @realDonaldTrump at his word? I would feel more confident in the word of the investigator.  https://t.co/xGDOGTrf3n
862819568661778433 2017-05-11 19:59:50 -0400 <H3nryP0tter> @FoxNews is a blow horn for @realDonaldTrump WH. No credibility. Not a news media. Sold out. No one is listening.  https://t.co/1SeSkWwOim
862819567877410816 2017-05-11 19:59:50 -0400 <wucker> @foxjust @realDonaldTrump How about steam since he likes that so much? Pneumatic mail tubes  https://t.co/2nvhZS8QFT
862819567390871553 2017-05-11 19:59:49 -0400 <MrKizmo> @Alyssa_Milano @realDonaldTrump They are not alone
862819566107467776 2017-05-11 19:59:49 -0400 <JT3cool> It seems @chuckschumer is nervous that @realDonaldTrump is plugging up the holes for Voter fraud Lessening the Democrats chances at election  https://t.co/RtkiG237Lk
862819565667065856 2017-05-11 19:59:49 -0400 <TheronGBurrough> @realDonaldTrump @POTUS Thank you for this encouraging sign of renewed efforts to prevent Nuclear WW III.  Your staff don't seem to share these concerns.
862819565432176640 2017-05-11 19:59:49 -0400 <ASauer8> Hey @realDonaldTrump @VP how abt investigating the real prob? VOTER SUPPRESSION!!! #votersuppression
862819562408095745 2017-05-11 19:59:48 -0400 <JoanieReb> @Noelle_CD @carsonsmission @realDonaldTrump A whole hole.
862819560579358720 2017-05-11 19:59:48 -0400 <icadoor> @realDonaldTrump how many chances do you need to get to the truth surrounding your (poor) decisions.
862819559706959873 2017-05-11 19:59:48 -0400 <VitruvianMonkey> @Joemdouglasjr2 @realDonaldTrump What did I let loose? Oh, were you trying to type lose? That's pretty embarrassing, huh?
862819553373548544 2017-05-11 19:59:46 -0400 <dreaflynn> @markos @realDonaldTrump Is there a limit to this damage??
862819551532249091 2017-05-11 19:59:46 -0400 <minute_praete> @realDonaldTrump We are enjoying your take down.
862819550957637633 2017-05-11 19:59:46 -0400 <SkeletonsRreal> @realDonaldTrump THE ABSOLUTE MADMAN HOLY SHIIIIIII
862819550596931584 2017-05-11 19:59:45 -0400 <AMYA1115> @realDonaldTrump Go Trump!!!
862819550424948737 2017-05-11 19:59:45 -0400 <theolopolitical> @you2oneday @lacrossemom5 @joy911tj @cdhl82 @davudov_34 @jules_su @realDonaldTrump mostly with your math, dude
862819550076829696 2017-05-11 19:59:45 -0400 <paularosch> @realDonaldTrump "Yesterday" and "on the same day" would be the same thing. You may need to clarify for yourself but we are much smarter than you.
862819549581848576 2017-05-11 19:59:45 -0400 <CherieSkiba> @subzerov690 @soccermom1517 @BarackObama @realDonaldTrump Cuban#46
862819547967098881 2017-05-11 19:59:45 -0400 <nena_pj> .@SpeakerRyan .@GOP .@VP .@AC360 .@SenSanders .@realDonaldTrump .@SenJohnMcCain .@LindseyGrahamSC #ATN #Healthcare  https://t.co/5A53rw0xGK
862819545710555136 2017-05-11 19:59:44 -0400 <katgyrl> @realDonaldTrump Hurry up with that KFC heart attack already.
862819544498393089 2017-05-11 19:59:44 -0400 <jenny_whyme> @realDonaldTrump Yes.  We saw the pictures from the Russian media.  Yesterday.
862819542401249280 2017-05-11 19:59:43 -0400 <irishrygirl> @realDonaldTrump Do you wish you could hang the picture of all the states you won next to your Emmy? Oh.. this is awkward
