921888831057612800 2017-10-21 19:59:59 -0400 <EliEstherVizio> @realDonaldTrump   https://t.co/rKaoP1c0gf
921888828440313856 2017-10-21 19:59:59 -0400 <mets_jets78> @realDonaldTrump Please stop praising yourself. That’s what dictators do
921888827102453761 2017-10-21 19:59:58 -0400 <ATrueJoker> @realDonaldTrump The Russian bot farms running #FakeNews on Facebook were on your side.
921888826754260992 2017-10-21 19:59:58 -0400 <clubhousemorgan> @realDonaldTrump   https://t.co/YQDQ7XuUX2
921888826502590465 2017-10-21 19:59:58 -0400 <RabbiGreenberg> @realDonaldTrump "has done more in its first..." few months to bring back white supremacism and racism to the fore of American politics?
921888826477252608 2017-10-21 19:59:58 -0400 <fastfred44> @realDonaldTrump 0 Done.
921888826397687808 2017-10-21 19:59:58 -0400 <ElaineErnie> @PalmerReport @realDonaldTrump 🙄🙏
921888825768660992 2017-10-21 19:59:58 -0400 <BluebonnetsTx8> @realDonaldTrump Golfing today? What about Niger failures? #TrumpsBenghazi  https://t.co/RGs8rJhvbM
921888825445617664 2017-10-21 19:59:58 -0400 <nifty_nudger81> @realDonaldTrump Gun crime? 🤔
921888824439070721 2017-10-21 19:59:58 -0400 <BrianReardon8> @realDonaldTrump No accomplishment 45!
921888823205941254 2017-10-21 19:59:57 -0400 <twoscoopsplease> @realDonaldTrump Thank you Mr. President! You’re doing an amazing job!
921888823155363840 2017-10-21 19:59:57 -0400 <the_rabbottt> @realDonaldTrump @bpolitics #mueller
921888823050686465 2017-10-21 19:59:57 -0400 <joebennett4321> @JimmyKulaga @realDonaldTrump Did he run over someone, while snorting cocaine again? Or just using steroids?
921888822539014145 2017-10-21 19:59:57 -0400 <Darthi> @realDonaldTrump You've done nothing but destroy this country.
921888821683220480 2017-10-21 19:59:57 -0400 <theofficialporp> @lukeoneil47 @realDonaldTrump First six months to fail on healthcare and Muslim ban.
921888820739522560 2017-10-21 19:59:57 -0400 <gasinger57> @realDonaldTrump They were all on her side. All except the ones that REALLY mattered!!
921888820622217216 2017-10-21 19:59:57 -0400 <TransientState> @IamVicky4Trump @realDonaldTrump In which the POTUS states explicitly that he represents rich people in tax reform. Not middle class, the top earners.
921888820571783168 2017-10-21 19:59:57 -0400 <bd_spy> @clairevoyant72 @Lucia99Susan @GenJohnFKelly @IamVicky4Trump @realDonaldTrump @POTUS @FoxNews   https://t.co/37hPNMlzyp
921888820269903873 2017-10-21 19:59:57 -0400 <deedeedoo23> @realDonaldTrump Resign go away
921888818483130369 2017-10-21 19:59:56 -0400 <jameson4_david> @realDonaldTrump @bpolitics Yep it's true you are the clown prince of all Americans. How embarrassing for all America. But hey ho they voted for you. Fools
921888817036038144 2017-10-21 19:59:56 -0400 <conservative_tc> @knowitall143 @realDonaldTrump Begging now? What happened with Mueller anyway?
921888816788574209 2017-10-21 19:59:56 -0400 <Gwop01> @realDonaldTrump No healthcare after 3 times, no tax cuts for the rich yet. Just rollbacks of Obama era policies that make u look like a capt planet villain
921888816474009600 2017-10-21 19:59:56 -0400 <Arn21589> @realDonaldTrump You won the election. Move on.
921888816016908288 2017-10-21 19:59:56 -0400 <PeteOgrady> @realDonaldTrump Oh please no ones done more yadayadayada
921888815547125761 2017-10-21 19:59:56 -0400 <Emmaline8266> @realDonaldTrump Man, Hillary really got deep under your skin didn't she? Over a yr later &amp; you still can't stop talking about her. BTW, u can't distract us.
921888815064735744 2017-10-21 19:59:56 -0400 <naaastywoman> @realDonaldTrump No admin has had more stupid stuff go on than yours. Give it a rest
921888814020247552 2017-10-21 19:59:55 -0400 <AttorneyHerman> @IronStache @realDonaldTrump Can’t laugh, Paul. You know better than this. Tolstoy’s question is “what then shall we do”. You need to search your heart and answer right.
921888813978476544 2017-10-21 19:59:55 -0400 <TheArrakeenDuke> @realDonaldTrump What about America's dwindling Vespene Gas reserves?! The Korean Peninsula has the most Vespene in the whole world according to experts.
921888813940727809 2017-10-21 19:59:55 -0400 <Alt_FedEmployee> @realDonaldTrump More damage? Yes. More golfing? Yes. More hateful rhetoric? Yes! You are correct.
