1084963370061754368 2019-01-14 18:59:59 -0400 <AmazonAnne9> @neighborwatchin @Halfamick @DirkDig91130766 @Lisianthus @DustinLyle @Vladdiefan @TriggerByTruth @Top_Sergeant @realDonaldTrump @HillaryClinton  https://t.co/9lHg3WlkhE
1084963369982091264 2019-01-14 18:59:59 -0400 <ANNSISCO1> @realDonaldTrump Trumps poll numbers are dropping faster than his pants in a whorehouse.  Approve       37% Disapprove  57%
1084963368719536128 2019-01-14 18:59:59 -0400 <rawsem47> @eugenegu @realDonaldTrump As a Kurd, YPG/PKK doesn't represent Kurds, not now not ever. They are just handy terrorists being used for the interests of the USA.
1084963368669245440 2019-01-14 18:59:59 -0400 <RyanFromCBus> . @realDonaldTrump can I get a 10 piece chicken nugget?
1084963368211931136 2019-01-14 18:59:59 -0400 <chuijojtekcared> @realDonaldTrump Please fight for me to! #babyPOWcanada
1084963367612231681 2019-01-14 18:59:59 -0400 <fr4nc15_93> @cinwick @realDonaldTrump Who knows, tovarisch... who knows..
1084963367004053504 2019-01-14 18:59:58 -0400 <Roberttimestwo> @KellyannePolls sorry a so called man @realDonaldTrump  who displays glaring evidence of committing treason deserves zero loyalty since he has none himself
1084963365003448322 2019-01-14 18:59:58 -0400 <MivaExpert> @realDonaldTrump so are you reading our replies or not. Maybe using a filter which shows only the good ones?
1084963364822892544 2019-01-14 18:59:58 -0400 <kdubbs222> Not sure whether to laugh or cry @realDonaldTrump #googleimages #fuhrersbefuhrerin  https://t.co/hHIpWWuFUj
1084963362218360832 2019-01-14 18:59:57 -0400 <prgrsvslytherin> @grum_sky @IndigoBryan @phiajum @AliceCan64 @ChatByCC @realDonaldTrump I provided multiple statistics that show illegals commit crimes at lesser rates, you just won’t read.   And funny how you said “and even if they do I don’t care” 🙄
1084963361618579456 2019-01-14 18:59:57 -0400 <Bullhusky> @GOPChairwoman @realDonaldTrump @IvankaTrump Daughter of Don Benedict
1084963357759860736 2019-01-14 18:59:56 -0400 <jgsDTX> @realDonaldTrump @PressSec No one is pleased to hear it.
1084963357709553665 2019-01-14 18:59:56 -0400 <MyWindyMind> @realDonaldTrump Not all of us and Russia sure as hell doesn't count. This sham will soon be over.
1084963356623155200 2019-01-14 18:59:56 -0400 <rerora7> @ShowTV @dhainternet @barisyarkadas @correctiv_org @barisatay @candundaradasi @ozgurmumcu @eacarer @realDonaldTrump @POTUS @fatihportakal @KadinCinayeti @kadinmeclisleri @izmirbld @LeventUzumcu @EmniyetGM @kilicdarogluk @jandarma @eczozgurozel @unikadinmeclisi
1084963355616395264 2019-01-14 18:59:56 -0400 <GeoffryCastle> @realDonaldTrump Why are you always lying and attacking the Media for reporting the Truth about you?  Hitler and the Nazis used to lie and attack the Media too. #Lock45Up #FakePresident
1084963354702213120 2019-01-14 18:59:56 -0400 <kelly33134799> @TheRealHublife @realDonaldTrump Too Cool!
1084963354286981120 2019-01-14 18:59:55 -0400 <Contractoria> @realDonaldTrump I don't understand the hate for the president who is actually putting America and Americans first. Maybe those who don't like that should just leave
1084963353724940288 2019-01-14 18:59:55 -0400 <DOVID14894249> @realDonaldTrump ... save soroastros please
1084963353569779713 2019-01-14 18:59:55 -0400 <reynoldsjeff63> @GOPChairwoman @realDonaldTrump How about we deal with the “legal drug peddling” first? #bigpharma
1084963351732645889 2019-01-14 18:59:55 -0400 <CarlosC69976943> @jonbouch @DavidWohl @realDonaldTrump Yeah so
1084963351141089280 2019-01-14 18:59:55 -0400 <Michael02691595> @realDonaldTrump BULLSHIT
1084963351103447040 2019-01-14 18:59:55 -0400 <BobBau49> @realDonaldTrump  https://t.co/UdKnszLADB
1084963350612590592 2019-01-14 18:59:55 -0400 <coastal_eddyLB> @LindseyGrahamSC @realDonaldTrump Bullshit!
1084963350205747200 2019-01-14 18:59:54 -0400 <Stevethehoneyb1> @realDonaldTrump Did Putin tell you to say that?
1084963350193336320 2019-01-14 18:59:54 -0400 <joefox1985> @realDonaldTrump “Mexico will pay for the wall!” - Donald Trump. Promise already broken.
1084963349169823744 2019-01-14 18:59:54 -0400 <bobbymac457> @realDonaldTrump Nope you are fighting for you it’s all about you!
1084963348398178304 2019-01-14 18:59:54 -0400 <c_ycs> Are you sure @realDonaldTrump will even be three? 😅
1084963347781562368 2019-01-14 18:59:54 -0400 <nickbaucom> @WhiteHouse @realDonaldTrump It’s been 2 years. Farm income and exports are down across the board since your election. Thank you @realDonaldTrump for making the hard job of being a farmer even harder. #ThanksButNoThanks
1084963347592822785 2019-01-14 18:59:54 -0400 <12longmohatla> @realDonaldTrump May you live in interesting times!!
1084963345780752384 2019-01-14 18:59:53 -0400 <KevinBeebe10> @al_zammam @realDonaldTrump Amen
1084963343994159104 2019-01-14 18:59:53 -0400 <LoriCat82> @funnycat38 @ABCWorldNews @marykbruce @DavidMuir @realDonaldTrump Amen!!!
1084963342584823808 2019-01-14 18:59:53 -0400 <dakon_dave> @realDonaldTrump #ImpeachTheMF #TrumpShutdown #MitchShutdown
1084963341943099393 2019-01-14 18:59:53 -0400 <Momma2> @thehill I bet @realDonaldTrump is hoping for a lot of leftovers.   He needs to stuff his face in the middle of the night to perform his unhinged tweeting
1084963341850869760 2019-01-14 18:59:52 -0400 <Womp2daWomp> @Franymag @realDonaldTrump  https://t.co/aWsAGfjFJ7
1084963340181536769 2019-01-14 18:59:52 -0400 <Vegan_Amethyst> @Matvalley1 @GOP @realDonaldTrump It’s great? People shouldn’t have to work 60 hours per week and still not afford the basics to survive. If you think that’s the life, you live it.
1084963339875295233 2019-01-14 18:59:52 -0400 <byLorenaBlas> #TrumpShutdown by @realDonaldTrump, endorsed by @senatemajldr and @LindseyGrahamSC
1084963338675580928 2019-01-14 18:59:52 -0400 <RonLebow> @ProudResister @realDonaldTrump Donald Trump Was Always a Counterintelligence Nightmare – Mother Jones. Why did Trump write the false story for Don Jr.? Why did Trump parrot Putin disinformation? When will all Americans demand answers to Trump’s selling out the US one tweet at a time?
1084963337513959424 2019-01-14 18:59:51 -0400 <sharon77roemer> @realDonaldTrump Do it right now! Keep US citizens safe!
1084963336796758016 2019-01-14 18:59:51 -0400 <kdcdcdsdtdkids> @DonaldJTrumpJr @realDonaldTrump U are as sorry as your dad
1084963336591011840 2019-01-14 18:59:51 -0400 <MissMarla222> @realDonaldTrump 🤮
1084963336125599744 2019-01-14 18:59:51 -0400 <u8hammy> @Mrlucky229 @itsJeffTiedrich @realDonaldTrump There's that built in excuse I was looking for.  No matter how much you Trumpers want Hilary convicted  over Benghazi, she was fully investigated and found innocent. I think you better open your eyes. It's been 2 years and I don't think things are going 2 go the same way 4 Trump.
1084963332518436864 2019-01-14 18:59:50 -0400 <YerAuntieTrish> @Shopaholic_918 @realDonaldTrump And the way it’s all presented screams product placement to me. I wouldn’t be surprised if they worked out a deal with those vendors.
1084963331801112576 2019-01-14 18:59:50 -0400 <RetiredTerrie> @realDonaldTrump @PressSec Worthless POTUS!
