1097284557164949504 2019-02-17 18:59:59 -0400 <jengrimes8> @realDonaldTrump #MarALardass 😂😂😂😂😂
1097284557034921986 2019-02-17 18:59:59 -0400 <eggertma> @recylebin_ @williamlegate @realDonaldTrump With crayons?
1097284556170813441 2019-02-17 18:59:59 -0400 <Littlefish_5> @realDonaldTrump Um its satire, have someone look it up for you #snl dont shoot the jester, simply stop being so easy to mock
1097284555852181504 2019-02-17 18:59:59 -0400 <Isabell27448973> @realDonaldTrump  https://t.co/wkVn0i45zI
1097284553356398592 2019-02-17 18:59:58 -0400 <buckingham_lady> @ChatByCC @realDonaldTrump Hhhaaaaaaaaa..bbrroooo haaaaa...fake propaganda tweeter.
1097284553272549376 2019-02-17 18:59:58 -0400 <thebluefuschia> @realDonaldTrump  https://t.co/asB1ms3rVr
1097284553197142016 2019-02-17 18:59:58 -0400 <LtcfdKevin> @realDonaldTrump The crime is your doctor saying you weigh 239# and you're in excellent health
1097284553171886080 2019-02-17 18:59:58 -0400 <bkshurtz> @realDonaldTrump Tell us Donald. What crime was committed by the people investigating you?  They didn’t conspire to steal an election with Russia. They didn’t commit election fraud. They didn’t violate the emoluments clause. They aren’t laundering money.
1097284552228306944 2019-02-17 18:59:58 -0400 <JudithR49764618> @realDonaldTrump A “witch hunt” doesn’t result in numerous charges, convictions and guilty pleas. There is no doubt you chose to surround yourself with despots. You may not be guilty of firsthand criminal conduct, yet you had to have known what paths some of not all were going down on your behalf
1097284552131776512 2019-02-17 18:59:58 -0400 <thedoggeneral1> @realDonaldTrump
1097284550273716225 2019-02-17 18:59:58 -0400 <Jenrg19737> @realDonaldTrump Well we all know your talking about yourself.
1097284549774635009 2019-02-17 18:59:57 -0400 <Jer05> @realDonaldTrump Mueller professional agent impeccable record works for a living Innocent until proven guilty but Individual 1 when there is so much  smoke there is usually a fire #WorldAwaitsMuellerReport
1097284549564866560 2019-02-17 18:59:57 -0400 <Digilympian> @miamirach2013 @itsJeffTiedrich @realDonaldTrump Get some sun, killer. You need some  normal interaction with humans.
1097284548818276353 2019-02-17 18:59:57 -0400 <iNukaBoy> @realDonaldTrump Don't be a snowflake.
1097284548566675458 2019-02-17 18:59:57 -0400 <karmasandwich> @realDonaldTrump 60 minutes got you nervous?
1097284548545650689 2019-02-17 18:59:57 -0400 <DianeLCernovich> @realDonaldTrump Mr president, i, Diana lynn cernovich created a facebook group- re-elect Donald j trump 2020
1097284548042334208 2019-02-17 18:59:57 -0400 <DavegFla> @realDonaldTrump Oh Chef, can I have mini Snickers bars on my Hamberder? (Overheard at #MarALardass )
1097284546624667650 2019-02-17 18:59:57 -0400 <GDT0429> @realDonaldTrump Trump is blatantly saying “make the Soviet Union great again” and believes his supporters too stupid to see it.
1097284546578579456 2019-02-17 18:59:57 -0400 <BetsyGee5> @JessicaAbney1 @realDonaldTrump Apparently you are unaware of the fact that Trump values personal loyalty to himself more than patriotic loyalty.
1097284546297503746 2019-02-17 18:59:57 -0400 <brad_lombardi> @realDonaldTrump  https://t.co/nlxZy3ongu
1097284543747371009 2019-02-17 18:59:56 -0400 <TracyFay2012> @realDonaldTrump Jeff sessions disagrees
1097284542841475078 2019-02-17 18:59:56 -0400 <HobackSara> @realDonaldTrump Seeing you melt down over being made fun of is my favorite thing. Baldwin actually wasn’t that great last night in portraying just how clownish your press conference was Friday. He needed to up the ante.
1097284539309875200 2019-02-17 18:59:55 -0400 <TheRealGregPage> @realDonaldTrump Feeling the noose??
1097284539234373632 2019-02-17 18:59:55 -0400 <GandalftheB> @realDonaldTrump Eat another omelette, chase it with a bucket of KFC and six diet cokes.  Mueller will take care of the rest.
1097284538340917248 2019-02-17 18:59:55 -0400 <RealPatriot44> @realDonaldTrump Walls must be closing in. You’re panicked. Clearly. They’re living in your bald, orange head, rent-free. Innocent people definitely allow that to happen. @GOP #maga
1097284537955074048 2019-02-17 18:59:55 -0400 <smithtj159> @ProudResister @realDonaldTrump 45 caters to the extreme right-wing.
1097284537397043200 2019-02-17 18:59:54 -0400 <skhanna914> @realDonaldTrump Prove it b#tch!
1097284536411529217 2019-02-17 18:59:54 -0400 <wrightdougjr> @SenSchumer @realDonaldTrump Because you didn’t want to build now, what you approved a few years ago.  Flip flop Chuckie
1097284535711080449 2019-02-17 18:59:54 -0400 <AutismMama88> @UserBrice @realDonaldTrump  https://t.co/jds8ZZcYfm
