1155266616554340353 2019-07-27 19:59:59 -0400 <dincha58> @MichaelTCoffee @Malaury25041412 @realDonaldTrump Oh man. I used to love dreamsicles. Dammit.
1155266615728099328 2019-07-27 19:59:59 -0400 <LoveBGees> @AprilDRyan @realDonaldTrump He hasn't done anything to help the country. The country is falling apart and he's worried about a stupid wall.
1155266615081963520 2019-07-27 19:59:59 -0400 <AlbieDuncan> @realDonaldTrump Clearly we didn't watch the same hearing. #youreveryguilty
1155266613626601473 2019-07-27 19:59:59 -0400 <AashiqRahman5> @realDonaldTrump Aren't you the president? If it's sp much worse ... why are you focusing on the wall and not Baltimore?
1155266613349761024 2019-07-27 19:59:59 -0400 <SpatzercatWendy> I just thought if something... #RealPresidentMiller has been a busy little bigot. @realDonaldTrump isn't quite such a capable tweeter. I do emplore our neighbors across America to remain calm and not fall into the trap.
1155266612905332736 2019-07-27 19:59:58 -0400 <MarvBush1> @Erulin @realDonaldTrump Uh no
1155266612724994049 2019-07-27 19:59:58 -0400 <LolaTaco55> @realDonaldTrump Hi Donny, All of your friends are in jail. Please send them a care package. Include some chocolates, gum, colored pencils and the book “Proof of Conspiracy” by @SethAbramson  Thanks Donny! You can afford it! Just use that Gold card that starts with a 4 from Deutsch Bank. #Cheers!
1155266612376850432 2019-07-27 19:59:58 -0400 <clarkm123> @realDonaldTrump Whatever helps you get through the day gramps.
1155266612070666241 2019-07-27 19:59:58 -0400 <YungNrcornish> @realDonaldTrump #ImpeachDonaldTrump #ImpeachDonaldTrump #ImpeachDonaldTrump #ImpeachDonaldTrump #ImpeachDonaldTrump #ImpeachDonaldTrump #ImpeachDonaldTrump #ImpeachDonaldTrump #ImpeachDonaldTrump #ImpeachDonaldTrump #ImpeachDonaldTrump #ImpeachDonaldTrump
1155266611722559488 2019-07-27 19:59:58 -0400 <MelissaAHooper> @realDonaldTrump 🙄
1155266611500212224 2019-07-27 19:59:58 -0400 <SherrySherrmorr> @miriam__s9 @MalaraBaku @TrumpStudents @realDonaldTrump If you can find the ABC 20/20 the Friday after the tragedy, it's there. ANTIFA started the violence. The blow torches? ANTIFA.
1155266611139317760 2019-07-27 19:59:58 -0400 <wegetupstandup> @realDonaldTrump
1155266610757808129 2019-07-27 19:59:58 -0400 <Mejidov2014> @realDonaldTrump they want to turn the U.S. into a dumpster
1155266610220941313 2019-07-27 19:59:58 -0400 <BeachBumGirl7> @dcexaminer @WERStanford @realDonaldTrump @RepCummings What else is new, another left- winger against Trump.
1155266610124513281 2019-07-27 19:59:58 -0400 <TwlightZoneFan> Anyone who is crying racism against @realDonaldTrump for telling the truth about Baltimore, is part of the problem. They are doing this to cover for the fact that the Democrat party does nothing to improve the area. Nothing! The residents are suffering!!
1155266607855239169 2019-07-27 19:59:57 -0400 <johnny5point6> @MatthewJshow @real_defender @realDonaldTrump I am fed up with people defending the obviously corrupt Donald Trump. You deserve better than him, and you know it.
1155266607578591232 2019-07-27 19:59:57 -0400 <laurel_resists> Watch this video. @realDonaldTrump and @GOP are monsters to do this to children. The party that claims to be “pro-life” is torturing children. FAMILY SEPARATIONS MUST END!!! Have you called or emailed your representative lately? Do it today.
1155266607515676673 2019-07-27 19:59:57 -0400 <Bluepearlnews> @realDonaldTrump  https://t.co/WU3jjR6YbW
1155266607356284934 2019-07-27 19:59:57 -0400 <Emmerbetic> @realDonaldTrump You're mad about McGahn, eh?
1155266607192535041 2019-07-27 19:59:57 -0400 <HarshMellow4> @Dean_Winnipeg @realDonaldTrump Orange in orange jumpsuit. It might be like camouflage
1155266606320066561 2019-07-27 19:59:57 -0400 <JohnRikala> @realDonaldTrump Obstruction of Justice, #LiarInChief.  That's what requires impeachment. #ImpeachTrump
1155266605775052805 2019-07-27 19:59:57 -0400 <DuaSindh> @realDonaldTrump  https://t.co/dcOee9NWdq
1155266605544366086 2019-07-27 19:59:57 -0400 <LindaWa88949972> @Vote_Chuck @RepJerryNadler @dpmax100 @realDonaldTrump Wake up dude...you have mental issues!😁
1155266604856487943 2019-07-27 19:59:57 -0400 <BernieMiller8> Trump’s Border Patrol Chief Admitted She Was Part Of A Secret Facebook Group Filled With Racist, Sexist Comments.. @realDonaldTrump @LindseyGrahamSC. Nice huh?
1155266604051181569 2019-07-27 19:59:56 -0400 <sandduch> @realDonaldTrump Snap out of it. You’re dreaming. Now you’re awake and realize that there was assistance from a foreign country (collision not a legal term), you obstructed justice, not exonerated, not witch hunt
1155266601748520960 2019-07-27 19:59:56 -0400 <uncle_fugly> @realDonaldTrump pants on fire bubba
1155266600708296706 2019-07-27 19:59:56 -0400 <drumheller_rae> @realDonaldTrump #TRUMPLANDSLIDEWIN2020
1155266600230096898 2019-07-27 19:59:55 -0400 <DAffected> @realDonaldTrump  https://t.co/qcjBOwGuLg
1155266599965941760 2019-07-27 19:59:55 -0400 <superleadman> @RyanHillMI @realDonaldTrump Can you repeat the question please
1155266595410890753 2019-07-27 19:59:54 -0400 <DfBozzy> @realDonaldTrump Trump, we don’t listen to Russian operatives!!! Trump is evil 🇷🇺🇷🇺👺🤢🤮
1155266595230535681 2019-07-27 19:59:54 -0400 <NobleParkRiot> @realDonaldTrump  https://t.co/DbLzMUpwCB
1155266595029045248 2019-07-27 19:59:54 -0400 <asiancajun3> @realDonaldTrump OMG !  You are like a really bad dream that I can’t wake-up from.    It’s only going to get worse from here - run Doony run!
1155266594987225090 2019-07-27 19:59:54 -0400 <DougWoo97438868> @realDonaldTrump Need to play at the Cincinnati rally.  https://t.co/9CDEZOHl8o
1155266594513313794 2019-07-27 19:59:54 -0400 <sheristepper> The Whitehouse is infested with a racist president, @realDonaldTrump should listen to this, it says exactly what you are, a racist! As Maya Angelou said when someone shows you who they are believe them &amp; you have shown us over &amp; over again who you are, a racist!
1155266594508906496 2019-07-27 19:59:54 -0400 <SallyForTrump> @StormIsUponUs @BarackObama @MichelleObama ??? Obama stating "it's true I'm not an American. I wasn't born in Hawaii I wasn't born in the United States of America". . . .that's all I watched of this video! I guess I missed something about Obama &amp; born in USA? @realDonaldTrump @SenateDems @GOP
1155266593859022853 2019-07-27 19:59:54 -0400 <dinahleigh> @realDonaldTrump #RacistPresident
1155266592617295872 2019-07-27 19:59:54 -0400 <WestonJK> @realDonaldTrump Donald J Trump puts on THE greatest display of mental illness, ineptitude &amp; incompetence. Truth is #RacistTrump is NOT explicitly exonerated, did OBSTRUCT &amp; he knows it! Your lifelong GRIFT has been exposed.  https://t.co/cUS9ps0CqE
1155266592315453441 2019-07-27 19:59:54 -0400 <cwrumba> @GOP @realDonaldTrump You guys are "winning" at racism and killing the GOP. That's about it.
1155266591728160768 2019-07-27 19:59:53 -0400 <NinjaNezumi> @SotoColor @realDonaldTrump I don't think the report says what a lot of democrats think it says, but it does clearly show a major attempt at witness and evidence tampering and obstruction.  That alone should be evidence enough of Trump's failure to govern like an adult.
1155266591178797057 2019-07-27 19:59:53 -0400 <murphbige> America, your president @realDonaldTrump is a racist dick. #WeTheNorth but today #WeAreBaltimore!!
1155266591124271104 2019-07-27 19:59:53 -0400 <ninezerooo> @keanothedog @realDonaldTrump  https://t.co/FI8mBhvUM3
1155266590423900165 2019-07-27 19:59:53 -0400 <Zakkgm1> @AprilDRyan @realDonaldTrump  https://t.co/MwsgPB7N8X
1155266588943106048 2019-07-27 19:59:53 -0400 <charks54> @realDonaldTrump If people do live in  bad conditions in his district, they still allowed room to sleep, ability to bathe if they choose, children to be comforted by their parents, toilet paper to wipe their a$$, the ability to relieve themselves in private. etc etc .you are the animal trumpet.
1155266588599304199 2019-07-27 19:59:53 -0400 <xXStay_WokeXx> @realDonaldTrump Do it Mr. President
1155266588125401088 2019-07-27 19:59:53 -0400 <DrN15614510> @realDonaldTrump Have you been in the white trash trailer park lately? What city doesn’t have trash? This doesn’t justify your racism. White nationalist + supremacy. Where your plans to help the Black Community? The Wall is more important that Mexico supposed to pay.
1155266587487850497 2019-07-27 19:59:52 -0400 <mel_moneybags> @realDonaldTrump More CRIME, CRIME  CRIME like sexual assault Donald?? 😁 or money laundering for Russian mobsters???😁 because I hear that we all going to be hearing about that soon and the tax evasion 😶😁😁  #ImpeachmentIsCiming  https://t.co/kfmCmbZaup
1155266587131125760 2019-07-27 19:59:52 -0400 <Julskihl> @Red1Echo @AprilDRyan @realDonaldTrump Amen!!
1155266585239662593 2019-07-27 19:59:52 -0400 <LeonaJo27233115> @derek_mafs @realDonaldTrump He sure is and act
1155266584887353344 2019-07-27 19:59:52 -0400 <Sharon57343807> @realDonaldTrump @NYCMayor @BilldeBlasio Trump, maybe it's your time to stand up. What happened with your 16 Marine employees? Arrested for smuggling illegals and drugs across the border into AMERICA.  DISGRACE.
1155266583868182529 2019-07-27 19:59:52 -0400 <ComesAlda> @realDonaldTrump You win 2020!
1155266583381630981 2019-07-27 19:59:51 -0400 <CBHutcheson> @cheeseheadlucy @TheRickWilson @realDonaldTrump Lock it up ! Lock it up ! Lock it up !
1155266582873964544 2019-07-27 19:59:51 -0400 <a8w3WJfJyy8F3DM> @realDonaldTrump  https://t.co/CoXIhnlfnV
1155266582421135366 2019-07-27 19:59:51 -0400 <MichaelJWilso15> @realDonaldTrump And in doing so they've shown that they have little regard for the country. Two and a half years that could've been productive have been waisted on a temper tantrum. Trump 2020. and let's get the House of representatives back !
1155266582412742656 2019-07-27 19:59:51 -0400 <87_Tonymoss> @realDonaldTrump TWITTER SHOULD BAN YOUR ACCOUNT!! YOU ARE JUST CREATING CHAOS!!
1155266582077038593 2019-07-27 19:59:51 -0400 <4willy98> @realDonaldTrump Doing a little too much coke today huh?
1155266580302970880 2019-07-27 19:59:51 -0400 <DonnellyAntonia> #WEAREBALYIMORE and Dump, @realDonaldTrump  if you don't like this country and have something negative to say, take you traitor ass back to the Kremlin.
1155266579476701185 2019-07-27 19:59:51 -0400 <theaterdog> @realDonaldTrump COLLUSION, OBSTRUCTION, TOTALLY GUILTY. DEMOCRATS TO CLEAN OUT THE TRASH (You).
1155266578700804096 2019-07-27 19:59:50 -0400 <MarionTiger> @SarahHuckabee @realDonaldTrump Your lies once made me mad.   Then it became so absurd it was comical.  Now it is just pitiful and sad.   I’ll never understand how you either deceive yourself, or live this lie.
1155266578335719424 2019-07-27 19:59:50 -0400 <keepgoingleft> @realDonaldTrump The 10 poorest states in the US are: LA, MS, NM, WV, AL, AR, SC, KY, AZ and GA.  All but one are blood red states politically.  Maybe Republicans should take care of their own infested shitholes first.
1155266577752887301 2019-07-27 19:59:50 -0400 <onesparkfire> @USAJohnK @Patwontbackhate @irosky007 @lisastark351 @realDonaldTrump Hayseeds.
1155266575479517184 2019-07-27 19:59:50 -0400 <DrieuxKoeppel> @CarpeDonktum @winterdays99 @realDonaldTrump  https://t.co/INfxmnejlq
1155266575022350336 2019-07-27 19:59:49 -0400 <JRKiefer1> @realDonaldTrump Why are you?
1155266574506479622 2019-07-27 19:59:49 -0400 <MancinoD> @realDonaldTrump 10 counts of obstruction of justice is pretty good! WINNING!
1155266574124589056 2019-07-27 19:59:49 -0400 <JM2O20> @realDonaldTrump #impeachment  https://t.co/IegX51VHL0
1155266572920983554 2019-07-27 19:59:49 -0400 <Mountaindream5> @realDonaldTrump Shall we bet, that he doesn't know, what ANTIFA means and that it is not an association?  https://t.co/7kKOIVHctu
1155266571503316993 2019-07-27 19:59:49 -0400 <GiselleAlbrech2> @realDonaldTrump #Collusion #Conspiracy #PutinsPuppet  https://t.co/Iy2Aa1DU2m
1155266571205521408 2019-07-27 19:59:49 -0400 <denafer48> @TideLineArt @realDonaldTrump Nicola, I am truly sorry you decided to express yourself concerning the US political situation. Have no doubt I believe you have the right to your opinions and your right to express them. Goodbye Tide Line Art
1155266571012661255 2019-07-27 19:59:49 -0400 <JimAdams5> @Leo45__ @easlerson @POTUS @realDonaldTrump Her husband and their shady deals.......
1155266570245038080 2019-07-27 19:59:48 -0400 <Just4lyn1> @realDonaldTrump Liar
1155266570005962754 2019-07-27 19:59:48 -0400 <BeverlyPotvin1> @realDonaldTrump You're living in a dream world.  "If we had confidence that the president clearly did not commit a crime, we would have said so," Mueller said in May, pointing to Justice Department rules that prohibit investigators from bringing charges against a sitting president.
1155266569666269185 2019-07-27 19:59:48 -0400 <GjmMcLaren> @realDonaldTrump  https://t.co/V5CLufSyvB
1155266568558993408 2019-07-27 19:59:48 -0400 <sgalicastro> @realDonaldTrump #VictorBlackwell #Baltimore @RepCummings
1155266567527194624 2019-07-27 19:59:48 -0400 <ClaireWallace2> @realDonaldTrump Is this for real? Seriously? President has nothing better to do??
1155266566897963013 2019-07-27 19:59:48 -0400 <boomerguilt> @realDonaldTrump Time for the rocking chair Melanie should sing you a lullaby and put you down for the night Sweet dreams  #25thAmendmentNow #Resist #WitchHunt  #lockhimup
1155266566604259329 2019-07-27 19:59:47 -0400 <Aitwen_Zari> @RyanAFournier @realDonaldTrump “Everyone needs to get over the fact Russia helped elect Trump illegally” are you mentally stable???
1155266566344368129 2019-07-27 19:59:47 -0400 <tree47139215> @benpiven @realDonaldTrump Cummings is worth 2.2 million dollars
