1178459440372240384 2019-09-29 19:59:59 -0400 <spitfirehk> @realDonaldTrump Oh little one...
1178459440359645184 2019-09-29 19:59:59 -0400 <Mcol13M> @realDonaldTrump So wait are they doing something or are they not ????
1178459439797604352 2019-09-29 19:59:59 -0400 <SLevineLaw> @realDonaldTrump Its, not it’s. There is no “hyphen.” 🍊💩
1178459439793364995 2019-09-29 19:59:59 -0400 <superstar64> @realDonaldTrump 🍼👶
1178459439579500545 2019-09-29 19:59:59 -0400 <Rhurley12Rob> @realDonaldTrump
1178459439038267392 2019-09-29 19:59:59 -0400 <AccidentalDread> @realDonaldTrump He’s not well, @GOP, and you know it.
1178459438912434176 2019-09-29 19:59:59 -0400 <Larryallred7> @realDonaldTrump True Americans will stand with you Mr President  https://t.co/6ZyXbsaRNI
1178459438233145346 2019-09-29 19:59:59 -0400 <nancy_dills> @brycetache @realDonaldTrump Yes
1178459438039961605 2019-09-29 19:59:59 -0400 <apehuman> @realdonaldtrump #unfit45 #impeach45
1178459437507457025 2019-09-29 19:59:59 -0400 <MABUSUK> @realDonaldTrump Lol....you sure are Donnie.....boy you’re funny and you don’t even realize.  https://t.co/MULkIKDgWq
1178459437255860225 2019-09-29 19:59:59 -0400 <1_blkman> @NickAdamsinUSA @realDonaldTrump Eat up Nick...  https://t.co/sTzkfxBCwn
1178459435649228800 2019-09-29 19:59:58 -0400 <smoky224> @realDonaldTrump  https://t.co/nk3LnyfvxN
1178459435376807936 2019-09-29 19:59:58 -0400 <Saleh2017hotma2> @CatherineLugg @realDonaldTrump You are right
1178459434600878080 2019-09-29 19:59:58 -0400 <hoodlynn37> @realDonaldTrump  https://t.co/Fg0Egj7p75  thanks @LindseyGrahamSC  for protecting  an American hero. Threating Senators and American citizens is unamerican.
1178459434470785024 2019-09-29 19:59:58 -0400 <BuffaloSweat> @realDonaldTrump I don't think you understand how whistleblowers work. His/her allegations will be investigated, and if confirmed, the House will vote on your impeachment.  The House will be your accuser; not the whistleblower.
1178459434043023360 2019-09-29 19:59:58 -0400 <PerkinsTexas> @realDonaldTrump Matthew 7:5  First, remove the beam out of your own eye, and then you can see clearly to remove the speck out of your brother’s eye.
1178459434009296897 2019-09-29 19:59:58 -0400 <JTMLX> @AhmedBaba_ @realDonaldTrump Man, he can't hear you.  That fat fundament will act as Distraction Central for the duration of the impeachment inquiry and consideration of impeachment articles by the House.  Expect his victimhood to reach dangerous levels.  Keep that remote blood pressure device on him.
1178459431522246657 2019-09-29 19:59:57 -0400 <mom4healthylife> @Rali77109026 @bust_blue @geoffreycarlson @msenicaracing @realDonaldTrump I do t think so! The far left hate that they are finally being exposed for the liars and leakers that they are!!!
1178459431362682880 2019-09-29 19:59:57 -0400 <bucktoothraven> @TrueEyeTheSpy @realDonaldTrump I never see trump tweets but in last 2 days since following pencil neck liddle diddler and terrorist lover omar i get  everyone of their blant lies. Its infuriating twitter is going against free speech
1178459431173906432 2019-09-29 19:59:57 -0400 <CJJames> @realDonaldTrump Resign.
1178459430339244035 2019-09-29 19:59:57 -0400 <hewi72> @NFreytag @ChatByCC @realDonaldTrump And the whistleblower is Melania!😂😂😂
1178459429580095488 2019-09-29 19:59:57 -0400 <SteveDu21287706> @ChandletJeff @realDonaldTrump 3 time draft dodger steals veterans fundraiser money
1178459429425074176 2019-09-29 19:59:57 -0400 <Tammy63277312> @NuSolutions2019 @glamelegance @realDonaldTrump I dont care about party, I care about people and the well being of this country try.  I stand for honesty and mutual respect, life, and our democracy.  What do you care about, what do you stand for? Is lying ok cause you like the person?
1178459428682686464 2019-09-29 19:59:57 -0400 <_ronmower> @realDonaldTrump 6 minutes is all I could I’ll watch of bogus 60 minutes. Bring ng out Liddel Adam Shiff. What a hoax! Fake news is all news.
1178459428607025152 2019-09-29 19:59:57 -0400 <LaurieBullard> @realDonaldTrump  https://t.co/VFfQOBaFin
1178459428045099008 2019-09-29 19:59:57 -0400 <Donnachka206> @realDonaldTrump Feeling nervous, I see. Feeling like the walls are closing in? You know that the Ukraine calls are just the tip of the iceberg. The calls with Russia, Saudi Arabia, and others will come out as well. Then we'll see just how much of America you were willing to sell out. Sleep well!
1178459427134988288 2019-09-29 19:59:56 -0400 <LisaGarofano> Whoa! No coincidence that @realDonaldTrump is tweeting about having the right to face his accuser. I'm sure he has his lackies trying to hunt him/her down. Pls protect this patriot. #UkraineScandal #TrumpTreason
1178459427059437571 2019-09-29 19:59:56 -0400 <Travelagency4U> @realDonaldTrump I see we're back to retweeting. Melania still at her parents? Stephen Miller back in his cave? 🙄
1178459426359037952 2019-09-29 19:59:56 -0400 <wjbstack> The Democrats in Congress don’t seem to care about everyday Americans. They only care about destroying @realDonaldTrump
1178459425788416000 2019-09-29 19:59:56 -0400 <StuartR70121703> @TrentCapelli @realDonaldTrump That fact happened when Obama left.
1178459425729896448 2019-09-29 19:59:56 -0400 <goldenmoonhorse> @realDonaldTrump The Whistleblower is a National Hero Patriot! Donald Trumps Crooked Traitorship has threatened the Republic! He must be Deposed in the name of all the Founding Fathers!
1178459424131813382 2019-09-29 19:59:56 -0400 <Sylvia_got_it> @kodiak149 @divageraldine1 @realDonaldTrump Terrible
1178459423750213633 2019-09-29 19:59:55 -0400 <luciw77> @PastorDScott @realDonaldTrump Amen!! Sick and tired of their lies!!
1178459423007629314 2019-09-29 19:59:55 -0400 <CrazyOldLady10> @realDonaldTrump You know what? @realdonaldtrump you are completely bugnuts.  https://t.co/gZlggl2xsB
1178459422852616192 2019-09-29 19:59:55 -0400 <Mpharns> @realDonaldTrump Spying= #TrumpTraitor &amp; his entire family 😡
1178459421950828544 2019-09-29 19:59:55 -0400 <jediminndtrick> @fuqouttahere69 @dawndunbar81 @nelsonwendella @realDonaldTrump 😂😂😂 it’s so easy I love it. Just say “trump sucks” and BOOM
1178459421422297090 2019-09-29 19:59:55 -0400 <EricNel51817907> @realDonaldTrump  https://t.co/bN3Doha0wn
1178459421388791808 2019-09-29 19:59:55 -0400 <VickiClementi> @realDonaldTrump Your accuser is the American people, we will meet you in Congress.
1178459420935761920 2019-09-29 19:59:55 -0400 <maureenw114> @realDonaldTrump I don't think you understand the purpose of whistleblower policies.  duh. How much did daddy pay to get you in Penn?
1178459419543326725 2019-09-29 19:59:54 -0400 <p2plusb2> @realDonaldTrump is long on talk and short on memory. Or, is he? He learned his criminal ways long ago and he purposefully brought his thuggish activities to OUR White House. Time has finally caught up with him. Thank you, Rep. Nadler. We appreciate you and your fellow Democrats.
1178459419497107457 2019-09-29 19:59:54 -0400 <delancenicole> @waltshaub It’s called projecting, accusing someone of what you are doing, period. @realDonaldTrump guilty AF...
1178459419350167552 2019-09-29 19:59:54 -0400 <radiokaos666> @MaryEileenGard3 @BradleyNAnders1 @mirandayaver @realDonaldTrump Did someone run out of tin foil this weekend?
1178459419039997953 2019-09-29 19:59:54 -0400 <cccharley2> @LouiseMensch @realDonaldTrump These are the GOP talking points!   Too funny or incredibly sad
1178459418846998529 2019-09-29 19:59:54 -0400 <sandymfc> @realDonaldTrump If this carries on they won't be impeaching you, they will be committing you to a mental institution.  Who thought being corrupt was such hard work 🤷
1178459418708459521 2019-09-29 19:59:54 -0400 <FlippyFlambers> @AhmedBaba_ @realDonaldTrump And money...self serving fraud
1178459417370599424 2019-09-29 19:59:54 -0400 <Jeffrey91829361> @realDonaldTrump  better break out The Sharpie again and tell all of America that Hurricane Lorenzo is going to impact Iowa
1178459417169276928 2019-09-29 19:59:54 -0400 <DL3336580> @JohnDRobinson @realDonaldTrump I fear nothing
1178459416485597184 2019-09-29 19:59:54 -0400 <VillefanJB> @LindseyGrahamSC @JasGregory @realDonaldTrump Now you’re his golfing buddy and number one sycophant.  Does the word “hypocrite” mean anything to you?
1178459415638368257 2019-09-29 19:59:54 -0400 <RaymondWeaver20> @realDonaldTrump You be you. It’s very helpful for us.
1178459415441281026 2019-09-29 19:59:54 -0400 <CommuterMetro1> @realDonaldTrump BLAH....
1178459414497378304 2019-09-29 19:59:53 -0400 <OfficerJustin> @steph93065 @realDonaldTrump And Brennan is 100% correct
1178459414107439104 2019-09-29 19:59:53 -0400 <akagracie> @mtnmama12753 @realDonaldTrump Well said, Armen.   👍
1178459413771890688 2019-09-29 19:59:53 -0400 <wbengines> @KayaJones @realDonaldTrump The only chance they have of him not being re-elected is to impeach him now!  4 more years!
1178459413251796993 2019-09-29 19:59:53 -0400 <BigGuy71> @realDonaldTrump  https://t.co/OEXEA9QIJs
1178459413184692224 2019-09-29 19:59:53 -0400 <mimi424> @realDonaldTrump Liddle Donny. Fool.
1178459412777852929 2019-09-29 19:59:53 -0400 <StephenMacDoug4> @realDonaldTrump Lying and cheating?? No one, anywhere, at any time, does it as much as you.  You have made the USA the laughingstock of the world.  Way to go, Donnie.
1178459412693835776 2019-09-29 19:59:53 -0400 <_USAPatriot_> @realDonaldTrump I support our Constitution. If you did nothing wrong, you don’t have anything to worry about and just let it play its course.  https://t.co/mzZhrr7qWb
1178459412236660737 2019-09-29 19:59:53 -0400 <harleyzgrrl> @NickAdamsinUSA @realDonaldTrump Not this American.
1178459411909660673 2019-09-29 19:59:53 -0400 <snooping12341> @realDonaldTrump Lying and cheating! That is your mantra. Get over yourself! Resign!
1178459408965259264 2019-09-29 19:59:52 -0400 <alva0411> @realDonaldTrump STOP LYING TO THE AMERICAN PEOPLE. Did u pay for this video or did the American taxpayers? Nobody believes anything that comes out of your bigly dumb mouth. You need to pack up &amp; go. You did this to yourself. You’re A FAKE, FAKE POTUS #IMPEACHTRUMP #TRUMPISFAKE
1178459405584482304 2019-09-29 19:59:51 -0400 <eRepublicUSA> @Scaramucci @realDonaldTrump Trump is a public servant who is under public scrutiny especially when he misappropriates unclassified conversations into secured systems. What is he hiding? How many of these conversations did he bury? What are they about? Why the secrecy?
1178459405492224000 2019-09-29 19:59:51 -0400 <dmb3d> @realDonaldTrump The affidavit states that it was pressure from the U.S. -- specifically Biden -- in the form of withholding the billion dollars that led to Shokin leaving office.
1178459405085528064 2019-09-29 19:59:51 -0400 <Momof2in1year> @realDonaldTrump  https://t.co/EOIjgSo46C
1178459404200546304 2019-09-29 19:59:51 -0400 <BitskoMickey> @Free_Media_Hub @realDonaldTrump All's Well That Justifies the Means?
1178459403890102272 2019-09-29 19:59:51 -0400 <johnsonfoodbev> @PastorDScott @realDonaldTrump Tell me about it! I get exhausted with everyday, every minute, attack, attack, attack. Good thing for the President, all of this helps him in the long run.
1178459403768365056 2019-09-29 19:59:51 -0400 <LeslieFleury9> @realDonaldTrump
1178459403386839042 2019-09-29 19:59:51 -0400 <tinat1967> @GDYoung1 @SpeakerPelosi @politico @MariaBartiromo @RudyGiuliani @DonaldJTrumpJr @realDonaldTrump GD is a BOT
1178459402073886720 2019-09-29 19:59:50 -0400 <UrsulaTodd18> @SteveScalise @realDonaldTrump Lol
1178459401843347457 2019-09-29 19:59:50 -0400 <sergeant_1st> @realDonaldTrump Nahh that's what you've done a Putin's request. Liar
1178459401021210624 2019-09-29 19:59:50 -0400 <mdriddell11> @moceanworker @realDonaldTrump Hate much buddy! 🤣
1178459399666458624 2019-09-29 19:59:50 -0400 <ConservaTex> @Brick_Airhedred @martingeddes Thank you! @realDonaldTrump ANGER is RIGHTEOUS ANGER of every US Citizen who have watched crooked politicians get RICH, their kids get rich, while shipping US jobs to China, giving US jobs to immigrant labor &amp; giving away OUR sacred rights to illegal immigrants!! #RighteousANGER
1178459399632949249 2019-09-29 19:59:50 -0400 <BoylanF> @realDonaldTrump Sir, you may face your accusers in court.
1178459399284776971 2019-09-29 19:59:50 -0400 <NitaPod> @DeanObeidallah @realDonaldTrump  https://t.co/xrVoVKArPo
1178459399272255488 2019-09-29 19:59:50 -0400 <lone_vegan> @realDonaldTrump  https://t.co/aoZsUGNymY
1178459399179911168 2019-09-29 19:59:50 -0400 <SDG1888> @realDonaldTrump This is not a court of law. Or even a bankruptcy court with which you are more familiar: The Trump name will forever be linked to the word #impeachment and nothing you do will ever change it. That’s your legacy.
1178459399150592000 2019-09-29 19:59:50 -0400 <Bill_McW> @realDonaldTrump @RudyGiuliani @DonaldJTrumpJr @EricTrump @IvankaTrump  https://t.co/hmuktd6h7B
1178459398752083968 2019-09-29 19:59:50 -0400 <Frances719> @realDonaldTrump This is spying...just like Obama and his admin did. Throw the book at them. Treason has dire consequences.  https://t.co/LQZIFydYq0
1178459398273949697 2019-09-29 19:59:49 -0400 <Jrichards0128> @realDonaldTrump What every American should be alarmed by. He argues like someone who is guilty. Doing  the, well your Honor this is what happened, I have a right to meet my accuser excuses. Im not a lawyer but this is pretty much Judge Judg lvl, no offense Judge. 🙂
1178459397376245760 2019-09-29 19:59:49 -0400 <CHANTICA> @PalmerReport @realDonaldTrump Good Lord--it's only 8:00 pm for Donald and America is exhausted. He's well past a case of Diet Coke, an entire chocolate cake, and a full carton of vanilla ice cream.
1178459397200195584 2019-09-29 19:59:49 -0400 <ElainaMcConnel4> @realDonaldTrump I don’t know if you ever realized that the things that YOU do to our country right now is the things that MY generation is going to have to clean up. Our country is dealing the same damn problems it did when it was 1933, and its not changing. Get better at your job Mr. America
1178459397124546560 2019-09-29 19:59:49 -0400 <luv2birdie> @realDonaldTrump You have lost your marbles. Please seek help.
1178459396961116161 2019-09-29 19:59:49 -0400 <JKPitts> @DavidBegnaud @lpackard @ScottPelley This should make us feel better, but for some insane reason (@realDonaldTrump #AGBarr) it makes me fear for this individual.
1178459396759855104 2019-09-29 19:59:49 -0400 <Spot_Light_On> @realDonaldTrump @POTUS Lol.  Ok Donald you can see him on television with the rest of us.  What you really meant was that you wanted an opportunity to close down investigation with help of corruption prone Bill Barr. Just like on Mueller and more.
1178459396663320576 2019-09-29 19:59:49 -0400 <jpb1467> @LinkedHD Not sure....@GOP are afraid of what trump has on them/will say about them! Like all mafia bosses @realDonaldTrump keeps them in line by threats! Would be nice if a GROUP OF THEM would come together and stand up for our CONSTITUTION, our RULE of LAW, our NATIONAL SECURITY!
1178459396298461184 2019-09-29 19:59:49 -0400 <EMPOWEREDLATIN2> @realDonaldTrump The Bidens are HOT! Yum!
1178459394985492481 2019-09-29 19:59:49 -0400 <Roxie_Rolls> @realDonaldTrump U sound really scared, there Spanky. Somebody is going to lose a lot of sleep in the stormy nights ahead.......nighty night, Stormy’s lover. #TickTock #FuckingStain
1178459394935267329 2019-09-29 19:59:49 -0400 <BSooner71> @realDonaldTrump Hey #60minutes. Want to know why #usa doesn’t believe you? How many times do you say Mr. Trump and not #PresidentTrump. Please go back and look:  how many times did you say Mr. Obama &amp; not #President Obama?  #Schiff is a idiot. This is a scam Why is #Biden &amp; his son not in jail?
1178459394897567747 2019-09-29 19:59:49 -0400 <PierreTurgeon77> @Raisingirl_Indy @realDonaldTrump It's scary to see what twenty years of Adderall and dementia can do to someone.
1178459394025164800 2019-09-29 19:59:48 -0400 <DickSchellens> @realDonaldTrump Sharpie® you sound guilty AF. Good to bed... give it all a rest.
1178459393886736384 2019-09-29 19:59:48 -0400 <StevieCoyle> @realDonaldTrump  https://t.co/aH92JXoiGu
1178459393668587520 2019-09-29 19:59:48 -0400 <MichaelLeuz> @kato2k @NancyBo26903857 @liz_chu4 @robertjeffress @realDonaldTrump You re on point
1178459393521852417 2019-09-29 19:59:48 -0400 <MonaCarol> @realDonaldTrump You don’t have that right. You’re a criminal. You have the right to remain silent ... whether you have the ability has yet to be seen. 🙄
1178459392812998657 2019-09-29 19:59:48 -0400 <steven4704> @realDonaldTrump You can not compare yourself to Obama.  You are not worthy of washing his jock strap.
1178459391957311489 2019-09-29 19:59:48 -0400 <dottsieann21> @MatthewJshow @realDonaldTrump  https://t.co/SqnYCocdFU
1178459391395270657 2019-09-29 19:59:48 -0400 <mydogsmom315> @realDonaldTrump They have classes you can take in prison- definitely sign up for an English class so you can learn to spell,  what a hyphens &amp; apostrophes are &amp; using capital letters-you know, since that’s where you’ll be going after you’re impeached
1178459391181361154 2019-09-29 19:59:48 -0400 <Dreamer0fTheDay> @realDonaldTrump Already had a great econ., your recession will ruin it. Military was already greatest in the world for decades before you. Taxes &amp; regulation cuts only affected big business, not the actual tax payers. VA is still broken, &amp; the vets (myself included) haven't seen any improvement.
1178459390950567937 2019-09-29 19:59:48 -0400 <AnnenJennifer> @realDonaldTrump  https://t.co/qt8zYpd502
1178459390740959232 2019-09-29 19:59:48 -0400 <g111354> @realDonaldTrump Don’t worry I believe you go after them demacrates I whant them investigated too
