943269713840427008 2017-12-19 18:59:59 -0400 <stephen_brannen> @klsmith68 @Deplorable_NYC @realDonaldTrump @OANN YouTube!!!
943269711609040897 2017-12-19 18:59:59 -0400 <DonnieW1956> @SteveB71969175 @LouDobbs @realDonaldTrump @RepAndyBiggsAZ And Obama
943269709717180416 2017-12-19 18:59:58 -0400 <Educator1028> @realDonaldTrump You mean cutting your taxes and using Medicare, Medicaid, and social security cuts to make up the difference.
943269709637701633 2017-12-19 18:59:58 -0400 <macandjc> @SebGorka @realDonaldTrump Love the simplicity of the visual message...great impact. God Bless.
943269705757986817 2017-12-19 18:59:57 -0400 <AJNT27> @TheSimpsons @TIME @CNNEE @CarmenYulinCruz  @realDonaldTrump   I do not pay the Christmas Bonus and I do not pay the overtime to the policemen accumulated during the emergency. No problem she is anti Trump. #Nasty  https://t.co/yq8YWm43Jx
943269700808724485 2017-12-19 18:59:56 -0400 <BillMiami> @FoxNews @SenateMajLdr Americans know who YOU are gifting &amp; who YOU are hosing with this #TrumpTaxScam Pennies for average Americans &amp; Billions $$$ for YOUR DONORS &amp; @realDonaldTrump @GOP @SenMajLdr
943269700695461888 2017-12-19 18:59:56 -0400 <AndyLondon7> Imagine if @realDonaldTrump had criticised @theresa_may over our choice of whether to site our embassy in another nation's capital city?   Just because Jerusalem is #Israel's capital, twits out in full fake outrage mode. Well here's a thought: Jesus is coming back to Jerusalem!  https://t.co/yDBUjegBGq
943269693716029440 2017-12-19 18:59:54 -0400 <KathleenNewhou6> @charlessellsokc @Notgaysergio @wasabi @realDonaldTrump @foxandfriends By whom, pray-tell... she will  look good in an Orange Pant Suit.
943269691019218944 2017-12-19 18:59:54 -0400 <TheAmpster> Trump’s decision to withhold tax returns obscures how he'll fare under overhaul - POLITICO #releaseyourtaxreturns @realDonaldTrump @POTUS   https://t.co/itR0RYyjRs
943269689995575297 2017-12-19 18:59:53 -0400 <BretLonsway> ⚡️ “GOP loses control of Virginia House by a single vote” @realDonaldTrump Sometimes you lose by 3 million, sometimes you lose by 1. But you still LOSE.  https://t.co/rgWySCfNnn
943269688896868352 2017-12-19 18:59:53 -0400 <tmmcm> @TomFitton @realDonaldTrump Talk about the “rule of law” ... what do you mean by “unrecuse himself”? Sessions is up to his neck in Russian contacts that “he can’t recall.” Do you really think that you could exit cleanly from a Constitutional crisis of #45’s making?
943269687986495488 2017-12-19 18:59:53 -0400 <wateringbronson> @realDonaldTrump .... is what Calvin Coolidge said just before handing over the reins to Hoover....
943269678411067392 2017-12-19 18:59:51 -0400 <DaveKhadra> @realDonaldTrump don’t do it !!!  https://t.co/2USRdVSLAE
943269674929872896 2017-12-19 18:59:50 -0400 <SmokieJJones> @realDonaldTrump What do you know about Hardworking Americans? You never have to work hard in your life!!! What the fuck do you know?
943269673948340224 2017-12-19 18:59:50 -0400 <Enigmaxiom> @realDonaldTrump This is what we think of you.  https://t.co/8B8Sxn0fQj
943269672694120448 2017-12-19 18:59:49 -0400 <ForLaughsSake> @realDonaldTrump America will be great again if you resign.
943269665010274306 2017-12-19 18:59:47 -0400 <baboonie> @LauraLoomer @realDonaldTrump @POTUS @jeffsessions It's starting to feel like we'll never get the truth
943269662959292417 2017-12-19 18:59:47 -0400 <meophamister> UN Scroll: Security Council try to ban fake tan, and fake democracies. Strangely, @nikkihaley &amp; @realDonaldTrump veto the idea.  https://t.co/0K0YOMakMg
943269658836291584 2017-12-19 18:59:46 -0400 <howbouthemcards> @TheKen223 @realBrian810 @CNN @realDonaldTrump maga
943269649621442561 2017-12-19 18:59:44 -0400 <SebGorka> Simple:  @realDonaldTrump TRUSTS our military.   And he is letting them do their job.    https://t.co/wu3AsCI7Ri  https://t.co/xVsqPZDo6c
943269648958656514 2017-12-19 18:59:44 -0400 <insfinder4all> @realDonaldTrump Trump,a Real ASSHOLE!
943269646001610752 2017-12-19 18:59:43 -0400 <Razfotoz> @realDonaldTrump So how’s that letter from Muller going???😆😆😆😆 Dillyyy Dillyyy!!!!🍺🍺🍺
943269645229977600 2017-12-19 18:59:43 -0400 <le_squirrelly9> @realDonaldTrump they must all have millions stashed away like you on this conflict of interest tax scam you pos.  Treason is the reason,.... u will not be around much  longer. U go against ALL Americans but rich people on  tax, everyx else. You're a disgrace and u don't care, do you? Shame on u.
943269642381836288 2017-12-19 18:59:42 -0400 <DJBurn77> @SebGorka @realDonaldTrump Not you... fired from WH
943269641106767872 2017-12-19 18:59:42 -0400 <bobroge72708383> @LouDobbs @realDonaldTrump @RepAndyBiggsAZ The only problem would be to find sessons to hand it to him
943269635524386822 2017-12-19 18:59:40 -0400 <ArielleWeisshaa> @davidsirota @SenBobCorker @realDonaldTrump  https://t.co/GGw8HRUp1y
943269631069794304 2017-12-19 18:59:39 -0400 <xkalabr> @realDonaldTrump @foxandfriends Maybe you should try stand up for your next gig. Some of this shit is pretty funny. The only real question though is whether @GOP will get a normal midterm ass whupping, or whether it will be historic.
943269613319712768 2017-12-19 18:59:35 -0400 <BradLindseth> Wharton. Isn't that the school @realDonaldTrump went to?  https://t.co/gmMlpBTX0S
943269613189718025 2017-12-19 18:59:35 -0400 <nonurseratched> @realDonaldTrump I think it's more about what they did to satisfy their own greed
943269612694650880 2017-12-19 18:59:35 -0400 <Christi89008985> @HageeMinistries @realDonaldTrump Hallelujah.. our President and all those working under him Need our Prayers...
943269610941566978 2017-12-19 18:59:35 -0400 <MVinc10560> @realDonaldTrump A Quinnipiac University survey last week found that 55 percent of American voters disapprove of the tax plan, with only 26 percent approving. Nearly half of those polled — 43 percent — said they would be less likely to support a lawmaker who voted for the plan.
943269609809031168 2017-12-19 18:59:34 -0400 <larry8876> @realDonaldTrump That is on the taxes for all of US POOR but the RICH AGAIN GETS IT ALL in their pockets
943269608580177921 2017-12-19 18:59:34 -0400 <savetheturtles2> @Red2GenX @realDonaldTrump Yes  your right  there he’s winning biggly he will gain more wealth as will all corporates while majority of Americans won’t !  https://t.co/SbFQB62vy7
943269602376724481 2017-12-19 18:59:32 -0400 <PhilipAubin> @Notgaysergio @ThyMafia @realDonaldTrump @washingtonpost Trump is the worst most reviled President ever!  https://t.co/IeKfIqgomY
943269595741224960 2017-12-19 18:59:31 -0400 <nathantyree> @realDonaldTrump @washingtonpost Are you sure you exist?
943269594894143488 2017-12-19 18:59:31 -0400 <jamesalandarby> @Impeach_Liar_45 @LibsInAmerica @realDonaldTrump He has been looking more sickly than usual lately. Then there was the slurring and having trouble drinking out of a bottle. Physically dotard is a wreck and mentally we all know he's getting more unstable every day.
943269594134974469 2017-12-19 18:59:31 -0400 <YesicaWilcox> @SallyDeal4 @realDonaldTrump Tell your government in NY AND CALIFORNIA and all de liberals states to cut your taxes. Pay your fare share. No more tax deduction.
943269592700420096 2017-12-19 18:59:30 -0400 <MacedoDeny> @realDonaldTrump Make America Great Again and give us (DACA) a chance to contribute too!🇺🇸
943269591672868864 2017-12-19 18:59:30 -0400 <of_hymie> @realDonaldTrump   https://t.co/F6okkTpCaS
943269590804545536 2017-12-19 18:59:30 -0400 <bensonomotuyole> @DarthShelbert @realDonaldTrump Hahahahahah l like your creativity 👍🏻
943269590561427456 2017-12-19 18:59:30 -0400 <blueshiftny> @MainstreamNews @realDonaldTrump It is terrible that you cannot see the good that this admin has done already. Negating everything harms only you, POTUS is doing great!
943269590494273536 2017-12-19 18:59:30 -0400 <AnnBieb> @realDonaldTrump You , your family and friends surely have a lot to celebrate this season. Why couldn’t the middle class tax cuts be permanent and the corporate tax cut end in 2025?
943269587696545792 2017-12-19 18:59:29 -0400 <C_Gregory_Films> @FoxNews @KellyannePolls @realDonaldTrump @WattersWorld   https://t.co/hJFIwWMqVr
943269584949391360 2017-12-19 18:59:28 -0400 <iamkiki207> @TomSteyer @realDonaldTrump On what grounds? I think you have bigger issues to deal with in sunny CA... you should try doing your job
943269581224927232 2017-12-19 18:59:27 -0400 <DrDarrellCline> Celebrating Trump 🇨🇦🇺🇸❤️❤️ #AfternoonTeaTemptations #TTCL @realDonaldTrump @TrumpVancouver @darianoelcline #WeThePeople 🇺🇸  https://t.co/A9tingzqWk
943269581044551680 2017-12-19 18:59:27 -0400 <JacobRAdkins> Seems @DonaldJTrumpJr is stepping up to the plate and readily stoking #RussianCollusion conspiracy theories for his dad. It might have worked if old man @realDonaldTrump wasn’t becoming increasingly paranoid by the day.
