1173023618734968835 2019-09-14 19:59:59 -0400 <rican_787> @realDonaldTrump  https://t.co/oV3KMYPiXr
1173023616759468032 2019-09-14 19:59:58 -0400 <msperanza> @realDonaldTrump Projected visits to golf clubs in four years:  323 Projected visits in eight years:  646 Total times Obama played golf during his eight year Presidency:  306***********
1173023616390201344 2019-09-14 19:59:58 -0400 <Christi51190561> @realDonaldTrump That’s your job!
1173023615182409728 2019-09-14 19:59:58 -0400 <Mudsilll> @Jennife52915828 @avanova96 @ewarren @AdyBarkan @realDonaldTrump You already are paying everyone’s healthcare dummy, who ends up paying all the unpaid emergency care bills????
1173023612212842496 2019-09-14 19:59:57 -0400 <theFAN2000> @realDonaldTrump Oh my. Hasn't your nurse told you. You are the President now. Not Obama. Stop obsessing over him. We get it. You admire him and want to be better but it won't happen. You will at least have honor of World's Greatest Con Man.
1173023608932724736 2019-09-14 19:59:56 -0400 <Hogan698> @sebulia1 @realDonaldTrump  https://t.co/mGVeoAYzu2
1173023608391655424 2019-09-14 19:59:56 -0400 <mamametsfan> @pride_ravenclaw @tonyposnanski @realDonaldTrump in the future, when you claim to accept everyone, make sure you explain your caveats to that.
1173023608181968896 2019-09-14 19:59:56 -0400 <BobOrforester> @realDonaldTrump Oh fake news
1173023606340751360 2019-09-14 19:59:56 -0400 <JosephArmijo10> @_Sarcastocrat @real_defender @realDonaldTrump He forgot to invite Russia and North Korea to the party. Thought it would be better for them to stay at his resorts.
1173023604377825280 2019-09-14 19:59:55 -0400 <aslbl2000> @realDonaldTrump May the taliban soon close their eyes forever!
1173023603232841728 2019-09-14 19:59:55 -0400 <DownWith710> @Drohrbeck2 @GOPChairwoman @realDonaldTrump I didn't even know what you were replying to and I was dying. It just a funny comment all by itself. 😂
1173023601911574538 2019-09-14 19:59:55 -0400 <kotstot1> @realDonaldTrump A lot of opinion for someone who says he doesn't know her. She's not in "showbiz", or a reality tv has-been like you Donald, she's a journalist, and she could take you on any day.
1173023601550864384 2019-09-14 19:59:54 -0400 <jesse_bradburn> @PHNXalliance @GSwarthout @ScottPresler @realDonaldTrump Yeah, why they locking up Trump? Being an idiot isn't a crime...
1173023600934182913 2019-09-14 19:59:54 -0400 <Yb1962YvonneYc> @realDonaldTrump PHOTO-OP 45 IS best at talking on the phone and taking pictures that make him LOOK like he’s working.   How important is that call for you to STOP and STRIKE A POSE.  The most hated, most unqualified, EVER! GTFOH
1173023596136030208 2019-09-14 19:59:53 -0400 <pjpamulo> @realDonaldTrump You are beyond unstable! Such a child- and a sad pathetic one at that! #PresidentPAB
1173023595892740096 2019-09-14 19:59:53 -0400 <GrilledcheeseT> @Rhinocerization @ResistTrump17 @KassyDillon @realDonaldTrump That’s literally the court house I go to if I need to do anything, so yeah.  https://t.co/3taGoy3sSE
1173023595578175488 2019-09-14 19:59:53 -0400 <stockguy61> @realDonaldTrump Hay Lying Traitor Trump US housing starts drop for third straight month  https://t.co/dyaWOfkdkX
1173023595242479616 2019-09-14 19:59:53 -0400 <Vokskan1680> @pamalert @SaraCarterDC @MelissaFleming @UN @realDonaldTrump @antonioguterres So it's ok for the US to meddle in Vietnam,Korea,Libya,Iraq,Afghanistan,Syria...and all these Countries are worse off now.
1173023594416431104 2019-09-14 19:59:53 -0400 <Denny25839962> @Anna63884746 @RNCastaldo @realDonaldTrump I’m not again stop speaking for us sane people. Trump is going to prison.
1173023593107611648 2019-09-14 19:59:52 -0400 <camdenjoker> @realDonaldTrump As soon as you resign it will be
1173023589173518336 2019-09-14 19:59:52 -0400 <Thinfatninja1> @realDonaldTrump @MarkSanford At least I wasn't with a pornstar and hookers
