1130261853567881217 2019-05-19 19:59:59 -0400 <j24heck58> @realDonaldTrump I would say “We are wise to your game,  but you have no game.”
1130261853349789696 2019-05-19 19:59:59 -0400 <KnackeredNomad> @realDonaldTrump @FoxNews Smart timing douchebag
1130261852443824128 2019-05-19 19:59:59 -0400 <holtmapa> @AltHomelandSec @realDonaldTrump @justinamash He really would but that is not a high bar…
1130261848459161600 2019-05-19 19:59:58 -0400 <Geowil_11> @SwartzNan @sam_vinograd @realDonaldTrump @Twitter And to force Twitter to delete his account.
1130261847658115073 2019-05-19 19:59:58 -0400 <LOVNLA> @krassenstein @realDonaldTrump @FoxNews 👍
1130261844076171265 2019-05-19 19:59:57 -0400 <BrunsonKirk> @realDonaldTrump You people act like women just go out have sex and say hey what the hell if I get pregnant I'll just have an abortion. You all really think women are that heartless to stoop to those means.
1130261843258122240 2019-05-19 19:59:57 -0400 <jo_avg> @Lrihendry @realDonaldTrump Respected .... Less than ever!
1130261841240887296 2019-05-19 19:59:56 -0400 <wittyliberal> @realDonaldTrump @justinamash Amash is more real than Fake #cluelessdonnie
1130261839491862528 2019-05-19 19:59:56 -0400 <elvarto213> @SufianSamarrai @realDonaldTrump بیا کیرمو بخور دیوس
1130261839214809088 2019-05-19 19:59:56 -0400 <PaganSerpentine> @willofphil @DeepStateExpose @laneylane25 @realDonaldTrump Oh you mean the one who lied to the American people? The one who is in  Contempt of Congress as well as being investigated? That   Corrupt AG? 🤣🤣🤣
1130261839026249728 2019-05-19 19:59:56 -0400 <LuvMultimedia> @AmandiOnAir @realDonaldTrump @DeutscheBank Precisely right, anyone with a working brain could see and make the connections. Don't tell that to the UFO, alien baby having, believing GOP cult though. If it is simple and clear cut, it can't be real. *rolls eyes*
1130261838816600066 2019-05-19 19:59:56 -0400 <RAY_G17> @billg18211 @realDonaldTrump Obamanation vs Abomination  https://t.co/HOzn4sY4sh
1130261838648602624 2019-05-19 19:59:56 -0400 <nickfornow> @realDonaldTrump @FoxNews How does it feel to be replaced by a better looking model half your age? Maybe you should ask your 1st two wives, the mothers of your adult children, how it felt for you to focus so heavily on someone else? 👠’s on the other foot now, Mr. President.
1130261834777415682 2019-05-19 19:59:55 -0400 <Mahirbattashi> @TaherMajid @realDonaldTrump 😂😂😂😂 i know man , people wana enjoy life , i dont know if he knows what does that mean
1130261831510036482 2019-05-19 19:59:54 -0400 <19_henry_68> @realDonaldTrump @FoxNews Watching OANN now.
1130261831401054208 2019-05-19 19:59:54 -0400 <MikeHradil> @realDonaldTrump Finally a president with balls!!  #MAGA
1130261829790380033 2019-05-19 19:59:54 -0400 <SomeRandomGuy5> @realDonaldTrump @FoxNews  https://t.co/xwQr1xZJIn
1130261824820002816 2019-05-19 19:59:52 -0400 <trumpelected> @JudyBellack @realDonaldTrump @FoxNews Got what is got
1130261824438276096 2019-05-19 19:59:52 -0400 <AmyBooe> @realDonaldTrump  https://t.co/KkZjHATG2c
1130261822425194496 2019-05-19 19:59:52 -0400 <freeiran00> @HananyaNaftali @realDonaldTrump Middel east is our home .گاوچرون کسکش
1130261819124264960 2019-05-19 19:59:51 -0400 <Dennis_vdo> @davidenrich @DeutscheBank @realDonaldTrump  https://t.co/CHPVZRDFX7
1130261818700652544 2019-05-19 19:59:51 -0400 <8USC12> @MorganFeldman7 @scottkemp3 @RMConservative @realDonaldTrump @POTUS It wouldn't matter where they are originally from, if the so much as set foot in Canada or Mexico, if it becomes a STC, they can immediately be turned back. Of course, they would just claim a fear of being persecuted there so that they can request asylum here.
1130261817496932353 2019-05-19 19:59:51 -0400 <twobber> (Oja, 24 mrt 2017): 47 harde schijven met 600 MIO paginas van Obama ivm spioneren op @realDonaldTrump,  wat staat er over NL in? @TPO @Else4Weekblad @hogeraad @RaadvanState
1130261816414629888 2019-05-19 19:59:50 -0400 <TwoDogNW> @RyanHillMI @realDonaldTrump Thanks for the reminder that Trump is a coward and just proved to Iran he is.
1130261815265583104 2019-05-19 19:59:50 -0400 <SamSidneyTe> @Perpetual_Now @realDonaldTrump Unfortunately and expectantly Trump put a total and complete moron in charge of the military draft. A no military experience used car salesman. We know what to expect.
1130261815265357824 2019-05-19 19:59:50 -0400 <tachalla> @lili41158154 @realDonaldTrump Fuck NO !!!
1130261815139741698 2019-05-19 19:59:50 -0400 <SDogoda> @realDonaldTrump @FoxNews Knock em dead Comrade!
1130261814149865472 2019-05-19 19:59:50 -0400 <cnamarriott> @realDonaldTrump Why must the baby be killed because of rape or incest?
1130261813046628353 2019-05-19 19:59:50 -0400 <JuanAntonioRnte> @sarias19 @realDonaldTrump Ya soy ciudadano, hijo de trump también, te llevare el agua compañero no se me preocupe.
1130261811629105152 2019-05-19 19:59:49 -0400 <HorseMama64> @GovRonDeSantis @realDonaldTrump Don’t believe one word any of you say anymore.  So what state gets them??  Just as bad.  SEND THEM BACK!  W T F
1130261810098135041 2019-05-19 19:59:49 -0400 <justsayin4321> @sam_vinograd @realDonaldTrump @Twitter Your analysis is completely wrong about this topic and stop putting fake information into news
1130261810085539841 2019-05-19 19:59:49 -0400 <Nicolet14564876> How many people would agree twitter should shut @realDonaldTrump  down . with his name calling and bullying twitter is being just as guilty now no better than he is . shame on twitter . SHUT HIS ASS DOWN!
1130261808550301696 2019-05-19 19:59:49 -0400 <MattHoo72271094> @mentalist_nuno @realDonaldTrump @FoxNews Obama uses a computer and a filing cabinet while captain chaos is on the phone bitching about how hard it is to read all of these reports.
1130261807631917056 2019-05-19 19:59:48 -0400 <js_lapidus> @realDonaldTrump BTW, Very Stable Genius, it’s “Neuman.”  https://t.co/FNniBWSXSL
1130261806574968832 2019-05-19 19:59:48 -0400 <fcwic1> BEST LIBERAL MELTDOWNS OVER ABORTION BILLS  https://t.co/ZRjGXkbhph via @YouTube @therealroseanne @RodEccles @DiamondandSilk @realDonaldTrump @DavidJHarrisJr
1130261806163927041 2019-05-19 19:59:48 -0400 <JerpaDerpa> @AmandiOnAir @realDonaldTrump @DeutscheBank It should be illegal for them to not report suspicious activity to the government.  HSCB turned a blind eye to money laundering for years and look what happened to them.
1130261806125993984 2019-05-19 19:59:48 -0400 <crusade_solemn> @RyanHillMI @realDonaldTrump I feel sad you honestly
1130261805291442184 2019-05-19 19:59:48 -0400 <JessVeneri> @realDonaldTrump Alfred E. Newman is President ! MAD!
1130261804024832001 2019-05-19 19:59:47 -0400 <kineticgardens> @RepMarkWalker @realDonaldTrump I'm guessing you didn't read the Mueller report for yourself. Nice touch referring to the 12 Democrats talking point so beloved by Trump. Oh and Amash is definitely a Republican. Just one with more gut than you.
1130261802871402496 2019-05-19 19:59:47 -0400 <MegMegmolly> @realDonaldTrump @FoxNews So  you are against a free press......and your supporters are afraid of Bernie the democratic socialist but support you the obvious communist
